"Manage Shopping Cart","Upravit nákupní košík"
"Something went wrong while reordering this product.","Při přeobjednání tohoto produktu nastala chyba."
"We can't find this wish list.","Tento seznam oblíbených nelze najít."
"You added %1 product to your shopping cart.","Do košíku byl vložen %1 produkt."
"You added %1 products to your shopping cart.","Do košíku bylo vloženo %1 produktů."
"%1 product requires your attention.","%1 produkt vyžaduje vaši pozornost."
"%1 products require your attention.","%1 produktů vyžaduje vaši pozornost."
"Yes, for Specified Customer Groups","Ano, pro zvolené skupiny zákazníků"
"Yes, for Everyone","Ano, pro každého"
"No","Ne"
"The file is corrupt.","Soubor je poškozen."
"Please upload the file in .csv format.","Nahrajte soubor ve formátu CSV prosím."
"%1 item(s) need your attention.","%1 položek vyžaduje vaši pozornost."
"Apply Coupon Code","Použít kód kuponu"
"Remove Coupon Code","Odstranit kód kupónu"
"Remove","Odstranit"
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" není platný."
"Shopping Cart Items","Položky v košíku"
"Qty","Množství"
"Subtotal","Mezisoučet"
"Discount","Sleva"
"Row Subtotal","Mezisoučet"
"Action","Akce"
"No ordered items","Objednávka neobsahuje žádný produkt"
"Total %1 product(s)","Celkem %1 produktů"
"Subtotal:","Mezisoučet:"
"Please select","Vyberte"
"Move to Wish List","Přesunout k oblíbeným"
"No item specified.","Nebyla určena žádná položka."
"Are you sure you want to remove this item?","Skutečně chcete tuto položku odebrat?"
"SKU number","SKU číslo"
"Upload File","Nahrát soubor"
"Your csv file must include ""sku"" and ""qty"" columns.","CSV soubor musí obsahovat sloupce ""sku"" a ""qty""."
"Reset","Obnovit"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Posledních <span id=""%1_max_allowed"">%2</span> skladem"
"Item","Položka"
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky."
"What's this?","Co to znamená?"
"Incl. Tax","s DPH"
"Excl. Tax","bez DPH"
"Edit item parameters","Upravit parametry"
"Edit","Upravit"
"Remove item","Odebrat položku"
"Products Requiring Attention","Produkty vyžadující pozornost"
"Add to Cart","Přidat do košíku"
"Sku","SKU"
"File","Soubor"
"File extensions allowed: .csv","Povolená přípona souborů: .csv"
"Add Row","Přidat řádek"
"Remove Row","Odstranit řádek"
"Add Products By SKU","Přidat produkty podle SKU"
"Shopping Cart Management","Správa nákupního košíku"
"View Shopping Cart","Zobrazit nákupní košík"
"View and modify Shopping Cart","Zobrazit a upravit nákupní košík"
"Order by SKU Settings","Nastavení objednávky podle SKU"
"Enable Order by SKU on My Account in Storefront","Zapnout objednání podle SKU v menu zákazníka v obchodě"
"Customer Groups","Skupiny zákazníků"
"Apply Coupon","Použít kupón"
"Order by SKU Description","Popis objednání podle SKU"
"Display a Link to Loading a Spreadsheet","Zobrazit odkaz pro načtení tabulky"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Určuje, zda bude odkaz na stránku Můj účet &gt; Objednat podle SKU zobrazen ve widgetu"
"Link Text","Text odkazu"
"The text of the link to the My Account &gt; Order by SKU page","Text odkazu Můj účet &gt; Objednat podle SKU"
"Load a list of SKUs","Načíst seznam SKU"
"Order by SKU Template","Šablona objednání podle SKU"
"SKU not found in catalog.","SKU nebyl v katalogu nalezen."
"This file needs to be in .csv format.","Soubor musí být ve formátu .csv."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","Vyskytla se chyba. Podrobnosti naleznete v protokolu chyb (error log)."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","Soubor je poškozen a nemůže být použit."
