"Manage Shopping Cart","සාප්පු කරත්තය කළමනාකරණය කරන්න"
"Please select","කරුණාකර තෝරන්න"
"Move to Wish List","අවශ්ය ලැයිස්තු වෙත ගෙන යන්න"
"No item specified.","අයිතමයක් සඳහන් කර නැත."
"Are you sure you want to remove this item?","ඔබට මෙම අයිතමය ඉවත් කිරීමට අවශ්‍ය බව විශ්වාසද?"
"SKU number","SKU අංකය"
"Upload File","ගොනුව උඩුගත කරන්න"
"Your csv file must include ""sku"" and ""qty"" columns.","ඔබේ csv ගොනුවේ ""sku"" සහ ""qty"" තීරු ඇතුළත් විය යුතුය."
"Reset","යළි පිහිටුවන්න"
"SKU: ","කේතය: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","තොගයේ ඇත්තේ <span id=""%1_max_allowed"">%2</span> ක් පමණි"
"Item","අයිතමය"
"See price before order confirmation.","ඇණවුම තහවුරු කිරීමට පෙර මිල බලන්න."
"What's this?","මෙය කුමක් ද?"
"Incl. Tax","ඇතුළු. බද්ද"
"Excl. Tax","හැර. බද්ද"
"Edit item parameters","අයිතම පරාමිතීන් සංස්කරණය කරන්න"
"Edit","සංස්කරණය කරන්න"
"Remove item","අයිතමය ඉවත් කරන්න"
"Products Requiring Attention","අවධානය යොමු කළ යුතු නිෂ්පාදන"
"Add to Cart","ගැලට එක් කරන්න"
"Sku","ස්කු"
"File","ගොනුව"
"File extensions allowed: .csv","ගොනු දිගු සඳහා අවසර දී ඇත: .csv"
"Add Row","පේළිය එක් කරන්න"
"Remove Row","පේළිය ඉවත් කරන්න"
"Add Products By SKU","SKU මගින් නිෂ්පාදන එකතු කරන්න"
"Shopping Cart Management","සාප්පු කරත්ත කළමනාකරණය"
"View Shopping Cart","සාප්පු කරත්තය බලන්න"
"View and modify Shopping Cart","සාප්පු කරත්තය බලන්න සහ වෙනස් කරන්න"
"Order by SKU Settings","SKU සිටුවම් මගින් ඇණවුම් කරන්න"
"Enable Order by SKU on My Account in Storefront","වෙළඳසැල් ඉදිරිපිට ඇති මගේ ගිණුමේ SKU මගින් ඇණවුම සබල කරන්න"
"Customer Groups","පාරිභෝගික කණ්ඩායම්"
"Apply Coupon","කූපනය යොදන්න"
"Order by SKU Description","SKU විස්තරය අනුව ඇණවුම් කරන්න"
"Display a Link to Loading a Spreadsheet","පැතුරුම්පතක් පූරණය කිරීමට සබැඳියක් පෙන්වන්න"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","SKU පිටුවෙන් මගේ ගිණුම &gt; ඇණවුම වෙත සබැඳියක් විජට් එකෙහි දර්ශනය වන්නේද යන්න නිර්වචනය කරයි"
"Link Text","සබැඳි පෙළ"
"The text of the link to the My Account &gt; Order by SKU page","SKU පිටුවෙන් මගේ ගිණුම &gt; ඇණවුම වෙත සබැඳියේ පෙළ"
"Load a list of SKUs","SKU ලැයිස්තුවක් පූරණය කරන්න"
"Order by SKU Template","SKU ආකෘතියෙන් ඇණවුම් කරන්න"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","මෙම පාරිභෝගිකයා සොයාගත නොහැකි විය. පාරිභෝගිකයා තහවුරු කර නැවත උත්සාහ කරන්න."
"This store couldn't be found. Verify the store and try again.","මෙම ගබඩාව සොයාගත නොහැකි විය. ගබඩාව තහවුරු කර නැවත උත්සාහ කරන්න."
"An error occurred. For details, see the error log.","දෝෂයක් සිදු විය. විස්තර සඳහා, දෝෂ ලොගය බලන්න."
"Orders can only be completed in an active store. Verify the store and try again.","ඇනවුම් සම්පූර්ණ කළ හැක්කේ සක්‍රිය ගබඩාවක පමණි. ගබඩාව තහවුරු කර නැවත උත්සාහ කරන්න."
"The ordered item needs to be loaded. Load the item and try again.","ඇණවුම් කළ අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"The quote item ID needs to be received. Set the ID and try again.","උද්ධෘත අයිතම හැඳුනුම්පත ලැබිය යුතුය. හැඳුනුම්පත සකසා නැවත උත්සාහ කරන්න."
"The quote item needs to be loaded. Load the item and try again.","උද්ධෘත අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"The wish list item ID needs to be received. Set the ID and try again.","කැමති ලැයිස්තු අයිතම හැඳුනුම්පත ලැබිය යුතුය. හැඳුනුම්පත සකසා නැවත උත්සාහ කරන්න."
"The wish list item needs to be loaded. Load the item and try again.","පැතුම් ලැයිස්තු අයිතමය පූරණය කළ යුතුය. අයිතමය පූරණය කර නැවත උත්සාහ කරන්න."
"The file is corrupt and can't be used.","ගොනුව දූෂිත වන අතර එය භාවිතා කළ නොහැක."
