"Manage Shopping Cart","Gerenciar Carrinho de Compras"
"The file is empty.","O arquivo está vazio."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Você não inseriu um SKU de produto. Por favor, <a href=""%1"">clique aqui</a> para adicionar produto(s) pelo SKU."
"You have not entered a product SKU.","Você não inseriu um SKU de produto."
"We can't add a product to cart by id ""%1"".","Não foi possível adicionar um produto no carrinho pelo id ""%1""."
"Something went wrong while reordering this product.","Algo deu errado durante a reordenação deste produto."
"We can't find this wish list.","Esta lista de desejos não foi encontrada."
"You added %1 product to your shopping cart.","Você adicionou %1 produto ao carrinho de compras."
"You added %1 products to your shopping cart.","Você adicionou %1 produtos ao carrinho de compras."
"%1 product requires your attention.","%1 produto requer sua atenção."
"%1 products require your attention.","%1 produtos requerem sua atenção."
"Yes, for Specified Customer Groups","Sim, para o Grupo de Clientes Especificado"
"Yes, for Everyone","Sim, para Todos"
"No","Não"
"The file is corrupt.","O arquivo está corrompido."
"Please upload the file in .csv format.","Por favor carregue o arquivo em formato .csv"
"%1 item(s) need your attention.","%1 item(ns) precisa(m) de sua atenção."
"Apply Coupon Code","Aplicar Cupom de Desconto"
"Remove Coupon Code","Remover Cupom de Desconto"
"Remove","Remover"
"The coupon code ""%1"" is not valid.","O cupom de desconto ""%1"" é inválido."
"Shopping Cart Items","Itens do Carrinho de Compras"
"Qty","Qtd"
"Subtotal","Sub-total"
"Discount","Desconto"
"Row Subtotal","Linha de Subtotal"
"Action","Ação"
"No ordered items","Não há itens solicitados"
"Total %1 product(s)","%1 produto(s) no total"
"Subtotal:","Subtotal:"
"Please select","Selecione por favor"
"Move to Wish List","Mover para Lista de Desejos"
"No item specified.","Nenhum item especificado."
"Are you sure you want to remove this item?","Tem certeza que deseja remover este item?"
"SKU number","Número do SKU"
"Upload File","Enviar Arquivo"
"Your csv file must include ""sku"" and ""qty"" columns.","Seu arquivo csv deve incluir as colunas ""sku"" e ""qty""."
"Reset","Reiniciar"
"SKU: ","REF: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Só <span id=""%1_max_allowed"">%2</span> em estoque"
"Item","Item"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"What's this?","O que é isto?"
"Incl. Tax","Imposto Incl."
"Excl. Tax","Excl. Impostos"
"Edit item parameters","Editar parâmetros do item"
"Edit","Editar"
"Remove item","Remover item"
"Products Requiring Attention","Produtos que Requerem Atenção"
"Add to Cart","Adicionar ao Carrinho"
"Sku","Ref"
"File","Arquivo"
"File extensions allowed: .csv","Extensões de arquivos permitidas: .csv"
"Add Row","Adicionar linha"
"Remove Row","Remover linha"
"Add Products By SKU","Adicionar Produtos por SKU"
"Shopping Cart Management","Gerenciamento do Carrinho de Compras"
"View Shopping Cart","Ver Carrinho de Compras"
"View and modify Shopping Cart","Ver e modificar Carrinho de Compras"
"Order by SKU Settings","Definições de Encomendar por SKU"
"Enable Order by SKU on My Account in Storefront","Ativar Encomendar por SKU na seção ""Minha Conta"" na loja"
"Customer Groups","Grupos de Cliente"
"Apply Coupon","Aplicar cupom"
"Order by SKU Description","Descrição de Encomendar por SKU"
"Display a Link to Loading a Spreadsheet","Exibir um Link para carregar uma planilha"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Define se um link para a página Minha Conta &gt; Encomendar por SKU será exibido no widget"
"Link Text","Texto do link"
"The text of the link to the My Account &gt; Order by SKU page","O texto do link para a página Minha Conta &gt; Encomendar por SKU"
"Load a list of SKUs","Carregar uma lista de SKUs"
"Order by SKU Template","Modelo do Encomendar por SKU"
"SKU not found in catalog.","SKU não foi encontrado no catálogo."
"This file needs to be in .csv format.","O arquivo precisa estar no formato .csv."
"This customer couldn't be found. Verify the customer and try again.","Este cliente não pôde ser encontrado. Verifique o cliente e tente novamente."
"This store couldn't be found. Verify the store and try again.","Esta loja não pôde ser encontrada. Verifique a loja e tente novamente."
"An error occurred. For details, see the error log.","Ocorreu um erro. Para mais detalhes, veja o log de erro."
"Orders can only be completed in an active store. Verify the store and try again.","Pedidos só podem ser concluídos em uma loja ativa. Verifique a loja e tente novamente."
"The ordered item needs to be loaded. Load the item and try again.","O item ordenado precisa ser carregado. Carregue o item e tente novamente."
"The quote item ID needs to be received. Set the ID and try again.","O ID do item de cotação precisa ser recebido. Defina o ID e tente novamente."
"The quote item needs to be loaded. Load the item and try again.","O item de cotação precisa ser carregado. Carregue o item e tente novamente."
"The wish list item ID needs to be received. Set the ID and try again.","O ID da lista de desejos precisa ser recebido. Defina o ID e tente novamente."
"The wish list item needs to be loaded. Load the item and try again.","O item da lista de desejos precisa ser carregado. Carregue o item e tente novamente."
"The file is corrupt and can't be used.","O arquivo está corrompido e não pode ser usado."
