"Manage Shopping Cart","Spravovať nákupný košík"
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Nezadali ste katalogové číslo produktu. Prosím, pre pridanie produktu <a href=""%1"">zadajte katalogové číslo</a>."
"You have not entered a product SKU.","Nezadali ste katalogové číslo produktu."
"We can't add a product to cart by id ""%1"".","Nemožno pridať produkt do košíka podľa id ""%1""."
"Something went wrong while reordering this product.","Došlo k chybe počas zoradenia produktu."
"We can't find this wish list.","Tento zoznam prianí nieje možné nájsť."
"You added %1 product to your shopping cart.","%1 produkt bol pridaný do Vašeho nákupného košíka."
"You added %1 products to your shopping cart.","%1 produkty boli pridané do Vašeho nákupného košíka."
"%1 product requires your attention.","%1 produkt vyžaduje vašu pozornosť."
"%1 products require your attention.","%1 produkty vyžadujú vašu pozornosť."
"Yes, for Specified Customer Groups","Áno, pre určitú zákaznícku skupinu"
"Yes, for Everyone","Áno, pre každého"
"No","Nie"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Prosím nahrajte súbor vo formáte .csv."
"%1 item(s) need your attention.","%1 položka(y) vyžaduje Vašu pozornosť."
"Apply Coupon Code","Použiť kód kupónu"
"Remove Coupon Code","Odstrániť kód kupónu"
"Remove","Odstrániť"
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" je neplatný."
"Shopping Cart Items","Položky nákupného košíku"
"Qty","Množstvo"
"Subtotal","Medzisúčet"
"Discount","Zľava"
"Row Subtotal","Medzisúčet riadku"
"Action","Akcia"
"No ordered items","Žiadne zoradené položky"
"Total %1 product(s)","Celkom %1 produkt(ov)"
"Subtotal:","Medzisúčet:"
"Please select","Prosím, vyberte"
"Move to Wish List","Pridať do zoznamu prianí"
"No item specified.","Nebola zvolená žiadna položka."
"Are you sure you want to remove this item?","Naozaj chcete odstrániť túto položku?"
"SKU number","Katalogové číslo"
"Upload File","Nahrať súbor"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv súbor musí obsahovať stĺpce ""katalógove číslo"" a ""množstvo""."
"Reset","Resetovať"
"SKU: ","Katalógové číslo: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Len <span id=""%1_max_allowed"">%2</span> na sklade"
"Item","Položka"
"See price before order confirmation.","Pozrite si ceny pred potvrdením objednávky."
"What's this?","Čo to je?"
"Incl. Tax","Vrátane dane"
"Excl. Tax","Bez dane"
"Edit item parameters","Upraviť parametre položky"
"Edit","Upraviť"
"Remove item","Odstrániť položku"
"Products Requiring Attention","Produkty, ktoré si vyžadujú pozornosť"
"Add to Cart","Pridať do košíka"
"Sku","Katalógové číslo"
"File","Súbor"
"File extensions allowed: .csv","Povolené prípony: .csv"
"Add Row","Pridať riadok"
"Remove Row","Odstrániť riadok"
"Add Products By SKU","Pridať produkty podľa katalógového čísla"
"Shopping Cart Management","Správa nákupního košíka"
"View Shopping Cart","Prezrieť nákupný košík"
"View and modify Shopping Cart","Zobraziť a úpraviť nákupný košík"
"Order by SKU Settings","Zoradiť podľa nastavenia katalógového čísla"
"Enable Order by SKU on My Account in Storefront","Pololiť  zobraziť ""Zoradiť podľa katalógového čísla"" v Mojom účte v obchode"
"Customer Groups","Zákaznicke skupiny"
"Apply Coupon","Použiť kupón"
"Order by SKU Description","Zoradiť podla popisu katalógového čísla"
"Display a Link to Loading a Spreadsheet","Zobraziť odkaz na načítanie tabuľky"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definuje, či bude zobrazený odkaz na Môj účet &gt; Zoradiť podľa katalógového čísla na widgete"
"Link Text","Text odkazu"
"The text of the link to the My Account &gt; Order by SKU page","Text odkazu na stránku Môj účet &gt; Zoradiť podľa katalógového čísla"
"Load a list of SKUs","Načítať zoznam katalógových čísiel"
"Order by SKU Template","Šablona stránky ""Zoradiť podľa katalógového čísla"""
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
