"Manage Shopping Cart","Halda ostukorvi"
"%1 product requires your attention.","%1 toode vajab teie tähelepanu."
"%1 products require your attention.","%1 tooted vajavad teie tähelepanu."
"Yes, for Specified Customer Groups","Jah, valitud kliendigruppidele"
"Yes, for Everyone","Jah, kõigile"
"No","Ei"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Palun laadige fail Csv formaadis."
"%1 item(s) need your attention.","%1 üksus(ed) vajavad teie tähelepanu."
"Apply Coupon Code","Rakenda sooduskood"
"Remove Coupon Code","Eemalda sooduskood"
"Remove","Eemalda"
"The coupon code ""%1"" is not valid.","Sooduskood ""%1"" on kehtetu."
"Shopping Cart Items","Ostukorvi artiklid"
"Qty","Kogus"
"Subtotal","Vahesumma"
"Discount","Allahindlus"
"Row Subtotal","Rea vahesumma"
"Action","Toiming"
"No ordered items","Tellitud artikleid ei ole"
"Total %1 product(s)","Kokku %1 toode(id)"
"Subtotal:","Vahesumma:"
"Please select","Palun valige"
"Move to Wish List","Tõsta soovinimekirja"
"No item specified.","Artiklit ei ole spetsifitseeritud."
"Are you sure you want to remove this item?","Olete kindel, et soovite selle artikli eemaldada?"
"SKU number","SKU number"
"Upload File","Lae fail üles"
"Your csv file must include ""sku"" and ""qty"" columns.","Csv-faili peab sisaldama ""sku"" ja ""qty"" veergusid."
"Reset","Tühista"
"SKU: ","Laokood: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Ainult <span id=""%1_max_allowed"">%2</span> laos"
"Item","Toode/Artikkel"
"See price before order confirmation.","Hindade näitamine enne tellimuse kinnitamist."
"What's this?","Mis see on?"
"Incl. Tax","Koos maksuga"
"Excl. Tax","Ilma maksuta"
"Edit item parameters","Muuda kauba parameetreid"
"Edit","Muuda"
"Remove item","Eemalda toode"
"Products Requiring Attention","Tähelepanu nõudvad tooted"
"Add to Cart","Lisa ostukorvi"
"Sku","Laokood"
"File","Fail"
"File extensions allowed: .csv","Lubatud, faililaiendid: Csv"
"Add Row","Rea lisamine"
"Remove Row","Eemaldada rida"
"Add Products By SKU","Lisa toode SKU järgi"
"Shopping Cart Management","Ostukorvi haldus"
"View Shopping Cart","Vaata ostukorvi"
"View and modify Shopping Cart","Vaata ja muuda ostukorvi"
"Order by SKU Settings","Järjesta SKU sätete järgi"
"Enable Order by SKU on My Account in Storefront","Võimalda SKU järgi sorteerimine minu kontol"
"Customer Groups","Kliendigrupid"
"Apply Coupon","Rakenda kupong"
"Order by SKU Description","Sorteeri SKU kirjelduse järgi"
"Display a Link to Loading a Spreadsheet","Näita linki arvutustabelisse"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Määratleb, kas lingi minu konto &gt; Telli SKU järgi vidinas kuvatakse või mitte"
"Link Text","Lingi tekst"
"The text of the link to the My Account &gt; Order by SKU page","Minu konto lingi tekst &gt; Järjesta SKU lehe järgi"
"Load a list of SKUs","Laadi SKU'de nimekiri"
"Order by SKU Template","Sorteeri SKU malli järgi"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
