"Manage Shopping Cart","Gestionează coşul de cumpărături"
"Sorry, something went wrong. You can find out more in the error log.","Ne pare rău, ceva nu a mers bine. Poți afla mai multe în jurnalul de erori."
"You do not have access to this.","Nu ai acces la acest lucru."
"Ordered item id is not received.","Id-ul articolului comandat nu este primit."
"Ordered item is not loaded.","Elementul comandat nu este încărcat."
"Quote item id is not received.","ID-ul elementului din oferta nu este primit."
"Quote item is not loaded.","Elementul ofertei nu este încărcat."
"The wish list item id is not received.","ID-ul listei de dorințe nu este primit."
"The wish list item is not loaded.","Elementul listei de dorințe nu este încărcat."
"An error has occurred. See error log for details.","A apărut o eroare. Verificati jurnalul de erori pentru detalii."
"You cannot configure a product.","Nu se poate configura un produs."
"You removed the items.","Ați șters obiectele."
"You removed the item.","Ai șters obiectul."
"You added %1 to your shopping cart.","Ați adăugat %1 la coșul dumneavoastră de cumpărături."
"You cannot add a product.","Nu se poate adauga un produs."
"Order by SKU","Ordonare după SKU"
"The SKU was not found in the catalog.","SKU nu a fost găsit în catalog."
"Availability: Out of stock.","Disponibilitate: Stoc epuizat."
"We don't have as many of these as you want.","Nu avem atât de multe dintre acestea pe cât doriţi."
"You can't add this many to your cart.","Nu puteți adăuga această cantitate la coș."
"You need to choose options for your item.","Trebuie să alegeți o opțiune pentru articolul dimneavoastră."
"We can't add the item to your cart.","Nu putem adăuga produsul în coș."
"Please enter an actual number in the ""Qty"" field.","Vă rugăm să introduceţi un număr real în câmpul ""Qty""."
"This product is assigned to another website.","Acest produs este asociat unui alt site."
"You can add only enabled products.","Puteți adăuga numai produse activate."
"You cannot upload this file.","Nu puteţi încărca acest fişier."
"The file is empty.","Fișierul este gol."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Nu ați introdus codul SKU al produsului. Vă rugăm <a href=""%1"">faceți clic aici</a> pentru a adăuga produs(e) după SKU."
"You have not entered a product SKU.","Nu ati introdus un produs SKU."
"We can't add a product to cart by id ""%1"".","Nu putem adăuga un produs în coș cu Id-ul ""%1""."
"Something went wrong while reordering this product.","Ceva nu a mers bine în timpul reordonării acestui produs."
"We can't find this wish list.","Nu se poate găsi această listă de dorințe."
"You added %1 product to your shopping cart.","Ai adaugat %1 produs in cosul tau de cumparaturi."
"You added %1 products to your shopping cart.","Ai adăugat %1 produse în coșul tău de cumpărături."
"%1 product requires your attention.","%1 produs necesită atenția dvs."
"%1 products require your attention.","%1 produse necesită atenția dumneavoastră."
"Yes, for Specified Customer Groups","Da, pentru grupuri de clienți specificate"
"Yes, for Everyone","Da, pentru toată lumea"
"No","Nu"
"The file is corrupt.","Fișierul este corupt."
"Please upload the file in .csv format.","Vă rugăm să încărcaţi fişierul în format .csv."
"%1 item(s) need your attention.","%1 obiect(e) au nevoie de atenția dumneavoastră."
"Apply Coupon Code","Aplică codul cuponului"
"Remove Coupon Code","Elimină codul cuponului"
"Remove","Eliminați"
"The coupon code ""%1"" is not valid.","Codul de cupon ""%1"" nu este valid."
"Shopping Cart Items","Produsele coşului de cumpărături"
"Qty","Cantitate"
"Subtotal","Subtotal"
"Discount","Reducere"
"Row Subtotal","Rând Subtotal"
"Action","Acțiune"
"No ordered items","Nici un articol comandat"
"Total %1 product(s)","Total %1 produs(e)"
"Subtotal:","Subtotal:"
"Please select","Vă rugăm selectaţi"
"Move to Wish List","Mutați în lista de dorințe"
"No item specified.","Nici un articol specificat."
"Are you sure you want to remove this item?","Sunteţi sigur că doriţi să ştergeţi acest produs?"
"SKU number","Cod produs"
"Upload File","Încarcă fișier"
"Your csv file must include ""sku"" and ""qty"" columns.","Fișierul csv trebuie să includă coloanele ""sku"" și ""qty""."
"Reset","Resetare"
"SKU: ","Cod produs: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Doar <span id=""%1_max_allowed"">%2</span> în stoc"
"Item","Produs"
"See price before order confirmation.","Vizualizare preț înaintea confirmării comenzii."
"What's this?","Ce este aceasta?"
"Incl. Tax","TVA inclus"
"Excl. Tax","Fără TVA"
"Edit item parameters","Modificați parametri articole"
"Edit","Editați"
"Remove item","Eliminare produs"
"Products Requiring Attention","Produse care necesită atenție"
"Add to Cart","Adăugați in coș"
"Sku","Cod produs"
"File","Fişier"
"File extensions allowed: .csv","Extensii de fișier permise: .csv"
"Add Row","Adaugă Rând"
"Remove Row","Elimină Rând"
"Add Products By SKU","Adaugă produse după Cod produs"
"Shopping Cart Management","Managementul coşului de cumpărături"
"View Shopping Cart","Vezi cosul de cumparaturi"
"View and modify Shopping Cart","Vizualizați și modificați coșul de cumpărături"
"Order by SKU Settings","Ordonare după setările SKU"
"Enable Order by SKU on My Account in Storefront","Activează comanda prin Cod produs pe contul meu în Magazin"
"Customer Groups","Grupuri clienți"
"Apply Coupon","Aplică cupon"
"Order by SKU Description","Ordonare după Descrierea Codului de produs"
"Display a Link to Loading a Spreadsheet","Afișează un link pentru încărcarea unei foi de calcul"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Definește dacă un link către contul meu &gt; Comanda dupa codul de produs va fi afișat pe widget"
"Link Text","Text link"
"The text of the link to the My Account &gt; Order by SKU page","Textul link-ului către contul meu &gt; Pagina comenzilor dupa cod produs"
"Load a list of SKUs","Încarcă o listă de coduri de produs"
"Order by SKU Template","Template Ordoneaza dupa cod produs"
"SKU not found in catalog.","SKU nu a fost găsit în catalog."
"This file needs to be in .csv format.","Acest fișier trebuie să fie în format .csv."
"This customer couldn't be found. Verify the customer and try again.","Acest client nu a putut fi găsit. Verificați clientul și încercați din nou."
"This store couldn't be found. Verify the store and try again.","Nu s-a putut găsi magazinul. Verificați magazinul și încercați din nou."
"An error occurred. For details, see the error log.","A apărut o eroare. Pentru detalii, verificati jurnalul de erori."
"Orders can only be completed in an active store. Verify the store and try again.","Comenzile pot fi finalizate numai într-un magazin activ. Verificați magazinul și încercați din nou."
"The ordered item needs to be loaded. Load the item and try again.","Articolul comandat trebuie încărcat. Încărcați articolul și încercați din nou."
"The quote item ID needs to be received. Set the ID and try again.","ID-ul elementului de ofertă trebuie să fie primit. Setați ID-ul și încercați din nou."
"The quote item needs to be loaded. Load the item and try again.","Articolul comandat trebuie încărcat. Încărcați articolul și încercați din nou."
"The wish list item ID needs to be received. Set the ID and try again.","ID-ul elementului de listă de dorințe trebuie să fie primit. Setați ID-ul și încercați din nou."
"The wish list item needs to be loaded. Load the item and try again.","Articolul din lista de dorinţe trebuie încărcat. Încărcați articolul și încercați din nou."
"The file is corrupt and can't be used.","Fişierul este corupt şi nu poate fi folosit."
