"Manage Shopping Cart","Менаџирај кошничка"
"You removed the items.","Ги избришавте овие продукти."
"You removed the item.","Го избришавте овој продукт."
"You added %1 to your shopping cart.","Додадовте %1 во вашата кошничка."
"You cannot add a product.","Неможете да додадете продукт."
"Order by SKU","Нарачка по SKU"
"The SKU was not found in the catalog.","SKU бројот не е пронајден во каталогот."
"Availability: Out of stock.","Залиха: Нема на залиха."
"We don't have as many of these as you want.","We don't have as many of these as you want."
"You can't add this many to your cart.","Не можете да додадете толку многу во вашата кошничка."
"You need to choose options for your item.","Морате да изберете опции за вашиот продукт."
"We can't add the item to your cart.","Неможеме да го додадеме продуктот во вашата кошничка."
"Please enter an actual number in the ""Qty"" field.","Ве молиме внесете број во полето."
"This product is assigned to another website.","Овој продукт е доделен на друга продавница."
"You can add only enabled products.","Можете да додадете само „вкличени“ продукти."
"You cannot upload this file.","Неможете да ја прикачете оваа датотека."
"The file is empty.","Датотеката е празна."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Немате внесено SKU број за продуктот. Ве молиме <a href=""%1"">кликнете овде</a> да внесете SKU број на продуктот/те."
"You have not entered a product SKU.","Немате внесено SKU број."
"We can't add a product to cart by id ""%1"".","Не можеме да го додадеме продуктот во кошничката по id ""%1""."
"Something went wrong while reordering this product.","Something went wrong while reordering this product."
"We can't find this wish list.","Неможеме да ја пронајдеме оваа листа со желби."
"You added %1 product to your shopping cart.","Додадовте %1продукт во вашата кошничка."
"You added %1 products to your shopping cart.","Додадовте %1 продукти во вашата кошничка."
"%1 product requires your attention.","%1 product requires your attention."
"%1 products require your attention.","%1 products require your attention."
"Yes, for Specified Customer Groups","Да, за дефинирани групи на купувачи"
"Yes, for Everyone","Да, за сите"
"No","Не"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","Please upload the file in .csv format."
"%1 item(s) need your attention.","%1 item(s) need your attention."
"Apply Coupon Code","Примени го кодот на купунот"
"Remove Coupon Code","Отстрани го кодот на купонот"
"Remove","Избриши"
"The coupon code ""%1"" is not valid.","Кодот на купонот ""%1"" не е валиден."
"Shopping Cart Items","Продукти во кошничка"
"Qty","Кол"
"Subtotal","Вкупно"
"Discount","Попуст"
"Row Subtotal","Row Subtotal"
"Action","Акција"
"No ordered items","Нема нарачани продукти"
"Total %1 product(s)","Вкупно %1 продукт/и"
"Subtotal:","Вкупно:"
"Please select","Ве молиме изберете"
"Move to Wish List","Додади во листа со желби"
"No item specified.","No item specified."
"Are you sure you want to remove this item?","Дали сте сигурни дека сакате да го отстраните овој продукт?"
"SKU number","SKU број"
"Upload File","Прикачи датотека"
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns."
"Reset","Ресетирај"
"SKU: ","SKU: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Само <span id=""%1_max_allowed"">%2</span> на залиха"
"Item","Продукт"
"See price before order confirmation.","Види цена пред потврда на нарачката."
"What's this?","Што е ова?"
"Incl. Tax","Со ДДВ"
"Excl. Tax","Без ДДВ"
"Edit item parameters","Edit item parameters"
"Edit","Измени"
"Remove item","Отстрани продукт"
"Products Requiring Attention","Products Requiring Attention"
"Add to Cart","Додади во кошничка"
"Sku","Sku"
"File","Датотека"
"File extensions allowed: .csv","File extensions allowed: .csv"
"Add Row","Add Row"
"Remove Row","Отстрани Ред"
"Add Products By SKU","Додади продукти по SKU"
"Shopping Cart Management","Менаџмент на кошничката"
"View Shopping Cart","Видете ја вашата кошничка"
"View and modify Shopping Cart","Видете и изменете ја кошничката"
"Order by SKU Settings","Order by SKU Settings"
"Enable Order by SKU on My Account in Storefront","Enable Order by SKU on My Account in Storefront"
"Customer Groups","Групи на купувачи"
"Apply Coupon","Примени купон"
"Order by SKU Description","Order by SKU Description"
"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text","Link Text"
"The text of the link to the My Account &gt; Order by SKU page","The text of the link to the My Account &gt; Order by SKU page"
"Load a list of SKUs","Load a list of SKUs"
"Order by SKU Template","Order by SKU Template"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
