"Manage Shopping Cart","נהל את עגלת הקניות"
"Availability: Out of stock.","זמינות: אזל מהמלאי."
"We don't have as many of these as you want.","הכמות המבוקשת אינה זמינה."
"You can't add this many to your cart.","אינך יכול להוסיף כמות כזאת אל העגלה שלך."
"You need to choose options for your item.","עליך לבחור את האפשרויות עבור הפריט שלך."
"We can't add the item to your cart.","איננו יכולים להוסיף את הפריט על העגלה שלך."
"Please enter an actual number in the ""Qty"" field.","הזינו את המספר הרצוי אל תוך השדה ""כמות""."
"This product is assigned to another website.","מוצר זה רשום לאתר אינטרנט אחר."
"You can add only enabled products.","באפשרותך להוסיף מוצרים פעילים בלבד."
"You cannot upload this file.","אתם לא יכולים להעלות קובץ."
"The file is empty.","הקובץ ריק."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","לא להזין מוצר ברקוד. אנא <a href=""%1""> לחץ כאן</a> כדי להוסיף מוצרים באמצעות ברקוד."
"You have not entered a product SKU.","לא להזין מוצר ברקוד."
"We can't add a product to cart by id ""%1"".","לא ניתן להוסיף מוצר לסל הקניות על-ידי id ""%1""."
"Something went wrong while reordering this product.","משהו השתבש בעת הסידור מחדש של מוצר הזה."
"We can't find this wish list.","איננו מוצאים את זה ברשימת המשאלות."
"You added %1 product to your shopping cart.","הוספת %1 המוצר לעגלת הקניות."
"You added %1 products to your shopping cart.","הוספת %1 מהמוצרים לסל הקניות שלך."
"%1 product requires your attention.","מוצר %1 דורש את תשומת לבך."
"%1 products require your attention.","%1 מוצרים דורשים את תשומת לבך."
"Yes, for Specified Customer Groups",". כן, עבור קבוצות הלקוחות המצויינים"
"Yes, for Everyone","כן, עבור כולם"
"No","לא"
"The file is corrupt.","The file is corrupt."
"Please upload the file in .csv format.","בבקשה להעלות את הקובץ בפורמט csv."
"%1 item(s) need your attention.","הפריט/ים %1 מצריך את תשומת לבכם."
"Apply Coupon Code","אשר את קוד הקופון"
"Remove Coupon Code","הסר קוד קופון"
"Remove","הסר"
"The coupon code ""%1"" is not valid.","קוד הקופון ""%1"" אינו תקין."
"Shopping Cart Items","פריטים בעגלת הקניות"
"Qty","כמות"
"Subtotal","סכום ביניים"
"Discount","הנחה"
"Row Subtotal","השורה של סכום ביניים"
"Action","פעולה"
"No ordered items","אין פריטים שהוזמנו"
"Total %1 product(s)","כל %1 מוצרים"
"Subtotal:","סך ביניים:"
"Please select","אנא בחר"
"Move to Wish List","העברה למועדפים"
"No item specified.","לא צויין פריט."
"Are you sure you want to remove this item?","האם אתה בטוח שברצונך להסיר פריט זה?"
"SKU number","מספר מק״ט"
"Upload File","העלה קובץ"
"Your csv file must include ""sku"" and ""qty"" columns.","בקובץ ה-csv עליך לכלול עמודות ""מק״ט"" ו- ""כמות""."
"Reset","איפוס"
"SKU: ","ברקוד: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","רק <span id=""%1_max_allowed"">%2</span>נותרו במלאי"
"Item","פריט"
"See price before order confirmation.","ראה מחיר לפני אישור ההזמנה."
"What's this?","מה זה?"
"Incl. Tax","כולל מס"
"Excl. Tax","למעט מס"
"Edit item parameters","עריכת אפשרויות הפריט"
"Edit","ערוך"
"Remove item","הסר פריט"
"Products Requiring Attention","מוצרים הדורשים תשומת לב"
"Add to Cart","הוסף לסל"
"Sku","ברקוד"
"File","קובץ"
"File extensions allowed: .csv","מותר סיומצ קבצים : csv"
"Add Row","הוסף שורה"
"Remove Row","הסר שורה"
"Add Products By SKU","להוסיף מוצרים באמצעות מק״ט"
"Shopping Cart Management","ניהול עגלת קניות"
"View Shopping Cart","הצג את עגלת הקניות"
"View and modify Shopping Cart","הצג ושנה את סל קניות"
"Order by SKU Settings","סדר לפי הגדרות מק״ט"
"Enable Order by SKU on My Account in Storefront","לאפשר סדר לפי מק״ט על החשבון שלי בתצוגת החנות"
"Customer Groups","קבוצות לקוחות"
"Apply Coupon","השתמש בקופון"
"Order by SKU Description","לפי תיאור מק״ט"
"Display a Link to Loading a Spreadsheet","הצג קישור לטעינת גיליון"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","מגדיר כאשר קישור אל החשבון שלי &gt; הזמנה מאת דף מק״ט יוצגו על הווידגט"
"Link Text","טקסט לקישור"
"The text of the link to the My Account &gt; Order by SKU page","הטקסט של הקישור לחשבון שלי &gt; סדר לפי דף מק״ט"
"Load a list of SKUs","טען את רשימת מק״טים"
"Order by SKU Template","סדר על-ידי תבנית מק״ט"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again."
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again."
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
