"Manage Shopping Cart","Керувати кошиком покупок"
"We can't add the item to your cart.","Ми не можемо додати позицію до вашого кошика."
"Please enter an actual number in the ""Qty"" field.","Будь ласка, введіть фактичне число у полі ""Кіл-ть""."
"This product is assigned to another website.","Цей товар назначений на інший веб-сайт."
"You can add only enabled products.","Ви можете додати тільки ввімкнені товари."
"You cannot upload this file.","Ви не можете завантажити цей файл."
"The file is empty.","Файл порожній."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Ви не ввели артикул товару. Будь ласка, <a href=""%1"">натисніть тут</a>, щоб додати товар(и) за артикулом."
"You have not entered a product SKU.","Ви не ввели артикул товару."
"We can't add a product to cart by id ""%1"".","Ми не в змозі додати до кошика товар за ідентифікатором ""%1""."
"Something went wrong while reordering this product.","Щось пішло не так під час повторного замовлення цього товару."
"We can't find this wish list.","Ми не можемо знайти цей список бажань."
"You added %1 product to your shopping cart.","Ви додали %1 товар до Вашого кошика покупок."
"You added %1 products to your shopping cart.","Ви додали %1 товари(ів) до Вашого кошика покупок."
"%1 product requires your attention.","%1 товар потребує Вашої уваги."
"%1 products require your attention.","%1 товари(ів) потребують Вашої уваги."
"Yes, for Specified Customer Groups","Так, для зазначених груп покупців"
"Yes, for Everyone","Так, для всіх"
"No","Ні"
"The file is corrupt.","Файл пошкоджено."
"Please upload the file in .csv format.","Будь ласка, завантажте файл у форматі .csv."
"%1 item(s) need your attention.","%1 позиція(ї) потребує(ють) Вашої уваги."
"Apply Coupon Code","Застосувати код купона"
"Remove Coupon Code","Вилучити код купона"
"Remove","Вилучити"
"The coupon code ""%1"" is not valid.","Код купона ""%1"" не є дійсним."
"Shopping Cart Items","Позиції кошика покупок"
"Qty","Кіл-ть"
"Subtotal","Проміжні підсумки"
"Discount","Знижка"
"Row Subtotal","Проміжний підсумок рядка"
"Action","Дія"
"No ordered items","Немає замовлених позицій"
"Total %1 product(s)","Загалом %1 товар(и/ів)"
"Subtotal:","Проміжний підсумок:"
"Please select","Будь ласка, виберіть"
"Move to Wish List","Перемістити до списку бажань"
"No item specified.","Не вказано жодної позиції."
"Are you sure you want to remove this item?","Ви впевнені, що хочете вилучити цю позицію?"
"SKU number","Номер артиклу"
"Upload File","Завантажити файл"
"Your csv file must include ""sku"" and ""qty"" columns.","Ваш csv-файл повинен містити стовпці ""артикул"" та ""к-сть""."
"Reset","Очистити"
"SKU: ","Артикул: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Тільки <span id=""%1_max_allowed"">%2</span> на складі"
"Item","Позиція"
"See price before order confirmation.","Перегляньте ціну перед підтвердженням замовлення."
"What's this?","Що це?"
"Incl. Tax","З податками"
"Excl. Tax","Викл. податки"
"Edit item parameters","Редегувати параметри позиції"
"Edit","Редагувати"
"Remove item","Видалити елемент"
"Products Requiring Attention","Товари, що потребують уваги"
"Add to Cart","Додати в кошик"
"Sku","Артикул"
"File","Файл"
"File extensions allowed: .csv","Дозволені розширення файлів: .csv"
"Add Row","Додати рядок"
"Remove Row","Вилучити рядок"
"Add Products By SKU","Додати товари за артикулом"
"Shopping Cart Management","Керування кошиком покупок"
"View Shopping Cart","Переглянути кошик покупок"
"View and modify Shopping Cart","Переглянути та змінити кошик покупок"
"Order by SKU Settings","Налаштування замовлень за артикулом"
"Enable Order by SKU on My Account in Storefront","Увімкнути замовлення за артикулом у Мій обліковий запис на Вітрині"
"Customer Groups","Групи Покупців"
"Apply Coupon","Застосувати купон"
"Order by SKU Description","Опис замовлення за артикулом"
"Display a Link to Loading a Spreadsheet","Показувати посилання на завантаження таблиці"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Визначає, чи буде посилання до Мій обліковий запис &gt; Сторінка замовлення за артикулом відображено на віджеті"
"Link Text","Текст посилання"
"The text of the link to the My Account &gt; Order by SKU page","Текст посилання до Мій обліковий запис &gt; Сторінка замовлення за артикулом"
"Load a list of SKUs","Завантажити список артикулів"
"Order by SKU Template","Шаблон замовлення за артикулом"
"SKU not found in catalog.","Артикул не знайдено в каталозі."
"This file needs to be in .csv format.","Цей файл має бути у .csv форматі."
"This customer couldn't be found. Verify the customer and try again.","Цей клієнт не знайдений. Перевірте клієнта і спробуйте ще раз."
"This store couldn't be found. Verify the store and try again.","Цей магазин не знайдений. Перевірте магазин і спробуйте ще раз."
"An error occurred. For details, see the error log.","Виникла помилка. Деталі дивіться в журналі помилок."
"Orders can only be completed in an active store. Verify the store and try again.","Замовлення можуть бути завершені тільки в активному магазині. Перевірте магазин і спробуйте ще раз."
"The ordered item needs to be loaded. Load the item and try again.","Замовлений товар повинен бути завантажений. Завантажте товар і спробуйте ще раз."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"The wish list item ID needs to be received. Set the ID and try again.","Елемент із список побажань повинен бути отриманий. Завантажте елемент і повторіть спробу."
"The wish list item needs to be loaded. Load the item and try again.","Елемент із списку побажань повинен бути завантажений. Завантажте елемент і повторіть спробу."
"The file is corrupt and can't be used.","The file is corrupt and can't be used."
