"Manage Shopping Cart","Ажурирање корпе са артиклима"
"You cannot upload this file.","Не можете да пошаљете ову датотеку."
"The file is empty.","Датотека је празна."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Нисте унели шифру производа. Молим <а хреф=""%1"">кликните овде</а> да бисте додали производ(е) шифри."
"You have not entered a product SKU.","Нисте унели шифру производа."
"We can't add a product to cart by id ""%1"".","Не можемо да додамо производ у корпу по Ид „%1”."
"Something went wrong while reordering this product.","Дошло је до грешке код пресортирања овог производа."
"We can't find this wish list.","Не можемо да ажурирамо листу жеља."
"You added %1 product to your shopping cart.","Додали сте %1 производ у вашу корпу за куповину."
"You added %1 products to your shopping cart.","Додали сте %1 производе у вашу корпу за куповину."
"%1 product requires your attention.","%1 производ захтева вашу пазњу."
"%1 products require your attention.","%1 производи захтевају вашу пазњу."
"Yes, for Specified Customer Groups","Да, за наведену групу купаца"
"Yes, for Everyone","Да, за све"
"No","Не"
"The file is corrupt.","Датотека је оштећена."
"Please upload the file in .csv format.","Молимо вас да пошаљете датотеку у .цсв формату."
"%1 item(s) need your attention.","%1 ставка(е) траже да обратите пажњу."
"Apply Coupon Code","Примени код купона"
"Remove Coupon Code","Уклоните код купона"
"Remove","Уклони"
"The coupon code ""%1"" is not valid.","Купон код „%1” није важећи."
"Shopping Cart Items","Артикли у колицима за куповину"
"Qty","Кол"
"Subtotal","Међузбир"
"Discount","Попуст"
"Row Subtotal","Ред међузбира"
"Action","Акција"
"No ordered items","Нема порућених артикала"
"Total %1 product(s)","Укупно %1 производ(а)"
"Subtotal:","Међузбир:"
"Please select","Изаберите"
"Move to Wish List","Пребаци у листу жеља"
"No item specified.","Нема означених ставки."
"Are you sure you want to remove this item?","Јесте ли сигурни да желите да уклоните овај артикал?"
"SKU number","Шифра"
"Upload File","Пошаљи датотеку"
"Your csv file must include ""sku"" and ""qty"" columns.","Ваша цсв датотека мора да садржи колоне ""ску"" и ""qтy""."
"Reset","Ресетовати"
"SKU: ","СКУ:"
"Only <span id=""%1_max_allowed"">%2</span> in stock","Само <спан ид=""%1_маx_аллоwед"">,%2</спан> на лагеру"
"Item","Артикал"
"See price before order confirmation.","Провери цену пре потврде наруђбине."
"What's this?","Што је ово?"
"Incl. Tax","Износ са ПДВ"
"Excl. Tax","Без пореза"
"Edit item parameters","Уређивање параметара артикала"
"Edit","Измени"
"Remove item","Уклони ставку"
"Products Requiring Attention","Производи који захтевају пазњу"
"Add to Cart","Додај у корпу"
"Sku","Шифра"
"File","Датотека"
"File extensions allowed: .csv","Дозвољена екстензија датотеке је: .цсв"
"Add Row","Додај ред"
"Remove Row","Уклани ред"
"Add Products By SKU","Додај производе по шифри"
"Shopping Cart Management","Куповина колица за управљање"
"View Shopping Cart","Отвори Корпу"
"View and modify Shopping Cart","Отвори и измени корпу"
"Order by SKU Settings","Подешавање наруџбе по шифри"
"Enable Order by SKU on My Account in Storefront","Омогући поруџбину по шифри за мој налог у излогу"
"Customer Groups","Групе купаца"
"Apply Coupon","Примени Купон"
"Order by SKU Description","Поруџбина по опису шифре"
"Display a Link to Loading a Spreadsheet","Приказивање везе за учитавање xлс табеле"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Дефинише да ли ће веза за Мој налог &гт; Поруџбина по шифри ће бити приказани на на виџету"
"Link Text","Линк текст"
"The text of the link to the My Account &gt; Order by SKU page","Линк за мој налог &гт; Поруџбина по шифри"
"Load a list of SKUs","Учитавање листе шифри"
"Order by SKU Template","Шаблон поруџбина по шифри"
"SKU not found in catalog.","СКУ није пронађен у каталогу."
"This file needs to be in .csv format.","Фајл мора бити у .цсв формату."
"This customer couldn't be found. Verify the customer and try again.","Овај корисник није пронађен. Верификујте корисника и пробајте поново."
"This store couldn't be found. Verify the store and try again.","Ова продавница није пронађена. Провери продавницу и покушај поново."
"An error occurred. For details, see the error log.","Дошло је до грешке. За детаље, проверите извештај грешака."
"Orders can only be completed in an active store. Verify the store and try again.","Поруџбине могу бити извршене само у активној продавници. Проверите продавницу и покушајте поново."
"The ordered item needs to be loaded. Load the item and try again.","Поручен артикал мора бити учитан. Учитај артикал и покушај поново."
"The quote item ID needs to be received. Set the ID and try again.","Наведени ИД артикла мора бити примљен. Постави ИД и покушај поново."
"The quote item needs to be loaded. Load the item and try again.","Наведени артикал мора бити учитан. Учитај артикал и покушај поново."
"The wish list item ID needs to be received. Set the ID and try again.","Артикал ИД са листе жеља мора бити учитан. Постави артикал ИД и покушај поново."
"The wish list item needs to be loaded. Load the item and try again.","Артикал са листе жеља мора бити учитан. Учитај артикал и покушај поново."
"The file is corrupt and can't be used.","Фајл је оштећен и не може се користити."
