"Manage Shopping Cart","จัดการตะกร้าสินค้า"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Sku","รหัสสินค้า"
"File","ไฟล์"
"File extensions allowed: .csv","ไฟล์ที่อนุญาต: .csv"
"Add Row","เพิ่มแถว"
"Remove Row","ลบแถว"
"Add Products By SKU","เพิ่มสินค้า ด้วย รหัสสินค้า"
"Shopping Cart Management","การจัดการ ตะกร้าสินค้า"
"View Shopping Cart","ดูตะกร้าสินค้า"
"View and modify Shopping Cart","ดูและปรับปรุงตะกร้าสินค้า"
"Order by SKU Settings","ตั้งค่า การจัดเรียงโดย รหัสสินค้า"
"Enable Order by SKU on My Account in Storefront","เปิดใช้งาน การสั่งซื้อด้วยรหัสสินค้า บน My Account ใน Storefront"
"Customer Groups","กลุ่มลูกค้า"
"Apply Coupon","ใช้รหัสคูปอง"
"Order by SKU Description","รายละเอียด การจัดเรียงโดย รหัสสินค้า"
"Display a Link to Loading a Spreadsheet","แสดงลิงก์เพื่อโหลดสเปรดชีต"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","กำหนดว่าจะเชื่อมโยงไปยังบัญชีของฉันหรือไม่ &gt; สั่งซื้อตามหน้า SKU จะแสดงบนวิดเจ็ต"
"Link Text","ข้อความลิงก์"
"The text of the link to the My Account &gt; Order by SKU page","ข้อความของลิงก์ไปยังบัญชีของฉัน &gt; สั่งซื้อโดยเพจ SKU"
"Load a list of SKUs","โหลดรายการ SKU"
"Order by SKU Template","เทมเพลต การจัดเรียงโดย รหัสสินค้า"
"SKU not found in catalog.","SKU not found in catalog."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"This customer couldn't be found. Verify the customer and try again.","ไม่พบลูกค้ารายนี้ ตรวจสอบลูกค้าและลองอีกครั้ง"
"This store couldn't be found. Verify the store and try again.","ไม่พบร้านค้านี้ ตรวจสอบร้านค้าและลองอีกครั้ง"
"An error occurred. For details, see the error log.","เกิดข้อผิดพลาด. สำหรับรายละเอียด โปรดดูบันทึกข้อผิดพลาด"
"Orders can only be completed in an active store. Verify the store and try again.","คำสั่งซื้อสามารถทำได้ในร้านค้าที่ใช้งานอยู่เท่านั้น ตรวจสอบร้านค้าและลองอีกครั้ง"
"The ordered item needs to be loaded. Load the item and try again.","ต้องโหลดรายการที่สั่งซื้อ โหลดรายการแล้วลองอีกครั้ง"
"The quote item ID needs to be received. Set the ID and try again.","ต้องได้รับรหัสรายการใบเสนอราคา ตั้งค่า ID แล้วลองอีกครั้ง"
"The quote item needs to be loaded. Load the item and try again.","ต้องโหลดรายการใบเสนอราคา โหลดรายการแล้วลองอีกครั้ง"
"The wish list item ID needs to be received. Set the ID and try again.","ต้องได้รับ ID รายการสินค้าที่ต้องการ ตั้งค่า ID แล้วลองอีกครั้ง"
"The wish list item needs to be loaded. Load the item and try again.","ต้องโหลดรายการสินค้าที่ต้องการ โหลดรายการแล้วลองอีกครั้ง"
"The file is corrupt and can't be used.","ไฟล์เสียหายและไม่สามารถใช้งานได้"
