"Downloadable Information","מידע להורדה"
"Browse Files...","עיון קבצים..."
"Delete","מחק"
"Add product preview files here.","הוסף קבצי תצוגה מקדימה המוצר כאן."
"SKU","מק''ט"
"U","U"
"Select all","בחר הכל"
"Unselect all","בטל בחירה של הכל"
"Availability","זמינות"
"In stock","במלאי"
"Out of stock","אזל מהמלאי"
"Go to <a href=""%1"">My Downloadable Products</a>","עבור ל-<a href=""%1""> מוצרים שלי להורדה</a>"
"Downloadable Products","מוצרים להורדה"
"Order #","# הזמנה"
"Date","תאריך"
"Status","סטטוס"
"Remaining Downloads","הורדת הנותרים"
"View Order","	הצג הזמנה"
"Start Download","התחל הורדה"
"You have not purchased any downloadable products yet.","עדיין לא רכשת כל המוצרים להורדה."
"Back","חזור"
"download","להורדה"
"Gift Message","הודעת מתנה"
"From:","מ:"
"To:","ל:"
"Message:","הודעה:"
"Product Name","שם מוצר"
"Qty","כמות"
"Subtotal","סכום ביניים"
"Discount Amount","סכום הנחה"
"Row Total","סה״כ השורה"
"Qty Invoiced","כמות שחויבה"
"Ordered","הוזמן"
"Shipped","נשלח"
"Canceled","בוטל"
"Refunded","זוכה"
"We could not detect a size.","לא הצלחנו לזהות את הגודל."
"Downloadable Product Section","אזור מוצר להורדה"
"Downloads","הורדות"
"Downloadable Product Options","אפשרויות המוצר להורדה"
"Order Item Status to Enable Downloads","סטטוס פריט ההזמנה כדי לאפשר הורדות"
"Default Maximum Number of Downloads","מספר הורדות המרבי המוגדר כברירת מחדל"
"Default Sample Title","כותרת ברירת מחדל לדוגמה"
"Default Link Title","ברירת מחדל של כותרת הקישור"
"Open Links in New Window","פתיחת הקישורים בחלון חדש"
"Use Content-Disposition","השתמש בתוכן ממוזג"
"Disable Guest Checkout if Cart Contains Downloadable Items","לבטל רכישת אורח אם העגלה מכילה פריטיפ להורדה"
"Guest checkout will only work with shareable.","רכישת אורח תופעל רק עם מוצרים משותפים."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
