"Downloadable Information","اطلاعات قابل دانلود"
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","لطفا لینک(های) محصول را مشخص نمایید."
"Sample file not provided","فایل نمونه ارائه نشده است"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","بله"
"No","خیر"
"Use config","استفاده از پیکربندی"
"Upload File","بارگذاری فایل"
"URL","URL"
"attachment","پیوست"
"inline","خط به خط"
"Pending","انتظار"
"Invoiced","فاکتور شده"
"To enable the option set the weight to no","برای فعالسازی، گزینه وزن را به خیر تغییر کنید"
"Is this downloadable Product?","این محصول قابل دانلود است؟"
"Links","لینک‌ ها"
"Title","عنوان"
"Links can be purchased separately","لینک‌ ها می‌ توانند جداگانه خریداری شوند"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","عدد و الفبایی، فاصله و زیرخط کاراکتر برای نام پرونده ها توصیه می شود. شخصیت های نامناسب با '_' جایگزین می شود."
"Add Link","افزودن لینک"
"Price","قيمت"
"File","فایل"
"Sample","نمونه"
"Shareable","قابل تسهیم"
"Max. Downloads","حداکثر دانلودها"
"Samples","نمونه ها"
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"sample","نمونه"
"Is this a downloadable Product?","این محصول قابل دانلود است؟"
"Add links to your product files here.","در اینجا لینک ها را به فایل های محصول خود اضافه کنید."
"[STORE VIEW]","[مشاهده فروشگاه]"
"[GLOBAL]","[سراسری]"
"Sort Order","ترتيب سفارش"
"Attach File or Enter Link","فایل را ضمیمه کرده یا لینک را وارد کنید"
"Sort Variations","مرتب سازی تنوع محصول"
"Browse Files...","مرور فایل های ..."
"Delete","حذف"
"Add product preview files here.","در اینجا فایل های پیش نمایش محصول را اضافه کنید."
"SKU","کد محصول"
"U","U"
"Select all","انتخاب همه"
"Unselect all","لغو انتخاب همه موارد"
"Availability","دسترسی"
"In stock","موجود"
"Out of stock","در انبار موجود نیست"
"Go to <a href=""%1"">My Downloadable Products</a>","به <a href=""<a href=""%1"">""> محصولات قابل دانلود من </a> برو"
"Downloadable Products","محصولات قابل دانلود"
"Order #","سفارش #"
"Date","تاریخ"
"Status","وضعيت"
"Remaining Downloads","دانلودهای باقی مانده"
"View Order","مشاهده‌ی سفارش"
"Start Download","شروع دانلود"
"You have not purchased any downloadable products yet.","شما هنوز هیچ محصول قابل دانلودی نخریده‌ اید."
"Back","بازگشت"
"download","دانلود"
"Gift Message","پيغام هديه"
"From:","از:"
"To:","به:"
"Message:","پیغام:"
"Product Name","نام محصول"
"Qty","تعداد"
"Subtotal","جمع جز"
"Discount Amount","مبلغ تخفیف"
"Row Total","جمع سطر"
"Qty Invoiced","تعداد فاکتور شده"
"Ordered","سفارش داده شده"
"Shipped","ارسال شده"
"Canceled","لغو شده"
"Refunded","مسترد"
"We could not detect a size.","ما نمی توانیم اندازه را تشخیص دهیم."
"Downloadable Product Section","بخش محصول قابل دانلود"
"Downloads","دانلودها"
"Downloadable Product Options","گزینه‌ های محصول قابل دانلود"
"Order Item Status to Enable Downloads","تغییر وضعیت محصول سفارش داده شده به فعالسازی دانلودها"
"Default Maximum Number of Downloads","حداکثر تعداد دانلودهای پیش فرض"
"Default Sample Title","عنوان نمونه پیش فرض"
"Default Link Title","عنوان لینک پیش فرض"
"Open Links in New Window","بازکردن لینک‌ ها در پنجره‌ جدید"
"Use Content-Disposition","استفاده از تغییر محتوا"
"Disable Guest Checkout if Cart Contains Downloadable Items","اگر سبد خرید شامل محصولات قابل دانلود بود، پرداخت نهایی به عنوان مهمان را غیرفعال کن"
"Guest checkout will only work with shareable.","پرداخت نهایی مهمان تنها با shareable کار خواهد کرد."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
