"Downloadable Information","Información Descargable"
"U","U"
"Select all","Seleccionar todo"
"Unselect all","Desmarcar todo"
"Availability","Disponibilidad"
"In stock","Disponible"
"Out of stock","No está disponible"
"Go to <a href=""%1"">My Downloadable Products</a>","Ir a <a href=""%1"">mis artículos descargables</a>"
"Downloadable Products","Productos descargables"
"Order #","Pedido nº "
"Date","Fecha"
"Status","Estatus"
"Remaining Downloads","Descargas restantes"
"View Order","Ver pedido"
"Start Download","Iniciar descarga"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"Back","Atrás"
"download","descarga"
"Gift Message","Mensaje regalo"
"From:","Desde:"
"To:","A:"
"Message:","Mensaje:"
"Product Name","Nombre del producto"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Discount Amount","Monto de descuento"
"Row Total","Fila total"
"Qty Invoiced","Cantidad facturada"
"Ordered","Pedidos"
"Shipped","Enviado"
"Canceled","Cancelado"
"Refunded","Reembolsado."
"We could not detect a size.","No hemos podido detectar un tamaño."
"Downloadable Product Section","Sección de artículos descargables"
"Downloads","Descargas"
"Downloadable Product Options","Opciones de artículo descargable"
"Order Item Status to Enable Downloads","Estado de artículo pedido para habilitar descargas"
"Default Maximum Number of Downloads","Número máximo de descargas (predeterminado)"
"Default Sample Title","Título de muestra (predeterminado)"
"Default Link Title","Título de enlace (predeterminado)"
"Open Links in New Window","Abrir enlaces en una nueva ventana"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deshabilitar la facturación para visitantes si el carrito contiene artículos descargables"
"Guest checkout will only work with shareable.","La facturación con visitantes sólo funcionará si se puede compartir."
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","The product needs to be the downloadable type. Verify the product and try again."
"The link information is invalid. Verify the link and try again.","The link information is invalid. Verify the link and try again."
"The link type is invalid. Verify and try again.","The link type is invalid. Verify and try again."
"The link title is empty. Enter the link title and try again.","The link title is empty. Enter the link title and try again."
"No downloadable link with the provided ID was found. Verify the ID and try again.","No downloadable link with the provided ID was found. Verify the ID and try again."
"The downloadable link isn't related to the product. Verify the link and try again.","The downloadable link isn't related to the product. Verify the link and try again."
"The link with ""%1"" ID can't be deleted.","The link with ""%1"" ID can't be deleted."
"The sample information is invalid. Verify the information and try again.","The sample information is invalid. Verify the information and try again."
"The sample type is invalid. Verify the sample type and try again.","The sample type is invalid. Verify the sample type and try again."
"The sample title is empty. Enter the title and try again.","The sample title is empty. Enter the title and try again."
"No downloadable sample with the provided ID was found. Verify the ID and try again.","No downloadable sample with the provided ID was found. Verify the ID and try again."
"The downloadable sample isn't related to the product. Verify the link and try again.","The downloadable sample isn't related to the product. Verify the link and try again."
"The sample with ""%1"" ID can't be deleted.","The sample with ""%1"" ID can't be deleted."
