"Save and Continue Edit","Запази и продължи редактиране"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","You've made changes into the shared catalog. If you leave this page now, the changes will be lost."
"The maximum allowed catalog name length is {0} characters.","The maximum allowed catalog name length is {0} characters."
"Conflicting row.","Conflicting row."
"Generate Catalog","Generate Catalog"
"products","products"
"Expand All","Разшири всичко"
"Collapse All","Разпадни всичко"
"of","от"
"included","included"
"Shared Catalog","Shared Catalog"
"Manage Shared Catalog","Manage Shared Catalog"
"Enable Shared Catalog","Enable Shared Catalog"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","To select No, please <a href=""%1"">create</a> the Public Catalog first."
"Use this field to change company's shared catalog","Use this field to change company's shared catalog"
"Group/Shared Catalog","Group/Shared Catalog"
"Product In Shared Catalogs","Product In Shared Catalogs"
"Change Catalog?","Change Catalog?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?"
"Assign Catalog","Assign Catalog"
"Unassign Catalog","Unassign Catalog"
"ID","ИД"
"Company","Фирма"
"Country","Държава"
"State/Province","Област / Провинция"
"Assigned","Възложен"
"Catalog","Каталог"
"Action","Действие"
"Shared Catalog Information","Shared Catalog Information"
"Catalog Details","Catalog Details"
"Public Catalog Already Exists","Public Catalog Already Exists"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog."
"Change Catalog Type?","Change Catalog Type?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
"Add Shared Catalog","Add Shared Catalog"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","This action cannot be undone. Are you sure you want to delete this catalog(s)?"
"Delete items","Изтрий артикулите"
"Name","Име"
"Type","Тип"
"Created At","Създаден на"
"Created By","Created By"
"Select","Избери"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","Set Discount"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","Кат. номер"
"Websites","Уеб сайтове"
"Cost","Стойност"
"MSRP","MSRP"
"Price","Цена"
"Custom Price","Потребителска цена"
"New Price","New Price"
"Tax Class","Вид ДДС"
"All Store Views","Изгледи на всички магазини"
"Store View","Изглед на магазина"
"Thumbnail","Миниатюра"
"Attribute Set","Групи атрибути"
"Visibility","Видимост"
"Status","Статус"
"tier_price_form","tier_price_form"
"Add Price","Добави цена"
"Website","Уебсайт"
"Quantity","Количество: "
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
