"Save and Continue Edit","保存して編集を続ける"
"Assign Companies","会社を割り当てる"
"General Settings","全般設定"
"Delete ""${ $.$data.name }""","""${ $.$data.name }"" を削除"
"Catalog and Tier Price","カタログと段階的価格"
"Group or Catalog","グループもしくはカタログ"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","ストアフロントで共有カタログを使用するには、Stores -> Configuration -> B2B Features で 
         <a href=""%1"" data-role=""notification-dialog"">共有カタログ</a>機能を有効にする必要があります。
        そうでなければ、共有カタログで設定しているカテゴリと商品は 
        顧客に限定されません。"
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","ストアフロントで共有カタログを使用するには、Stores -> Configuration -> B2B Features で 
    共有カタログ機能を有効にする必要があります。そうでなければ、共有カタログで設定している     カテゴリと商品は顧客に限定されません。"
"Next","次"
"Edit Configurations","設定の編集"
"Products in Catalog","カタログの商品"
"Continue to configure the shared catalog structure and pricing.","引き続き共有カタログと価格を設定します。"
"Store:","店舗:"
"Step 2: Set Custom Prices","ステップ 2: カスタム価格を設定"
"Step 1: Select Products for Catalog","ステップ 1: カタログの商品を選択"
"Website:","ウェブサイト:"
"Proceed","続行"
"Select All","全て選択"
"Deselect All","全ての選択を外す"
"Assign","割り当て"
"Unassign","未割り当て"
"Fixed","固定"
"Discount","値引き"
"Apply","適用"
"Proceed to Store Configuration?","ストア設定に進みますか？"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","共有カタログを変更しました。 今すぐこのページを離れると、変更内容は失われます。"
"The maximum allowed catalog name length is {0} characters.","使用できるカタログ名の最大長は {0} 文字です。"
"Conflicting row.","競合する行"
"Generate Catalog","カタログを生成する"
"products","商品"
"Expand All","すべて展開する"
"Collapse All","すべて折りたたむ"
"of","の"
"included","含む"
"Shared Catalog","共有カタログ"
"Manage Shared Catalog","共有カタログの管理"
"Enable Shared Catalog","共有カタログを有効にする"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","いいえを選択するには、最初に公開カタログを<a href=""%1"">作成</a>してください。"
"Use this field to change company's shared catalog","会社の共有カタログを変更するにはこのフィールドを使用して下さい"
"Group/Shared Catalog","グループ/共有カタログ"
"Product In Shared Catalogs","共有カタログ内の商品"
"Change Catalog?","カタログを変更しますか？"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","選択した会社はすでに別の共有カタログを使用しています。 この操作により、選択した会社の共有カタログが変更されます。 続行しますか？"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","選択した会社は、現在の共有カタログからリンクが解除され、デフォルトの公開カタログにリンクされます。 続行しますか？"
"Assign Catalog","カタログを割り当て"
"Unassign Catalog","カタログをアサインから外す"
"ID","ID"
"Company","会社名"
"Country","国"
"State/Province","都道府県"
"Assigned","アサイン済"
"Catalog","カタログ"
"Action","アクション"
"Shared Catalog Information","共有カタログ情報"
"Catalog Details","カタログの詳細"
"Public Catalog Already Exists","公開カタログはすでに存在します"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","公開共有カタログがすでに存在します。 続行すると、既存の公開共有カタログがカスタムカタログに変換されます。 既存の公開共有カタログで定義されているすべての会社は、新しい公開共有カタログに割り当てられます。"
"Change Catalog Type?","カタログタイプを変更しますか？"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","公開共有カタログがすでに存在します。 続行すると、既存の公開共有カタログがカスタムカタログに変換されます。 既存の公開共有カタログで定義されているすべての会社は、新しい公開共有カタログに再び割り当てられます。"
"Add Shared Catalog","共有カタログを追加"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","このアクションは取り消せません。このカタログを削除してもよろしいですか？"
"Delete items","商品削除"
"Name","名前"
"Type","種別"
"Created At","作成日"
"Created By","作成者"
"Select","選択"
"discount-prompt","割引プロンプト"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","この割引は、選択したすべての商品に適用されます。 カスタム価格タイプは「割引」に設定されます。"
"Set Discount","値引きを設定する"
"adjust-prices-prompt","価格調整プロンプト"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","この割引は、選択したすべての商品に適用されます。 カスタム価格タイプは「固定」に設定されます。"
"Adjust Fixed Price","固定価格を調整する"
"SKU","商品番号"
"Websites","ウェブサイト"
"Cost","原価"
"MSRP","メーカーの希望小売価格"
"Price","価格"
"Custom Price","カスタム価格"
"New Price","新しい価格"
"Tax Class","税区分"
"All Store Views","全てのストアビュー"
"Store View","ストアビュー"
"Thumbnail","サムネイル"
"Attribute Set","属性セット"
"Visibility","表示"
"Status","ステータス"
"tier_price_form","tier_price_form"
"Add Price","価格追加"
"Website","ウェブサイト"
"Quantity","個数"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","いいえを選択するには、最初に公開カタログを<a href=""%s"">作成</a>してください。"
