"Save and Continue Edit","Speichern und weiter bearbeiten"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
"Add Shared Catalog","Add Shared Catalog"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","This action cannot be undone. Are you sure you want to delete this catalog(s)?"
"Delete items","Elemente löschen"
"Name","Name"
"Type","Typ"
"Created At","Erstellt am"
"Created By","Created By"
"Select","Auswählen"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","Set Discount"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","Artikelnummer"
"Websites","Webseiten"
"Cost","Einkaufspreis"
"MSRP","MSRP"
"Price","Preis"
"Custom Price","Sonderpreis"
"New Price","New Price"
"Tax Class","Steuerklasse"
"All Store Views","Alle Store Views"
"Store View","Store View"
"Thumbnail","Vorschaubild"
"Attribute Set","Attribut-Set"
"Visibility","Sichtbarkeit"
"Status","Status"
"tier_price_form","tier_price_form"
"Add Price","Preis hinzufügen"
"Website","Webseite"
"Quantity","Menge"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","Um Nein auszuwählen, <a href=""%s"">erstellen Sie bitte zuerst den öffentlichen Katalog</a>."
