"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","You've made changes into the shared catalog. If you leave this page now, the changes will be lost."
"The maximum allowed catalog name length is {0} characters.","The maximum allowed catalog name length is {0} characters."
"Conflicting row.","Conflicting row."
"Generate Catalog","Δημιουργία Καταλόγου"
"products","προϊόντα"
"Expand All","Ανάπτυξη όλων"
"Collapse All","Σύμπτυξη όλων"
"of","από"
"included","περιλαμβάνεται"
"Shared Catalog","Κατάλογος Κοινής Χρήσης"
"Manage Shared Catalog","Διαχείριση Καταλόγου Κοινής Χρήσης"
"Enable Shared Catalog","Ενεργοποίηση Καταλόγου Κοινής Χρήσης"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","To select No, please <a href=""%1"">create</a> the Public Catalog first."
"Use this field to change company's shared catalog","Use this field to change company's shared catalog"
"Group/Shared Catalog","Κατάλογος Ομάδας/Κοινής Χρήσης"
"Product In Shared Catalogs","Προϊόν σε Καταλόγους Κοινής Χρήσης"
"Change Catalog?","Αλλαγή Καταλόγου;"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?"
"Assign Catalog","Συσχέτιση Καταλόγου"
"Unassign Catalog","Αποσυσχέτιση Καταλόγου"
"ID","ID"
"Company","Εταιρία"
"Country","Χώρα"
"State/Province","Νομός/επαρχία"
"Assigned","Ανατεθειμένο"
"Catalog","Κατάλογος"
"Action","Ενέργεια"
"Shared Catalog Information","Πληροφορίες Καταλόγου Κοινής Χρήσης"
"Catalog Details","Λεπτομέρειες Καταλόγου"
"Public Catalog Already Exists","Public Catalog Already Exists"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog."
"Change Catalog Type?","Αλλαγή Τύπου Καταλόγου;"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
"Add Shared Catalog","Προσθήκη Καταλόγου Κοινής Χρήσης"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","This action cannot be undone. Are you sure you want to delete this catalog(s)?"
"Delete items","Διαγραφή αντικειμένων"
"Name","Όνομα"
"Type","Τύπος"
"Created At","Δημιουργήθηκε στις"
"Created By","Δημιουργήθηκε Από"
"Select","Επιλογή"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","This discount will be applied to all selected products. The custom price type will be set to 'Discount'."
"Set Discount","Καθορισμός Έκπτωσης"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Adjust Fixed Price"
"SKU","Κωδικός"
"Websites","Ιστοσελίδες"
"Cost","Κόστος"
"MSRP","MSRP"
"Price","Τιμή"
"Custom Price","Προσαρμοσμένη Τιμή"
"New Price","Νέα Τιμή"
"Tax Class","Φορολογική κλάση"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"Store View","Προβολή Καταστήματος"
"Thumbnail","Μικρογραφία"
"Attribute Set","Σύνολο χαρακτηριστικών"
"Visibility","Ορατότητα"
"Status","Κατάσταση"
"tier_price_form","tier_price_form"
"Add Price","Προσθήκη τιμής"
"Website","Ιστοσελίδα"
"Quantity","Ποσότητα"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
