"Save and Continue Edit","Guardar y continuar editando"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","Debe habilitar la característica de</a> <a href=""%1"" data-role=""notification-dialog"">Catálogo compartido en 
        tiendas-> configuración-> características de B2B para usar los catálogos compartidos en el escaparate.
        lo contrario, las categorías y productos que está configurando en catálogos compartidos voluntad 
        no es restringido a los clientes."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","Debe habilitar la característica de Catálogo compartido en         tiendas-> configuración-> características de B2B para usar los catálogos compartidos en el escaparate.
        lo contrario, las categorías y productos que está configurando en catálogos compartidos voluntad 
        no es restringido a los clientes."
"Next","Siguiente"
"Edit Configurations","Editar las configuraciones"
"Products in Catalog","Productos en Catalogo"
"Continue to configure the shared catalog structure and pricing.","Continuar con la configuración de precios y estructura del catalogo compartido."
"Store:","Tienda:"
"Step 2: Set Custom Prices","Paso 2: Poner precios personalizados"
"Step 1: Select Products for Catalog","Paso 1: Seleccionar Productos para el catalogo"
"Website:","Página web:"
"Proceed","Proceder"
"Select All","Seleccionar Todo"
"Deselect All","Anular todas las selecciones"
"Assign","Asignar"
"Unassign","Sin asignar"
"Fixed","Fijo"
"Discount","Descuento"
"Apply","Aplicar"
"Proceed to Store Configuration?","¿Proceder a almacenar configuración?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","Has realizado cambios en el catálogo compartido. Si abandonas esta página ahora, los cambios se perderán."
"The maximum allowed catalog name length is {0} characters.","La longitud máxima permitida del nombre del catálogo es de {0} caracteres."
"Conflicting row.","Fila conflictiva."
"Generate Catalog","Generar catalogo"
"products","productos"
"Expand All","Abrir todos"
"Collapse All","Contraer todo"
"of","de"
"included","incluido"
"Shared Catalog","Catálogo compartido"
"Manage Shared Catalog","Gestionar catálogo compartido"
"Enable Shared Catalog","Habilitar catálogo compartido"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","Para seleccionar No, primero <a href=""%1"">cree</a> el Catálogo público."
"Use this field to change company's shared catalog","Utilice este campo para cambiar el catálogo compartido de la empresa"
"Group/Shared Catalog","Grupo/Catálogo Compartido"
"Product In Shared Catalogs","Producto en catálogos compartidos"
"Change Catalog?","¿Cambiar catálogo?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","Las empresas seleccionadas ya están utilizando un catálogo compartido diferente. Esta acción cambiará un catálogo compartido para las empresas seleccionadas. ¿Te gustaría continuar?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","Las compañías seleccionadas se desvincularán del catálogo compartido actual y se vincularán al catálogo público predeterminado. ¿Te gustaría continuar?"
"Assign Catalog","Asignar Catálogo"
"Unassign Catalog","Desasignar Catálogo"
"ID","Número de Identificación (ID)"
"Company","Empresa"
"Country","País"
"State/Province","Estado/provincia"
"Assigned","Asignado"
"Catalog","Catálogo"
"Action","Acción"
"Shared Catalog Information","Información compartida del catálogo"
"Catalog Details","Detalles del catalogo"
"Public Catalog Already Exists","Ya existe el catálogo público"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","Ya existe un catálogo público compartido. Si continúa, el catálogo compartido público existente se convertirá en un catálogo personalizado. Todas las empresas definidas en el catálogo público compartido existente se asignarán al nuevo catálogo público compartido."
"Change Catalog Type?","¿Cambiar tipo de catálogo?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","Ya existe un catálogo público compartido. Si continúa, el catálogo compartido público existente se convertirá en un catálogo personalizado. Todas las empresas definidas en el catálogo público compartido existente se reasignarán al nuevo catálogo público compartido."
"Add Shared Catalog","Añadir Catálogo Compartido"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","Esta acción no se puede deshacer. ¿Está seguro de que desea eliminar este catálogo(s)?"
"Delete items","Eliminar elementos"
"Name","Nombre"
"Type","Tipo"
"Created At","Creado en"
"Created By","Creado Por"
"Select","Seleccionar"
"discount-prompt","descuento-sugerido"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","Este descuento se aplicará a todos los productos seleccionados. El tipo de precio personalizado se establecerá en ""Descuento""."
"Set Discount","Establecer Descuento"
"adjust-prices-prompt","ajustar-precios-sugeridos"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","Este descuento se aplicará a todos los productos seleccionados. El tipo de precio personalizado se establecerá en 'Fijo'."
"Adjust Fixed Price","Ajustar Precio Fijo"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Websites","Sitios web"
"Cost","Coste"
"MSRP","PVP:"
"Price","Precio"
"Custom Price","Precio personalizado"
"New Price","Nuevo precio"
"Tax Class","Grupo de tributación"
"All Store Views","Todas las vistas de la tienda"
"Store View","Vista de la tienda"
"Thumbnail","Miniatura"
"Attribute Set","Conjunto de atributos"
"Visibility","Visibilidad"
"Status","Estatus"
"tier_price_form","tier_price_form"
"Add Price","Agregar precio"
"Website","Página web"
"Quantity","Cantidad"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","Para seleccionar No, primero <a href=""%s"">cree</a> el Catálogo público."
