"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Cannot load product items for shared catalog","Nie można załadować pozycji produktów dla udostępnionego katalogu"
"Could not save ProductItem","Nie można zapisać elementu ProductItem"
"Cannot delete product with id %1","Nie można usunąć produktu o id %1"
"Invalid value of ""%value"" provided for the %fieldName field.","Nieprawidłowa wartość ""%value"" przewidziana polu %fieldname."
"Cannot delete shared catalog with id %1","Nie można usunąć katalogu współdzielonego o id %1"
"Permission with the same scope","Uprawnienie o tym samym zakresie"
"Assign Categories to Shared Catalog","Przypisywanie kategorii do katalogu współdzielonego"
"Something went wrong while scheduling operations.","Coś poszło nie tak podczas planowania operacji."
"Sorry, something went wrong during product prices update. Please see log for details.","Przepraszamy, coś poszło nie tak podczas aktualizacji cen produktów. Szczegółowe informacje można znaleźć w dzienniku."
"Assign custom prices to selected products","Przypisywanie niestandardowych cen do wybranych produktów"
"Something went wrong while processing the request.","Coś się zepsuło podczas przetwarzania żądania."
"Could not save shared catalog.","Nie można zapisać udostępnionego katalogu."
"Custom","Niestandardowe"
"Public","Publiczny"
"You must enable category permissions for the following products: %skus.","Należy włączyć uprawnienia kategorii dla następujących produktów: %skus."
"Requested product doesn't exist: %sku.","Żądany produkt nie istnieje: %sku."
"No such shared catalog entity","Brak takiej jednostki katalogu współdzielonego"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","Nie można przekonwertować katalogu publicznego na katalog niestandardowy. Jeśli chcesz zastąpić ten katalog publiczny, utwórz katalog niestandardowy, a następnie zmień jego typ na publiczny."
"Requested Shared Catalog is not found","Żądany katalog współdzielony nie został znaleziony"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","Nie można usunąć katalogu (id:%1), ponieważ jest to katalog publiczny. Przed usunięciem tego katalogu należy utworzyć nowy katalog publiczny."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Nie można utworzyć katalogu współdzielonego, ponieważ brakuje pewnych informacji. Upewnij się, że podałeś identyfikator grupy sklepów, nazwę i klasę podatkową."
"The maximum allowed catalog name length is %1 characters.","Maksymalna dozwolona długość nazwy katalogu wynosi %1 znaków."
"A catalog named %catalogName already exists. Please select a different name.","Katalog o nazwie %catalogName już istnieje. Wybierz inną nazwę."
"You cannot change the customer group for a shared catalog.","Nie można zmienić grupy klientów dla katalogu udostępnionego."
"Yes","Tak"
"No","Nie"
"Configure","Konfiguruj"
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Aby kontynuować, należy <a href=""%1"">utworzyć co najmniej publiczny katalog współdzielony</a>."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","Katalog udostępniony jest powiązany z tą grupą klientów. Przed usunięciem tej grupy klientów należy usunąć katalog udostępniony."
"Requested product doesn't exist: %1.","Żądany produkt nie istnieje: %1."
"error","błąd"
"Exception","Wyjątek"
"Exception message","Komunikat o wyjątku"
"test","test"
"exception message","komunikat wyjątku"
"Some internal exception message.","Jakiś wewnętrzny komunikat wyjątku."
"exception","wyjątek"
"Exception Message","Komunikat o wyjątku"
"All Websites","Wszystkie witryny"
"Website 3","Strona 3"
"Website 1","Strona 1"
"Set Pricing and Structure","Ustalanie cen i struktury"
"Assign Companies","Przypisywanie firm"
"General Settings","Ustawienia ogólne"
"Delete ""${ $.$data.name }""","Usuń ""${ $.$data.name }"""
"Catalog and Tier Price","Katalog i cena poziomu"
"Group or Catalog","Grupa lub katalog"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","Musisz włączyć funkcję <a href=""%1"" data-role=""notification-dialog"">współdzielonego katalogu</a> w sekcji
        Sklepy -> Konfiguracja -> Funkcje B2B, aby korzystać z udostępnionych katalogów w witrynie sklepu.
        W przeciwnym razie kategorie i produkty konfigurowane we współdzielonych katalogach nie będą dostępne dla klientów.
        nie będą ograniczone do klientów."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","Aby korzystać ze współdzielonych katalogów w witrynie sklepu, należy włączyć funkcję współdzielonych katalogów w obszarze Sklepy -> Konfiguracja -> Funkcje B2B
    aby korzystać z udostępnionych katalogów w witrynie sklepu. W przeciwnym razie kategorie i produkty skonfigurowane w katalogach
    konfigurowane we współdzielonych katalogach nie będą ograniczone do klientów."
"Next","Następne"
"Edit Configurations","Edytuj konfigurację"
"Products in Catalog","Produkty w katalogu"
"Continue to configure the shared catalog structure and pricing.","Kontynuuj konfigurację struktury katalogu współdzielonego i cennika."
"Store:","Sklep:"
"Step 2: Set Custom Prices","Krok 2: Ustaw ceny niestandardowe"
"Step 1: Select Products for Catalog","Krok 1: Wybór produktów do katalogu"
"Website:","Strona internetowa:"
"Proceed","Kontynuować"
"Select All","Zaznacz wszystko"
"Deselect All","Odznacz wszystko"
"Assign","Przyporządkuj"
"Unassign","Odepnij"
"Fixed","Stały"
"Discount","Zniżka"
"Apply","Zastosuj"
"Proceed to Store Configuration?","Przejść do konfiguracji sklepu?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","Wprowadzono zmiany w katalogu udostępnionym. Jeśli teraz opuścisz tę stronę, zmiany zostaną utracone."
"The maximum allowed catalog name length is {0} characters.","Maksymalna dozwolona długość nazwy katalogu wynosi {0} znaków."
"Conflicting row.","Sprzeczny rząd."
"Generate Catalog","Generowanie katalogu"
"products","produkty"
"Expand All","Rozwiń wszystko"
"Collapse All","Zwiń wszystko"
"of","z"
"included","w zestawie"
"Shared Catalog","Udostępniony katalog"
"Manage Shared Catalog","Zarządzanie udostępnionym katalogiem"
"Enable Shared Catalog","Włącz katalog współdzielony"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","Aby wybrać opcję Nie, należy najpierw <a href=""%1"">utworzyć katalog publiczny</a>."
"Use this field to change company's shared catalog","Użyj tego pola, aby zmienić udostępniony katalog firmy"
"Group/Shared Catalog","Grupa/współdzielony katalog"
"Product In Shared Catalogs","Produkt w udostępnionych katalogach"
"Change Catalog?","Zmienić katalog?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","Wybrane firmy korzystają już z innego katalogu współdzielonego. Ta akcja spowoduje zmianę katalogu współdzielonego dla wybranych firm. Czy chcesz kontynuować?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","Wybrane firmy zostaną odłączone od bieżącego katalogu współdzielonego i połączone z domyślnym katalogiem publicznym. Czy chcesz kontynuować?"
"Assign Catalog","Przypisz katalog"
"Unassign Catalog","Nieprzypisany katalog"
"ID","Identyfikator"
"Company","Firma"
"Country","Kraj"
"State/Province","Województwo"
"Assigned","Przypisany"
"Catalog","Katalog"
"Action","Operacja"
"Shared Catalog Information","Udostępnione informacje katalogowe"
"Catalog Details","Szczegóły katalogu"
"Public Catalog Already Exists","Katalog publiczny już istnieje"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","Publiczny katalog współdzielony już istnieje. Jeśli kontynuujesz, istniejący publiczny katalog współdzielony zostanie przekonwertowany na katalog niestandardowy. Wszystkie firmy zdefiniowane w istniejącym publicznym katalogu współdzielonym zostaną przypisane do nowego publicznego katalogu współdzielonego."
"Change Catalog Type?","Zmienić typ katalogu?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","Publiczny katalog współdzielony już istnieje. W przypadku kontynuowania istniejący publiczny katalog współdzielony zostanie przekonwertowany na katalog niestandardowy. Wszystkie firmy zdefiniowane w istniejącym publicznym katalogu współdzielonym zostaną ponownie przypisane do nowego publicznego katalogu współdzielonego."
"Add Shared Catalog","Dodaj udostępniony katalog"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","Tej czynności nie można cofnąć. Czy na pewno chcesz usunąć te katalogi?"
"Delete items","Usuń pozycje"
"Name","Nazwa"
"Type","Rodzaj"
"Created At","Utworzono"
"Created By","Utworzony przez"
"Select","Wybierz"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","Rabat ten zostanie zastosowany do wszystkich wybranych produktów. Niestandardowy typ ceny zostanie ustawiony na ""Rabat""."
"Set Discount","Zestaw zniżek"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","Rabat ten zostanie zastosowany do wszystkich wybranych produktów. Niestandardowy typ ceny zostanie ustawiony na ""Stały""."
"Adjust Fixed Price","Dostosowanie stałej ceny"
"SKU","SKU"
"Websites","Witryny"
"Cost","Koszt"
"MSRP","SUGEROWANA CENA DETALICZNA"
"Price","Cena"
"Custom Price","Niestandardowa cena"
"New Price","Nowa cena"
"Tax Class","Klasa podatku"
"All Store Views","Wszystkie widoki sklepu"
"Store View","Widok sklepu"
"Thumbnail","Miniatura"
"Attribute Set","Zestaw cech"
"Visibility","Widoczność"
"Status","Stan"
"tier_price_form","tier_price_form"
"Add Price","Dodaj cenę"
"Website","Witryna"
"Quantity","Ilość"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","Aby wybrać opcję Nie, należy najpierw <a href=""%s"">utworzyć katalog publiczny</a>."
