"Save and Continue Edit","Salva e continua modifica"
"Cannot delete shared catalog with id %1","Impossibile eliminare il catalogo condiviso con id %1"
"Permission with the same scope","Permessi dello stesso ambito"
"Assign Categories to Shared Catalog","Assegnare Categorie al Catalogo Condiviso"
"Something went wrong while scheduling operations.","Qualcosa è andato storto durante la programmazione delle operazioni."
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"Assign custom prices to selected products","Assegna prezzi personalizzati ai prodotti selezionati"
"Something went wrong while processing the request.","Qualcosa è andato storto durante l'elaborazione della richiesta."
"Could not save shared catalog.","Could not save shared catalog."
"Custom","Personalizzato"
"Public","Pubblico"
"You must enable category permissions for the following products: %skus.","È necessario abilitare le autorizzazioni di categoria per i seguenti prodotti: %skus."
"Requested product doesn't exist: %sku.","Il prodotto richiesto non esiste: %sku."
"No such shared catalog entity","Nessun catalogo pubblico"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","Non puoi convertire un catalogo pubblico in uno privato. Se hai bisogno di sostituire il catalogo pubblico, crea un catalogo personalizzato, poi cambia il suo tipo in pubblico."
"Requested Shared Catalog is not found","Il Catalogo Condiviso richiesto non è stato trovato"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","Il Catalogo (id:%1) non può essere eliminato perché è un catalogo pubblico. Devi creare un nuovo catalogo pubblico prima di poter eliminare questo."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Non è possibile creare il catalogo pubblico perché alcune informazioni sono assenti. Per favore assicurati di aver fornito Gruppo ID dello store, Nome e Classe di Tassazione."
"The maximum allowed catalog name length is %1 characters.","La dimensione massima di caratteri utilizzabile nel nome del catalogo è %1."
"A catalog named %catalogName already exists. Please select a different name.","Esiste già un catalogo di nome %catalogName. Per favore seleziona un nome differente."
"You cannot change the customer group for a shared catalog.","Non puoi cambiare il gruppo utente per di un catalogo condiviso."
"Yes","Sì"
"No","No"
"Configure","Configura"
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Per favore <a href=""%1"">crea</a> almeno un catalogo pubblico per poter procedere."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","Un catalogo pubblico è collegato a questo grupp cliente. Devi eliminare il catalogo pubblico prima di poter eliminare questo gruppo cliente."
"Requested product doesn't exist: %1.","Il prodotto richiesto non esiste: %1."
"error","errore"
"Exception","Exception"
"Exception message","Exception message"
"test","test"
"exception message","exception message"
"Some internal exception message.","Qualche messaggio di eccezione interno."
"exception","eccezione"
"Exception Message","Messaggio di eccezione"
"All Websites","Tutti i Website"
"Website 3","Website 3"
"Website 1","Website 1"
"Set Pricing and Structure","Imposta prezzo e Struttura"
"Assign Companies","Assegna Aziende"
"General Settings","Impostazioni Generali"
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Catalog and Tier Price","Catalogo e Scaglioni di Prezzo"
"Group or Catalog","Gruppo e Catalogo"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","Devi abilitare il <a href=""%1"" data-role=""notification-dialog"">catalogo condiviso</a> Dentro 
        Negozi -> Configurazioni -> Funzioni B2B per usare il catalogo condiviso sullo storefront.
        Altrimenti, le categorie ed i prodotti che stai configurando nel catalogo condiviso non 
        saranno limitati ai clienti."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","Devi abilitare il catalogo condiviso Dentro Negozi -> Configurazioni -> Funzioni B2B 
    per usare il catalogo condiviso sullo storefront. Altrimenti, le categorie ed i prodotti che stai  
    configurando nel catalogo condiviso non saranno limitati ai clienti."
"Next","Successivo"
"Edit Configurations","Modifica configurazioni"
"Products in Catalog","Prodotti nel catalogo"
"Continue to configure the shared catalog structure and pricing.","Continua a configurare la struttura del catalogo condiviso e i prezzi."
"Store:","Negozio:"
"Step 2: Set Custom Prices","Passaggio 2: Imposta Prezzi Personalizzati"
"Step 1: Select Products for Catalog","Passaggio 1: Seleziona Prodotti del Catalogo"
"Website:","Sito Web:"
"Proceed","Procedi"
"Select All","Seleziona tutto"
"Deselect All","Deseleziona tutto"
"Assign","Assegna"
"Unassign","Non assegnato"
"Fixed","Fisso"
"Discount","Sconto"
"Apply","Applica"
"Proceed to Store Configuration?","Procedere alle configurazioni del Negozio?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","Hai apportato modifiche a questo catalogo condiviso. Se abbandoni la pagina ora, le modifiche andranno perse."
"The maximum allowed catalog name length is {0} characters.","The maximum allowed catalog name length is {0} characters."
"Conflicting row.","Riga in conflitto."
"Generate Catalog","Catalogo Generale"
"products","prodotti"
"Expand All","Mostra Tutto"
"Collapse All","Chiudi Tutto"
"of","di"
"included","incluso"
"Shared Catalog","Catalogo Condiviso"
"Manage Shared Catalog","Manage Shared Catalog"
"Enable Shared Catalog","Abilita il Catalogo Condiviso"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","To select No, please <a href=""%1"">create</a> the Public Catalog first."
"Use this field to change company's shared catalog","Utilizza questo campo per cambiare il catalogo condiviso associato all'azienda"
"Group/Shared Catalog","Catalogo Condiviso/di Gruppo"
"Product In Shared Catalogs","Prodotto nel Catalogo Condiviso"
"Change Catalog?","Cambiare Catalogo?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","Le aziende selezionate stanno già usando un catalogo condiviso differente. Quest'azione cambierà il catalogo condiviso alle aziende selezionate. Vuoi continuare?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","Le aziende selezionate verranno rimosse dall'attuale catalogo condiviso e associate al catalogo pubblico predefinito. Vuoi continuare?"
"Assign Catalog","Assegna Catalogo"
"Unassign Catalog","Rimuovi Assegnazione Catalogo"
"ID","ID"
"Company","Azienda"
"Country","Nazione"
"State/Province","Provincia/Regione"
"Assigned","Assegnato"
"Catalog","Catalogo"
"Action","Azione"
"Shared Catalog Information","Informazioni sul Catalogo Condiviso"
"Catalog Details","Dettagli Catalogo"
"Public Catalog Already Exists","Il Catalogo Pubblico esiste già"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","Esiste già un catalogo pubblico condiviso. Se procedi, il catalogo pubblico condiviso esistente verrà convertito a un catalogo personalizzato. Tutte le aziende assegnate al catalogo pubblico condiviso esistente verranno assegnate nel nuovo catalogo pubblico condiviso."
"Change Catalog Type?","Cambiare Tipo di Catalogo?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","Esiste già un catalogo pubblico condiviso. Se procedi, il catalogo pubblico condiviso esistente verrà convertito a un catalogo personalizzato. Tutte le aziende assegnate al catalogo pubblico condiviso esistente verranno assegnate nel nuovo catalogo pubblico condiviso."
"Add Shared Catalog","Aggiungi catalogo condiviso"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","Questa azione non può essere annullata. Sei sicuro di che voler eliminare questo/i catalogo/hi?"
"Delete items","Elimina elementi"
"Name","Nome"
"Type","Tipo"
"Created At","Creato il"
"Created By","Creato da"
"Select","Seleziona"
"discount-prompt","richiesta di sconto"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","Questo sconto verrà applicato a tutti i prodotti selezionati. Il tipo di prezzo personalizzato verrà impostato su 'Sconto'."
"Set Discount","Imposta Sconto"
"adjust-prices-prompt","regola-prezzi-richiesti"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","Questo sconto verrà applicato a tutti i prodotti selezionati. Il tipo di prezzo personalizzato verrà impostato su 'Fisso'."
"Adjust Fixed Price","Regola Prezzo Fisso"
"SKU","Cod.Art."
"Websites","Website"
"Cost","Costo"
"MSRP","Prezzo Suggerito"
"Price","Prezzo"
"Custom Price","Prezzo personalizzato"
"New Price","Nuovo prezzo"
"Tax Class","Classe Tassa"
"All Store Views","Tutte le Viste Negozio"
"Store View","Vista Negozio"
"Thumbnail","Miniatura"
"Attribute Set","Set di attributi"
"Visibility","Visibilità"
"Status","Stato"
"tier_price_form","form_scaglioni_prezzo"
"Add Price","Aggiungi prezzo"
"Website","Sito Web"
"Quantity","Quantità"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
