"Save and Continue Edit","Сачувај и настави уређивање"
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in 
        Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.
        Otherwise, the categories and products you're configuring in shared catalogs will 
        not be restricted to customers.","Морате омогућити функцију <а хреф=""%1"" дата-роле=""нотифицатион-диалог"">дељеног каталога</а> у 
        Продавнице -> Конфигурација -> Б2Б функције да бисте користили дељене каталоге у излогу.
        Иначе, категорије и производи које конфигуришете у дељеним каталозима неће 
        бити ограничени на купце."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features 
    to use the shared catalogs in the storefront. Otherwise, the categories and products you're 
    configuring in shared catalogs will not be restricted to customers.","Морате омогућити функцију дељеног каталога у Продавнице -> Конфигурација -> Б2Б функције 
    да бисте користили дељене каталоге у излогу. Иначе, категорије и производи које 
    конфигуришете у дељеним каталозима неће бити ограничени на купце."
"Next","Следеће"
"Edit Configurations","Измени Конфигурације"
"Products in Catalog","Производи ин Каталог"
"Continue to configure the shared catalog structure and pricing.","Настави то цонфигуре тхе схаред цаталог струцтуре анд прицинг."
"Store:","Продавница:"
"Step 2: Set Custom Prices","Step 2: Set Custom Prices"
"Step 1: Select Products for Catalog","Степ 1: Изабери Производи фор Каталог"
"Website:","Веб сајт:"
"Proceed","Proceed"
"Select All","Изабери све"
"Deselect All","Опозови све изборе"
"Assign","Assign"
"Unassign","Unassign"
"Fixed","Фиксно"
"Discount","Попуст"
"Apply","Примени"
"Proceed to Store Configuration?","Процеед то Продавница Конфигурација?"
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","You've made changes into the shared catalog. If you leave this page now, the changes will be lost."
"The maximum allowed catalog name length is {0} characters.","The maximum allowed catalog name length is {0} characters."
"Conflicting row.","Conflicting row."
"Generate Catalog","Генерате Каталог"
"products","products"
"Expand All","Развиј све"
"Collapse All","Скупи све"
"of","од"
"included","included"
"Shared Catalog","Дељени каталог"
"Manage Shared Catalog","Манаге Схаред Каталог"
"Enable Shared Catalog","Омогући Схаред Каталог"
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","Да бисте изабрали Не, прво <а хреф=""%1"">креирајте</а> јавни каталог."
"Use this field to change company's shared catalog","Use this field to change company's shared catalog"
"Group/Shared Catalog","Група/Схаред Каталог"
"Product In Shared Catalogs","Производ Ин Схаред Цаталогс"
"Change Catalog?","Цханге Каталог?"
"The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?","The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?"
"The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?","The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?"
"Assign Catalog","Ассигн Каталог"
"Unassign Catalog","Унассигн Каталог"
"ID","ИД"
"Company","Компанија"
"Country","Држава"
"State/Province","Држава"
"Assigned","Assigned"
"Catalog","Каталог"
"Action","Акција"
"Shared Catalog Information","Схаред Каталог Информације"
"Catalog Details","Каталог Детаљи"
"Public Catalog Already Exists","Публиц Каталог Алреадy Еxистс"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","А публиц схаред цаталог алреадy еxистс. Иф yоу процеед, тхе еxистинг публиц схаред цаталог wилл бе цонвертед то а цустом цаталог. Све тхе цомпаниес дефинед ин тхе еxистинг публиц схаред цаталог wилл бе ассигнед то тхе неw публиц схаред цаталог."
"Change Catalog Type?","Цханге Каталог Тип?"
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","А публиц схаред цаталог алреадy еxистс. Иф yоу процеед, тхе еxистинг публиц схаред цаталог wилл бе цонвертед то а цустом цаталог. Све тхе цомпаниес дефинед ин тхе еxистинг публиц схаред цаталог wилл бе ре-ассигнед то тхе неw публиц схаред цаталог."
"Add Shared Catalog","Додај Схаред Каталог"
"This action cannot be undone. Are you sure you want to delete this catalog(s)?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис цаталог(с)?"
"Delete items","Обриши производе"
"Name","Име"
"Type","Тип"
"Created At","Креирано"
"Created By","Креиран Бy"
"Select","Изаберите"
"discount-prompt","discount-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Discount'.","Тхис дисцоунт wилл бе апплиед то алл селецтед продуцтс. Тхе цустом прице тyпе wилл бе сет то 'Попуст'."
"Set Discount","Сет Попуст"
"adjust-prices-prompt","adjust-prices-prompt"
"This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.","This discount will be applied to all selected products. The custom price type will be set to 'Fixed'."
"Adjust Fixed Price","Ађуст Фиxед Цена"
"SKU","Шифра"
"Websites","Wеб странице"
"Cost","Цена коштања"
"MSRP","MSRP"
"Price","Цена"
"Custom Price","Прилагођена цена"
"New Price","Ново Цена"
"Tax Class","Класа Пореза"
"All Store Views","Сви прегледи продавница"
"Store View","Приказ продавнице"
"Thumbnail","Сличице"
"Attribute Set","Скуп атрибута"
"Visibility","Видљивост"
"Status","Статус"
"tier_price_form","tier_price_form"
"Add Price","Додавање цена"
"Website","Wеб сајт"
"Quantity","Количина"
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","Да бисте изабрали Не, прво <а хреф=""%с"">креирајте</а> јавни каталог."
