"Cancel","Cancelar"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Por favor, confirme el cambio en el campo. Todos los datos que no se haya guardado se perderá."
"Share Preview Link","Compartir enlace de previzualización"
"Staging","Puesta en escena"
"Create New Update","Crear nueva actualización"
"Back","Atrás"
"General","General"
"Status","Estatus"
"Update Name","Actualizar nombre"
"Includes","Incluye"
"Start Time","Hora de inicio"
"End Time","Hora de finalización"
"Description","Descripción"
"Preview Update","Actualizar vista previa"
"Remove this update","Eliminar esta actualización"
"Staging Dashboard","Dashboard de escenificación"
"Assign to Another Campaign","Asignar a otra campaña"
"Assign to Existing Campaign","Asignar a campaña existente"
"Create New Campaign","Crear nueva campaña"
"Campaign/Promo Name","Nombre de campaña/promoción"
"Action","Acción"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Nombre"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","La hora de inicio de la actualización futura no es válida. No puede ser anterior a la hora actual + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","La hora de inicio de la actualización futura no es válida. No puede ser más tarde que la hora actual + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","La actualización futura ya existe en este intervalo de tiempo. Establece un intervalo diferente y vuelve a intentarlo."
"The required parameter is ""%1"". Set parameter and try again.","El parámetro requerido es ""%1"". Establezca el parámetro y vuelva a intentarlo."
"The ""%1"" action type is invalid. Verify the action type and try again.","El tipo de acción ""%1"" no es válido. Verifique el tipo de acción y vuelva a intentarlo."
"The action is invalid. Verify the action and try again.","La acción no es válida. Verifica la acción y vuelve a intentarlo."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","El parámetro ""%1"" no es válido. Verifique el parámetro y vuelva a intentarlo."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","El tipo que se solicitó no tiene una implementación correspondiente. Verifique el tipo y vuelva a intentarlo."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Clase de acción necesaria para implementar ActionDataProviderInterface. Verifique la clase de acción y vuelva a intentarlo."
"The Name for Future Update needs to be selected. Select and try again.","El nombre para la actualización futura debe ser seleccionado. Seleccione y vuelva a intentarlo."
"The Start Time for Future Update needs to be selected. Select and try again.","La hora de inicio de la actualización futura debe seleccionarse. Seleccione y vuelva a intentarlo."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","La hora de inicio de la actualización futura no es válida. No puede ser anterior a la hora actual."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","La hora de finalización de la actualización futura no es válida. No puede ser la misma hora o antes de la hora actual."
"The Future Update End Time is invalid. It can't be earlier than the current time.","La hora de finalización de la actualización futura no es válida. No puede ser anterior a la hora actual."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","La actualización con el ID ""%1"" no existe. Verifique el ID y vuelva a intentarlo."
"The active update can't be deleted.","La actualización activa no se puede eliminar."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","La hora de inicio no se puede cambiar mientras la actualización está activa. Espere hasta que se complete la actualización e inténtelo nuevamente."
"The future update was unable to be saved. Please try again.","La futura actualización no se pudo guardar. Por favor, Inténtalo de nuevo."
