"Cancel","Annuler"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","La classe d'action doit implémenter ActionDataProviderInterface. Vérifiez la classe d'action et réessayez."
"The Name for Future Update needs to be selected. Select and try again.","Le nom pour la mise à jour future doit être sélectionné. Sélectionnez et réessayez."
"The Start Time for Future Update needs to be selected. Select and try again.","L'heure de début de la future mise à jour doit être sélectionnée. Sélectionnez et réessayez."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","L'heure de début de la future mise à jour est invalide. Elle ne peut pas être antérieure à l'heure actuelle."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","L'heure de début de la future mise à jour est invalide. Elle ne peut pas être identique ou antérieure à l'heure actuelle."
"The Future Update End Time is invalid. It can't be earlier than the current time.","L'heure de fin de la future mise à jour est invalide. Elle ne peut pas être antérieure à l'heure actuelle."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","La mise à jour avec l'ID ""%1"" n'existe pas. Vérifiez l'ID et réessayez."
"The active update can't be deleted.","La mise à jour active ne peut être supprimée."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","L'heure de début ne peut pas être modifiée lorsque la mise à jour est en cours. Veuillez patienter jusqu'à ce que la fin de la mise à jour et réessayer."
"The future update was unable to be saved. Please try again.","La future mise à jour n'a pas pu être sauvegardée. Veuillez réessayer."
