"Cancel","Odustani"
"Update with id ""%1"" does not exist.","Ažuriranje sa ID ""%1"" ne postoji."
"Active update can not be deleted","Aktivan update can not be deleted"
"Start time could not be changed while update active","Početak time nije mogao be changed while update active"
"Unable to save Future Update.","Nije moguće save Future Ažuriraj."
"Test","Test"
"Error","Greška"
"Test Exception","Izuzetak testa"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Magento admin. panel"
"Calendar","Calendar"
"Share","Podeli"
"Close","Zatvori"
"Scope","Opseg"
"Scheduled Changes","Zakazane Promene"
"Start","Početak"
"End","Kraj"
"Belongs to ","Belongs to"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Molimo vas potvrdite promenu opsega. Svi podaci nisu dačuvani i biće obrisani."
"Share Preview Link","Share Pregled Link"
"Staging","Staging"
"Create New Update","Kreiraj Novo Ažuriraj"
"Back","Nazad"
"General","Opšte"
"Status","Status"
"Update Name","Ažuriraj naziv"
"Includes","Includes"
"Start Time","Vreme početka"
"End Time","Vreme završetka"
"Description","Opis"
"Preview Update","Pregled Ažuriraj"
"Remove this update","Ukloni this update"
"Staging Dashboard","Staging Kontrolna tabla"
"Assign to Another Campaign","Assign to Another Kampanja"
"Assign to Existing Campaign","Assign to Existing Kampanja"
"Create New Campaign","Kreiraj Novo Kampanja"
"Campaign/Promo Name","Kampanja/Promo Naziv"
"Action","Akcija"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Ime"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Ažuriraj Početak Vreme is neispravan. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Ažuriraj Kraj Vreme is neispravan. It can't be later than current time + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","Buduće ažuriranje već postoji u tom vremenskom opsegu. Podesite drugi opseg i pokušajte ponovo."
"The required parameter is ""%1"". Set parameter and try again.","Obavezni parametar je ""%1"". Postavite parametar i pokušajte ponovo."
"The ""%1"" action type is invalid. Verify the action type and try again.","Tip akcije ""%1"" je nevažeći. Proverite tip akcije i pokušajte ponovo."
"The action is invalid. Verify the action and try again.","The action is neispravan. Verify the action and pokušajte ponovo."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","Parametar ""%1"" je nevažeći. Proverite parametar i pokušajte ponovo."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and pokušajte ponovo."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Akcija class needs to implement ActionDataProviderInterface. Verify action class and pokušajte ponovo."
"The Name for Future Update needs to be selected. Select and try again.","The Naziv for Future Ažuriraj needs to be selected. Izaberi and pokušajte ponovo."
"The Start Time for Future Update needs to be selected. Select and try again.","The Početak Vreme for Future Ažuriraj needs to be selected. Izaberi and pokušajte ponovo."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Ažuriraj Početak Vreme is neispravan. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Ažuriraj Kraj Vreme is neispravan. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Ažuriraj Kraj Vreme is neispravan. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","Ažuriranje sa ID ""%1"" ne postoji. Proverite ID i pokušajte ponovo."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Sačekajte until the update is complete and pokušajte ponovo."
"The future update was unable to be saved. Please try again.","The future update was nije moguće be saved. Pokušajte ponovo."
