"Cancel","Одустани"
"Active update can not be deleted","Активан упдате цан нот бе делетед"
"Start time could not be changed while update active","Почетак тиме није могао бе цхангед wхиле упдате ацтиве"
"Unable to save Future Update.","Није могуће саве Футуре Ажурирај."
"Test","Test"
"Error","Грешка"
"Test Exception","Изузетак теста"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Магенто админ. панел"
"Calendar","Calendar"
"Share","Подели"
"Close","Затвори"
"Scope","Опсег"
"Scheduled Changes","Заказане Промене"
"Start","Почетак"
"End","Крај"
"Belongs to ","Белонгс то"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Молимо вас потврдите промену опсега. Сви подаци нису дачувани и биће обрисани."
"Share Preview Link","Схаре Преглед Линк"
"Staging","Staging"
"Create New Update","Креирај Ново Ажурирај"
"Back","Назад"
"General","Опште"
"Status","Статус"
"Update Name","Ажурирај назив"
"Includes","Includes"
"Start Time","Време почетка"
"End Time","Време завршетка"
"Description","Опис"
"Preview Update","Преглед Ажурирај"
"Remove this update","Уклони тхис упдате"
"Staging Dashboard","Стагинг Контролна табла"
"Assign to Another Campaign","Ассигн то Анотхер Кампања"
"Assign to Existing Campaign","Ассигн то Еxистинг Кампања"
"Create New Campaign","Креирај Ново Кампања"
"Campaign/Promo Name","Кампања/Промо Назив"
"Action","Акција"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Име"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","Тхе Футуре Ажурирај Почетак Време ис неисправан. Ит цан'т бе латер тхан цуррент тиме + %1 yеарс."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","Тхе Футуре Ажурирај Крај Време ис неисправан. Ит цан'т бе латер тхан цуррент тиме + %1 yеарс."
"Future Update already exists in this time range. Set a different range and try again.","Будуће ажурирање већ постоји у том временском опсегу. Подесите други опсег и покушајте поново."
"The required parameter is ""%1"". Set parameter and try again.","Обавезни параметар је ""%1"". Поставите параметар и покушајте поново."
"The ""%1"" action type is invalid. Verify the action type and try again.","Тип акције ""%1"" је неважећи. Проверите тип акције и покушајте поново."
"The action is invalid. Verify the action and try again.","Тхе ацтион ис неисправан. Верифy тхе ацтион анд покушајте поново."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","Параметар ""%1"" је неважећи. Проверите параметар и покушајте поново."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","Тхе тyпе тхат wас реqуестед доесн'т хаве а цорреспондинг имплементатион. Веритy тхе тyпе анд покушајте поново."
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Акција цласс неедс то имплемент АцтионДатаПровидерИнтерфаце. Верифy ацтион цласс анд покушајте поново."
"The Name for Future Update needs to be selected. Select and try again.","Тхе Назив фор Футуре Ажурирај неедс то бе селецтед. Изабери анд покушајте поново."
"The Start Time for Future Update needs to be selected. Select and try again.","Тхе Почетак Време фор Футуре Ажурирај неедс то бе селецтед. Изабери анд покушајте поново."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","Тхе Футуре Ажурирај Почетак Време ис неисправан. Ит цан'т бе еарлиер тхан тхе цуррент тиме."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","Тхе Футуре Ажурирај Крај Време ис неисправан. Ит цан'т бе тхе саме тиме ор еарлиер тхан тхе цуррент тиме."
"The Future Update End Time is invalid. It can't be earlier than the current time.","Тхе Футуре Ажурирај Крај Време ис неисправан. Ит цан'т бе еарлиер тхан тхе цуррент тиме."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","Ажурирање са ИД ""%1"" не постоји. Проверите ИД и покушајте поново."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","Тхе старт тиме цан'т бе цхангед wхиле тхе упдате ис ацтиве. Сачекајте унтил тхе упдате ис цомплете анд покушајте поново."
"The future update was unable to be saved. Please try again.","Тхе футуре упдате wас није могуће бе савед. Покушајте поново."
