"Wish List","Lista życzeń"
"Add All to Cart","Dodaj wszystko do koszyka"
"Update Wish List","Aktualizacja listy życzeń"
"Move to Wishlist","Przenieś do listy życzeń"
"Add to Wish List","Dodaj do listy życzeń"
"View Product","Zobacz produkt"
"Qty","Ilość"
"Add to Cart","Dodaj do koszyka"
"Availability","Dostępność"
"In stock","W magazynie"
"Out of stock","Brak w magazynie"
"Edit","Edytuj"
"Remove Item","Usuń produkt"
"Remove item","Usuń produkt"
"Add to Compare","Porównaj"
"This Wish List has no Items","Ta lista życzeń nie zawiera żadnych produktów"
"%1 has been added to your Wish List.","Produkt %1 został dodany do listy życzeń."
"Click <a href=""%1"">here</a> to continue shopping.","Kliknij <a href=""%1"">tutaj</a>, aby kontynuować zakupy."
"See Details","Zobacz szczegóły"
"Options Details","Szczegóły opcji"
"RSS link to %1's wishlist","Link RSS do listy życzeń %1"
"RSS Feed","Kanał RSS"
"Product","Produkt"
"Back","Powrót"
"Wish List is empty now.","Lista życzeń jest pusta."
"* Required Fields","* pola wymagane"
"Sharing Information","Współdzielone informacja"
"Email addresses, separated by commas","Adresy e-mail rozdzielane przecinkami"
"Check here to link an RSS feed to your Wish List.","Sprawdź tutaj żeby podlinkować RSS do swojej listy życzeń."
"Last Added Items","Ostatnio dodane produkty"
"Remove This Item","Usuń ten element"
"Go to Wish List","Przejdź do listy życzeń"
"You have no items in your wish list.","Nie masz żadnych produktów na liście życzeń."
"Take a look at %customer_name's Wish List","Spójrz na listę życzeń użytkownika %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name chce się z tobą podzielić tą listą życzeń z %store_name:"
"Message from %customer_name:","Wiadomość od %customer_name:"
"View all Wish List items","Zobacz wszystkie elementy listy życzeń"
"Wish List Section","Sekcja listy życzeń"
"Share Options","Opcje współdzielenia"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"Max Emails Allowed to be Sent","Max e-maile mogą być wysyłane"
"Email Text Length Limit","Ograniczenie długości tekstu wiadomości e-mail"
"General Options","Opcje ogólne"
"Enabled","Włączone"
"My Wish List Link","Mój link listy życzeń"
"Display Wish List Summary","Wyświetl podsumowanie schowka"
"Enable RSS","Włącz RSS"
"No Items Found","Nie znaleziono produktów"
"Product Name","Nazwa produktu"
"User Description","Opis użytkownika"
"Quantity","Ilość"
"Add Locale","Dodawanie ustawień regionalnych"
"Add Date","Dodaj datę"
"Days in Wish List","Dni w liście życzeń"
"Action","Operacja"
"Configure","Konfiguruj"
"Delete","Usuń"
"Product Details and Comment","Szczegóły i komentarze produktu"
"Add To Wishlist","Dodaj do listy życzeń"
"Are you sure you want to remove this product from your Wish List?","Czy na pewno chcesz usunąć ten produkt z listy życzeń?"
"%1 has been removed from your Wish List.","%1 został usunięty z Twojej listy życzeń."
"10 by default. Max - 10000","10 domyślnie. Max - 10000"
"255 by default","255 domyślnie"
"The Wish List item can't load at this time. Please try again later.","Element listy życzeń nie może się teraz załadować. Spróbuj ponownie później."
"The cart item doesn't exist.","Produkt koszyka nie istnieje."
"You must login or register to add items to your wishlist.","Musisz być zalogowany aby dodać przedmioty do Twojej listy życzeń."
"Show in Sidebar","Wyświetl w panelu bocznym"
