"Wish List","قائمة الامنيات"
"Wish List is empty now.","قائمة الأمنيات فارغة الآن."
"* Required Fields","* حقول مطلوبة"
"Sharing Information","بيانات المشاركة"
"Email addresses, separated by commas","عناوين البريد الالكتروني ، تفصل بينها فواصل"
"Check here to link an RSS feed to your Wish List.","الاختيار هنا لربط مزود RSS بقائمة أمنياتك."
"Last Added Items","أخر السلع المضافة"
"Remove This Item","حذف هذا العنصر"
"Go to Wish List","الذهاب إلى قائمة الأمنيات"
"You have no items in your wish list.","لا يوجد اي منتجات في قائمة الامنيات الخاصة بك."
"Take a look at %customer_name's Wish List","%customer_name's الإطلاع على قائمة أمنيات"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name يريد أن يشارككم قائمة الأمنيات هذه من %store_name:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","عرض كافة عناصر قائمة الأمنيات"
"Wish List Section","قسم قائمة الأمنيات"
"Share Options","خيارات المشاركة"
"Email Sender","مرسل البريد الإلكتروني"
"Email Template","قالب البريد الإلكتروني"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"Max Emails Allowed to be Sent","الحد الأقصى المسموح لرسائل البريد الإلكتروني التي سيتم إرسالها"
"Email Text Length Limit","حدود طول نص البريد الإلكتروني"
"General Options","خيارات عامة"
"Enabled","تفعيل"
"My Wish List Link","رابط قائمة أمنياتي"
"Display Wish List Summary","عرض مختصر لقائمة الأمنيات"
"Enable RSS","تفعيل خدمة الخلاصات"
"No Items Found","لم يتم العثور على عناصر"
"Product Name","اسم المنتج"
"User Description","وصف المستخدم"
"Quantity","الكمية"
"Add Locale","إضافة لغة"
"Add Date","إضافة التاريخ"
"Days in Wish List","الأيام في قائمة الأمنيات"
"Action","إجراء"
"Configure","ضبط"
"Delete","احذف"
"Product Details and Comment","بيانات المنتجات"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 بشكل افتراضي. الحد الأقصى--10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
