"Wish List","Списък с желани"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Max Emails Allowed to be Sent","Макс имейли могат да се изпращат"
"Email Text Length Limit","Email текст дължина лимит"
"General Options","Основни параметри"
"Enabled","Активиран"
"My Wish List Link","Връзка към моя Списък с желани продукти"
"Display Wish List Summary","Резюме на Списък с желани продукти"
"Enable RSS","Разрешаване на RSS"
"No Items Found","Няма намерени продукти"
"Product Name","Име на продукт"
"User Description","Потребителско описание"
"Quantity","Количество: "
"Add Locale","Добавяне на езикова променлива"
"Add Date","Добавяне на дата"
"Days in Wish List","Дни в Списък с желани продукти"
"Action","Действие"
"Configure","Конфигуриране на"
"Delete","Изтрий"
"Product Details and Comment","Информация за продукта и коментар"
"Add To Wishlist","Добави към Списък с желани продукти"
"Are you sure you want to remove this product from your Wish List?","Сигурни ли сте, че искате да премахнете този продукт от вашия списък Желани?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 по подразбиране. Макс - 10000"
"255 by default","255 по подразбиране"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Show in Sidebar"
