"Wish List","Список желаний"
"The product does not exist.","Продукт не существует."
"Test Phrase","Тестовая Фраза"
"message","сообщение"
"Message","Сообщение"
"error-message","сообщение об ошибке"
"LocalizedException","LocalizedException"
"Product Exception.","Исключение продукта."
"Localized Exception.","Локализованное исключение."
"Are you sure you want to remove this item?","Вы действительно хотите удалить этот элемент?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","Поделить список желаемого"
"Add All to Cart","Добавить всё в корзину"
"Update Wish List","Обновить список желаемого"
"Move to Wishlist","Переместить в список желаний"
"Add to Wish List","Добавить в список желаний"
"View Product","Просмотр продукта"
"Qty","Кол-во"
"Add to Cart","Добавить в корзину"
"Availability","Наличие"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"Edit","Редактировать"
"Remove Item","Удалить элемент"
"Remove item","Удалить позицию"
"Add to Compare","Добавить в сравнение"
"This Wish List has no Items","Этот список желаний не имеет элементов"
"%1 has been added to your Wish List.","%1 был добавлен в ваш список пожеланий."
"Click <a href=""%1"">here</a> to continue shopping.","Нажмите <a href=""%1""> здесь</a>, чтобы продолжить покупки."
"See Details","Подробнее"
"Options Details","Параметры деталей"
"RSS link to %1's wishlist","Связь RSS для пожеланий %1"
"RSS Feed","Подписка RSS"
"Product","Товар"
"Back","Назад"
"Wish List is empty now.","Список желаний сейчас пуст."
"* Required Fields","* Обязательные поля"
"Sharing Information","Обмен информацией"
"Email addresses, separated by commas","Адреса электронной почты, разделённые запятыми"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Последние добавленные элементы"
"Remove This Item","Удалить этот элемент"
"Go to Wish List","Переместиться в список желаний"
"You have no items in your wish list.","У вас нет товаров в списке пожеланий."
"Take a look at %customer_name's Wish List","Взглянуть на список пожеланий %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name хочет поделиться с вами этим списком пожеланий от %store_name:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Просмотреть все элементы списка пожеланий"
"Wish List Section","Wish List Section"
"Share Options","Опции раздачи"
"Email Sender","Отправитель электронной почты"
"Email Template","Шаблон письма"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон E-mail выбран на основе темы резервного варианта при выборе параметра «По умолчанию»."
"Max Emails Allowed to be Sent","Максимальное кол-во писем допустимых к отправке"
"Email Text Length Limit","Придел длины письма"
"General Options","Общие параметры"
"Enabled","Включено"
"My Wish List Link","Ссылка на мой список желаний"
"Display Wish List Summary","Display Wish List Summary"
"Enable RSS","Разрешить RSS"
"No Items Found","Нет найденых товаров"
"Product Name","Название товара"
"User Description","Описание пользователя"
"Quantity","Количество"
"Add Locale","Add Locale"
"Add Date","Добавить дату"
"Days in Wish List","Дни в списке желаний"
"Action","Действие"
"Configure","Настроить"
"Delete","Удалить"
"Product Details and Comment","Детали продукта и комменты"
"Add To Wishlist","Add To Wishlist"
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"10 by default. Max - 10000","10 по умолчанию. Максимум - 10000"
"255 by default","255 by default"
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"The cart item doesn't exist.","The cart item doesn't exist."
"You must login or register to add items to your wishlist.","Вы должны войти или зарегистрироваться, чтобы добавить товары в избранное."
"Show in Sidebar","Show in Sidebar"
