"Wish List","Lista želja"
"Click <a href=""%1"">here</a> to continue shopping.","Kliknite <a href=""%1"">ovde</a> da nastavite kupovinu."
"See Details","Pogledaj detalje"
"Options Details","Detalji Opcija"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","RSS Feed"
"Product","Proizvod"
"Back","Nazad"
"Wish List is empty now.","Wish Lista is empty now."
"* Required Fields","* Obavezna polja"
"Sharing Information","Deljenje Informacija"
"Email addresses, separated by commas","E-pošta addresses, separated by commas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish Lista."
"Last Added Items","Poslednji Added Items"
"Remove This Item","Ukloni ovu stavku"
"Go to Wish List","Go to Wish Lista"
"You have no items in your wish list.","You have no items in your wish list."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Wish Lista"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish Lista from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","Pregled all Wish Lista items"
"Wish List Section","Wish Lista Section"
"Share Options","Share Options"
"Email Sender","Pošiljaoc Mejla"
"Email Template","Email šabloni"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablon mejla se bira na osnovu teme kada je izabrana opcija ""Podrazumevano""."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","E-pošta Text Length Limit"
"General Options","Opšte Opcije"
"Enabled","Omogućeno"
"My Wish List Link","My Wish Lista Link"
"Display Wish List Summary","Display Wish Lista Sažetak"
"Enable RSS","Omogući RSS"
"No Items Found","Ne Items Found"
"Product Name","Naziv proizvoda"
"User Description","User Opis"
"Quantity","Količina"
"Add Locale","Dodajte Lokal"
"Add Date","Dodajte Datum"
"Days in Wish List","Dana u Listi Želja"
"Action","Akcija"
"Configure","Podesi"
"Delete","Obrisati"
"Product Details and Comment","Proizvod Detalji and Comment"
"Add To Wishlist","Dodaj To Lista želja"
"Are you sure you want to remove this product from your Wish List?","Da li ste sigurni želite da remove this product from your Wish Lista?"
"%1 has been removed from your Wish List.","%1 je removed from your Wish Lista."
"10 by default. Max - 10000","10 je zadata vrednost. Maksimum - 10000"
"255 by default","255 je zadata vrednost"
"The Wish List item can't load at this time. Please try again later.","The Wish Lista item can't load at this time. Pokušajte ponovo later."
"The cart item doesn't exist.","The cart item ne postoji."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"Show in Sidebar","Prikaži in Sidebar"
