"Wish List","Lista de Desejos"
"Out of stock","Esgotado"
"Edit","Editar"
"Remove Item","Remover Item"
"Remove item","Remover item"
"Add to Compare","Adicionar à Comparação"
"This Wish List has no Items","Esta Lista de Desejos não tem items"
"%1 has been added to your Wish List.","%1 foi adicionado à sua lista de desejos."
"Click <a href=""%1"">here</a> to continue shopping.","Clique <a href=""%1"">aqui</a> para continuar a comprar."
"%1 has been removed from your Wish List.","%1 has been removed from your Wish List."
"See Details","Ver Detalhes"
"Options Details","Detalhes das Opções"
"RSS link to %1's wishlist","Link RSS para a lista de desejos de %1"
"RSS Feed","Feed RSS"
"Product","Produto"
"Back","Voltar"
"Wish List is empty now.","A Lista de Desejos de momento está vazia."
"* Required Fields","* Campos Obrigatórios"
"Sharing Information","Informação de Partilha"
"Email addresses, separated by commas","Endereços de email, separados por vírgulas"
"Check here to link an RSS feed to your Wish List.","Clique aqui para criar um feed RSS e associá-lo à sua Lista de Desejos."
"Last Added Items","Últimos Items Adicionados"
"Remove This Item","Remover Este Item"
"Go to Wish List","Ir para a Lista de Desejos"
"You have no items in your wish list.","Não tem nenhum item na sua lista de desejos."
"Take a look at %customer_name's Wish List","Dê uma olhada na lista de desejos do %customer_name"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name quer partilhar esta Lista de Desejos da %store_name consigo:"
"View all Wish List items","Ver todos os items da Lista de Desejos"
"Wish List Section","Secção de Lista de Desejos"
"Share Options","Opções de Partilha"
"Email Sender","Remetente de E-mail"
"Email Template","Template de Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Max Emails Allowed to be Sent","Número Máximo de Emails Permitidos"
"10 by default. Max - 10000","10 por padrão. Max - 10000"
"Email Text Length Limit","Limite de Comprimento do Texto do Email"
"255 by default. Max - 10000","255 by default. Max - 10000"
"General Options","Opções Gerais"
"Enabled","Ativo"
"Show in Sidebar","Mostrar na barra lateral"
"My Wish List Link","Link da Minha Lista de Desejos"
"Display Wish List Summary","Mostrar Resumo da Lista de Desejos"
"Enable RSS","Ativar RSS"
"No Items Found","Não foram encontrados items"
"Product Name","Nome do Produto"
"User Description","Descrição do Utilizador"
"Quantity","Quantidade"
"Add Locale","Adicionar Local"
"Add Date","Adicionar Data"
"Days in Wish List","Dias na Lista de Desejos"
"Action","Ação"
"Configure","Configurar"
"Delete","Eliminar"
"Product Details and Comment","Detalhes do Produto e Comentários"
"Add To Wishlist","Add To Wishlist"
