"Percent Discount","ശതമാനം കിഴിവ്"
"The options you selected are not available.","നിങ്ങൾ തിരഞ്ഞെടുത്ത ഓപ്ഷനുകൾ ലഭ്യമല്ല."
"The required options you selected are not available.","നിങ്ങൾ തിരഞ്ഞെടുത്ത ആവശ്യമായ ഓപ്ഷനുകൾ ലഭ്യമല്ല."
"Please select all required options.","ആവശ്യമായ എല്ലാ ഓപ്ഷനുകളും തിരഞ്ഞെടുക്കുക."
"We can't add this item to your shopping cart right now.","ഞങ്ങൾക്ക് ഇപ്പോൾ നിങ്ങളുടെ ഷോപ്പിംഗ് കാർട്ടിൽ ഈ ഇനം ചേർക്കാൻ കഴിയില്ല."
"N/A","ബാധകമല്ല"
"Percent","ശതമാനം"
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Cancel","റദ്ദാക്കുക"
"Add Selected Products","തിരഞ്ഞെടുത്ത ഉൽപ്പന്നങ്ങൾ ചേർക്കുക"
"Add Option","ഓപ്ഷൻ ചേർക്കുക"
"New Option","പുതിയ ഓപ്ഷൻ"
"Option Title","ഓപ്ഷൻ ശീർഷകം"
"Default Title","Default Title"
"Store View Title","സ്റ്റോർ വ്യൂ ശീർഷകം"
"Input Type","ഇൻപുട്ട് ടൈപ്പ്"
"Drop-down","Drop-down"
"Radio Buttons","റേഡിയോ ബട്ടണുകൾ"
"Checkbox","ചെക്ക്ബോക്സ്"
"Multiple Select","ഒന്നിലധികം തിരഞ്ഞെടുക്കൽ"
"Required","ആവശ്യമാണ്"
"Is Default","Is Default"
"Name","പേര്"
"Default Quantity","Default Quantity"
"User Defined","User Defined"
"Price Type","Price Type"
"None","ഒന്നുമില്ല"
"Quantity:","അളവ്:"
"Choose a selection...","Choose a selection..."
"Ship Bundle Items","Ship Bundle Items"
"Position","സ്ഥാനം"
"There are no products in this option.","ഈ ഓപ്ഷനിൽ ഉൽപ്പന്നങ്ങളൊന്നുമില്ല."
"Default","Default"
"Ordered","Ordered"
"Invoiced","Invoiced"
"Shipped","Shipped"
"Refunded","റീഫണ്ട് ചെയ്തു"
"Canceled","റദ്ദാക്കി"
"As low as","As low as"
"Regular Price","സാധാരണ വില"
"From","From"
"To","To"
"Buy %1 with %2 discount each","Buy %1 with %2 discount each"
"Go back to product details","ഉൽപ്പന്ന വിശദാംശങ്ങളിലേക്ക് മടങ്ങുക"
"Customize and Add to Cart","Customize and Add to Cart"
"* Required Fields","* ആവശ്യമായ ഫീൽഡുകൾ"
"Your Customization","Your Customization"
"Availability","ലഭ്യത"
"In stock","സ്റ്റോക്കുണ്ട്"
"Out of stock","Out of stock"
"Summary","സംഗ്രഹം"
"%1 x %2","%1 x %2"
"Availability:","ലഭ്യത:"
"Quantity","അളവ്"
"Customize %1","Customize %1"
"No options of this product are available.","No options of this product are available."
"Gift Message","Gift Message"
"From:","From:"
"To:","To:"
"Message:","Message:"
"Product Name","Product Name"
"Subtotal","Subtotal"
"Discount Amount","Discount Amount"
"Row Total","Row Total"
"Qty Invoiced","Qty Invoiced"
"Qty Shipped","Qty Shipped"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Select...","Select..."
"Status","Status"
"Thumbnail","Thumbnail"
"Type","Type"
"Special Price","Special Price"
"This is implemented for bundle products only.","This is implemented for bundle products only."
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product."
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product."
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again."
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again."
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again."
"The option couldn't be saved.","The option couldn't be saved."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
