"You created the order.","ඔබ ඇණවුම නිර්මාණය කළා."
"New Order Status","නව ඇණවුම් තත්ත්වය"
"Test Mode","පරීක්ෂණ මාදිලිය"
"Gateway URL","ද්වාර URL"
"Transaction Details URL","ගනුදෙනු විස්තර URL"
"Accepted Currency","පිළිගත් මුදල්"
"Debug","දෝෂහරණය කරන්න"
"Email Customer","පාරිභෝගිකයාට විද්‍යුත් තැපැල් කරන්න"
"Merchant's Email","වෙළෙන්දාගේ විද්‍යුත් තැපෑල"
"Credit Card Types","ක්රෙඩිට් කාඩ් වර්ග"
"Credit Card Verification","ක්‍රෙඩිට් කාඩ් සත්‍යාපනය"
"Payment from Applicable Countries","අදාළ රටවලින් ගෙවීම්"
"Payment from Specific Countries","විශේෂිත රටවලින් ගෙවීම්"
"Minimum Order Total","අවම ඇණවුම මුළු"
"Maximum Order Total","උපරිම ඇණවුම මුළු"
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Cannot place order.","ඇණවුම් කළ නොහැක."
"'Gateway error: ' .","'ගේට්වේ දෝෂය:' ."
"Unable to place order. Please try again later.","ඇණවුම් කිරීමට නොහැකි විය. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"A server error stopped your order from being placed. Please try to place your order again.","සේවාදායක දෝෂයක් ඔබගේ ඇණවුම තැබීම නතර කළේය. කරුණාකර ඔබගේ ඇණවුම නැවත ලබා දීමට උත්සාහ කරන්න."
"The transaction details are unavailable. Please try again later.","ගනුදෙනු විස්තර නොමැත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (අත් හරින ලද)"
"Signature Key","අත්සන යතුර"
