"Billing Agreements","قراردادهای صورت حساب"
"Unable to save Billing Agreement:","ناتوان در ذخیره‌ی قرارداد صدور صورت حساب:"
"Active","فعال"
"Canceled","لغو شده"
"The customer ID is not set.","شناسه مشتری تنظیم نشده است."
"The Billing Agreement status is not set.","وضعیت توافقنامه صورتحساب تعیین نشده است."
"The PayPal certificate does not exist.","گواهی PayPal وجود ندارد."
"We prefer PayPal (150 X 60)","ما پی پال (150 X 60) را ترجیح می‌دهیم"
"We prefer PayPal (150 X 40)","ما پی پال (150 X 40) را ترجیح می‌دهیم"
"Now accepting PayPal (150 X 60)","اکنون پذیرش پی پال (150 X 60)"
"Now accepting PayPal (150 X 40)","اکنون پذیرش پی پال (150 X 40)"
"Payments by PayPal (150 X 60)","پرداخت‌ها توسط پی پال (150 X 60)"
"Payments by PayPal (150 X 40)","پرداخت‌ها توسط پی پال (150 X 40)"
"Shop now using (150 X 60)","هم اینک با استفاده از (150 X 60) خرید کن"
"Shop now using (150 X 40)","هم اینک با استفاده از (150 X 40) خرید کن"
"Dynamic","پویا"
"Static","ایستا"
"Shortcut","میانبر"
"Acceptance Mark Image","تصویر نشان پذیرش"
"Authorization","تصویب"
"Sale","فروش"
"Yes","بله"
"No","خیر"
"For Virtual Quotes Only","برای نقل قول مجازی فقط"
"Auto","خودکار"
"Ask Customer","پرسش از مشتری"
"Never","هرگز"
"IPN (Instant Payment Notification) Only","تنها IPN (اعلام پرداخت فوری)"
"API Signature","امضای API"
"API Certificate","API گواهی نامه"
"The maximum number of child authorizations is reached.","به حداکثر تعداد مجوز رسیده است."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","ما مقدار %1 را به محض اینکه دروازه پرداخت آن را تایید می کنیم، مجاز می دانیم."
"The authorized amount is %1.","مقدار مجاز %1 است."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal نمیتواند سفارشات را با یک توازن صفر در نظر بگیرد. برای تکمیل خرید خود، لطفا از طریق فرآیند پرداخت استاندارد انجام دهید."
"A payer is not identified.","یک پرداخت کننده مشخص نشده است."
"Cannot get secure form URL from PayPal","نمی توانید فرم امن از PayPal دریافت کنید"
"Last Transaction ID","آخرین شناسه‌ی تراکنش"
"This customer didn't include a confirmed address.","این مشتری شامل یک آدرس تأیید نشده بود."
"The payment is authorized but not settled.","پرداخت تصویب شده است اما واریز نشده."
"The payment eCheck is not cleared.","پرداخت چک الکترونیکی پاک نشده است."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","بازرگان دارای یک حساب کاربری غیر U.S. است و مکانیسم خروج ندارد."
"The payment currency doesn't match any of the merchant's balances currency.","پول پرداخت با هیچ یک از توازن پول بازرگانان مطابقت ندارد."
"The payment is pending while it is being reviewed by PayPal for risk.","پرداخت در انتظار است تا زمانی که برای ریسک توسط پی پال بازبینی می‌شود."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","پرداخت در انتظار است زیرا توسط آدرس ایمیلی که هنوز ثبت یا تایید نشده است ایجاد شده بود."
"The merchant account is not yet verified.","حساب فروشنده هنوز تایید شده نیست."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","پرداخت توسط کارت اعتباری ایجاد شده بود. به منظور دریافت وجوه فروشنده باید حساب را به وضیعت برتر یا تجاری ارتقا دهد."
"Sorry, but something went wrong. Please contact PayPal customer service.","با عرض پوزش، اما چیزی اشتباه رفت لطفا با سرویس مشتری PayPal تماس بگیرید."
"A reversal has occurred on this transaction due to a chargeback by your customer.","با توجه به بازپرداخت مشتری خود، معامله ای در این معامله رخ داده است."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","برگشت در این معامله با توجه به مشتریان خود راه اندازی تضمین بازگشت پول رخ داده است."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","برگشت در این معامله به دلیل شکایت مورد معامله از مشتری شما رخ داده است."
"A reversal has occurred on this transaction because you have given the customer a refund.","برگردان رخ داده است در این معامله  زیرا شما به مشتری بازپرداخت کرده اید."
"Reversal of an adjustment.","برگشت یک تنظیم."
"Transaction reversal due to fraud detected by PayPal administrators.","برگشت معاملات به علت تقلب توسط مدیران پی پال شناسایی شده است."
"Transaction reversal by PayPal administrators.","برگشت معاملات توسط مدیران PayPal."
"Reimbursement for a chargeback.","بازپرداخت برای یک بازگشت هزینه."
"Settlement of a chargeback.","توافق یک بازگشت هزینه."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","در این معامله به دلیل اختلاف نظر مشتری متهم به تصادف غیر مجاز، برگشت شده است."
"Buyer claims that he did not receive goods or service.","خریدار ادعا می کند که او کالا یا خدمات دریافت نکرده است."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","خریدار ادعا می کند که کالا یا خدمات دریافت شده از توضیحات تجار کالا یا خدمات متفاوت است."
"Buyer claims that he/she did not authorize transaction.","خریدار ادعا می کند که او معامله را مجاز نمی داند."
"A case that has been resolved and close requires a reimbursement.","یک پرونده که حل شده و نیاز به بازپرداخت دارد."
"Buyer claims that a possible duplicate payment was made to the merchant.","خریدار ادعا می کند که یک تکراری ممکن است به فروشنده پرداخت شود."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","خریدار ادعا می کند که کالا دریافت نشده رضایت بخش، ناقص و یا آسیب دیده است."
"Unknown reason. Please contact PayPal customer service.","دلیل ناشناخته. لطفا با سرویس مشتری پی پال تماس بگیرید."
"Payer ID","شناسه‌ی پرداخت کننده"
"Payer Email","ایمیل پرداخت کننده"
"Payer Status","وضعیت پرداخت کننده"
"Payer Address ID","شناسه‌ی آدرس پرداخت کننده"
"Payer Address Status","وضعیت آدرس پرداخت کننده"
"Merchant Protection Eligibility","شایستگی حفاظت فروشنده"
"Triggered Fraud Filters","فیلترهای تقلب شروع شده"
"Last Correlation ID","آخرین شناسه‌ی ارتباط"
"Address Verification System Response","پاسخ سیستم تایید آدرس"
"CVV2 Check Result by PayPal","نتیجه‌ی بررسی CVV2 توسط پی پال"
"AVS Street Match","تطبیق خیابان"
"AVS zip","فایل زیپ AVS"
"International AVS response","پاسخ AVS بین المللی"
"Buyer's Tax ID","شناسه مالیاتی خریدار"
"Buyer's Tax ID Type","نوع شناسه مالیاتی خریدار"
"Chargeback","بازگشت هزینه"
"Complaint","شکایت"
"Dispute","نزاع"
"Matched Address only (no ZIP)","تنها آدرس همسان (بدون کد پستی)"
"Matched Address only (no ZIP) International","آدرس مناسب (بدون ZIP) بین المللی"
"No Details matched","جزییاتی همسان نبود"
"No Details matched. International","جزییاتی همسان نبود. جهانی"
"Exact Match.","مطابقت کامل."
"Exact Match. Address and Postal Code. International","تطابق دقیق. آدرس و کدپستی. جهانی"
"Exact Match. Address and Postal Code. UK-specific","تطابق دقیق. آدرس و کدپستی. خاص بریتانیا"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. برای تراکنش‌های MOTO (اینترنت/تلفن) مجاز نیست"
"N/A. Global Unavailable","N/A. عدم دسترسی سراسری"
"N/A. International Unavailable","N/A. عدم دسترسی جهانی"
"Matched five-digit ZIP only (no Address)","تنها کد پستی پنج رقمی همسان (بدون آدرس)"
"Matched Postal Code only (no Address)","تنها کد پستی همسان (بدون آدرس)"
"N/A. Retry","N/A. تلاش دوباره"
"N/A. Service not Supported","N/A. سرویس پشتیبانی شده نیست"
"N/A. Unavailable","N/A. ناموجود"
"Matched whole nine-digit ZIP (no Address)","کلیه 9 رقمی ZIP (بدون آدرس)"
"Yes. Matched Address and five-digit ZIP","بله. همسان با آدرس پنج رقمی پستی است"
"All the address information matched","همه‌ی اطلاعات آدرس مطابق بود"
"None of the address information matched","هیچ کدام از اطلاعات آدرس همسان نبود"
"Part of the address information matched","بخشی از اطلاعات آدرس همسان بود"
"N/A. The merchant did not provide AVS information","N/A. فروشنده اطلاعات AVS را ارایه نکرده بود"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. آدرس بررسی نشد، یا فراگیرنده پاسخی نداشت. سرویس در دسترس نیست"
"Matched (CVV2CSC)","همسان (CVV2CSC)"
"No match","ناهمسان"
"N/A. Not processed","N/A. پردازش نشده"
"N/A. Service not supported","N/A. سرویس پشتیبانی شده نیست"
"N/A. Service not available","N/A. سرویس در دسترس نیست"
"N/A. No response","N/A. بدون پاسخ"
"Matched (CVV2)","همسان (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. فروشنده رسیدگی کد CVV2 اجرا شده ندارد"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. فروشنده اشاره کرده است که CVV2 بر روی کارت ارایه نشده است"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Credit Card"
"ending","پایان دادن"
"expires","منقضی می شود"
"Note: %1","یادداشت: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". نوع مورد ""%2"" شناسه مورد ""%3""%4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". مناقشه حل و فصل شده است. %2 مقدار معامله %3."
"You notified customer about invoice #%1.","شما در مورد فاکتور #%1 به مشتری اطلاع داده اید."
"We cannot cancel this order.","ما نمی توانیم این سفارش را لغو کنیم."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN "" %1"". %2 مقدار معامله %3. شناسه تراکنش: ""%4"""
"You notified customer about creditmemo #%1.","شما در مورد creditmemo #%1 به مشتری اطلاع داده اید."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Unable to fetch transaction details.","امکان حذف جزئیات معامله وجود ندارد."
"Invalid method %1::%2","روش نامعتبر %1:: %2"
"Transaction has been declined","تراکنش با موفقیت انجام نشده است"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","ما نمی توانیم ایمیل سفارش جدید ارسال کنیم."
"Payment error. %value was not found.","خطای پرداخت. %value یافت نشد."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","شما نیاز به یک مجوز برای لغو کردن معامله دارید."
"We can't issue a refund transaction because there is no capture transaction.","ما نمی توانیم معامله بازپرداخت را صادر کنیم زیرا معامله ضبط وجود ندارد."
"We cannot create a target file for reading reports.","ما نمی توانیم یک فایل هدف برای خواندن گزارش ایجاد کنیم."
"Report Date","تاریخ گزارش"
"Merchant Account","حساب فروشنده"
"Transaction ID","شناسه تراکنش"
"Invoice ID","شناسه‌ی فاکتور"
"PayPal Reference ID","شناسه‌ی ارجاع پی پال"
"PayPal Reference ID Type","نوع شناسه‌ی ارجاع پی پال"
"Event Code","کد رویداد"
"Event","رویداد"
"Start Date","تاریخ شروع"
"Finish Date","تاریخ پایان
تاریخ"
"Debit or Credit","بدهی یا اعتبار"
"Gross Amount","مبلغ ناخالص"
"Fee Debit or Credit","هزینه‌ی بدهی با اعتبار"
"Fee Amount","مبلغ هزینه"
"Custom","سفارشی"
"Order ID","شناسه سفارش"
"Preapproved Payment ID","شناسه‌ی پرداخت از پیش تایید شده"
"Subscription ID","شناسه‌ی اشتراک"
"Credit","اعتبار"
"Debit","بدهی"
"ACH Deposit (Hold for Dispute or Other Investigation)","سپرده‌ی ACH (تعلیق برای اختلاف یا دیگر رسیدگی‌ها)"
"ACH Deposit (Reversal)","سپرده‌ی ACH (برگشت)"
"ACH Funding for Funds Recovery from Account Balance","بودجه‌ی ACH برای بازیابی وجوه از مانده حساب"
"ACH Withdrawal","برداشت ACH"
"Account-to-Account Payment, initiated by PayPal","پرداخت حساب به حساب، آغاز شده توسط پی پال"
"Auction Payment other than through eBay","پرداخت حراج‌های دیگر از طریق eBay"
"AutoSweep","رفت و برگشت خودکار"
"Available Balance","مانده‌ی در دسترس"
"Balance Manager Account Bonus","پاداش مدیریت مانده حساب"
"Bonus for first ACH Use","پاداش برای اولین استفاده‌ی ACH"
"Buyer Credit Payment","پرداخت اعتباری خریدار"
"Charge-off","لغو بدهی"
"Coupon Redemption","بازخرید کوپن"
"Currency Conversion required to cover negative balance","تبدیل ارز لازم است تراز منفی را پوشش دهد"
"Debit Card Cash Back","بازگشت نقدی دبیت کارت"
"Debit Card Transaction","تراکنش دبیت کارت"
"Direct Payment API","APIی پرداخت مستقیم"
"EFT Funding (German banking)","تامین وجه EFT (بانک داری آلمانی)"
"Express Checkout APIs","APIهای تسویه‌ی سریع"
"Fee Reversal","هزینه‌ی برگشت"
"Fee: Foreign ACH Withdrawal","هزینه: برداشت ACH خارجی"
"Fee: Mass Pay Request","هزینه: درخواست Mass Pay"
"Fee: Web Site Payments Pro Account Monthly","هزینه: حساب ماهانه‌ی حرفه‌ای پرداخت‌های وب‌سایت"
"Fee: WorldLink Check Withdrawal","هزینه: برداشت چک WorldLink"
"Funding","سرمایه گذاری"
"General (Authorization)","عمومی (تصویب)"
"General (Dividend)","عمومی (سود)"
"General (Funds Transfer from PayPal Account to Another)","عمومی (انتقال وجوه از یک حساب پی پال به دیگری)"
"General (Purchase with a credit card)","عمومی (خرید با یک کارت اعتباری)"
"General Adjustment without businessrelated event","تنظیم عمومی بدون رویداد تجارت وابسته"
"General Currency Conversion","تبدیل ارز عمومی"
"General Funding of PayPal Account ","سرمایه گذاری عمومی حساب پی پال "
"General Redemption","بازخرید عمومی"
"General Withdrawal from PayPal Account","برداشت عمومی از حساب پی پال"
"General. Product no longer supported","عمومی. محصول دیگر پشتیبانی شده نیست"
"General: Use of PayPal account for purchasing as well as receiving payments","عمومی: استفاده از حساب پی پال برای خرید همچنین دریافت پرداخت‌ها"
"General: Withdrawal from PayPal Account","عمومی: برداشت از حساب پی پال"
"General: Withdrawal to Non-Bank Entity","عمومی: برداشت موجودی غیر بانکی"
"General: adjustment of a type not belonging to the other T12xx categories","عمومی: تنظیم یک نوع به دیگر رده‌های T12xx وابسته نیست"
"General: bonus of a type not belonging to the other T08xx categories","عمومی: پاداش‌های یک نوع به دیگر رده‌های T08xx وابسته نیست"
"General: event not yet categorized","عمومی: رویداد هنوز رده‌بندی نشده است"
"General: non-payment fee of a type not belonging to the other T01xx categories","عمومی: هزینه‌ی غیر پرداختی یک نوع به دیگر رده‌های T01xx وابسته نیست"
"General: received payment of a type not belonging to the other T00xx categories","عمومی: پرداخت دریافت شده‌ی یک نوع به دیگر رده‌های T00xx وابسته نیست"
"General: reversal of a type not belonging to the other T11xx categories","عمومی: برگشت یک نوع به دیگر رده‌های T11xx وابسته نیست"
"General: temporary hold of a type not belonging to the other T15xx categories","عمومی: تعلیق موقت یک نوع به دیگر رده‌های T15xx وابسته نیست"
"Gift Certificate Payment: purchase of Gift Certificate","پرداخت گواهی هدیه: خرید گواهی هدیه"
"Gift Certificate Redemption","بازخرید گواهی هدیه"
"Hidden Virtual PayPal Debit Card Transaction","مخفی کردن تراکنش دبیت کارت مجازی پی پال"
"Hold for Dispute Investigation","تعلیق برای رسیدگی اختلاف"
"Incentive","پاداش"
"Mass Pay Payment","پرداخت Mass Pay"
"Merchant Referral Bonus","پاداش مراجعه‌ی فروشنده"
"Mobile Payment (made via a mobile phone)","پرداخت موبایل (ایجاد شده با یک گوشی موبایل)"
"Negative Balance","تراز منفی"
"Open Authorization","تصویب باز"
"PayPal Balance Manager function of PayPal account","مدیر مانده حساب پی پال از قابلیت حساب پی پال"
"PayPal Buyer Warranty Bonus","پاداش ضمانت خریدار پی پال"
"PayPal Debit Card Cash Advance","دبیت کارت نقدی پیشرفته‌ی پی پال"
"PayPal Debit Card Withdrawal from ATM","برداشت از ATM دبیت کارت پی پال"
"PayPal Protection Bonus","پاداش حفاظت پی پال"
"Payment Refund initiated by merchant","استرداد پرداخت آغاز شده توسط فروشنده"
"Points Incentive Redemption","بازخرید پاداش امتیازات"
"Postage Payment to either USPS or UPS","پرداخت پستی به هر یک از USPS یا UPS"
"Preapproved Payment (BillUser API, either sent or received","پرداخت از پیش تایید شده (API قبض کاربر)، هر یک از ارسال شده یا دریافت شده"
"Reauthorization","اجازه‌ی دوباره"
"Reimbursement of Chargeback","بازپرداخت بازگشت هزینه"
"Reversal","برگشت"
"Reversal of General Account Hold","برگشت تعلیق حساب عمومی"
"Reversal of Points Usage","برگشت استفاده‌ی امتیازات"
"Reversal of hold for Dispute Investigation","برگشت تعلیق برای رسیدگی اختلاف"
"Reward Voucher Redemption","بازخرید هزینه‌ی مژدگانی"
"Settlement Consolidation","تثبیت توافق"
"Subscription Payment, either payment sent or payment received","پرداخت اشتراک، هر یک از پرداخت ارسال شده یا پرداخت دریافت شده"
"User-initiated Currency Conversion","تبدیل ارز آغاز شده با مشتری"
"Virtual PayPal Debit Card Transaction","تراکنش دبیت کارت مجازی پی پال"
"Virtual Terminal Payment","پایانه‌ی پرداخت مجازی"
"Void","باطل"
"WorldLink Withdrawal","برداشت WorldLink"
"eBay Auction Payment","پرداخت حراج eBay"
"The PayPal certificate file is empty.","پرونده گواهی پی پال خالی است."
"Header (center)","سربرگ (مرکز)"
"Sidebar (right)","نوار کناری (راست)"
"Near PayPal Credit checkout button","نزدیک PayPal اعتبار پرداخت چک کنید"
"--Please Select--","--لطفا انتخاب کنيد--"
"Daily","روزانه"
"Every 3 days","هر 3 روز"
"Every 7 days","هر 7 روز"
"Every 10 days","هر 10 روز"
"Every 14 days","هر 14 روز"
"Every 30 days","هر 30 روز"
"Every 40 days","هر 40 روز"
"No Logo","بدون لوگو"
"Yes (PayPal recommends this option)","بله (پی پال این گزینه را توصیه می کند)"
"Created billing agreement #%1.","قرارداد صورتحساب #%1 ایجاد شده است."
"We can't create a billing agreement for this order.","ما نمی توانیم یک توافقنامه صورتحساب برای این سفارش ایجاد کنیم."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","پی پال در انتظار"
"PayPal Reversed","برگردادندن پی پال"
"PayPal Canceled Reversal","لغو برگشت پی پال"
"Error","خطا"
"Billing Agreement","قرارداد صدور صورت حساب"
"Please Select","لطفا انتخاب نمایید"
"Customer","مشتری"
"Created At","ايجاد شده در"
"Updated At","به روز شده در"
"Not sure what PayPal payment method to use? Click ","مطمئن نیستید که روش پرداخت PayPal چیست؟ کلیک "
"here","اینجا"
" to learn more."," بیشتر بدانید."
"Important: ","مهم: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","برای استفاده از PayPal Payments Advanced، باید حساب PayPal Payments Advanced خود را در وب سایت PayPal پیکربندی کنید."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","پس از وارد شدن به حساب PayPal Advanced خود، به تنظیمات سرویس - صفحه پرداخت های میزبانی شده - تنظیمات منو بروید و گزینه های شرح داده شده در زیر را تنظیم کنید"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","برای استفاده از اینترنت Payflow لینک شما باید حساب پی پال Payflow لینک در وب سایت پی پال را پیکربندی کنید."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","هنگامی که وارد PayPal Payflow Link Account شوید، به تنظیمات سرویس - صفحات پرداخت شده میزبانی شده - منو را تنظیم کرده و گزینه های شرح داده شده در زیر را تنظیم کنید"
"Credit Card Type","نوع کارت بانکی"
"Credit Card Number","شماره کارت بانکی"
"Expiration Date","تاريخ انقضا"
"Card Verification Number","CVV2"
"Billing Agreement # ","قرارداد صدور صورت حساب # "
"Agreement Information","اطلاعات قرارداد"
"Reference ID:","شناسه‌ی ارجاع:"
"Status:","وضعیت:"
"Created:","ایجاد شده:"
"Updated:","به روز شده:"
"Payment Method:","روش پرداخت:"
"Order #","سفارش #"
"Date","تاریخ"
"Ship To","ارسال به"
"Order Status","وضعيت سفارش"
"View Order","مشاهده‌ی سفارش"
"Back to Billing Agreements","بارگشت به قراردادهای صورت حساب"
"Payment Method","روش پرداخت"
"View","مشاهده"
"There are no billing agreements yet.","هنوز هیچ قرارداد صورت حسابی وجود ندارد."
"New Billing Agreement","قرارداد صدور صورت حساب جدید"
"You will be redirected to the payment system website.","شما به وب‌سایت سیستم پرداخت هدایت خواهید شد."
"-- Please Select --","-- لطفا انتخاب کنيد --"
"Create...","ایجاد..."
"Your credit card will be charged for","مبلغی که از کارت اعتباری شما کم خواهد شد"
"Your billing agreement # is: ","توافقنامه صورتحساب شما: #: "
"Shipping Method","روش ارسال"
"Please select a shipping method...","لطفا یک روش ارسال انتخاب نمایید..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","با عرض پوزش، در حال حاضر هیچ نظری برای این سفارش در دسترس نیست."
"Shipping Address","آدرس ارسال"
"Edit","ويرايش"
"Buy now with PayPal","اکنون با PayPal خریداری کنید"
"Edit Payment Information","ویرایش اطلاعات پرداخت"
"Items in Your Shopping Cart","آیتم‌ها در سبد خریدتان"
"Edit Shopping Cart","ویرایش سبد خرید"
"Place Order","ایجاد سفارش"
"Submitting order information...","ارایه‌ی اطلاعات سفارش..."
"Item","آیتم"
"Price","قيمت"
"Qty","تعداد"
"Subtotal","جمع جز"
"Please update order data to get shipping methods and rates","لطفا اطلاعات سفارش داده شده برای دریافت روش های حمل و نقل و نرخ را به روز رسانی کنید"
"or","یا"
"Checkout with PayPal","تسویه با پی پال"
"Please do not refresh the page until you complete payment.","لطفا تا زمانی که پرداخت شما تکمیل نشده است صفحه را نوسازی کنید ."
