"Billing Agreements","支払い同意"
"A wrong PayPal Express Checkout Token is specified.","誤ったPayPalエクスプレスチェックアウトトークンが指摘されました。"
"Express Checkout and Order have been canceled.","エクスプレスチェックアウトとオーダーはキャンセルされました。"
"Express Checkout has been canceled.","エクスプレスチェックアウトはキャンセルされました。"
"Unable to cancel Express Checkout","エクスプレスチェックアウトはキャンセルできません。"
"Please agree to all the terms and conditions before placing the order.","ご注文前にすべての契約条件にご同意ください。"
"We can't process Express Checkout approval.","エクスプレスチェックアウト商品は処理できません。"
"We can't initialize Express Checkout review.","エクスプレスチェックアウトリヴューは初期化できません。"
"We can't update shipping method.","発送方法をアップデートできません。"
"We can't start Express Checkout.","エクスプレスチェックアウトをスタートできません。"
"To check out, please sign in with your email address.","チェックアウトするのは、Eメールアドレスでサインインしてください。"
"Sorry, but something went wrong","申し訳ありませんが、何か問題が発生しました"
"Your payment has been declined. Please try again.","支払が拒否されました。再度お試しください。"
"Requested payment method does not match with order.","リクエストされたお支払い方法が注文と一致しません。"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","PayPalでの購入"
"Error processing payment, please try again later.","支払処理エラー。後で再度お試しください。"
"Authorization is not allowed.","オーソリアクションは許可されていません。"
"Payment Gateway is unreachable at the moment. Please use another payment option.","現在、支払いゲートウェイに到達できません。別の支払いオプションを使用してください。"
"PayPal response hasn't required fields.","PayPalレスポンスはフィールド必須ではありません。"
"Something went wrong while processing your order.","注文を処理中に問題が発生しました。"
"PayPal gateway has rejected request. %1","PayPalゲートウェイが要求を拒否しました %1"
"The PayPal gateway rejected the request. %1","PayPalゲートウェイが要求を拒否しました。 %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","申し訳ありませんが、お支払いを処理できませんでした。別の支払い方法を試すか、お問い合わせください。"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","申し訳ありませんが、トランザクションを完了できません。お問い合わせください。"
"A match of the Shipping Address City, State, and Postal Code failed.","配送先住所の市、県、郵便番号が一致しませんでした。"
"We can't place the order.","注文を行えません。"
"The payment method code is not set.","支払方法コードが設定されていません。"
"The reference ID is not set.","リファレンスIDがセットされていません。"
"Unable to save Billing Agreement:","支払合意が保存できませんでした:"
"Active","アクティブ"
"Canceled","キャンセル済"
"The customer ID is not set.","顧客IDが設定されていません。"
"The Billing Agreement status is not set.","支払合意が設定されていません。"
"The PayPal certificate does not exist.","PayPal認証が存在しません。"
"We prefer PayPal (150 X 60)","PayPal希望 (150 X 60)"
"We prefer PayPal (150 X 40)","PayPal希望 (150 X 40)"
"Now accepting PayPal (150 X 60)","PayPal使えます (150 X 60)"
"Now accepting PayPal (150 X 40)","PayPal使えます (150 X 40)"
"Payments by PayPal (150 X 60)","PayPalでの支払 (150 X 60)"
"Payments by PayPal (150 X 40)","PayPalでの支払 (150 X 40)"
"Shop now using (150 X 60)","この店で使用可能 (150 X 60)"
"Shop now using (150 X 40)","この店で使用可能 (150 X 40)"
"Dynamic","動的"
"Static","固定"
"Shortcut","ショートカット"
"Acceptance Mark Image","受領マーク画像"
"Authorization","オーソリ"
"Sale","セール"
"Yes","はい"
"No","いいえ"
"For Virtual Quotes Only","仮想見積もりのみ"
"Auto","自動"
"Ask Customer","顧客に相談"
"Never","まだ"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) のみ"
"API Signature","API署名"
"API Certificate","API証明書"
"The maximum number of child authorizations is reached.","子の権限最大数に達しました。"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","決済ゲートウェイが承認し次第額の1%を許可します。"
"The authorized amount is %1.","認証された額は%1です。"
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPalはゼロの残高では注文を処理できません。購入を完了するには通常のチェックアウト処理を行ってください。"
"A payer is not identified.","支払人が特定されていません。"
"Cannot get secure form URL from PayPal","PayPalから安全なフォームURLを得られませんでした"
"Last Transaction ID","前回のトランザクション ID"
"This customer didn't include a confirmed address.","この顧客は確認された住所を持っておりません。"
"The payment is authorized but not settled.","支払は認証されましたが決済しておりません。"
"The payment eCheck is not cleared.","支払eCheckはクリアされていません。"
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","商品はUS外のアカウントを持っており引き落としの方法を持っておりません。"
"The payment currency doesn't match any of the merchant's balances currency.","支払通貨はどのマーチャントの残高の通貨とマッチしません。"
"The payment is pending while it is being reviewed by PayPal for risk.","PayPalに危険がないかリビューされている間支払は保留されています。"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","まだ登録されてないか確認されてないEメールアドレス宛てになっているので支払は保留されています。"
"The merchant account is not yet verified.","マーチャントアカウントは確認されておりません。"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","支払はクレジットカードでおこなわれました。"
"Sorry, but something went wrong. Please contact PayPal customer service.","申し訳ありません、しかし問題が発生しました。PayPal顧客サービスにご連絡してください。"
"A reversal has occurred on this transaction due to a chargeback by your customer.","顧客による入金取り消しのためこのトランザクションで破棄が発生しました。"
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","顧客がマネーバック保証を実行したのでこのトランザクションで破棄が発生しました。"
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","顧客からのトランザクションに対する不満のためこのトランザクションで破棄が発生しました。"
"A reversal has occurred on this transaction because you have given the customer a refund.","顧客に返金を行なったためにこのトランザクションで破棄が発生しました。"
"Reversal of an adjustment.","調整費の破棄"
"Transaction reversal due to fraud detected by PayPal administrators.","PayPal管理者によって詐欺行為が検知されたためトランザクション破棄"
"Transaction reversal by PayPal administrators.","PayPal管理者によってトランザクション破棄"
"Reimbursement for a chargeback.","入金取り消しのための返金"
"Settlement of a chargeback.","入金取り消しの決済"
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","顧客の不正な偽装の疑惑の異議のためにこのトランザクションの破棄が発生しました。"
"Buyer claims that he did not receive goods or service.","購入者は商品あるいはサービスを受け取っていないと主張しています。"
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","購入者は受け取った商品あるいはサービスはマーチャントの商品あるいはサーピスの詳細と異なると主張しています。"
"Buyer claims that he/she did not authorize transaction.","購入者はトランザクションを承諾していないと主張しています。"
"A case that has been resolved and close requires a reimbursement.","事案は解決され終了するには返金が必要です。"
"Buyer claims that a possible duplicate payment was made to the merchant.","購入者はマーチャントに数度被った支払をおこなったと主張しています。"
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","購入者は受け取った商品は不満足か、不完全か、傷ついていると主張しています。"
"Unknown reason. Please contact PayPal customer service.","理由が不明。PayPalの顧客サービスに連絡してください。"
"Payer ID","支払人ID"
"Payer Email","支払人Eメール"
"Payer Status","支払人ステータス"
"Payer Address ID","支払人住所ID"
"Payer Address Status","支払人住所ステータス"
"Merchant Protection Eligibility","マーチャント保護適正"
"Triggered Fraud Filters","不正フィルタを発動"
"Last Correlation ID","前回の相関ID"
"Address Verification System Response","住所確認システムレスポンス"
"CVV2 Check Result by PayPal","PayPalによるCVV2チェック結果"
"AVS Street Match","AVS番地合致"
"AVS zip","AVS郵便番号"
"International AVS response","国際AVSレスポンス"
"Buyer's Tax ID","購入者の税ID"
"Buyer's Tax ID Type","購入者の税IDタイプ"
"Chargeback","取り消し"
"Complaint","異論"
"Dispute","意義申し立て"
"Matched Address only (no ZIP)","住所のみ合致 (ZIPなし)"
"Matched Address only (no ZIP) International","住所のみ合致 (ZIPなし) 海外配送"
"No Details matched","合致する詳細なし。"
"No Details matched. International","合致する詳細なし。 海外郵送"
"Exact Match.","完全合致。"
"Exact Match. Address and Postal Code. International","完全合致。住所と郵便番号。海外郵送"
"Exact Match. Address and Postal Code. UK-specific","完全合致。住所と郵便番号。 UKのみ"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. MOTO (Internet/Phone) トランザクションは許可されていません"
"N/A. Global Unavailable","N/A. 海外配送なし"
"N/A. International Unavailable","N/A. 海外配送なし"
"Matched five-digit ZIP only (no Address)","5桁ZIPのみ (住所なし)"
"Matched Postal Code only (no Address)","郵便番号のみ合致(住所なし)"
"N/A. Retry","N/A. 再試行"
"N/A. Service not Supported","N/A. サービスはサポートされていません"
"N/A. Unavailable","N/A. 無効"
"Matched whole nine-digit ZIP (no Address)","９桁郵便番号合致（住所無し）"
"Yes. Matched Address and five-digit ZIP","はい、５桁の郵便番号と住所が合致"
"All the address information matched","全ての住所情報が合致しました"
"None of the address information matched","合致する住所はありませんでした"
"Part of the address information matched","一部の住所は合致しました"
"N/A. The merchant did not provide AVS information","N/A. マーチャントはAVS情報を提供しませんでした"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A.住所未確認か取得者から反応がありません。サーピスが有効ではありません"
"Matched (CVV2CSC)","合致 (CVV2CSC)"
"No match","合致するものなし"
"N/A. Not processed","N/A. 未処理"
"N/A. Service not supported","N/A. サービス未サポート"
"N/A. Service not available","N/A. サービス無効"
"N/A. No response","N/A. 反応なし"
"Matched (CVV2)","合致 (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. マーチャントはCVV2コード処理を実装していません"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. マーチャントはCVV2がカードのプレゼントか指定してません"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","クレジットカード"
"ending","エンディング"
"expires","失効する"
"Note: %1","注意: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". ケースタイプ ""%2"". ケースID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"".異議申し立ては解決してクローズになりました。 %2 トランザクション額 %3."
"You notified customer about invoice #%1.","請求書について顧客に連絡しました #%1."
"We cannot cancel this order.","この注文をキャンセルできません"
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 トランザクション額 %3. トランザクションID: ""%4"""
"You notified customer about creditmemo #%1.","クレジットメモについて顧客に連絡しました #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","ペイフロー PNREF: #%1."
"Unable to fetch transaction details.","トランザクション詳細を取得できませんでした"
"Invalid method %1::%2","メソッドが無効です %1::%2"
"Transaction has been declined","トランザクションは却下されました"
"Error processing payment. Please try again later.","支払いの処理中にエラーが発生しました。後でもう一度お試しください。"
"We cannot send the new order email.","新しい注文Eメールを送れません。"
"Payment error. %value was not found.","支払いエラー。%valueが見つかりませんでした。"
"You cannot void a verification transaction.","確認トランザクションを破棄することはできません。"
"You need an authorization transaction to void.","破棄するには認証トランザクションが必要です。"
"We can't issue a refund transaction because there is no capture transaction.","取り置きトランザクションがないため返金トランザクションを発行できません。"
"We cannot create a target file for reading reports.","レポート確認のためのターゲットファイルが作成できません。"
"Report Date","報告日"
"Merchant Account","マーチャントアカウント"
"Transaction ID","トランザクションID"
"Invoice ID","請求書ID"
"PayPal Reference ID","PayPalリファレンスID"
"PayPal Reference ID Type","PayPalリファレンスIDタイプ"
"Event Code","イベントコード"
"Event","イベント"
"Start Date","開始日"
"Finish Date","最終日"
"Debit or Credit","デビットかクレジット"
"Gross Amount","総額"
"Fee Debit or Credit","デビットかクレジット料金"
"Fee Amount","料金額"
"Custom","カスタム"
"Order ID","注文 ID"
"Preapproved Payment ID","事前承認払いID"
"Subscription ID","購読ID"
"Credit","クレジット"
"Debit","デビット"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH振り込み(異議申し立てのため保留か他の調査)"
"ACH Deposit (Reversal)","ACH振り込み(破棄)"
"ACH Funding for Funds Recovery from Account Balance","ACHアカウント残高からのファンド回復のためのACHファンディング"
"ACH Withdrawal","ACH引き落とし"
"Account-to-Account Payment, initiated by PayPal","アカウント間の支払, PayPal主導"
"Auction Payment other than through eBay","eBay以外のオークション支払"
"AutoSweep","オートスイープ"
"Available Balance","残高"
"Balance Manager Account Bonus","残高マネージャーアカウントボーナス"
"Bonus for first ACH Use","ACHを初めて使用したボーナス"
"Buyer Credit Payment","購入者クレジット支払"
"Charge-off","処理費用"
"Coupon Redemption","クーポン償還"
"Currency Conversion required to cover negative balance","通貨変換は残高マイナスをカバーすることが必須です"
"Debit Card Cash Back","デビットカードキャッシュバック"
"Debit Card Transaction","デビットカードトランザクション"
"Direct Payment API","直払いAPI"
"EFT Funding (German banking)","EFTファンディング (ドイツ)"
"Express Checkout APIs","エクスプレスチェックアウトAPIs"
"Fee Reversal","費用破棄"
"Fee: Foreign ACH Withdrawal","料金: 海外ACH引き落とし"
"Fee: Mass Pay Request","料金: 総合支払リクエスト"
"Fee: Web Site Payments Pro Account Monthly","料金: ウェブサイト支払月額プロアカウント"
"Fee: WorldLink Check Withdrawal","料金: ワールドリンクチェック引き落とし"
"Funding","ファンディング"
"General (Authorization)","全般 (権限)"
"General (Dividend)","全般 (配当)"
"General (Funds Transfer from PayPal Account to Another)","全般 (Paypalのアカウントから別へのファンドトランスファー)"
"General (Purchase with a credit card)","全般 (クレジットカードで購入)"
"General Adjustment without businessrelated event","ビジネス関連イベントなしの全般調整"
"General Currency Conversion","全般通貨変換"
"General Funding of PayPal Account ","PayPalアカウントの全般ファンディング"
"General Redemption","全般償還"
"General Withdrawal from PayPal Account","PayPalアカウントから全般引き落とし"
"General. Product no longer supported","全般。 製品はもはやサポートされていません。"
"General: Use of PayPal account for purchasing as well as receiving payments","全般: PayPalのアカウントを使用による購入だけでなく支払の受け取り"
"General: Withdrawal from PayPal Account","全般: PayPalアカウントから引き落とし"
"General: Withdrawal to Non-Bank Entity","全般: 銀行以外に引き落とし"
"General: adjustment of a type not belonging to the other T12xx categories","全般: T12xxカテゴリ以外の属さないタイプの調整"
"General: bonus of a type not belonging to the other T08xx categories","全般: T08xxカテゴリ以外の属さないタイプのボーナス"
"General: event not yet categorized","全般: カテゴリされていないイベント"
"General: non-payment fee of a type not belonging to the other T01xx categories","全般: T01xxカテゴリ以外の属さないタイプの支払のない料金"
"General: received payment of a type not belonging to the other T00xx categories","全般: T00xxカテゴリ以外の属さないタイプの支払の受け取った支払"
"General: reversal of a type not belonging to the other T11xx categories","全般: T11xxカテゴリ以外の属さないタイプの破棄"
"General: temporary hold of a type not belonging to the other T15xx categories","全般: 他のT15xxカテゴリに属さないタイプの一時保留"
"Gift Certificate Payment: purchase of Gift Certificate","ギフト券支払: ギフト券の購入"
"Gift Certificate Redemption","ギフト券償還"
"Hidden Virtual PayPal Debit Card Transaction","隠し仮想PayPalデビットカードトランザクション"
"Hold for Dispute Investigation","異議申し立て調査のために保留"
"Incentive","インセンティブ"
"Mass Pay Payment","総合Pay支払"
"Merchant Referral Bonus","マーチャント関連付けボーナス"
"Mobile Payment (made via a mobile phone)","携帯支払 (携帯からの支払)"
"Negative Balance","マイナス残高"
"Open Authorization","オープン権限"
"PayPal Balance Manager function of PayPal account","PayPalアカウントのPayPal残高管理機能"
"PayPal Buyer Warranty Bonus","PayPal購入者保証ボーナス"
"PayPal Debit Card Cash Advance","PayPalデビットカードキャッシュアドバンス"
"PayPal Debit Card Withdrawal from ATM","PayPalのATMからのデビットカード引き落とし"
"PayPal Protection Bonus","PayPal保護ボーナス"
"Payment Refund initiated by merchant","マーチャントによる支払返金実行"
"Points Incentive Redemption","ポイントインセンティブ償還"
"Postage Payment to either USPS or UPS","USPSまたはUPSへの郵便料金支払い"
"Preapproved Payment (BillUser API, either sent or received","事前承認された支払 (BillUser API, 送ったか受け取りのどちらか"
"Reauthorization","再権限設定"
"Reimbursement of Chargeback","入金取り消しの返済"
"Reversal","破棄"
"Reversal of General Account Hold","一般アカウント保留の破棄"
"Reversal of Points Usage","ポイント使用の破棄"
"Reversal of hold for Dispute Investigation","異議申し立ての調査のための保留の破棄"
"Reward Voucher Redemption","報酬バウチャー破棄"
"Settlement Consolidation","一括決済"
"Subscription Payment, either payment sent or payment received","購読支払、支払が送れれたか受け取られたか"
"User-initiated Currency Conversion","ユーザー主導の通貨変換"
"Virtual PayPal Debit Card Transaction","仮想PayPalデビットカードトランザクション"
"Virtual Terminal Payment","仮想ターミナル支払"
"Void","無効"
"WorldLink Withdrawal","ワールドリンク引き落とし"
"eBay Auction Payment","eBayオークション支払"
"The PayPal certificate file is empty.","The PayPal認証ファイルは空です。"
"Header (center)","ヘッダー (真ん中)"
"Sidebar (right)","サイドバー (右)"
"Near PayPal Credit checkout button","PayPalクレジットチェックアウトボタンのそば"
"--Please Select--","--選択してください--"
"Daily","毎日"
"Every 3 days","毎3日"
"Every 7 days","毎7日"
"Every 10 days","毎10日"
"Every 14 days","毎14日"
"Every 30 days","毎30日"
"Every 40 days","毎40日"
"No Logo","ロゴなし"
"Yes (PayPal recommends this option)","はい (PayPalはこのオプションを推奨します)"
"Created billing agreement #%1.","支払契約を作成 #%1."
"We can't create a billing agreement for this order.","この注文のための支払契約を作成できません。"
"An invoice cannot be created when none of authorization transactions available.","利用可能な認証トランザクションが1つもない場合、請求書を作成することはできません。"
"Pending PayPal","PayPal保留"
"PayPal Reversed","PayPal予約"
"PayPal Canceled Reversal","PayPalは破棄をキャンセルしました"
"Error","エラー"
"Billing Agreement","支払合意"
"Please Select","選択してください"
"Customer","顧客"
"Created At","作成日"
"Updated At","更新日"
"Not sure what PayPal payment method to use? Click ","どのPayPal支払手段を使うかわかりません？ クリック"
"here","ここ"
" to learn more."," 詳細は。"
"Important: ","重要:"
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","PayPal Payments Advancedを使用するには、PayPalウェブサイト上で PayPal Payments Advancedのアカウントを設定しなければなりません。"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Advanced アカウントにログインすると, サービス設定に移動 - 所持するチェックアウトページ - メニューの設定と下で説明されたオプションの設定"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","PayPal Payflowリンクを使うには、PayPal PayflowリンクアカウントをPayPalウェブサイトにて設定しなければなりません。"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Payflowリンクアカウントにログインすると, サービス設定に移動 - 所持するチェックアウトページ - メニューの設定と下で説明されたオプションの設定"
"Credit Card Type","クレジットカード会社"
"Credit Card Number","クレジットカード番号"
"Expiration Date","有効期限日"
"Card Verification Number","セキュリティコード"
"Billing Agreement # ","支払合意 # "
"Agreement Information","合意情報"
"Reference ID:","リファレンスID:"
"Status:","状態:"
"Created:","作成日:"
"Updated:","アップデート日:"
"Payment Method:","支払方法:"
"Order #","注文 #"
"Date","日付"
"Ship To","配送先"
"Order Status","注文ステータス"
"View Order","注文の詳細を表示"
"Back to Billing Agreements","支払合意に戻る"
"Payment Method","お支払方法"
"View","表示"
"There are no billing agreements yet.","まだ支払合意がありません。"
"New Billing Agreement","新しい支払合意"
"You will be redirected to the payment system website.","支払システムのウェブサイトに転送されます。"
"-- Please Select --","-- 選択してください --"
"Create...","作成..."
"Your credit card will be charged for","クレジットカードでお支払いただく金額"
"Your billing agreement # is: ","あなたの支払合意番号は: "
"Shipping Method","お届け方法"
"Please select a shipping method...","送付方法を選んで下さい..."
"Update Shipping Method","配送方法をアップデート"
"Sorry, no quotes are available for this order right now.","申し訳ありません、現在この注文の見積もりはできません。"
"Shipping Address","お届け先住所"
"Edit","編集"
"Buy now with PayPal","PayPalで購入しましょう"
"Edit Payment Information","支払情報編集"
"Items in Your Shopping Cart","ショッピングカートにある商品"
"Edit Shopping Cart",";ショッピングカート編集"""
"Place Order","注文を確定する"
"Submitting order information...","注文情報を送信しています。。。"
"Item","商品"
"Price","価格"
"Qty","個数"
"Subtotal","小計"
"Please update order data to get shipping methods and rates","配送方法とレートを得るには注文データをアップデートしてください"
"or","または"
"Checkout with PayPal","PayPalでチェックアウト"
"Please do not refresh the page until you complete payment.","支払を完了するまでページをリフレッシュしないでください。"
"You will be required to enter your payment details after you place an order.","注文を行なった後で支払詳細を入力することが求められます。"
"Continue","続ける"
"Additional Options","追加オプション"
"-- Please Select Billing Agreement--","-- 支払合意を選択してください--"
"Acceptance Mark","許可マーク"
"What is PayPal?","PayPalとは？"
"Sign a billing agreement to streamline further purchases  with PayPal.","請求合意にサインして今後のPayPalでの購入を円滑にしましょう。"
"Sign a billing agreement to streamline further purchases with PayPal.","PayPalでさらに購入を合理化するための請求契約書に署名してください。"
"Continue to PayPal","PayPalに進む"
"Save credit card information for future use.","将来の使用のためにクレジットカード情報を保存してください。"
"Sorry, something went wrong.","申し訳ありません、問題が発生しました"
"Sorry, something went wrong. Please try again later.","申し訳ありません、問題が発生しました。後で再度お試しください。"
"PayPal Section","PayPalセクション"
"PayPal Settlement","PayPal決済"
"Fetch","フェッチ"
"Actions","アクション"
"Manage","管理"
"Place Order Using Billing Agreements","請求契約書を使用した発注"
"Orders","注文"
"Payment Amount Authorization","支払い金額の承認"
"Merchant Location","マーチャントの場所"
"Merchant Country","マーチャントの国"
"If not specified, Default Country from General Config will be used","指定されてなければ、一般設定のデフォルトの国が使われます"
"Recommended Solutions:","推奨ソリューション:"
"Other PayPal Payment Solutions:","その他のPayPal支払いソリューション:"
"Other Payment Methods:","その他の支払い方法:"
"PayPal Express Checkout","PayPalエクスプレスチェックアウト"
"Add another payment method to your existing solution or as a stand-alone option.","既に存在する処理法に別の支払方法を追加するかスタンドアローンオプションとしてください。"
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPalオールインワン支払いソリューション&nbsp"
"Choose a secure bundled payment solution for your business.","あなたのビジネス用の安全なバンドル支払方法を選択してください。"
"Payments Pro","ペイメンツプロ"
"Payments Pro and Express Checkout","支払プロとエクスプレスチェックアウト"
"Basic Settings - PayPal Payments Pro","基本設定 - PayPalペイメントプロ"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal支払いゲートウェイ&nbsp"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPalオールインワン支払いソリューション&nbsp"
"Accept payments with a completely customizable checkout page.","完全にカスタマイズできるチェックアウトページの支払を受付"
"Process payments using your own internet merchant account.","自身のインターネットマーチャントアカウントを使って支払を処理する。"
"Website Payments Pro","ウェブサイトペイメントプロ"
"Express Checkout","エクスプレスチェックアウト"
"Add PayPal as an additional payment method to your checkout page.","PayPalを追加支払手段をチェックアウトページに追加"
"Required PayPal Settings","必須PayPal設定"
"Email Associated with PayPal Merchant Account (Optional)","PayPalマーチャントアカウントに紐付けられたEメール(オプション)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">PayPalを通しての支払いの受付開始</a>"
"Don't have a PayPal account? Simply enter your email address.","PayPalアカウントをお持ちではないですか？ Eメールアドレスを入力してください"
"API Authentication Methods","API 権限メソッド"
"API Username","API ユーザー名"
"API Password","API パスワード"
"Get Credentials from PayPal","PayPalから証明書を受け取る"
"Sandbox Mode","保護モード"
"API Uses Proxy","APIはプロキシーを使用します"
"Proxy Host","プロキシーホスト"
"Proxy Port","プロキシーポート"
"Enable this Solution","このソリューションを有効にする"
"Enable In-Context Checkout Experience","コンテキスト内チェックアウトの使用を有効にする"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","PayPal機能のサポートの詳細とサポートされている地域の一覧をご覧ください：<a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">一覧</a>。"
"Merchant Account ID","マーチャントアカウントID"
"Enable PayPal Credit","PayPalクレジットを有効化"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPalエクスプレスチェックアウトでは、PayPalクレジット&#174; によるファイナンスへのアクセスを顧客に追加費用なしで提供できます。
                        顧客が支払う時間が増えても、前払いを取得できます。 事前に統合された支払いボタンにより、顧客はPayPalクレジット&#174;ですぐに支払うことができます。
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">詳細はこちら</a>"
"Sort Order PayPal Credit","PayPalクレジットをソートする"
"Advertise PayPal Credit","PayPalクレジットを広告化"
