"Billing Agreements","Acordos de Faturamento"
"The billing agreement ""%1"" has been canceled.","O acordo de faturamento ""%1"" foi cancelado."
"The billing agreement ""%1"" has been created.","O acordo de cobrança ""%1"" foi criado."
"We couldn't finish the billing agreement wizard.","Não conseguimos  terminar o assistente de acordo faturamento."
"We can't start the billing agreement wizard.","Nós Não podemos iniciar o assistente de acordo faturamento."
"Billing Agreement # %1","Acordo de Faturamento # %1"
"We can't initialize Express Checkout.","Não foi possível inicializar Express Checkout."
"PayPal Express Checkout Token does not exist.","O Token do PayPal Checkout Express não existe."
"A wrong PayPal Express Checkout Token is specified.","Um token incorreto do PayPal Express Checkout foi especificado."
"Express Checkout and Order have been canceled.","O Express Checkout e o Pedido foram cancelados."
"Express Checkout has been canceled.","O Express Checkout foi cancelado."
"Unable to cancel Express Checkout","Não foi possível cancelar o Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer o pedido."
"We can't process Express Checkout approval.","Não podemos processar o pedido de aprovação Express Checkout."
"We can't initialize Express Checkout review.","Não foi possível inicializar o Express Checkout de avaliação."
"We can't update shipping method.","Não é possível atualizar o método de envio."
"We can't start Express Checkout.","Não podemos começar Express Checkout."
"To check out, please sign in with your email address.","Para finalizar, por favor, faça o login com seu e-mail."
"Sorry, but something went wrong","Desculpe, mas algo deu errado"
"Your payment has been declined. Please try again.","Seu pagamento foi recusado. Por favor, tente novamente."
"Requested payment method does not match with order.","O método de pagamento solicitado não coincide com o do pedido."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Gostaria de assinar um acordo de faturamento para finalizar as suas futuras compras PayPal mais rapidamente?"
"Error processing payment, please try again later.","Erro ao processar o pagamento, por favor tente novamente mais tarde."
"Authorization is not allowed.","Autorização não permitida."
"Payment Gateway is unreachable at the moment. Please use another payment option.","O Gateway de Pagamento está inacessível no momento. Por favor, use outra opção de pagamento."
"PayPal response hasn't required fields.","PayPal não tem exigido campos."
"Something went wrong while processing your order.","Ocorreu um erro ao processar seu pedido."
"PayPal gateway has rejected request. %1","O gateway PayPal rejeitou a solicitação. %1"
"The PayPal gateway rejected the request. %1","O gateway PayPal rejeitou a solicitação. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Sinto muito - mas não fomos capazes de processar o pagamento. Por favor, tente outra forma de pagamento ou entre em contato conosco para que possamos ajudá-lo."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Sinto muito - não foi capaz de concluir a transação. Entre em contato conosco para que possamos ajudá-lo."
"A match of the Shipping Address City, State, and Postal Code failed.","A Cidade de Entrega, Estado e Código Postal Estão Incorretos."
"We can't place the order.","Não foi possível fazer o pedido."
"The payment method code is not set.","O código do método de pagamento não está definido."
"The reference ID is not set.","O ID de referência não está definido."
"Unable to save Billing Agreement:","Não foi possível gravar o Acordo de Faturamento:"
"Active","Ativo"
"Canceled","Cancelado"
"The customer ID is not set.","O ID de cliente não está definido."
"The Billing Agreement status is not set.","O estado do Acordo de faturamento não está definido."
"The PayPal certificate does not exist.","O certificado PayPal não existe."
"We prefer PayPal (150 X 60)","Nós preferimos PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Nós preferimos PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Aceitamos PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Aceitamos PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos por PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Pagamentos por PayPal (150 X 40)"
"Shop now using (150 X 60)","Compre agora usando (150 X 60)"
"Shop now using (150 X 40)","Compre agora usando (150 X 40)"
"Dynamic","Dinâmico"
"Static","Estático"
"Shortcut","Atalho"
"Acceptance Mark Image","Imagem de Marca de Aceitação"
"Authorization","Autorização"
"Sale","Venda"
"Yes","Sim"
"No","Não"
"For Virtual Quotes Only","Apenas para Orçamentos Virtuais"
"Auto","Automático"
"Ask Customer","Pergunte ao cliente"
"Never","Nunca"
"IPN (Instant Payment Notification) Only","Apenas IPN (Instant Payment Notification)"
"API Signature","Assinatura da API"
"API Certificate","Certificado da API"
"The maximum number of child authorizations is reached.","Foi atingido o número máximo de autorizações descendentes."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Vamos autorizar a quantidade de %1  logo que o gateway de pagamento aprove."
"The authorized amount is %1.","O valor autorizado é %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal não pode processar ordens com um zero saldo devido. Para finalizar sua compra, por favor, vá através do processo de compra standard."
"A payer is not identified.","Um pagador não foi identificado."
"Cannot get secure form URL from PayPal","Não foi possível obter o URL de formulário seguro do PayPal"
"Last Transaction ID","ID da Última Transação"
"This customer didn't include a confirmed address.","Este cliente não incluiu um endereço confirmado."
"The payment is authorized but not settled.","O pagamento está autorizado, mas não liquidado."
"The payment eCheck is not cleared.","O eCheck de pagamento não está liquidado."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","O comerciante titular de uma conta fora dos EUA. E não tem um mecanismo de retirada."
"The payment currency doesn't match any of the merchant's balances currency.","A moeda de pagamento não corresponde a nenhum de moeda saldos do comerciante."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente enquanto é revisado pelo PayPal para um risco potencial."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito com um endereço de e-mail que não está registrado ou confirmado."
"The merchant account is not yet verified.","A conta de vendedor ainda não está verificada."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito com cartão de crédito. Para receber o pagamento, o vendedor deve atualizar o status de sua conta para Business ou Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Desculpe, mas algo deu errado. Por favor, entre em contato com o Serviço de Apoio ao Cliente do PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Ocorreu uma anulação nesta transação devido a um cancelamento por parte do cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Ocorreu uma anulação nesta transação devido a ativação da garantia de reembolso."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Ocorreu uma anulação nesta transação devido a uma reclamação sobre a transação por parte do cliente."
"A reversal has occurred on this transaction because you have given the customer a refund.","Ocorreu uma anulação nesta transação porque você reembolsou o cliente."
"Reversal of an adjustment.","Revogação de um ajuste."
"Transaction reversal due to fraud detected by PayPal administrators.","Transação anulada devido à detecção de fraude encontrada pelos administradores do PayPal."
"Transaction reversal by PayPal administrators.","Transação anulada pelos administradores do PayPal."
"Reimbursement for a chargeback.","Reembolso para uma devolução."
"Settlement of a chargeback.","Liquidação de um cancelamento."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Ocorreu uma anulação nesta transação porque existe uma disputa de suspeita de falsificação."
"Buyer claims that he did not receive goods or service.","Comprador afirma que ele não recebeu a mercadoria ou serviço."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","O comprador afirma que os bens ou serviçõs recebidos diferem da descrição dos mesmos feita pelo vendedor."
"Buyer claims that he/she did not authorize transaction.","O comprador alega que ele/ela não autorizou a transação."
"A case that has been resolved and close requires a reimbursement.","Um caso que já foi resolvido e fechado requer um reembolso."
"Buyer claims that a possible duplicate payment was made to the merchant.","O comprador alega que um provável pagamento duplicado foi feito para o vendedor."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","O comprador alega que a mercadoria recebida não é satisfatória, está com defeito ou está danificada."
"Unknown reason. Please contact PayPal customer service.","Razão desconhecida. Por favor, entre em contato com o Serviço de Atendimento ao Cliente do PayPal."
"Payer ID","ID do Pagador"
"Payer Email","E-mail do Pagador"
"Payer Status","Status do Pagador"
"Payer Address ID","ID do Endereço do Pagador"
"Payer Address Status","Status do Endereço do Pagador"
"Merchant Protection Eligibility","Eligibilidade para Proteção do Vendedor"
"Triggered Fraud Filters","Filtros de Fraude Acionados"
"Last Correlation ID","ID da Última Correlação"
"Address Verification System Response","Resposta do Sistema de Verificação de Endereço"
"CVV2 Check Result by PayPal","Resultado da Verificação CVV2 pelo PayPal"
"AVS Street Match","Correspondência de Morada AVS"
"AVS zip","Cód. Postal AVS"
"International AVS response","Reposta AVS internacional"
"Buyer's Tax ID","Os compradores de identificação fiscal"
"Buyer's Tax ID Type","Os compradores Imposto Tipo ID"
"Chargeback","Cancelamento"
"Complaint","Reclamação"
"Dispute","Disputa"
"Matched Address only (no ZIP)","Apenas endereços correspondentes (sem CEP)"
"Matched Address only (no ZIP) International","Apenas endereços correspondentes (sem CEP) internacional"
"No Details matched","Nenhum dos Detalhes correspondido"
"No Details matched. International","Nenhum dos Detalhes correspondido. Internacional"
"Exact Match.","Correspondência exata."
"Exact Match. Address and Postal Code. International","Correspondência Exata. Endereço e Código Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Correspondência Exata. Endereço e Código Postal. Específico do Reino Unido"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Não permitido para transações MOTO (Internet/Telefone)"
"N/A. Global Unavailable","N/D. Indisponível Globalmente"
"N/A. International Unavailable","N/D. Indisponível Internacionalmente"
"Matched five-digit ZIP only (no Address)","CEP de apenas cinco dígitos (sem endereço)"
"Matched Postal Code only (no Address)","Apenas CEP (sem endereço)"
"N/A. Retry","N/D. Tente Novamente"
"N/A. Service not Supported","N/D. Serviço não suportado"
"N/A. Unavailable","N/D. Indisponível"
"Matched whole nine-digit ZIP (no Address)","CEP de 9 dígitos (sem endereço)"
"Yes. Matched Address and five-digit ZIP","Sim. Endereço de correspondência e CEP de cinco dígitos"
"All the address information matched","Todas as informações do endereço foram correspondidas"
"None of the address information matched","Nenhuma das informações do endereço foi correspondida"
"Part of the address information matched","Parte das informações do endereço combinaram"
"N/A. The merchant did not provide AVS information","N/A. O comerciante não forneceu informações de AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. Endereço não verificado ou o adquirente não obteve resposta. Serviço indisponível"
"Matched (CVV2CSC)","Correspondido (CVV2CSC)"
"No match","Não corresponde"
"N/A. Not processed","N/D. Não processado"
"N/A. Service not supported","N/D. Serviço não suportado"
"N/A. Service not available","N/D. Serviço não disponível"
"N/A. No response","N/D. Nenhuma resposta"
"Matched (CVV2)","Correspondido (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/D. O vendedor não implementou a manipulação do código CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. O vendedor indicou que o CVV2 não está presente no cartão"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Cartão de Crédito"
"ending","acabando em"
"expires","expira em"
"Note: %1","Nota: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tipo de Caso ""%2"". ID do Caso: ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Uma disputa foi resolvida e fechada. %2 Montante da transação %3."
"You notified customer about invoice #%1.","Você notificou o cliente sobre a fatura #%1."
"We cannot cancel this order.","Você não pode cancelar esse pedido."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Valor da Transação %3. ID de Transação: ""%4"""
"You notified customer about creditmemo #%1.","Você notificou o cliente referente a nota de crédito #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Fluxo de pagamento PNREF: #%1."
"Unable to fetch transaction details.","Não foi possível obter os detalhes da transação."
"Invalid method %1::%2","Método inválido %1::%2"
"Transaction has been declined","A transação foi recusada"
"Error processing payment. Please try again later.","Erro ao processar o pagamento. Por favor, tente novamente mais tarde."
"We cannot send the new order email.","Não conseguimos enviar o e-mail do novo pedido."
"Payment error. %value was not found.","Erro de pagamento. % do valor não foi encontrado."
"You cannot void a verification transaction.","Você não pode anular uma transação de verificação."
"You need an authorization transaction to void.","Precisa de uma transação de autorização para anular."
"We can't issue a refund transaction because there is no capture transaction.","Não podemos emitir uma transação reembolso porque não há nenhuma operação de captura."
"We cannot create a target file for reading reports.","Não conseguimos criar um arquivo de destino para a leitura de relatórios."
"Report Date","Data do Relatório"
"Merchant Account","Conta de Comerciante"
"Transaction ID","ID Transação"
"Invoice ID","ID da Fatura"
"PayPal Reference ID","ID de Referência PayPal"
"PayPal Reference ID Type","Tipo do ID da Referência PayPal"
"Event Code","Código do Evento"
"Event","Evento"
"Start Date","Data de Início"
"Finish Date","Data de Término"
"Debit or Credit","Débito ou Crédito"
"Gross Amount","Montante Bruto"
"Fee Debit or Credit","Taxa de Débito ou Crédito"
"Fee Amount","Valor da Taxa"
"Custom","Personalizado"
"Order ID","ID do Pedido"
"Preapproved Payment ID","ID do Pagamento Pré-aprovado"
"Subscription ID","ID de assinatura"
"Credit","Crédito"
"Debit","Débito"
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (Contenção para Disputa ou Outra Investigação)"
"ACH Deposit (Reversal)","Depósito ACH (Reversão)"
"ACH Funding for Funds Recovery from Account Balance","ACH Financiamento, para recuperação de fundos do saldo da conta"
"ACH Withdrawal","ACH Retirada"
"Account-to-Account Payment, initiated by PayPal","Conta-para-Conta de Pagamento, Iniciada pelo PayPal"
"Auction Payment other than through eBay","Pagamento por Leilão sem ser pelo eBay"
"AutoSweep","Varredura automática"
"Available Balance","Saldo disponível"
"Balance Manager Account Bonus","Bónus da Conta da Gestão de Saldo"
"Bonus for first ACH Use","Bônus para o primeiro uso de ACH"
"Buyer Credit Payment","Pagamento de crédito do comprador"
"Charge-off","Reembolso"
"Coupon Redemption","Reembolsar Cupom"
"Currency Conversion required to cover negative balance","Conversão de moeda necessário para cobrir o saldo negativo"
"Debit Card Cash Back","Reembolsos de Cartão de Débito"
"Debit Card Transaction","Transação com cartão de débito"
"Direct Payment API","Pagamento Direto API"
"EFT Funding (German banking)","Financiamento EFT (Banco Alemão)"
"Express Checkout APIs","APIs de Checkout Express"
"Fee Reversal","Taxa de Cancelamento"
"Fee: Foreign ACH Withdrawal","Taxa: Levantamento Estrangeiro ACH"
"Fee: Mass Pay Request","Taxa: Solicitação de pagamento em massa"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Pagamento do site Pagamentos Pro conta mensal"
"Fee: WorldLink Check Withdrawal","Taxa: Levantamento de Cheque WorldLink"
"Funding","Financiamento"
"General (Authorization)","Geral (Autorização)"
"General (Dividend)","Geral (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","Geral (Transferência de Fundos da Conta PayPal para Outra Conta)"
"General (Purchase with a credit card)","Geral (Compra com um cartão de crédito)"
"General Adjustment without businessrelated event","Ajuste Geral sem nenhum evento comercial relacionado"
"General Currency Conversion","Conversão de moeda"
"General Funding of PayPal Account ","Financiamento Geral da Conta PayPal "
"General Redemption","Reembolso Geral"
"General Withdrawal from PayPal Account","Levantamento Geral da Conta PayPal"
"General. Product no longer supported","Geral. Não há mais suporte para o produto"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Uso da conta PayPal para efetuar compras bem como para receber pagamentos"
"General: Withdrawal from PayPal Account","Geral: Retirada da conta PayPal"
"General: Withdrawal to Non-Bank Entity","Geral: Retirada de entidade não-bancárias"
"General: adjustment of a type not belonging to the other T12xx categories","Todos"
"General: bonus of a type not belonging to the other T08xx categories","Geral: bónus de um tipo não pertencente às outras categorias T08xx"
"General: event not yet categorized","Geral: evento ainda não categorizado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: taxa não respetiva a um pagamento de um tipo que não pertence às outras categorias T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Geral: foi recebido um pagamento de um tipo que não pertence às outras categorias T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Geral: inversão de um tipo não pertencente às outras categorias T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: bloqueio temporário de um tipo não pertencente às outras categorias T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento de Cartão de Oferta: compra de um Cartão de Oferta"
"Gift Certificate Redemption","Resgatar vale-presente"
"Hidden Virtual PayPal Debit Card Transaction","Transação Virtual Oculta de Cartão de Débito PayPal"
"Hold for Dispute Investigation","Bloqueado para Investigação de Disputa"
"Incentive","Incentivo"
"Mass Pay Payment","Múltiplos Pagamentos"
"Merchant Referral Bonus","Bónus de Referência de Comerciantes"
"Mobile Payment (made via a mobile phone)","Pagamento Móvel (feito através de um celular)"
"Negative Balance","Saldo Negativo"
"Open Authorization","Autorização Aberta"
"PayPal Balance Manager function of PayPal account","Função do Gestor de Saldo da conta PayPal"
"PayPal Buyer Warranty Bonus","Bónus de Garantia do Comprador PayPal"
"PayPal Debit Card Cash Advance","Pagamento Frontal de Cartão de Débito PayPal"
"PayPal Debit Card Withdrawal from ATM","Levantamento Multibanco no Cartão de Débito PayPal"
"PayPal Protection Bonus","Bônus de proteção do PayPal"
"Payment Refund initiated by merchant","Reembolso de pagamento iniciada pelo comerciante"
"Points Incentive Redemption","Desconto de Pontos de Incentivo"
"Postage Payment to either USPS or UPS","Pagamento de Portes à USPS ou à UPS"
"Preapproved Payment (BillUser API, either sent or received","Pagamento Pré-aprovado (API BillUser, ou enviado ou recebido"
"Reauthorization","Re-autorização"
"Reimbursement of Chargeback","Reembolso de Transação Anulada"
"Reversal","Reversão"
"Reversal of General Account Hold","Inversão do Cargo Geral da Conta"
"Reversal of Points Usage","Inversão da Utilização de Pontos"
"Reversal of hold for Dispute Investigation","Reverter o montante suspenso para Investigação da Disputa"
"Reward Voucher Redemption","Redenção de Voucher de Recompensa"
"Settlement Consolidation","Consolidação de Liquidação"
"Subscription Payment, either payment sent or payment received","Pagamento de Subscrição, ou é um pagamento enviado ou é um pagamento recebido"
"User-initiated Currency Conversion","Conversão de Moeda Iniciada pelo Utilizador"
"Virtual PayPal Debit Card Transaction","Transação Virtual de Cartão de Débito PayPal"
"Virtual Terminal Payment","Pagamento Terminal Virtual"
"Void","Anular"
"WorldLink Withdrawal","Levantamento WorldLink"
"eBay Auction Payment","pagamento de Leilão eBay"
"The PayPal certificate file is empty.","O certificado PayPal não existe ou está vazio."
"Header (center)","Cabeçalho (centro)"
"Sidebar (right)","Barra lateral (à direita)"
"Near PayPal Credit checkout button","Junto ao botão de Finalizar Compra de Crédito PayPal"
"--Please Select--","-- Por favor, selecione --"
"Daily","Diário"
"Every 3 days","A cada 3 dias"
"Every 7 days","A cada 7 dias"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"No Logo","Sem Logo"
"Yes (PayPal recommends this option)","Sim (PayPal recomenda esta opção)"
"Created billing agreement #%1.","Foi criado o acordo de cobrança #%1."
"We can't create a billing agreement for this order.","Não podemos criar um acordo de faturamento para este fim."
"An invoice cannot be created when none of authorization transactions available.","Não é possível criar fatura quando não há transações de autorização disponíveis."
"Pending PayPal","Pendente Paypal"
"PayPal Reversed","PayPal Cancelado"
"PayPal Canceled Reversal","PayPal Cancelou Anulação"
"Error","Erro"
"Billing Agreement","Acorde de faturamento"
"Please Select","Por Favor Selecione"
"Customer","Cliente"
"Created At","Criado em"
"Updated At","Atualizado por"
"Not sure what PayPal payment method to use? Click ","Não tem a certeza qual o método de pagamento PayPal que quer usar? Clique "
"here","aqui"
" to learn more."," para saber mais."
"Important: ","Importante: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","Para usar PayPal Payments Advanced, você precisa configurar sua conta PayPal no site do PayPal."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez logado na sua conta PayPal Avançado, navegue em Configurações de Serviço - Páginas Hosted Checkout - Configurar e marque as opções abaixo"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para usar o PayPal Payflow Link, deve configurar sua conta de pagamentos PayPal Payflow Link no site do PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Uma vez logado na sua conta Payflow Link, navegue em Configurações de Serviço - Páginas Hosted Checkout - Configurar e marque as opções abaixo"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Expiration Date","Data de Validade"
"Card Verification Number","Código de Verificação do Cartão"
"Billing Agreement # ","Acordo de Cobrança # "
"Agreement Information","Informação de contrato"
"Reference ID:","ID de Referência:"
"Status:","Estado:"
"Created:","Criado:"
"Updated:","Atualizado:"
"Payment Method:","Forma de pagamento:"
"Order #","Pedido #"
"Date","Data"
"Ship To","Enviar para"
"Order Status","Situação do pedido"
"View Order","Visualizar pedido"
"Back to Billing Agreements","Voltar para Acordos de Faturamento"
"Payment Method","Forma de pagamento"
"View","Visualizar"
"There are no billing agreements yet.","Ainda não existem contratos de cobrança."
"New Billing Agreement","Novo contrato de cobrança"
"You will be redirected to the payment system website.","Você será redirecionado para o site de sistema de pagamento."
"-- Please Select --","-- Selecione uma opção --"
"Create...","Criar..."
"Your credit card will be charged for","Seu cartão de crédito será cobrado para"
"Your billing agreement # is: ","O seu número de acordo de cobrança é: "
"Shipping Method","Método de Entrega"
"Please select a shipping method...","Por favor selecione um modo de envio..."
"Update Shipping Method","Atualizar Métodos de Envio"
"Sorry, no quotes are available for this order right now.","Desculpa, sem aspas estão disponíveis para este fim."
"Shipping Address","Endereço de entrega"
"Edit","Editar"
"Buy now with PayPal","Comprar agora com PayPal"
"Edit Payment Information","Editar Informação do Pagamento"
"Items in Your Shopping Cart","Itens no Seu Carrinho de Compras"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Place Order","Finalizar Pedido"
"Submitting order information...","Enviado informações do pedido..."
"Item","Item"
"Price","Preço"
"Qty","Qtd"
"Subtotal","Sub-total"
"Please update order data to get shipping methods and rates","Por favor atualize as informações de entrega para obter as formas de envio e taxas"
"or","ou"
"Checkout with PayPal","Finalizar Compra com PayPal"
"Please do not refresh the page until you complete payment.","Por favor não recarregue a página até concluir o pagamento."
"You will be required to enter your payment details after you place an order.","Será solicitado a você inserir as suas informações de pagamento após confirmar o pedido."
"Continue","Próximo"
"Additional Options","Opções Adicionais"
"-- Please Select Billing Agreement--","-- Por favor, Selecione um Acordo de Cobrança --"
"Acceptance Mark","Marca de aceitação"
"What is PayPal?","O que é o PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Assinar um contrato de cobrança, para simplificar outras compras com o PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Assine um acordo de cobrança para acelerar as compras futuras com PayPal."
"Continue to PayPal","Continuar no PayPal"
"Save credit card information for future use.","Salvar as informações do cartão de crédito para o uso futuro."
"Sorry, something went wrong.","Desculpa, alguma coisa deu errado."
"Sorry, something went wrong. Please try again later.","Desculpe, alguma coisa deu errado. Por favor tente novamente mais tarde."
"PayPal Section","Sessão PayPal"
"PayPal Settlement","Liquidação PayPal"
"Fetch","Busca"
"Actions","Ações"
"Manage","Gerenciar"
"Place Order Using Billing Agreements","Finalizar Pedido usando Acordo de Cobrança"
"Orders","Pedidos"
"Payment Amount Authorization","Autorização de montante de pagamento"
"Merchant Location","Localização do Comerciante"
"Merchant Country","País do Vendedor"
"If not specified, Default Country from General Config will be used","Se não estiver especificado, será usado o País Pré-definido da Configuração Geral"
"Recommended Solutions:","Soluções recomendadas:"
"Other PayPal Payment Solutions:","Outras soluções de pagamento PayPal:"
"Other Payment Methods:","Outros meios de pagamento:"
"PayPal Express Checkout","PayPal Checkout Rápido"
"Add another payment method to your existing solution or as a stand-alone option.","Adicionar outro meio de pagamento para uma solução existente ou uma opção stand-alone."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;<i>Aceite e processe cartões de crédito e pagamentos PayPal.</i>"
"Choose a secure bundled payment solution for your business.","Escolha uma solução de pagamento completa e segura para o seu negócio."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Payments Pro e Express Checkout"
"Basic Settings - PayPal Payments Pro","Configurações básicas - PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","Gateways de pagamento PayPal&nbsp;<i>processo pagamentos usando sua própria conta de comerciante do internet.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluções de Pagamento All-in-One PayPal&nbsp;&nbsp;<i>Aceite e processe cartões de crédito e pagamentos PayPal.</i>"
"Accept payments with a completely customizable checkout page.","Aceite pagamentos com uma página de checkout completamente personalizável."
"Process payments using your own internet merchant account.","Processe os pagamentos usando a sua própria conta de comerciante."
"Website Payments Pro","Pagamentos Pro do website"
"Express Checkout","Finalizar Compra Expresso"
"Add PayPal as an additional payment method to your checkout page.","Adicione PayPal como método de pagamento adicional à sua página de checkout."
"Required PayPal Settings","Configurações de PayPal Necessárias"
"Email Associated with PayPal Merchant Account (Optional)","E-mail Associado com a Conta de Comerciante PayPal (Opcional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","Comece aceitando pagamentos via PayPal"
