"Billing Agreements","Ententes de facturation"
"The PayPal gateway rejected the request. %1","La passerelle PayPal a rejeté la demande. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Nous sommes désolés - mais nous n'avons pas pu traiter votre paiement. Veuillez essayer un autre mode de paiement ou contactez-nous pour que nous puissions vous aider."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Nous sommes désolés - mais nous ne sommes pas en mesure de finaliser votre transaction. Veuillez nous contacter pour que nous puissions vous aider."
"A match of the Shipping Address City, State, and Postal Code failed.","Une correspondance entre l'adresse de livraison ville, état et code postal a échoué."
"We can't place the order.","Nous ne pouvons pas passer la commande."
"The payment method code is not set.","Le code de mode de paiement n'est pas renseigné."
"The reference ID is not set.","L'identifiant de référence n'est pas renseigné."
"Unable to save Billing Agreement:","Impossible de sauvegarder le contrat de facturation :"
"Active","Actif"
"Canceled","Annulée"
"The customer ID is not set.","L'identifiant du client n'est pas défini."
"The Billing Agreement status is not set.","Le statut de contrat de facturation n'est pas renseigné."
"The PayPal certificate does not exist.","Le certificat PayPal n'existe pas."
"We prefer PayPal (150 X 60)","Nous préférons PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Nous préférons PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Nous acceptons désormais PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Nous acceptons désormais PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Paiements par PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Paiements par PayPal (150 X 40)"
"Shop now using (150 X 60)","Magasin utilisant maintenant (150 X 60)"
"Shop now using (150 X 40)","Magasin utilisant maintenant (150 X 40)"
"Dynamic","Dynamique"
"Static","Statique"
"Shortcut","Raccourci"
"Acceptance Mark Image","Image de marque d'acceptation"
"Authorization","Autorisation"
"Sale","Vente"
"Yes","Oui"
"No","Non"
"For Virtual Quotes Only","Pour les commandes virtuelles uniquement"
"Auto","Auto"
"Ask Customer","Demandez au client"
"Never","Jamais"
"IPN (Instant Payment Notification) Only","Notification instantanée de paiement (IPN) seulement"
"API Signature","Signature API"
"API Certificate","Certificat d'API"
"The maximum number of child authorizations is reached.","Le nombre maximum d'autorisations enfants est atteint."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Nous autoriserons le montant de %1 dès que la passerelle de paiement l'approuvera."
"The authorized amount is %1.","Le montant autorisé est %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal ne peut pas traiter les commandes avec un solde zéro dû. Pour terminer votre achat, veuillez passer par le processus de commande standard."
"A payer is not identified.","Un payeur n'est pas identifié."
"Cannot get secure form URL from PayPal","Impossible d'obtenir une URL de formulaire sécurisée auprès de PayPal"
"Last Transaction ID","ID de la dernière transaction"
"This customer didn't include a confirmed address.","Ce client n'a pas inclus une adresse confirmée."
"The payment is authorized but not settled.","Le paiement est autorisé, mais pas réglé."
"The payment eCheck is not cleared.","Le paiement eCheck n'est pas effacé."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Le commerçant détient un compte non américain et n'a pas de mécanisme de retrait."
"The payment currency doesn't match any of the merchant's balances currency.","La devise de paiement ne correspond pas à la devise des soldes du marchand."
"The payment is pending while it is being reviewed by PayPal for risk.","Le paiement est en cours alors qu'il est actuellement examiné par PayPal pour un risque potentiel."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Le paiement est en attente car elle a été faite à une adresse email qui n'est pas encore enregistrée ou confirmée."
"The merchant account is not yet verified.","Le compte marchand n'est pas encore vérifié."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Le paiement a été effectué par carte de crédit. Afin de recevoir les fonds pour votre commerce vous devez mettre à niveau le compte en classe Entreprise ou le statut de premier classe."
"Sorry, but something went wrong. Please contact PayPal customer service.","Désolé, mais quelque chose s'est mal passé. Veuillez contacter le service clientèle PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Une annulation s’est produite sur cette transaction en raison d’un rejet de débit de votre client."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Cette transaction a été annulée car votre client a déclenché une garantie de remboursement."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Cette transaction a été annulée suite à une plainte de votre client concernant la transaction."
"A reversal has occurred on this transaction because you have given the customer a refund.","Cette transaction a été annulée car vous avez remboursé le client."
"Reversal of an adjustment.","Inversion d'un ajustement."
"Transaction reversal due to fraud detected by PayPal administrators.","Annulation de transaction due à une fraude détectée par les administrateurs de PayPal."
"Transaction reversal by PayPal administrators.","Annulation de la transaction par les administrateurs PayPal."
"Reimbursement for a chargeback.","Remboursement des frais de rejet de débit."
"Settlement of a chargeback.","Le règlement d'un rejet de débit."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Cette transaction a été annulée en raison d'un litige avec un client soupçonnant une usurpation d'identité."
"Buyer claims that he did not receive goods or service.","L'acheteur affirme qu'il n'a pas reçu de biens ni de services."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","L’acheteur affirme que le bien ou le service reçu diffère de la description du bien ou du service par le marchand."
"Buyer claims that he/she did not authorize transaction.","L'acheteur affirme qu'il / elle n'a pas autorisé la transaction."
"A case that has been resolved and close requires a reimbursement.","Un cas qui a été résolu et fermé nécessite un remboursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","L'acheteur affirme qu'un éventuel paiement en double a été effectué auprès du commerçant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","L'acheteur affirme que la marchandise reçue est insatisfaisante, défectueuse ou endommagée."
"Unknown reason. Please contact PayPal customer service.","Raison inconnue. S'il vous plaît contactez le service clientèle de PayPal."
"Payer ID","ID Payeur"
"Payer Email","Email du Payeur"
"Payer Status","Statut du Payeur"
"Payer Address ID","ID adresse du Payeur"
"Payer Address Status","Statut adresse du Payeur"
"Merchant Protection Eligibility","Protection à l'éligibilité du Marchand"
"Triggered Fraud Filters","Activer les filtres anti-fraudes"
"Last Correlation ID","Dernier ID de corrélation"
"Address Verification System Response","Adresse du système de vérification de réponse"
"CVV2 Check Result by PayPal","Résultat de vérification de CVV2 par PayPal"
"AVS Street Match","Correspondance de rue AVS"
"AVS zip","Code postal AVS"
"International AVS response","Réponse internationale AVS"
"Buyer's Tax ID","ID de taxe de l'acheteur"
"Buyer's Tax ID Type","Type d'ID de taxe de l'acheteur"
"Chargeback","Frais de retour"
"Complaint","Plainte"
"Dispute","Litige"
"Matched Address only (no ZIP)","Correspondance des adresses seulement (sans le code postal)"
"Matched Address only (no ZIP) International","Correspondance des adresses seulement (sans le code postal). International"
"No Details matched","Aucune correspondance trouvée"
"No Details matched. International","Aucune correspondance trouvée. International"
"Exact Match.","Correspondance exacte."
"Exact Match. Address and Postal Code. International","Correspondance exacte. Adresse et code postal. International"
"Exact Match. Address and Postal Code. UK-specific","Correspondance exacte. Adresse et code postal. Spécifique au Royaume-Uni"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Transaction non autorisé. MOTO (Internet/Phone)"
"N/A. Global Unavailable","N/A. Global Indisponible"
"N/A. International Unavailable","N/A. International Indisponible"
"Matched five-digit ZIP only (no Address)","Correspondance sur 5 chiffres du code postal uniquement"
"Matched Postal Code only (no Address)","Correspondance du code postal uniquement"
"N/A. Retry","N/A. Recommencer"
"N/A. Service not Supported","N/A. Service non supporté"
"N/A. Unavailable","N/A. Indisponible."
"Matched whole nine-digit ZIP (no Address)","Code postal correspondant à neuf chiffres (sans adresse)"
"Yes. Matched Address and five-digit ZIP","Oui, Correspondance de l'adresse et du code postal à 5 chiffres"
"All the address information matched","Vérification de toutes les informations de l'adresse"
"None of the address information matched","Aucune correspondance trouvée dans l'adresse"
"Part of the address information matched","Correspondance trouvée sur une partie de l'adresse."
"N/A. The merchant did not provide AVS information","N/A. Le commerçant ne possède pas d'information AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. L'adresse n'a pas été vérifié, ou l'acquéreur n'a pas donné de réponse. Service non disponible"
"Matched (CVV2CSC)","Correspondance (CVV2CSC)"
"No match","Aucune correspondance"
"N/A. Not processed","N/A. Non traitée"
"N/A. Service not supported","N/A. Service non supporté"
"N/A. Service not available","N/A. Service indisponible"
"N/A. No response","N/A. Aucune réponse"
"Matched (CVV2)","Correspondance (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Le commerçant n'a pas mis en œuvre de code CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. CVV2 n'est pas présent sur la carte"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Carte de crédit"
"ending","se terminant"
"expires","expire le"
"Note: %1","Note : %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Type de cas ""%2"". ID du cas ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Un différend a été résolu et fermé. %2 montant de la transaction %3."
"You notified customer about invoice #%1.","Vous avez informé le client de la facture n° %1."
"We cannot cancel this order.","Nous ne pouvons pas annuler cette commande."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 montant de transaction %3. ID de la transaction : ""%4"""
"You notified customer about creditmemo #%1.","Vous avez informé le client de l'avoir n° %1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Flow de paiement PNREF : #%1."
"Unable to fetch transaction details.","Impossible de récupérer les détails de la transaction."
"Invalid method %1::%2","Méthode non valide : %1::%2"
"Transaction has been declined","La transaction a été refusée"
"Error processing payment. Please try again later.","Erreur lors du traitement du paiement. Veuillez réessayer plus tard."
"We cannot send the new order email.","Impossible d'envoyer l'email de confirmation de commande."
"Payment error. %value was not found.","Erreur de paiement. %value n'a pas été trouvé."
"You cannot void a verification transaction.","Vous ne pouvez pas annuler une transaction de vérification."
"You need an authorization transaction to void.","Vous avez besoin d'une transaction d'autorisation pour annuler."
"We can't issue a refund transaction because there is no capture transaction.","Nous ne pouvons pas émettre de transaction de remboursement car il n'y a pas de transaction de capture."
"We cannot create a target file for reading reports.","Impossible de créer le fichier cible pour la lecture des rapports."
"Report Date","Date du rapport"
"Merchant Account","Compte marchand"
"Transaction ID","Identifiant de transaction"
"Invoice ID","ID Facture"
"PayPal Reference ID","Référence PayPal ID"
"PayPal Reference ID Type","Référence PayPal ID Type"
"Event Code","Code d'événement"
"Event","Evénement"
"Start Date","Date de début"
"Finish Date","Date de fin"
"Debit or Credit","Débit ou crédit"
"Gross Amount","Montant brut"
"Fee Debit or Credit","Frais de débit ou de crédit"
"Fee Amount","Montant des Frais"
"Custom","Personnalisé"
"Order ID","ID Commande"
"Preapproved Payment ID","Paiement pré-approuvés ID"
"Subscription ID","ID Abonnement"
"Credit","Crédit"
"Debit","Débit"
"ACH Deposit (Hold for Dispute or Other Investigation)","Dépôt ACH (prise pour le conflit ou toute autre recherche)"
"ACH Deposit (Reversal)","Dépôt ACH (inversion)"
"ACH Funding for Funds Recovery from Account Balance","Placement ACH pour le rétablissement de fonds de l'équilibre de compte"
"ACH Withdrawal","Retrait ACH"
"Account-to-Account Payment, initiated by PayPal","Paiement de Compte à compte, initié par PayPal"
"Auction Payment other than through eBay","Paiement des enchères autres que par le biais d'eBay"
"AutoSweep","Champ automatique"
"Available Balance","Solde disponible"
"Balance Manager Account Bonus","compte de gestion de la balance bonus"
"Bonus for first ACH Use","Bonus pour la première utilisation ACH"
"Buyer Credit Payment","Paiement de crédit acheteur"
"Charge-off","Frais"
"Coupon Redemption","Remboursement de coupon"
"Currency Conversion required to cover negative balance","Conversion des devises nécessaires pour couvrir un solde négatif"
"Debit Card Cash Back","Retour d'argent par carte de débit"
"Debit Card Transaction","Transaction par carte de débit"
"Direct Payment API","API Paiement direct"
"EFT Funding (German banking)","Placement d'EFT (opérations bancaires allemandes)"
"Express Checkout APIs","APIs de Express Checkout"
"Fee Reversal","Frais d'inversion"
"Fee: Foreign ACH Withdrawal","Frais : Retrait ACH étrangères"
"Fee: Mass Pay Request","Frais : demande de paiement de masse"
"Fee: Web Site Payments Pro Account Monthly","Frais : Paiements du site Web de compte mensuel Pro"
"Fee: WorldLink Check Withdrawal","Frais : retrait par chèque WorldLink"
"Funding","Financement"
"General (Authorization)","Général (Autorisation)"
"General (Dividend)","Général (dividendes)"
"General (Funds Transfer from PayPal Account to Another)","Général (transfert de fonds de compte PayPal à un autre)"
"General (Purchase with a credit card)","Généraux (achat avec une carte de crédit)"
"General Adjustment without businessrelated event","Ajustement général sans événement lié au marché"
"General Currency Conversion","Conversion de devises général"
"General Funding of PayPal Account ","Financement général de compte PayPal "
"General Redemption","Remboursement général"
"General Withdrawal from PayPal Account","Retrait général de compte PayPal"
"General. Product no longer supported","Généralités. Ce produit n'est plus pris en charge"
"General: Use of PayPal account for purchasing as well as receiving payments","Compte général : utilisation de PayPal pour l'achat ainsi que la réception des paiements"
"General: Withdrawal from PayPal Account","Général : Retrait de compte PayPal"
"General: Withdrawal to Non-Bank Entity","Général : Retrait à l'entité non-bancaire"
"General: adjustment of a type not belonging to the other T12xx categories","Général : ajustement d'un type n'appartenant pas aux autres catégories de T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Général : bonification d'un type n'appartenant pas aux autres catégories de T08xx"
"General: event not yet categorized","Général : événement pas encore classé par catégorie"
"General: non-payment fee of a type not belonging to the other T01xx categories","Général : Taxe de non-paiement d'un type qui n'appartiennent pas aux autres catégories T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Général : paiement reçu d'un type n'appartenant pas aux autres catégories de T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Général : inversion d'un type n'appartenant pas aux autres catégories de T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Général : suspension temporaire d'un type qui n'appartiennent pas aux autres catégories T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Paiement par chèque cadeau : achat de chèques cadeaux"
"Gift Certificate Redemption","Rachat de Chèque Cadeau"
"Hidden Virtual PayPal Debit Card Transaction","Transaction virtuelle cachée de carte de débit de PayPal"
"Hold for Dispute Investigation","Bloquer pendant l'enquête de litige"
"Incentive","Incitation"
"Mass Pay Payment","Paiement en masse"
"Merchant Referral Bonus","Prime de recommandation marchande"
"Mobile Payment (made via a mobile phone)","Paiement par mobile (réalisées par l'intermédiaire d'un téléphone mobile)"
"Negative Balance","Solde négatif"
"Open Authorization","Ouvrez l'autorisation"
"PayPal Balance Manager function of PayPal account","Fonction du gestionnaire PayPal solde du compte PayPal"
"PayPal Buyer Warranty Bonus","PayPal bonus garantie acheteur"
"PayPal Debit Card Cash Advance","PayPal avance de trésorerie de débit par carte"
"PayPal Debit Card Withdrawal from ATM","PayPal par carte de débit Retrait ATM"
"PayPal Protection Bonus","bonus de protection PayPal"
"Payment Refund initiated by merchant","Remboursement de paiement initié par le marchand"
"Points Incentive Redemption","Rachat d'incitation de points"
"Postage Payment to either USPS or UPS","Frais de port paiement soit USPS ou UPS"
"Preapproved Payment (BillUser API, either sent or received","Paiement pré-approuvé (BillUser API), envoyé ou reçu"
"Reauthorization","Réautorisation"
"Reimbursement of Chargeback","Remboursement des rejets de débit."
"Reversal","Inversion"
"Reversal of General Account Hold","Inversion de prise de compte général"
"Reversal of Points Usage","Inversion d'utilisation de points"
"Reversal of hold for Dispute Investigation","Débloquer pendant l'enquête de litige"
"Reward Voucher Redemption","Rachat de bon de récompense"
"Settlement Consolidation","Consolidation de règlement"
"Subscription Payment, either payment sent or payment received","Paiement d'abonnement, paiement envoyé ou paiement reçu"
"User-initiated Currency Conversion","L'utilisateur de conversion de devises lancé"
"Virtual PayPal Debit Card Transaction","Virtual transaction PayPal par carte de débit"
"Virtual Terminal Payment","Terminal de paiement virtuel"
"Void","Annuler"
"WorldLink Withdrawal","Retrait WorldLink"
"eBay Auction Payment","Paiement des enchères eBay"
"The PayPal certificate file is empty.","Le fichier de certificat PayPal est vide."
"Header (center)","En-tête (Centre)"
"Sidebar (right)","Barre latérale (à droite)"
"Near PayPal Credit checkout button","Près du bouton de paiement par PayPal Credit"
"--Please Select--","--Votre choix--"
"Daily","Quotidiennement"
"Every 3 days","Tous les 3 jours"
"Every 7 days","Tous les 7 jours"
"Every 10 days","Tous les 10 jours"
"Every 14 days","Tous les 14 jours"
"Every 30 days","Tous les 30 jours"
"Every 40 days","Tous les 40 jours"
"No Logo","Auncun Logo"
"Yes (PayPal recommends this option)","Oui (PayPal recommande cette option)"
"Created billing agreement #%1.","Accord de facturation créé n° %1."
"We can't create a billing agreement for this order.","Nous ne pouvons pas créer un accord de facturation pour cette commande."
"An invoice cannot be created when none of authorization transactions available.","Une facture ne peut pas être créée si aucune des transactions d'autorisation n'est disponible."
"Pending PayPal","En attente de PayPal"
"PayPal Reversed","PayPal extourné"
"PayPal Canceled Reversal","Paypal extourne annulée"
"Error","Erreur"
"Billing Agreement","Entente de facturation"
"Please Select","Veuillez sélectionner"
"Customer","Client"
"Created At","Créé à"
"Updated At","Mise à jour à"
"Not sure what PayPal payment method to use? Click ","Vous ne savez pas quel mode de paiement PayPal utiliser ? Cliquez sur "
"here","ici"
" to learn more."," pour en savoir plus."
"Important: ","Important : "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","Pour utiliser PayPal Payments Advanced, vous devez configurer votre compte PayPal Payments Advanced sur le site Web de PayPal."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecté avec votre compte PayPal Advanced, allez dans les paramètres de service - Pages de paiement hébergées - Menu configuration et configurez les options décrites ci-dessous"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Pour utiliser PayPal Payflow Link, vous devez configurer votre compte PayPal Payflow Link sur le site PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecté avec votre compte PayPal Payflow Link, allez dans les paramètres de service - Pages de paiement hébergées - Menu configuration et configurez les options décrites ci-dessous"
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte bancaire"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Billing Agreement # ","Accord de facturation # "
"Agreement Information","Information de l'entente"
"Reference ID:","ID de réference :"
"Status:","Statut :"
"Created:","Créé :"
"Updated:","Modifié :"
"Payment Method:","Mode de paiement :"
"Order #","Commande n°"
"Date","Date"
"Ship To","Livré à"
"Order Status","Statut"
"View Order","Visualiser"
"Back to Billing Agreements","Retour aux ententes de facturation"
"Payment Method","Mode de paiement"
"View","Voir"
"There are no billing agreements yet.","Il n'existe aucune entente de facturation pour le moment."
"New Billing Agreement","Nouvelle entente de facturation"
"You will be redirected to the payment system website.","Vous allez être redirigé vers le site Web du système de paiement."
"-- Please Select --","-- Faites un choix --"
"Create...","Créer..."
"Your credit card will be charged for","Votre carte de crédit sera débitée de"
"Your billing agreement # is: ","Votre numéro d’accord de facturation est : "
"Shipping Method","Mode de livraison"
"Please select a shipping method...","Sélectionnez un mode de livraison..."
"Update Shipping Method","Changer de mode de livraison"
"Sorry, no quotes are available for this order right now.","Désolé, aucun devis n'est disponible pour cette commande pour le moment."
"Shipping Address","Adresse de livraison"
"Edit","Éditer"
"Buy now with PayPal","Acheter maintenant avec PayPal"
"Edit Payment Information","Modifier les informations de paiement"
"Items in Your Shopping Cart","Articles dans votre panier"
"Edit Shopping Cart","Modifier le panier"
"Place Order","Passez la commande"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Item","Article"
"Price","Prix"
"Qty","Qté"
"Subtotal","Sous-total"
"Please update order data to get shipping methods and rates","Veuillez mettre à jour les données de commande pour obtenir les modes et tarifs de livraison"
"or","ou"
"Checkout with PayPal","Commander avec PayPal"
"Please do not refresh the page until you complete payment.","Merci de ne pas rafraîchir la page jusqu'à la fin du paiement."
"You will be required to enter your payment details after you place an order.","Vous devrez saisir les informations de paiement après la validation de votre commande."
"Continue","Continuer"
"Additional Options","Options additionnelles"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"Acceptance Mark","Marque d'acceptation"
"What is PayPal?","Qu'est-ce que PayPal ?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Signer un accord de facturation pour rationaliser les achats futurs avec PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Signer une entente de facturation afin de rationaliser les achats supplémentaires auprès de PayPal."
"Continue to PayPal","Continuer sur PayPal"
"Save credit card information for future use.","Enregistrer les informations de carte de crédit pour une utilisation future."
"Sorry, something went wrong.","Désolé, une erreur s'est produite."
"Sorry, something went wrong. Please try again later.","Un problème est survenu. Réessayez plus tard."
"PayPal Section","Section Paypal"
"PayPal Settlement","Règlement PayPal"
"Fetch","Rapporter"
"Actions","Actions"
"Manage","Gérer"
"Place Order Using Billing Agreements","Passer une commande en utilisant des accords de facturation"
"Orders","Commandes"
"Payment Amount Authorization","Autorisation de montant de paiement"
"Merchant Location","Lieu du marchant"
"Merchant Country","Pays du marchand"
"If not specified, Default Country from General Config will be used","S'il n'est pas spécifié, le pays par défaut dans la configuration général sera utilisé"
"Recommended Solutions:","Solutions recommandées :"
"Other PayPal Payment Solutions:","Autres solutions de paiement PayPal :"
"Other Payment Methods:","Autres modes de paiement :"
"PayPal Express Checkout","Paiement PayPal Express"
"Add another payment method to your existing solution or as a stand-alone option.","Ajoutez un autre mode de paiement à votre solution existante ou en tant qu’option autonome."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Solutions de paiement Tout-en-un PayPal&nbsp;<i>Accepter et traiter les cartes de crédit et les paiements PayPal.</i>"
"Choose a secure bundled payment solution for your business.","Choisissez une solution de paiement groupée sécurisée pour votre entreprise."
"Payments Pro","Paiements Pro"
"Payments Pro and Express Checkout","Paiements Pro et Express Checkout"
"Basic Settings - PayPal Payments Pro","Réglages de base - paiements PayPal Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","Passerelles de paiement PayPal&nbsp;<i>Traitez les paiements en utilisant votre propre compte marchand Internet.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Solutions de paiement tout-en-un PayPal&nbsp;&nbsp;<i> Accepter et traiter les cartes de crédit et les paiements PayPal.</i>"
"Accept payments with a completely customizable checkout page.","Acceptez les paiements avec une page de paiement entièrement personnalisable."
"Process payments using your own internet merchant account.","Traiter les paiements en utilisant votre propre compte marchand Internet."
"Website Payments Pro","Paiements de site Pro"
"Express Checkout","Paiement Express"
"Add PayPal as an additional payment method to your checkout page.","Ajoutez PayPal comme mode de paiement supplémentaire à votre page de paiement."
"Required PayPal Settings","Paramètres PayPal requis"
