"Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳು"
"You will be redirected to the PayPal website when you place an order.","You will be redirected to the PayPal website when you place an order."
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Billing Information","ಬಿಲ್ಲಿಂಗ್ ಮಾಹಿತಿ"
"Shipping Information","ರವಾನೆ ಮಾಹಿತಿ"
"Invalid block type","Invalid block type"
"Please specify the correct billing agreement ID and try again.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದದ ID ಯನ್ನು ಸೂಚಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ."
"You canceled the billing agreement.","ನೀವು ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರದ್ದುಪಡಿಸಿದ್ದೀರಿ."
"We can't cancel the billing agreement.","ನಾವು ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರದ್ದುಪಡಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You deleted the billing agreement.","ನೀವು ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ರದ್ದುಪಡಿಸಿದ್ದೀರಿ."
"We can't delete the billing agreement.","ನಾವು ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದವನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","ವರದಿಗಳು"
"Sales","ವ್ಯಾಪಾರಗಳು"
"View Transaction","ವಹಿವಾಟನ್ನು ವೀಕ್ಷಿಸಿ"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from ""%2@%3.""","We fetched %1 report rows from ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We can't fetch reports from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ ""%1"" ವನ್ನು ರದ್ದುಪಡಿಸಲಾಗಿದೆ."
"The billing agreement ""%1"" has been created.","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ ""%1"" ವನ್ನು ರಚಿಸಲಾಗಿದೆ."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"We can't start the billing agreement wizard.","We can't start the billing agreement wizard."
"Billing Agreement # %1","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ #%1"
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't start Express Checkout.","We can't start Express Checkout."
"To check out, please sign in with your email address.","To check out, please sign in with your email address."
"Sorry, but something went wrong","ಕ್ಷಮಿಸಿ, ಆದರೆ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ"
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"Requested payment method does not match with order.","Requested payment method does not match with order."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Payment Gateway is unreachable at the moment. Please use another payment option."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"Something went wrong while processing your order.","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"PayPal gateway has rejected request. %1","PayPal gateway has rejected request. %1"
"The PayPal gateway rejected the request. %1","The PayPal gateway rejected the request. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you."
"A match of the Shipping Address City, State, and Postal Code failed.","A match of the Shipping Address City, State, and Postal Code failed."
"We can't place the order.","We can't place the order."
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:","Unable to save Billing Agreement:"
"Active","ಸಕ್ರಿಯ"
"Canceled","ರದ್ದುಪಡಿಸಲಾಗಿದೆ"
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)","We prefer PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","We prefer PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","ಈಗ PayPal ಅನ್ನು ಸ್ವೀಕರಿಸಲಾಗುತ್ತದೆ (150 X 60)"
"Now accepting PayPal (150 X 40)","ಈಗ PayPal ಅನ್ನು ಸ್ವೀಕರಿಸಲಾಗುತ್ತದೆ (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal ನಿಂದ ಪಾವತಿಗಳು (150 X 60)"
"Payments by PayPal (150 X 40)","PayPal ನಿಂದ ಪಾವತಿಗಳು (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Dynamic","ಕ್ರಿಯಾಶೀಲ"
"Static","ಸ್ಥಿರ"
"Shortcut","ಶಾರ್ಟ್‍ಕಟ್"
"Acceptance Mark Image","Acceptance Mark Image"
"Authorization","ದೃಢೀಕರಣ"
"Sale","ವ್ಯಾಪಾರಗಳು"
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"For Virtual Quotes Only","For Virtual Quotes Only"
"Auto","Auto"
"Ask Customer","ಗ್ರಾಹಕರನ್ನು ಕೇಳಿ"
"Never","ಎಂದಿಗೂ ಇಲ್ಲ"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature","API Signature"
"API Certificate","API ಪ್ರಮಾಣಪತ್ರ"
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","ದೃಢೀಕರಿಸಿದ ಮೊತ್ತ %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process."
"A payer is not identified.","ಪಾವತಿದಾರರನ್ನು ಗುರುತಿಸಲಾಗಲಿಲ್ಲ."
"Cannot get secure form URL from PayPal","Cannot get secure form URL from PayPal"
"Last Transaction ID","ಕೊನೆಯ ವಹಿವಾಟಿನ ID"
"This customer didn't include a confirmed address.","This customer didn't include a confirmed address."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment eCheck is not cleared.","The payment eCheck is not cleared."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism."
"The payment currency doesn't match any of the merchant's balances currency.","The payment currency doesn't match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The merchant account is not yet verified.","The merchant account is not yet verified."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Reversal of an adjustment."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Settlement of a chargeback.","Settlement of a chargeback."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Payer ID","Payer ID"
"Payer Email","Payer Email"
"Payer Status","Payer Status"
"Payer Address ID","Payer Address ID"
"Payer Address Status","Payer Address Status"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Last Correlation ID","Last Correlation ID"
"Address Verification System Response","Address Verification System Response"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"AVS Street Match","AVS Street Match"
"AVS zip","AVS zip"
"International AVS response","International AVS response"
"Buyer's Tax ID","Buyer's Tax ID"
"Buyer's Tax ID Type","Buyer's Tax ID Type"
"Chargeback","Chargeback"
"Complaint","ದೂರು"
"Dispute","ವಿವಾದ"
"Matched Address only (no ZIP)","Matched Address only (no ZIP)"
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched","ಯಾವುದೇ ವಿವರಗಳು ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ"
"No Details matched. International","ಯಾವುದೇ ವಿವರಗಳು ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ, ಅಂತರ್ರಾಷ್ಟ್ರೀಯ"
"Exact Match.","ಸರಿಯಾದ ಹೊಂದಿಕೆ."
"Exact Match. Address and Postal Code. International","ಸರಿಯಾದ ಹೊಂದಿಕೆ. ವಿಳಾಸ ಮತ್ತು ಪಿನ್ ಕೋಡ್. ಅಂತರ್ರಾಷ್ಟ್ರೀಯ"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"Matched five-digit ZIP only (no Address)","Matched five-digit ZIP only (no Address)"
"Matched Postal Code only (no Address)","Matched Postal Code only (no Address)"
"N/A. Retry","N/A. ಮರುಪ್ರಯತ್ನಿಸಿ"
"N/A. Service not Supported","N/A. ಸೇವೆ ಬೆಂಬಲಿತವಿಲ್ಲ"
"N/A. Unavailable","N/A. ಲಭ್ಯವಿಲ್ಲ"
"Matched whole nine-digit ZIP (no Address)","Matched whole nine-digit ZIP (no Address)"
"Yes. Matched Address and five-digit ZIP","ಹೌದು. ವಿಳಾಸ ಮತ್ತು ಐದು-ಅಂಕೆ ಪಿನ್ ಕೋಡ್ ಹೊಂದಿಕೆಯಾಗಿದೆ"
"All the address information matched","ಹೌದು. ಎಲ್ಲಾ ವಿಳಾಸ ಮಾಹಿತಿ ಹೊಂದಿಕೆಯಾಗಿದೆ"
"None of the address information matched","ಯಾವುದೇ ವಿಳಾಸ ಮಾಹಿತಿ ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ"
"Part of the address information matched","Part of the address information matched"
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"Matched (CVV2CSC)","ಹೊಂದಿಕೆಯಾಗಿದೆ (CVV2CSC)"
"No match","ಹೋಲಿಕೆಯಿಲ್ಲ"
"N/A. Not processed","N/A. Not processed"
"N/A. Service not supported","N/A. ಸೇವೆ ಬೆಂಬಲಿತವಿಲ್ಲ"
"N/A. Service not available","N/A. ಸೇವೆ ಲಭ್ಯವಿಲ್ಲ"
"N/A. No response","N/A. No response"
"Matched (CVV2)","ಹೊಂದಿಕೆಯಾಗಿದೆ (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್"
"ending","ಕೊನೆಯಾಗುವ"
"expires","ಕಾಲಾವಧಿಯ ಅಂತ್ಯ"
"Note: %1","ಟಿಪ್ಪಣಿ:%1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"You notified customer about invoice #%1.","You notified customer about invoice #%1."
"We cannot cancel this order.","ಈ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ನಾವು ರದ್ದುಗೊಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Unable to fetch transaction details.","Unable to fetch transaction details."
"Invalid method %1::%2","ಅಸಿಂಧುವಾದ ವಿಧಾನ %1::%2"
"Transaction has been declined","ವ್ಯವಹಾರವನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","ನಾವು ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಮಿಂಚೆಯನ್ನು ಕಳುಹಿಸಲಾಗಲಿಲ್ಲ."
"Payment error. %value was not found.","Payment error. %value was not found."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date","ವರದಿ ದಿನಾಂಕ"
"Merchant Account","Merchant Account"
"Transaction ID","Transaction ID"
"Invoice ID","Invoice ID"
"PayPal Reference ID","PayPal Reference ID"
"PayPal Reference ID Type","PayPal Reference ID Type"
"Event Code","Event Code"
"Event","Event"
"Start Date","ಪ್ರಾರಂಭದ ದಿನಾಂಕ"
"Finish Date","Finish Date"
"Debit or Credit","ಖರ್ಚು ಅಥವಾ ಜಮಾ"
"Gross Amount","ಒಟ್ಟು ಮೊತ್ತ"
"Fee Debit or Credit","Fee Debit or Credit"
"Fee Amount","ಶುಲ್ಕದ ಮೊತ್ತ"
"Custom","Custom"
"Order ID","ವ್ಯಾಪಾರಾದೇಶ ID"
"Preapproved Payment ID","Preapproved Payment ID"
"Subscription ID","Subscription ID"
"Credit","ಜಮಾ"
"Debit","ಖರ್ಚು"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH ಹಿಂಪಡೆಯುವಿಕೆ"
"Account-to-Account Payment, initiated by PayPal","Account-to-Account Payment, initiated by PayPal"
"Auction Payment other than through eBay","Auction Payment other than through eBay"
"AutoSweep","AutoSweep"
"Available Balance","ಲಭ್ಯವಿರುವ ಬಾಕಿ"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Bonus for first ACH Use","Bonus for first ACH Use"
"Buyer Credit Payment","Buyer Credit Payment"
"Charge-off","Charge-off"
"Coupon Redemption","Coupon Redemption"
"Currency Conversion required to cover negative balance","Currency Conversion required to cover negative balance"
"Debit Card Cash Back","Debit Card Cash Back"
"Debit Card Transaction","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ವಹಿವಾಟು"
"Direct Payment API","Direct Payment API"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Express Checkout APIs","Express Checkout APIs"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Funding","Funding"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal Account to Another)"
"General (Purchase with a credit card)","General (Purchase with a credit card)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","ಸಾಮಾನ್ಯ ಕರೆನ್ಸಿ ಪರಿವರ್ತನೆ"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"Incentive","Incentive"
"Mass Pay Payment","Mass Pay Payment"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Mobile Payment (made via a mobile phone)","Mobile Payment (made via a mobile phone)"
"Negative Balance","Negative Balance"
"Open Authorization","Open Authorization"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Protection Bonus","PayPal Protection Bonus"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API, either sent or received","Preapproved Payment (BillUser API, either sent or received"
"Reauthorization","ಮರುದೃಢೀಕರಣ"
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Reward Voucher Redemption","Reward Voucher Redemption"
"Settlement Consolidation","Settlement Consolidation"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Void"
"WorldLink Withdrawal","WorldLink Withdrawal"
"eBay Auction Payment","eBay Auction Payment"
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Header (center)","Header (center)"
"Sidebar (right)","Sidebar (right)"
"Near PayPal Credit checkout button","Near PayPal Credit checkout button"
"--Please Select--","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Daily","ದೈನಿಕ"
"Every 3 days","ಪ್ರತಿ 3 ದಿನಗಳು"
"Every 7 days","ಪ್ರತಿ 7 ದಿನಗಳು"
"Every 10 days","ಪ್ರತಿ 10 ದಿನಗಳು"
"Every 14 days","ಪ್ರತಿ 14 ದಿನಗಳು"
"Every 30 days","ಪ್ರತಿ 30 ದಿನಗಳು"
"Every 40 days","ಪ್ರತಿ 40 ದಿನಗಳು"
"No Logo","ಲೋಗೊ ಇಲ್ಲ"
"Yes (PayPal recommends this option)","ಹೌದು (PayPal ಈ ಆಯ್ಕೆಯನ್ನು ಶಿಫಾರಸ್ಸು ಮಾಡುತ್ತದೆ)"
"Created billing agreement #%1.","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ #%1 ರಚಿತವಾಗಿದೆ."
"We can't create a billing agreement for this order.","We can't create a billing agreement for this order."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","Pending PayPal"
"PayPal Reversed","PayPal Reversed"
"PayPal Canceled Reversal","PayPal Canceled Reversal"
"Error","ದೋಷ"
"Billing Agreement","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ"
"Please Select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Customer","ಗ್ರಾಹಕರು"
"Created At","ರಚಿಸಿದ ದಿನಾಂಕ"
"Updated At","ಪರಿಷ್ಕರಿಸಿದ ದಿನಾಂಕ"
"Not sure what PayPal payment method to use? Click ","Not sure what PayPal payment method to use? Click "
"here","ಇಲ್ಲಿ"
" to learn more."," ಇನ್ನಷ್ಟು ತಿಳಿದುಕೊಳ್ಳಲು."
"Important: ","ಪ್ರಮುಖವಾದ: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Credit Card Type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Number","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"Card Verification Number","ಕಾರ್ಡಿನ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆ"
"Billing Agreement # ","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ # "
"Agreement Information","ಒಪ್ಪಂದದ ಮಾಹಿತಿ"
"Reference ID:","Reference ID:"
"Status:","ಸ್ಟೇಟಸ್:"
"Created:","ರಚಿಸಿದೆ:"
"Updated:","ಪರಿಷ್ಕರಿಸಿದ:"
"Payment Method:","ಪಾವತಿ ವಿಧಾನ:"
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Date","ದಿನಾಂಕ"
"Ship To","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ"
"Order Status","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
