"Billing Agreements","Perjanjian Tagihan"
"Bonus for first ACH Use","Bonus untuk penggunaan ACH pertama"
"Buyer Credit Payment","Pembayaran Kredit Pembeli"
"Charge-off","Mengisi daya"
"Coupon Redemption","Pencairan Kupon"
"Currency Conversion required to cover negative balance","Konversi Mata Uang diperlukan untuk menutupi saldo negatif"
"Debit Card Cash Back","Tunda Kembali Kartu Debit"
"Debit Card Transaction","Transaksi Kartu Debit"
"Direct Payment API","API Pembayaran Langsung"
"EFT Funding (German banking)","EFT Funding (perbankan Jerman)"
"Express Checkout APIs","API Checkout Ekspres"
"Fee Reversal","Pembalikan biaya"
"Fee: Foreign ACH Withdrawal","Biaya: Penarikan ACH Asing"
"Fee: Mass Pay Request","Biaya: Permintaan Bayar Massal"
"Fee: Web Site Payments Pro Account Monthly","Biaya: Pembayaran Situs Web akun Pro Bulanan"
"Fee: WorldLink Check Withdrawal","Biaya: WorldLink Periksa Penarikan"
"Funding","Dana"
"General (Authorization)","Umum (Otorisasi)"
"General (Dividend)","Umum (Dividen)"
"General (Funds Transfer from PayPal Account to Another)","Umum (Transfer Dana dari Rekening PayPal ke Rekening Lain)"
"General (Purchase with a credit card)","Umum (beli dengan kartu kredit)"
"General Adjustment without businessrelated event","Penyesuaian Umum tanpa acara terkait bisnis"
"General Currency Conversion","Konversi Mata Uang Umum"
"General Funding of PayPal Account ","Pendanaan Umum Akun PayPal "
"General Redemption","Penebusan Umum"
"General Withdrawal from PayPal Account","Penarikan Umum dari Akun PayPal"
"General. Product no longer supported","Umum. Produk tidak lagi didukung"
"General: Use of PayPal account for purchasing as well as receiving payments","Umum: Penggunaan akun PayPal untuk pembelian sekaligus penerimaan pembayaran"
"General: Withdrawal from PayPal Account","Umum: Penarikan dari Akun PayPal"
"General: Withdrawal to Non-Bank Entity","Umum: Penarikan ke Badan Usaha Bukan Bank"
"General: adjustment of a type not belonging to the other T12xx categories","Umum: penyesuaian jenis yang tidak termasuk dalam kategori T12xx lainnya"
"General: bonus of a type not belonging to the other T08xx categories","Umum: bonus dari tipe yang tidak termasuk dalam kategori T08xx lainnya"
"General: event not yet categorized","Umum: acara belum dikategorikan"
"General: non-payment fee of a type not belonging to the other T01xx categories","Umum: biaya tidak berbayar dari jenis yang tidak termasuk dalam kategori T01xx lainnya"
"General: received payment of a type not belonging to the other T00xx categories","Umum: menerima pembayaran dari jenis yang tidak termasuk dalam kategori T00xx lainnya"
"General: reversal of a type not belonging to the other T11xx categories","Umum: pengembalian tipe yang tidak termasuk dalam kategori T11xx lainnya"
"General: temporary hold of a type not belonging to the other T15xx categories","Umum: penundaan sementara dari jenis yang tidak termasuk dalam kategori T15xx lainnya"
"Gift Certificate Payment: purchase of Gift Certificate","Pembayaran Sertifikat Hadiah: pembelian Sertifikat Hadiah"
"Gift Certificate Redemption","Penukaran sertifikat hadiah"
"Hidden Virtual PayPal Debit Card Transaction","Transaksi Kartu Debit Virtual PayPal Tersembunyi"
"Hold for Dispute Investigation","Tahan Investigasi Sengketa"
"Incentive","Insentif"
"Mass Pay Payment","Pembayaran Bayar Massal"
"Merchant Referral Bonus","Bonus Referral Pedagang"
"Mobile Payment (made via a mobile phone)","Pembayaran Mobile (dilakukan via ponsel)"
"Negative Balance","Saldo Negatif"
"Open Authorization","Open Authorization"
"PayPal Balance Manager function of PayPal account","Fungsi PayPal Balance Manager akun PayPal"
"PayPal Buyer Warranty Bonus","Bonus Garansi Pembeli PayPal"
"PayPal Debit Card Cash Advance","Kartu Debit PayPal Cash Advance"
"PayPal Debit Card Withdrawal from ATM","Penarikan Kartu Debit PayPal dari ATM"
"PayPal Protection Bonus","Bonus Perlindungan PayPal"
"Payment Refund initiated by merchant","Pengembalian Dana Pembayaran diprakarsai oleh pedagang"
"Points Incentive Redemption","Poin insentif penebusan"
"Postage Payment to either USPS or UPS","Ongkos kirim pembayaran USPS atau UPS"
"Preapproved Payment (BillUser API, either sent or received","Pembayaran yang telah disetujui sebelumnya (API BillUser, dikirim atau diterima"
"Reauthorization","Otorisasi ulang"
"Reimbursement of Chargeback","Penggantian biaya kembali"
"Reversal","Pembalikan"
"Reversal of General Account Hold","Pembalikan terus akun Umum"
"Reversal of Points Usage","Pembalikan terus akun umum"
"Reversal of hold for Dispute Investigation","Pembalikan terus untuk sengketa penyelidikan"
"Reward Voucher Redemption","Hadiah Voucher penebusan"
"Settlement Consolidation","Penyelesaian konsolidasi"
"Subscription Payment, either payment sent or payment received","Berlangganan pembayaran, pembayaran atau pembayaran yang diterima"
"User-initiated Currency Conversion","Konversi prakarsa pengguna mata uang"
"Virtual PayPal Debit Card Transaction","Transaksi kartu virtual PayPal pengeluaran"
"Virtual Terminal Payment","Virtual Terminal pembayaran"
"Void","Kosong"
"WorldLink Withdrawal","Penarikan WorldLink"
"eBay Auction Payment","pembayaran Lelang eBay"
"The PayPal certificate file is empty.","Mengajukan sertifikat PayPal kosong."
"Header (center)","Header (tengah)"
"Sidebar (right)","Sidebar (kanan)"
"Near PayPal Credit checkout button","Dekat PayPal kredit memeriksa tombol"
"--Please Select--","--Silahkan pilih--"
"Daily","Harian"
"Every 3 days","Setiap 3 hari"
"Every 7 days","Setiap 7 hari"
"Every 10 days","Setiap 10 hari"
"Every 14 days","Setiap 14 hari"
"Every 30 days","Setiap 30 hari"
"Every 40 days","Setiap 40 hari"
"No Logo","Logo tidak"
"Yes (PayPal recommends this option)","Ya (PayPal merekomendasikan pilihan ini)"
"Created billing agreement #%1.","Persetujuan penagihan dibuat #%1."
"We can't create a billing agreement for this order.","We can't create a billing agreement for this order."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","PayPal tertunda"
"PayPal Reversed","PayPal terbalik"
"PayPal Canceled Reversal","PayPal dibatalkan pembalikan"
"Error","Kesalahan"
"Billing Agreement","Penagihan perjanjian"
"Please Select","Silahkan pilih"
"Customer","Pelanggan"
"Created At","Dibuat di"
"Updated At","Diperbarui pada"
"Not sure what PayPal payment method to use? Click ","Tidak yakin apa metode pembayaran PayPal untuk menggunakan? Klik "
"here","disini"
" to learn more."," untuk mempelajari lebih banyak."
"Important: ","Penting: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Sekali anda masuk maju ke akun PayPal, arahkan ke menu pengaturan layanan - lihat keluar halaman - mengatur dan mengatur opsi yang diuraikan di bawah ini"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Untuk menggunakan PayPal Payflow Link, Anda harus mengkonfigurasi akun Payflow PayPal di situs PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Setelah masuk ke akun Payflow Link PayPal, navigasikan ke menu Setelan Layanan - Halaman Checkout Host - Set Up dan setel opsi yang dijelaskan di bawah ini"
"Credit Card Type","Tipe Kartu Kredit"
"Credit Card Number","Nomor Kartu Kredit"
"Expiration Date","Tanggal kadaluarsa"
"Card Verification Number","Nomor Verifikasi Kartu"
"Billing Agreement # ","Penagihan perjanjian # "
"Agreement Information","Informasi Perjanjian"
"Reference ID:","Nomor Referensi:"
"Status:","Status:"
"Created:","Dibuat:"
"Updated:","Updated:"
"Payment Method:","Metode pembayaran:"
"Order #","Pesanan #"
"Date","Tanggal"
"Ship To","Kirim Ke"
"Order Status","Status pesanan"
"View Order","Tampilan Pemesanan"
"Back to Billing Agreements","Kembali ke Perjanjian Penagihan"
"Payment Method","Metode pembayaran"
"View","Lihat"
"There are no billing agreements yet.","Belum ada perjanjian penagihan."
"New Billing Agreement","Perjanjian Penagihan Baru"
"You will be redirected to the payment system website.","Anda akan diarahkan ke situs sistem pembayaran."
"-- Please Select --","-- Tolong Pilih --"
"Create...","Membuat..."
"Your credit card will be charged for","Kartu kredit Anda akan dikenakan biaya untuk"
"Your billing agreement # is: ","Perjanjian penagihan # Anda adalah: "
"Shipping Method","Metode Pengiriman"
"Please select a shipping method...","Silahkan pilih metode pengiriman..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","Maaf, tanpa tanda kutip tersedia untuk pesanan ini sekarang."
"Shipping Address","Alamat Pengiriman"
"Edit","Ubah"
"Buy now with PayPal","Beli sekarang dengan PayPal"
"Edit Payment Information","Mengedit informasi pembayaran"
"Items in Your Shopping Cart","Barang dalam keranjang belanja"
"Edit Shopping Cart","Mengedit keranjang belanja"
"Place Order","Tempat Pesanan"
"Submitting order information...","Mengirimkan informasi permintaan..."
"Item","Barang"
"Price","Harga"
"Qty","Jumlah"
"Subtotal","Total bagian"
"Please update order data to get shipping methods and rates","Perbarui memesan data untuk mendapatkan metode pengiriman dan harga"
"or","atau"
"Checkout with PayPal","Checkout dengan PayPal"
"Please do not refresh the page until you complete payment.","Silahkan segarkan halaman hingga Anda menyelesaikan pembayaran."
"You will be required to enter your payment details after you place an order.","Anda akan diminta untuk memasukkan rincian pembayaran Anda setelah Anda memesan."
"Continue","Selanjutnya"
"Additional Options","Pengaturan Tambahan"
"-- Please Select Billing Agreement--","-- Silakan Pilih Perjanjian Penagihan --"
"Acceptance Mark","Tanda terima"
"What is PayPal?","Apa itu paypal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Tanda perjanjian penagihan untuk merampingkan lebih lanjut pembelian dengan PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Tanda perjanjian penagihan untuk merampingkan lebih lanjut pembelian dengan PayPal."
"Continue to PayPal","Lanjutkan ke PayPal"
"Save credit card information for future use.","Menyimpan informasi kartu kredit untuk penggunaan masa depan."
"Sorry, something went wrong.","Maaf, ada sesuatu yang salah."
"Sorry, something went wrong. Please try again later.","Maaf, sesuatu yang tidak beres. Harap coba lagi nanti."
"PayPal Section","Bagian PayPal"
"PayPal Settlement","Pembayaran paypal"
"Fetch","Bagus"
"Actions","Tindakan"
"Manage","Kelola"
"Place Order Using Billing Agreements","Tempatkan Order Menggunakan Perjanjian Penagihan"
"Orders","Orders"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Lokasi Pedagang"
"Merchant Country","Negara pedagang"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","Solusi yang Disarankan:"
"Other PayPal Payment Solutions:","Solusi Pembayaran PayPal Lainnya:"
"Other Payment Methods:","Metode pembayaran lainnya:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Menambahkan metode pembayaran lain untuk solusi Anda yang ada atau sebagai Opsi mandiri."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Solusi Pembayaran All-in-One PayPal&nbsp;<i>Menerima dan memproses kartu kredit dan pembayaran PayPal.</i>"
"Choose a secure bundled payment solution for your business.","Memilih aman dibundel solusi pembayaran untuk bisnis anda."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Pembayaran Pro dan Checkout Ekspres"
"Basic Settings - PayPal Payments Pro","Setelan Dasar - Pembayaran PayPal Pro"
