"Billing Agreements","Συμφωνίες Χρέωσης"
"We can't delete the billing agreement.","Δεν μπορούμε να διαγράψουμε την συμφωνία χρέωσης."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","Αναφορές"
"Sales","Πωλήσεις"
"View Transaction","Προβολή Συναλλαγής"
"We found nothing to fetch because of an empty configuration.","Δεν βρήκαμε τίποτα για να φέρουμε λόγω μίας άδειας ρύθμισης παραμέτρων."
"We fetched %1 report rows from ""%2@%3.""","Φέραμε %1 έκθεση σειρών από ""%2@%3""."
"We can't fetch reports from ""%1@%2.""","Δεν μπορούμε να φέρουμε αναφορές από ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Η συμφωνία χρέωσης ""%1"" έχει ακυρωθεί."
"The billing agreement ""%1"" has been created.","Η συμφωνία χρέωσης ""%1"" έχει δημιουργηθεί."
"We couldn't finish the billing agreement wizard.","Δεν μπορούμε να τελειώσουμε τον οδηγό συμφωνίας χρέωσης."
"We can't start the billing agreement wizard.","Δεν μπορούμε να αρχίσουμε τον οδηγό συμφωνίας χρέωσης."
"Billing Agreement # %1","Συμφωνία Χρέωσης # %1"
"We can't initialize Express Checkout.","Δεν μπορούμε να ξεκινήσουμε τη διαδικασία Express Checkout."
"PayPal Express Checkout Token does not exist.","Διακριτικό PayPal Express Ολοκλήρωσης Παραγγελίας δεν υπάρχει."
"A wrong PayPal Express Checkout Token is specified.","Ένα λάθος PayPal Express Checkout κουπόνι έχει καθοριστεί."
"Express Checkout and Order have been canceled.","Express Ολοκλήρωση Παραγγελίας και Παραγγελία έχουν ακυρωθεί."
"Express Checkout has been canceled.","Express Ολοκλήρωση Παραγγελίας έχει ακυρωθεί."
"Unable to cancel Express Checkout","Δεν μπορείτε να ακυρώσετε την Express Ολοκλήρωση Παραγγελίας"
"Please agree to all the terms and conditions before placing the order.","Παρακαλούμε να συμφωνήσετε με όλους τους όρους και τις προϋποθέσεις πριν υποβάλετε την παραγγελία."
"We can't process Express Checkout approval.","Δεν μπορούμε να επεξεργαστούμε την έγκριση διαδικασίας Express Checkout."
"We can't initialize Express Checkout review.","Δεν μπορούμε να ξεκινήσουμε τη διαδικασία της αναθεώρησης Express Checkout."
"We can't update shipping method.","Δεν είναι δυνατό να ενημερώσουμε μέθοδο αποστολής."
"We can't start Express Checkout.","Δεν μπορούμε να ξεκινήσουμε τη διαδικασία Express Checkout."
"To check out, please sign in with your email address.","Για να προχωρήσετε σε αγορά, παρακαλώ συνδεθείτε με τη διεύθυνση του ηλεκτρονικού ταχυδρομείου σας."
"Sorry, but something went wrong","Συγνώμη, αλλά κάτι πήγε στραβά"
"Your payment has been declined. Please try again.","Η πληρωμή σας έχει απορριφθεί. Παρακαλώ προσπαθήστε ξανά."
"Requested payment method does not match with order.","Αίτηση πληρωμής δεν ταιριάζει με την παραγγελία."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Θα θέλατε να υπογράψετε μια συμφωνία χρέωσης για να βελτιώσετε περαιτέρω τις αγορές με το PayPal;"
"Error processing payment, please try again later.","Σφάλμα κατά την επεξεργασία πληρωμής, δοκιμάστε ξανά αργότερα."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Πύλη πληρωμής είναι μη πρόσβαση αυτή τη στιγμή. Παρακαλούμε χρησιμοποιήστε μια άλλη επιλογή πληρωμής."
"PayPal response hasn't required fields.","Η απάντηση PayPal δεν έχει τα απαιτούμενα πεδία."
"Something went wrong while processing your order.","Κάτι πήγε στραβά κατά την επεξεργασία της παραγγελίας σας."
"PayPal gateway has rejected request. %1","PayPal πύλη έχει απορρίψει την αίτηση. %1"
"The PayPal gateway rejected the request. %1","Η PayPal πύλη έχει απορρίψει την αίτηση. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Λυπούμαστε - αλλά δεν ήμασταν σε θέση να επεξεργαστούμε την πληρωμή σας. Δοκιμάστε μια άλλη μέθοδο πληρωμής ή επικοινωνήστε μαζί μας ώστε να σας βοηθήσουμε."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Λυπούμαστε - αλλά δεν είμαστε σε θέση να ολοκληρώσουμε τη συναλλαγή σας. Επικοινωνήστε μαζί μας ώστε να μπορούμε να σας βοηθήσουμε."
"A match of the Shipping Address City, State, and Postal Code failed.","Μια αντιστοιχία της Διεύθυνσης Αποστολής Πόλης, Πολιτείας και Ταχυδρομικού Κώδικα απέτυχε."
"We can't place the order.","Δεν μπορούμε να ολοκληρώσουμε την παραγγελία."
"The payment method code is not set.","Δεν έχει οριστεί η μέθοδος πληρωμής."
"The reference ID is not set.","Το ID αναφοράς δεν έχει οριστεί."
"Unable to save Billing Agreement:","Δεν είναι δυνατή η αποθήκευση Συμφωνίας Χρέωσης:"
"Active","Ενεργό"
"Canceled","Ακυρώθηκε"
"The customer ID is not set.","Δεν έχει οριστεί το ID πελάτη."
"The Billing Agreement status is not set.","Η κατάσταση Συμφωνίας Χρέωσης δεν έχει οριστεί."
"The PayPal certificate does not exist.","Το πιστοποιητικό του PayPal δεν υπάρχει."
"We prefer PayPal (150 X 60)","Προτιμούμε PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Προτιμούμε PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Τώρα δεχόμαστε PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Τώρα δεχόμαστε PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Πληρωμές από το PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Πληρωμές από το PayPal (150 X 40)"
"Shop now using (150 X 60)","Κατάστημα τώρα χρησιμοποιεί (150 X 60)"
"Shop now using (150 X 40)","Κατάστημα τώρα χρησιμοποιεί (150 X 40)"
"Dynamic","Δυναμική"
"Static","Στατική"
"Shortcut","Συντόμευση"
"Acceptance Mark Image","Σήμα Εικόνας Αποδοχής"
"Authorization","Εξουσιοδότηση"
"Sale","Προσφορά"
"Yes","Ναί"
"No","Όχι"
"For Virtual Quotes Only","Για Εικονικές Προσφορές Μόνο"
"Auto","Αυτόματο"
"Ask Customer","Ρωτήστε Πελάτη"
"Never","Ποτέ"
"IPN (Instant Payment Notification) Only","IPN (άμεση κοινοποίηση πληρωμής) Μόνο"
"API Signature","Υπογραφή API"
"API Certificate","Πιστοποιητικό API"
"The maximum number of child authorizations is reached.","Έχει συμπληρωθεί ο μέγιστος αριθμός παιδιών αδειών."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Θα επιτρέψουμε το ποσό των %1, μόλις η πύλη πληρωμής την εγκρίνει."
"The authorized amount is %1.","Το εγκεκριμένο ποσό είναι %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","Το PayPal δεν μπορεί να επεξεργαστεί τις παραγγελίες με μηδενικό οφειλόμενο υπόλοιπο. Για να ολοκληρώσετε την αγορά σας, παρακαλούμε περάστε από την τυπική ολοκλήρωση της διαδικασίας."
"A payer is not identified.","Ο πληρωτής δεν ταυτίστηκε."
"Cannot get secure form URL from PayPal","Δεν μπορούμε να πάρουμε μέσω της ασφαλούς διεύθυνσης URL φόρμας από PayPal"
"Last Transaction ID","Κωδικός Τελευταίας Συναλλαγής"
"This customer didn't include a confirmed address.","Ο πελάτης δεν περιλαμβάνει μια επιβεβαιωμένη διεύθυνση."
"The payment is authorized but not settled.","Η πληρωμή είναι εξουσιοδοτημένη αλλά δεν διευθετήθηκε."
"The payment eCheck is not cleared.","Δεν καταργείται η πληρωμή eCheck."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Ο έμπορος διατηρεί λογαριασμό εκτός-Ηπα και δεν έχει μηχανισμό ανάκλησης."
"The payment currency doesn't match any of the merchant's balances currency.","Το νόμισμα της πληρωμής δεν ταιριάζει με τις ισορροπίες νομισμάτων του εμπόρου."
"The payment is pending while it is being reviewed by PayPal for risk.","Η πληρωμή εκκρεμεί ενώ είναι υπό αναθεώρηση από το PayPal για κίνδυνο."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Η πληρωμή εκκρεμεί επειδή έγινε σε μια διεύθυνση email που δεν έχει ακόμη καταχωρηθεί ή επιβεβαιωθεί."
"The merchant account is not yet verified.","Ο λογαριασμός εμπόρου δεν έχει επαληθευτεί ακόμη."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Πραγματοποιήθηκε η πληρωμή μέσω πιστωτικής κάρτας. Για να λάβετε χρηματοδότηση εμπόρου πρέπει να αναβαθμίσετε το λογαριασμό επιχειρήσεων ή κατάσταση Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Συγνώμη, αλλά κάτι πήγε στραβά. Επικοινωνήστε με την εξυπηρέτηση πελατών του PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Ένας αντιλογισμός έχει παρουσιαστεί σε αυτή τη συναλλαγή, λόγω της αντίστροφης χρέωσης του πελάτη σας."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Ένας αντιλογισμός παρουσιάστηκε για τη συναλλαγή αυτή λόγω ότι ο πελάτης σας ενεργοποίησε μια εγγύηση επιστροφής χρημάτων."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Ένας αντιλογισμός παρουσιάστηκε για τη συναλλαγή αυτή λόγω καταγγελίας σχετικά με την συναλλαγή από τον πελάτη σας."
"A reversal has occurred on this transaction because you have given the customer a refund.","Ένας αντιλογισμός παρουσιάστηκε σε αυτήν τη συναλλαγή, επειδή έχετε δώσει στον πελάτη μία επιστροφή."
"Reversal of an adjustment.","Αντιστροφή μιας ρύθμισης."
"Transaction reversal due to fraud detected by PayPal administrators.","Αντιλογισμός συναλλαγής λόγω απάτης που εντοπίστηκε από τους διαχειριστές του PayPal."
"Transaction reversal by PayPal administrators.","Αντιλογισμός συναλλαγής από τους διαχειριστές του PayPal."
"Reimbursement for a chargeback.","Επιστροφή των χρημάτων."
"Settlement of a chargeback.","Διευθέτηση μιας αντίστροφης χρέωσης."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Ένας αντιλογισμός παρουσιάστηκε σε αυτήν τη συναλλαγή λόγω της αμφισβητήσεως ενός πελάτη για υπόνοιες μη εξουσιοδοτημένης απάτης."
"Buyer claims that he did not receive goods or service.","Ο αγοραστής ισχυρίζεται ότι δεν έλαβε προϊόντα ή υπηρεσία."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Αγοραστής ισχυρίζεται ότι έλαβε προϊόν ή υπηρεσία που διαφέρουν από την περιγραφή του εμπόρου του προϊόντος ή της υπηρεσίας."
"Buyer claims that he/she did not authorize transaction.","Αγοραστής ισχυρίζεται ότι αυτός/αυτή δεν επιτρέπει τη συναλλαγή."
"A case that has been resolved and close requires a reimbursement.","Μια υπόθεση που έχει επιλυθεί και έκλεισε απαιτεί μια επιστροφή."
"Buyer claims that a possible duplicate payment was made to the merchant.","Αγοραστής ισχυρίζεται ότι μια πιθανή διπλότυπη πληρωμή έγινε για τον έμπορο."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Ο αγοραστής ισχυρίζεται ότι το λαμβανόμενο εμπόρευμα δεν είναι ικανοποιητικό, είναι ελαττωματικό ή κατεστραμμένο."
"Unknown reason. Please contact PayPal customer service.","Άγνωστο λόγος. Επικοινωνήστε με την εξυπηρέτηση πελατών του PayPal."
"Payer ID","ID Πληρωτή"
"Payer Email","Email Πληρωτή"
"Payer Status","Κατάσταση Πληρωτή"
"Payer Address ID","ID Διεύθυνσης Πληρωτή"
"Payer Address Status","Κατάσταση Διεύθυνσης Πληρωτή"
"Merchant Protection Eligibility","Προστασία Επιλεξιμότητας Εμπόρου"
"Triggered Fraud Filters","Ενεργοποιούμενα Φίλτρα Απάτης"
"Last Correlation ID","Τελευταίο Αναγνωριστικό Συσχέτισης"
"Address Verification System Response","Απάντηση Συστήματος Επαλήθευσης Διεύθυνσης"
"CVV2 Check Result by PayPal","Αποτέλεσμα Ελέγχου CVV2 από PayPal"
"AVS Street Match","AVS Street Match"
"AVS zip","AVS zip"
"International AVS response","Διεθνή Απόκριση AVS"
"Buyer's Tax ID","ΑΦΜ του αγοραστή"
"Buyer's Tax ID Type","Τύπος ΑΦΜ του αγοραστή"
"Chargeback","Ακύρωση πληρωμής"
"Complaint","Καταγγελία"
"Dispute","Διαφορά"
"Matched Address only (no ZIP)","Αντιστοιχισμένη Διεύθυνση μόνο (όχι ΤΚ)"
"Matched Address only (no ZIP) International","Αντιστοιχισμένη Διεύθυνση μόνο (όχι ΤΚ) Διεθνή"
"No Details matched","Δεν Ταίριαξε Καμία Καταχώρηση"
"No Details matched. International","Δεν Ταίριαξε Καμία Καταχώρηση. Διεθνές"
"Exact Match.","Ακριβής αντιστοιχία."
"Exact Match. Address and Postal Code. International","Ακριβής αντιστοιχία. Διεύθυνση και ταχυδρομικός κώδικα. Διεθνές"
"Exact Match. Address and Postal Code. UK-specific","Ακριβής αντιστοιχία. Διεύθυνση και ταχυδρομικός κώδικα. UK-ειδικά"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Μ/Δ. Δεν επιτρέπεται για τις συναλλαγές MOTO (τηλέφωνο/Internet)"
"N/A. Global Unavailable","Μ/Δ. Δεν είναι διαθέσιμο Παγκόσμια"
"N/A. International Unavailable","Μ/Δ. Μη Διαθέσιμο Διεθνές"
"Matched five-digit ZIP only (no Address)","Ταίριαξε μόνο Τ.Κ. πέντε ψηφίων (καμία Διεύθυνση)"
"Matched Postal Code only (no Address)","Ταίριαξε μόνο Τ.Κ. (καμία Διεύθυνση)"
"N/A. Retry","Δ/Υ.. Επανάληψη"
"N/A. Service not Supported","Δ/Υ. η υπηρεσία δεν υποστηρίζεται"
"N/A. Unavailable","Δ/Υ.. Μη διαθέσιμο"
"Matched whole nine-digit ZIP (no Address)","Ταίριαξε ολόκληρο εννια-ψήφιο Τ. Κ. (καμία Διεύθυνση)"
"Yes. Matched Address and five-digit ZIP","Ναι. Αντιστοιχισμένη Διεύθυνση και πενταψήφιος Ταχυδρομικός Κώδικας"
"All the address information matched","Όλες οι πληροφορίες διεύθυνσης ταίριαξαν"
"None of the address information matched","Καμία από τις πληροφορίες διεύθυνσης δεν ταίριαξε"
"Part of the address information matched","Μέρος των πληροφοριών διεύθυνσης ταίριαξε"
"N/A. The merchant did not provide AVS information","Μ/Δ. Ο έμπορος δεν παρείχε πληροφορίες AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","Μ/Δ. Η Διεύθυνση δεν ελέγχεται, ή ο αγοραστής δεν είχε καμιά απάντηση. Η Υπηρεσία δεν είναι διαθέσιμη"
"Matched (CVV2CSC)","Ταιριάζει (CVV2CSC)"
"No match","Δεν ταιριάζει"
"N/A. Not processed","Μ/Δ. Δεν επεξεργάστηκε"
"N/A. Service not supported","Μ/Δ. Η υπηρεσία δεν υποστηρίζεται"
"N/A. Service not available","Μ/Δ. Η υπηρεσία δεν είναι διαθέσιμη"
"N/A. No response","Μ/Δ. Καμία απάντηση"
"Matched (CVV2)","Ταιριάζει (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","Μ/Δ. Ο έμπορος δεν έχει υλοποιήσει χειρισμό κωδικού CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","Μ/Δ. Ο έμπορος έχει δηλώσει ότι το CVV2 απουσιάζει στην κάρτα"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Πιστωτική Κάρτα"
"ending","λήγει"
"expires","λήγει"
"Note: %1","Σημείωση: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Τύπος Υπόθεσης ""%2"". Κωδικός Υπόθεσης ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Μια διένεξη επιλύθηκε και έκλεισε. %2 Ποσό συναλλαγής %3."
"You notified customer about invoice #%1.","Ειδοποιείσατε το πελάτη σχετικά με το τιμολόγιο #%1."
"We cannot cancel this order.","Δεν μπορούμε να ακυρώσουμε αυτήν τη παραγγελία."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Ποσό συναλλαγής %3. Κωδικός Συναλλαγής: ""%4"""
"You notified customer about creditmemo #%1.","Ειδοποιείσατε το πελάτη σχετικά με το πιστωτικό υπόμνημα #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Payflow PNREF:%1 #."
"Unable to fetch transaction details.","Δεν είναι δυνατό να φέρουμε τις λεπτομέρειες της συναλλαγής."
"Invalid method %1::%2","Μη έγκυρη μέθοδος %1::%2"
"Transaction has been declined","Η Συναλλαγή έχει ακυρώθεί"
"Error processing payment. Please try again later.","Σφάλμα επεξεργασίας πληρωμής. Παρακαλώ δοκιμάστε ξανά αργότερα."
"We cannot send the new order email.","Δεν μπορούμε να στείλουμε το νέο email παραγγελίας."
"Payment error. %value was not found.","Σφάλμα πληρωμής. %value δεν βρέθηκε."
"You cannot void a verification transaction.","Δεν μπορείτε να ακυρώσετε μια συναλλαγή επαλήθευσης."
"You need an authorization transaction to void.","Χρειάζεστε μια άδεια συναλλαγής για ακύρωση."
"We can't issue a refund transaction because there is no capture transaction.","Δεν μπορούμε να εκδώσουμε μια συναλλαγή επιστροφής επειδή δεν υπάρχει καμία συναλλαγή καταγραφής."
"We cannot create a target file for reading reports.","Δεν μπορούμε να δημιουργούμε ένα αρχείο προορισμού για την ανάγνωση των εκθέσεων."
"Report Date","Έκθεση Ημερομηνίας"
"Merchant Account","Λογαριασμός Εμπόρου"
"Transaction ID","ID Συναλλαγής"
"Invoice ID","ID Τιμολογίου"
"PayPal Reference ID","ID Αναφοράς PayPal"
"PayPal Reference ID Type","ID Τύπου Αναφοράς PayPal"
"Event Code","Κωδικός Γεγονότος"
"Event","Γεγονός"
"Start Date","Ημερομηνία έναρξης"
"Finish Date","Ημερομηνία λήξης"
"Debit or Credit","Χρεωστική ή πιστωτική"
"Gross Amount","Ακαθάριστο ποσό"
"Fee Debit or Credit","Αμοιβή χρεωστικής ή πιστωτικής"
"Fee Amount","Ποσό συμμετοχής"
"Custom","Προσαρμοσμένο"
"Order ID","Κωδικός Παραγγελίας"
"Preapproved Payment ID","ID Προεγκεκριμένης Πληρωμής"
"Subscription ID","ID εγγραφής"
"Credit","Πίστωση"
"Debit","Χρεωστική"
"ACH Deposit (Hold for Dispute or Other Investigation)","Κατάθεση ACH (Κρατήση για Διαφορά ή Άλλη Έρευνα)"
"ACH Deposit (Reversal)","ACH Deposit (Αντιστροφή)"
"ACH Funding for Funds Recovery from Account Balance","ACH Χρηματοδότηση για την Ανάκτηση Κεφαλαίων από το Υπόλοιπο του Λογαριασμού"
"ACH Withdrawal","Απόσυρση ACH"
"Account-to-Account Payment, initiated by PayPal","Πληρωμή Λογαριασμός-σε-Λογαριασμό, από PayPal"
"Auction Payment other than through eBay","Πληρωμή Δημοπρασίας άλλο εκτός μέσω eBay"
"AutoSweep","AutoSweep"
"Available Balance","Διαθέσιμο Υπόλοιπο"
"Balance Manager Account Bonus","Διαχείριση Υπολοίπου Λογαριασμού Μπόνους"
"Bonus for first ACH Use","Μπόνους για την πρώτη χρήση ACH"
"Buyer Credit Payment","Πληρωμή Πιστωτικής Αγοραστή"
"Charge-off","Ακυρώθηκε"
"Coupon Redemption","Εξαργύρωση Κουπονιού"
"Currency Conversion required to cover negative balance","Μετατροπή Νομίσματος που απαιτείται για την κάλυψη αρνητικού υπόλοιπου"
"Debit Card Cash Back","Επιστροφή Μετρητών Χρεωστικής Κάρτας"
"Debit Card Transaction","Συναλλαγή Χρεωστικής Κάρτας"
"Direct Payment API","API Απευθείας Πληρωμής"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Express Checkout APIs","Express Checkout API"
"Fee Reversal","Τέλος Αντιλογισμού"
"Fee: Foreign ACH Withdrawal","Τέλος: Απόσυρση Ξένων ACH"
"Fee: Mass Pay Request","Τέλος: Αίτηση Μαζικής Πληρωμής"
"Fee: Web Site Payments Pro Account Monthly","Τέλος: Μηνιάιου Web Site Payments Pro Account"
"Fee: WorldLink Check Withdrawal","Τέλος: Ελέγχου Ανάκλησης WorldLink"
"Funding","Χρηματοδότηση"
"General (Authorization)","Γενικό (άδεια)"
"General (Dividend)","Γενικό (μέρισμα)"
"General (Funds Transfer from PayPal Account to Another)","Γενικό (μεταφορά κεφαλαίων από λογαριασμό PayPal σε άλλο)"
"General (Purchase with a credit card)","Γενικό (πληρωμή με πιστωτική κάρτα)"
"General Adjustment without businessrelated event","Γενική ρύθμιση χωρίς εμπορικά σχετικά γεγονός"
"General Currency Conversion","Γενική Μετατροπή Νομίσματος"
"General Funding of PayPal Account ","Γενική Χρηματοδότηση Λογαριασμού PayPal "
"General Redemption","Γενική Εξαργύρωση"
"General Withdrawal from PayPal Account","Γενικά Ανάληψη από Λογαριασμό PayPal"
"General. Product no longer supported","Γενικα. Προϊόν δεν υποστηρίζεται πλέον"
"General: Use of PayPal account for purchasing as well as receiving payments","Γενικά: Χρήση του λογαριασμού PayPal για την αγορά καθώς και τη λήψη πληρωμών"
"General: Withdrawal from PayPal Account","Γενικά: Ανάληψη από το λογαριασμό PayPal"
"General: Withdrawal to Non-Bank Entity","Γενικά: Ανάληψη σε Μη-Τραπεζική Οντότητα"
"General: adjustment of a type not belonging to the other T12xx categories","Γενικά: προσαρμογή ενός τύπου που δεν ανήκει σε άλλες κατηγορίες T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Γενικά: μπόνους ενός τύπου που δεν ανήκει στις άλλες κατηγορίες T08xx"
"General: event not yet categorized","Γενικά: γεγονός δεν έχει κατηγοριοποιηθεί"
"General: non-payment fee of a type not belonging to the other T01xx categories","Γενικά: μη καταβολή τέλους ενός τύπου που δεν ανήκει στις άλλες κατηγορίες T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Γενικά: λήψη πληρωμή ενός τύπου που δεν ανήκει στις άλλες κατηγορίες T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Γενικά: αντιστροφή ενός τύπου που δεν ανήκει στις άλλες κατηγορίες T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Γενικά: προσωρινή παύση ενός τύπου που δεν ανήκει στις άλλες κατηγορίες T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Πληρωμή Δωροεπιταγής: αγορά δωροεπιταγής"
"Gift Certificate Redemption","Εξαργύρωση της δωροεπιταγής"
"Hidden Virtual PayPal Debit Card Transaction","Κρυφή Συναλλαγή Paypal Χρεωστικής Κάρτας"
"Hold for Dispute Investigation","Κράτηση για Διερεύνηση Διαφορών"
"Incentive","Κίνητρο"
"Mass Pay Payment","Μαζική Πληρωμή"
"Merchant Referral Bonus","Μπόνους Παραπομπής Εμπόρου"
"Mobile Payment (made via a mobile phone)","Κινητή Πληρωμή (που γίνεται μέσω κινητού τηλεφώνου)"
"Negative Balance","Αρνητικό Υπόλοιπο"
"Open Authorization","Ανοικτή Εξουσιοδότηση"
"PayPal Balance Manager function of PayPal account","PayPal Διαχείριση Υπόλοιπου λειτουργία του λογαριασμού PayPal"
"PayPal Buyer Warranty Bonus","Μπόνους Εγγύησης Αγοραστή PayPal"
"PayPal Debit Card Cash Advance","PayPal Χρεωστική Κάρτα Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Xρεωστική Kάρτα Aνάληψης από ΑΤΜ"
"PayPal Protection Bonus","PayPal Protection Bonus"
"Payment Refund initiated by merchant","Επιστροφή πληρωμής ξεκίνησε απο έμπορο"
"Points Incentive Redemption","Κίνητρα Εξαργύρωσης Πόντων"
"Postage Payment to either USPS or UPS","Ταχυδρομικά Τέλη Πληρωμής ή USPS είτε UPS"
"Preapproved Payment (BillUser API, either sent or received","Προεγκεκριμένη Πληρωμή (BillUser API, ή αποστέλλονται είτε λαμβάνονται"
"Reauthorization","Επαναεξουσιοδότηση"
"Reimbursement of Chargeback","Επιστροφή του Αντιλογισμού"
"Reversal","Αντιστροφή"
"Reversal of General Account Hold","Αντιστροφή της Γενικής Κρατήσης Λογαριασμού"
"Reversal of Points Usage","Αντιστροφή των Πόντων Χρήσης"
"Reversal of hold for Dispute Investigation","Αντιλογισμός της κρατήσης για Διερεύνηση Διαφορών"
"Reward Voucher Redemption","Εξαργύρωση Κουπονιού Ανταμοιβής"
"Settlement Consolidation","Ενοποίηση Διευθέτησης"
"Subscription Payment, either payment sent or payment received","Πληρωμή Συνδρομής, ή η πληρωμή στάλθηκε είτε η πληρωμή ελήφθη"
"User-initiated Currency Conversion","Μετατροπή Νομίσματος που προετοιμάζεται από χρήστη"
"Virtual PayPal Debit Card Transaction","Εικονική Συναλλαγή Paypal Χρεωστική Κάρτα"
"Virtual Terminal Payment","Εικονικό Τερματικό Πληρωμής"
"Void","Ακύρωση"
"WorldLink Withdrawal","Απόσυρση WorldLink"
"eBay Auction Payment","Πληρωμή Δημοπρασίας eBay"
