"Billing Agreements","结算协议"
"The billing agreement ""%1"" has been canceled.","""%1""账单协议已被取消。"
"The billing agreement ""%1"" has been created.","已创建账单协议""%1""。"
"We couldn't finish the billing agreement wizard.","我们不能完成计费的协议向导。"
"We can't start the billing agreement wizard.","我们不能开始计费的协议向导。"
"Billing Agreement # %1","计费协议 # %1"
"We can't initialize Express Checkout.","我们不能初始化快速结账。"
"PayPal Express Checkout Token does not exist.","贝宝表示签出令牌并不存在。"
"A wrong PayPal Express Checkout Token is specified.","指定了一个错误的支付宝快捷结帐令牌。"
"Express Checkout and Order have been canceled.","快速结账和订单已被取消。"
"Express Checkout has been canceled.","快速结账已取消"
"Unable to cancel Express Checkout","不能取消快速结账"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","我们不能处理快速结账审批。"
"We can't initialize Express Checkout review.","我们不能初始化快速结账审查。"
"We can't update shipping method.","我们不能更新的运输方法。"
"We can't start Express Checkout.","我们不能开始快速结账。"
"To check out, please sign in with your email address.","要签出，请使用您的电子邮件地址登录。"
"Sorry, but something went wrong","对不起，但事情出了错"
"Your payment has been declined. Please try again.","你的付款已经被拒绝，请重试"
"Requested payment method does not match with order.","请求的付款方法与订单不符。"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","你愿意签署一份账单协议以简化与PayPal的交易吗?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","支付网关目前是不可访问的。请使用另一种支付方式。"
"PayPal response hasn't required fields.","支付宝回应并没有要求领域。"
"Something went wrong while processing your order.","在处理您的订单时，出现错误。"
"PayPal gateway has rejected request. %1","贝宝网关已拒绝请求。%1"
"The PayPal gateway rejected the request. %1","贝宝网关拒绝了请求。%1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","我很抱歉-但我们也不能够处理您的付款。请尝试另一种付款方式或与我们联系，以便我们可以协助你。"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","我很抱歉-但我们不能够完成您的交易。请与我们联系，以便我们可以协助你。"
"A match of the Shipping Address City, State, and Postal Code failed.","航运地址城市、州和邮政编码的匹配失败。"
"We can't place the order.","我们不能下订单。"
"The payment method code is not set.","未设置付款方法代码。"
"The reference ID is not set.","未设置的参考 ID。"
"Unable to save Billing Agreement:","无法保存收费协议:"
"Active","活动"
"Canceled","已取消"
"The customer ID is not set.","不设置客户 ID。"
"The Billing Agreement status is not set.","不设置收费协议状态。"
"The PayPal certificate does not exist.","支付宝证书不存在。"
"We prefer PayPal (150 X 60)","我们更喜欢支付宝（150×60）"
"We prefer PayPal (150 X 40)","我们更喜欢支付宝（150×40）"
"Now accepting PayPal (150 X 60)","现在接受支付宝（150×60）"
"Now accepting PayPal (150 X 40)","现在接受支付宝（150×40）"
"Payments by PayPal (150 X 60)","支付宝（150 X 60）"
"Payments by PayPal (150 X 40)","支付宝（150 X 40）"
"Shop now using (150 X 60)","店铺现在使用 (150 × 60)"
"Shop now using (150 X 40)","店铺现在使用 (150 × 40)"
"Dynamic","动态"
"Static","静态"
"Shortcut","快捷方式"
"Acceptance Mark Image","接受标记图像"
"Authorization","发送至"
"Sale","销售"
"Yes","是"
"No","否"
"For Virtual Quotes Only","虚拟报价仅"
"Auto","自动"
"Ask Customer","询问客户"
"Never","永不"
"IPN (Instant Payment Notification) Only","IPN (即时付款通知) 只"
"API Signature","API 签名"
"API Certificate","API 证书"
"The maximum number of child authorizations is reached.","达到了子授权的最大数目。"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","我们将授权 %1 的量，尽快支付网关批准它。"
"The authorized amount is %1.","授权的金额是 %1。"
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","支付宝不能处理订单与一零平衡。要完成您的购买，请通过标准结帐过程。"
"A payer is not identified.","不确定的付款人。"
"Cannot get secure form URL from PayPal","无法从PayPal获得安全的表单URL"
"Last Transaction ID","最后的交易 ID"
"This customer didn't include a confirmed address.","这位顾客没有包括确认过的地址。"
"The payment is authorized but not settled.","付款已获授权但尚未结算。"
"The payment eCheck is not cleared.","支付电子支票是不会被清除。"
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","商人持有非美国帐户，并没有退出机制。"
"The payment currency doesn't match any of the merchant's balances currency.","付款币种不匹配任何商人的余额的货币。"
"The payment is pending while it is being reviewed by PayPal for risk.","这款支付正在等待贝宝(PayPal)进行风险评估。"
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","付款还在等待，因为它被发送到一个尚未注册或确认的电子邮件地址。"
"The merchant account is not yet verified.","这个商业帐户尚未被证实。"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","付款是通过信用卡支付的。为了获得资金，商家必须将帐户升级到商业或总理地位。"
"Sorry, but something went wrong. Please contact PayPal customer service.","对不起，但出了点问题。请与贝宝客户服务联系。"
"A reversal has occurred on this transaction due to a chargeback by your customer.","由于客户的退款，此交易发生了逆转。"
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","由于触发退款保证您客户的这笔交易发生了逆转。"
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","由于客户对交易的投诉，这宗交易发生了逆转。"
"A reversal has occurred on this transaction because you have given the customer a refund.","因为你给客户退款这笔交易上出现逆转。"
"Reversal of an adjustment.","逆转的调整。"
"Transaction reversal due to fraud detected by PayPal administrators.","PayPal管理员发现的欺诈行为导致交易逆转。"
"Transaction reversal by PayPal administrators.","通过PayPal管理员的交易撤销。"
"Reimbursement for a chargeback.","退款补偿。"
"Settlement of a chargeback.","存储容量使用计费结算。"
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","由于客户争议怀疑未经授权的欺骗，此交易发生了逆转。"
"Buyer claims that he did not receive goods or service.","买方声称，他没有收到货物或服务。"
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","买方声称所收到的货物或服务与商人对货物或服务的描述不同。"
"Buyer claims that he/she did not authorize transaction.","买方声称他/她并没有授权交易。"
"A case that has been resolved and close requires a reimbursement.","已解决和关闭某一案件需要偿还。"
"Buyer claims that a possible duplicate payment was made to the merchant.","买方声称对商人可能重复付款。 
"
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","买方声称收到的商品是不令人满意的，有缺陷或损坏。"
"Unknown reason. Please contact PayPal customer service.","未知的原因。请联系 PayPal 客户服务。"
"Payer ID","付款人 ID"
"Payer Email","付款人的电子邮件"
"Payer Status","付款人地位"
"Payer Address ID","付款人地址 ID"
"Payer Address Status","付款人地址状态"
"Merchant Protection Eligibility","商人保护资格"
"Triggered Fraud Filters","触发的欺诈筛选器"
"Last Correlation ID","上一个相关 ID"
"Address Verification System Response","地址验证系统响应"
"CVV2 Check Result by PayPal","通过PayPal CVV2检查结果"
"AVS Street Match","AVS 街与匹配"
"AVS zip","AVS 邮编"
"International AVS response","国际 AVS 响应"
"Buyer's Tax ID","买方的税务 ID"
"Buyer's Tax ID Type","买方的税务 ID 类型"
"Chargeback","拒付"
"Complaint","投诉"
"Dispute","争端"
"Matched Address only (no ZIP)","只匹配的地址 (没有邮政编码)"
"Matched Address only (no ZIP) International","匹配的地址只 (没有邮政编码) 国际"
"No Details matched","没有匹配的详细信息"
"No Details matched. International","没有详细信息匹配。国际"
"Exact Match.","精确匹配"
"Exact Match. Address and Postal Code. International","精确匹配。地址和邮政编码。国际"
"Exact Match. Address and Postal Code. UK-specific","精确匹配。地址和邮政编码。英国特定"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N / A。不允许使用MOTO(互联网/电话)交易"
"N/A. Global Unavailable","N/A。 全球不可用"
"N/A. International Unavailable","N/A.国际不可用"
"Matched five-digit ZIP only (no Address)","匹配五位数邮编 (没有地址)"
"Matched Postal Code only (no Address)","只匹配的邮政编码 (没有地址)"
"N/A. Retry","重试 n/A。"
"N/A. Service not Supported","N / A。服务不支持"
"N/A. Unavailable","N/A.不可用"
"Matched whole nine-digit ZIP (no Address)","匹配的全九位邮编 (无地址)"
"Yes. Matched Address and five-digit ZIP","是的。匹配的地址和五位数字邮编 ZIP"
"All the address information matched","所有匹配的地址信息"
"None of the address information matched","没有匹配的地址信息"
"Part of the address information matched","匹配的地址信息的一部分"
"N/A. The merchant did not provide AVS information","N/A。商人没有提供 AVS 信息"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A.未检查的地址，或收单者没有响应。服务不可用"
"Matched (CVV2CSC)","匹配的 (CVV2CSC)"
"No match","没有匹配"
"N/A. Not processed","N/A。不处理"
"N/A. Service not supported","N / A。服务不支持"
"N/A. Service not available","N/A 服务不可用"
"N/A. No response","N/A。没有响应"
"Matched (CVV2)","匹配的 (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A。商人没有执行 CVV2 代码处理"
"N/A. Merchant has indicated that CVV2 is not present on card","N / A。商人表示，CVV2不在卡片上"
"CNPJ","CNPJ"
"CPF","中央公积金"
"Credit Card","Credit Card"
"ending","结束"
"expires","到期"
"Note: %1","注: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN""%1""。案例类型""%2""。用例 ID""%3""%4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN""%1""。争议已解决并关闭。%2 交易量 %3。"
"You notified customer about invoice #%1.","你通知客户关于发票 #%1。"
"We cannot cancel this order.","我们不能取消此订单。"
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN""%1""。%2 交易量 %3。交易记录 ID:""%4"""
"You notified customer about creditmemo #%1.","你通知客户关于付款 #%1。"
"IPN ""%1""","IPN""%1"""
"Payflow PNREF: #%1.","转账 PNREF: #%1。"
"Unable to fetch transaction details.","无法获取交易记录详细信息。"
"Invalid method %1::%2","无效的方法 %1::%2"
"Transaction has been declined","交易记录已被拒绝"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","我们不能发送新的订单邮件。"
"Payment error. %value was not found.","

支付错误。未找到%值。 "
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","你需要到无效授权交易。"
"We can't issue a refund transaction because there is no capture transaction.","我们不能发出退款交易，因为没有捕捉交易。"
"We cannot create a target file for reading reports.","我们不能为读取报告创建目标文件。"
"Report Date","报告日期"
"Merchant Account","商人帐户"
"Transaction ID","交易记录 ID"
"Invoice ID","发票 ID"
"PayPal Reference ID","支付参考引用 ID"
"PayPal Reference ID Type","支付参考ID类型"
"Event Code","事件代码"
"Event","事件"
"Start Date","起始日期"
"Finish Date","完成日期"
"Debit or Credit","借方或贷方"
"Gross Amount","总金额"
"Fee Debit or Credit","费用借方或贷方"
"Fee Amount","费用金额"
"Custom","自定义"
"Order ID","订单 ID"
"Preapproved Payment ID","预先的付款 ID"
"Subscription ID","订阅 ID"
"Credit","积分"
"Debit","借记卡"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH 存款 (按住争议或其他调查)"
"ACH Deposit (Reversal)","ACH 存款 (逆转)"
"ACH Funding for Funds Recovery from Account Balance","ACH 经费账户结余资金回收"
"ACH Withdrawal","ACH 撤出"
"Account-to-Account Payment, initiated by PayPal","账户支付，由支付宝发起"
"Auction Payment other than through eBay","其他比通过 eBay 的拍卖付款"
"AutoSweep","AutoSweep"
"Available Balance","可用余额"
"Balance Manager Account Bonus","平衡管理器帐户奖金"
"Bonus for first ACH Use","第一次的 ACH 使用奖金"
"Buyer Credit Payment","买方信贷付款"
"Charge-off","撇帐"
"Coupon Redemption","优惠券"
"Currency Conversion required to cover negative balance","货币转换需要支付负平衡"
"Debit Card Cash Back","借记卡卡现金返还"
"Debit Card Transaction","借记卡交易"
"Direct Payment API","直接付款的 API"
"EFT Funding (German banking)","EFT 筹资 (德国银行)"
"Express Checkout APIs","表达结帐 Api"
"Fee Reversal","费逆转"
"Fee: Foreign ACH Withdrawal","费用: 外国 ACH 撤出"
"Fee: Mass Pay Request","费用: 大规模付款请求"
"Fee: Web Site Payments Pro Account Monthly","费用: Web 站点的付款临帐户每月"
"Fee: WorldLink Check Withdrawal","费用: 威检查退出"
"Funding","资金"
"General (Authorization)","一般 (授权)"
"General (Dividend)","一般 (红利)"
"General (Funds Transfer from PayPal Account to Another)","一般 (资金转移从 PayPal Account 到另一个)"
"General (Purchase with a credit card)","一般 (用信用卡购买)"
"General Adjustment without businessrelated event","一般性调整，无业务相关事项"
"General Currency Conversion","一般货币换算"
"General Funding of PayPal Account ","支付宝账户资金"
"General Redemption","一般赎回"
"General Withdrawal from PayPal Account","一般情况: 撤出 PayPal 帐户"
"General. Product no longer supported","一般情况。不再支持的产品"
"General: Use of PayPal account for purchasing as well as receiving payments","一般情况: 使用贝宝帐户的采购，并且接收付款"
"General: Withdrawal from PayPal Account","一般情况: 撤出 PayPal 帐户"
"General: Withdrawal to Non-Bank Entity","一般情况: 撤回到非银行实体"
"General: adjustment of a type not belonging to the other T12xx categories","一般情况: 调整不属于其他 T12xx 类别类型的"
"General: bonus of a type not belonging to the other T08xx categories","一般情况: 奖金不属于其他 T08xx 类别类型的"
"General: event not yet categorized","一般情况: 事件尚未分类"
"General: non-payment fee of a type not belonging to the other T01xx categories","一般情况: 非付款费用不属于其他 T01xx 类别类型的"
"General: received payment of a type not belonging to the other T00xx categories","一般: 收到付款的一种类型不属于其他 T00xx 类别"
"General: reversal of a type not belonging to the other T11xx categories","一般情况: 逆转的不属于其他 T11xx 类别类型"
"General: temporary hold of a type not belonging to the other T15xx categories","一般情况: 暂时冻结不属于其他 T15xx 类别类型的"
"Gift Certificate Payment: purchase of Gift Certificate","礼品证书付款: 购买的礼品证书"
"Gift Certificate Redemption","礼品券兑换"
"Hidden Virtual PayPal Debit Card Transaction","隐藏虚拟支付宝借记卡交易"
"Hold for Dispute Investigation","为纠纷调查举行"
"Incentive","激励"
"Mass Pay Payment","批量付款"
"Merchant Referral Bonus","商家推荐奖金"
"Mobile Payment (made via a mobile phone)","移动支付 (手机)"
"Negative Balance","负平衡"
"Open Authorization","打开授权"
"PayPal Balance Manager function of PayPal account","贝宝平衡管理器功能的 PayPal 帐户"
"PayPal Buyer Warranty Bonus","贝宝买家保修奖金"
"PayPal Debit Card Cash Advance","贝宝借记卡卡预付现金"
"PayPal Debit Card Withdrawal from ATM","贝宝付款卡退出 ATM"
"PayPal Protection Bonus","贝宝保护奖金"
"Payment Refund initiated by merchant","商人发起退款"
"Points Incentive Redemption","指出激励救赎"
"Postage Payment to either USPS or UPS","美国邮政或 UPS 邮资支付"
"Preapproved Payment (BillUser API, either sent or received","预先批准的付款 (BillUser API，或者发送或接收"
"Reauthorization","再授权"
"Reimbursement of Chargeback","偿还的计费"
"Reversal","逆转"
"Reversal of General Account Hold","一般账户持有的逆转"
"Reversal of Points Usage","反转点的用法"
"Reversal of hold for Dispute Investigation","逆转的等待纠纷调查"
"Reward Voucher Redemption","奖励券赎回"
"Settlement Consolidation","解决整合"
"Subscription Payment, either payment sent or payment received","订阅付款，付款发送或收到付款"
"User-initiated Currency Conversion","用户启动货币换算"
"Virtual PayPal Debit Card Transaction","借记卡贝宝虚拟交易"
"Virtual Terminal Payment","虚拟终端支付"
"Void","创建于"
"WorldLink Withdrawal","威撤出"
"eBay Auction Payment","eBay 拍卖付款"
"The PayPal certificate file is empty.","贝宝的证书文件是空的。"
"Header (center)","标题 (中心)"
"Sidebar (right)","侧边栏 (右)"
"Near PayPal Credit checkout button","贝宝信用卡结帐按钮附近"
"--Please Select--","-- 请选择 --"
"Daily","每天"
"Every 3 days","每隔 3 天"
"Every 7 days","每隔 7 天"
"Every 10 days","每隔 10 天"
"Every 14 days","每 14 天"
"Every 30 days","每隔 30 天"
"Every 40 days","每隔 40 天"
"No Logo","无标志"
"Yes (PayPal recommends this option)","是的 (PayPal 建议此选项)"
"Created billing agreement #%1.","创建计费协议 #%1。"
"We can't create a billing agreement for this order.","我们无法创建此订单的账单协议。"
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","挂起贝宝"
"PayPal Reversed","贝宝逆转"
"PayPal Canceled Reversal","贝宝取消逆转"
"Error","错误"
"Billing Agreement","付帐协议"
"Please Select","请选择"
"Customer","客户"
"Created At","创建于"
"Updated At","更新"
"Not sure what PayPal payment method to use? Click ","不能确定使用什么贝宝付款方法?单击"
"here","在这里"
" to learn more.","要了解更多。"
"Important: ","重要:"
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","一旦你登录到您的 PayPal 高级帐户、 导航到服务设置-主办结帐页面-设置菜单和设置选项如下所述"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","若要使用 PayPal 转账链接，您必须在贝宝网站上配置您的 PayPal 转账链接帐户。"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","一旦你登录到您的 PayPal 转账链接帐户、 导航到服务设置-主办结帐页面-设置菜单和设置选项如下所述"
"Credit Card Type","卡片验证号码"
"Credit Card Number","信用卡卡号"
"Expiration Date","过期日期"
"Card Verification Number","信用卡验证号码"
"Billing Agreement # ","付帐协议 #"
"Agreement Information","协议信息"
"Reference ID:","引用 ID:"
"Status:","状态:"
"Created:","已创建:"
"Updated:","更新:"
"Payment Method:","支付方式:"
"Order #","订单 #"
"Date","日期"
"Ship To","船到"
"Order Status","订单状态"
"View Order","查看订单"
"Back to Billing Agreements","回到计费协定"
"Payment Method","支付方式"
"View","查看"
"There are no billing agreements yet.","目前还没有自动扣款协议。"
"New Billing Agreement","新计费协议"
"You will be redirected to the payment system website.","您将被重定向到付款系统网站。"
"-- Please Select --","-- 请选择 --"
"Create...","创建..."
"Your credit card will be charged for","您的信用卡将被收费"
"Your billing agreement # is: ","你的账单协议号是: "
"Shipping Method","运送方式"
"Please select a shipping method...","请选择送货方式..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","对不起，目前没有报价可用于此订单。"
"Shipping Address","送货地址"
"Edit","编辑"
"Buy now with PayPal","使用Paypal支付"
"Edit Payment Information","编辑付款信息"
"Items in Your Shopping Cart","您的购物车中的商品"
"Edit Shopping Cart","编辑购物车"
"Place Order","对不起，暂无报价可供此订单现在。"
"Submitting order information...","提交订单信息。。。"
"Item","产品"
"Price","价格"
"Qty","数量"
"Subtotal","小计"
"Please update order data to get shipping methods and rates","请更新订单数据以获取运输方法和费率"
"or","或"
"Checkout with PayPal","使用Paypal支付"
"Please do not refresh the page until you complete payment.","请不要刷新页面，直到你完成付款。"
"You will be required to enter your payment details after you place an order.","下订单之后您需要输入您的付款信息"
"Continue","继续"
"Additional Options","附加选项"
"-- Please Select Billing Agreement--","— — 请请选择计费协议 — —"
"Acceptance Mark","验收标志"
"What is PayPal?","PayPal 是什么?"
"Sign a billing agreement to streamline further purchases  with PayPal.","签署一项协议，简化使用Paypal支付的流程。"
"Sign a billing agreement to streamline further purchases with PayPal.","签署一项协议，简化使用Paypal支付的流程。"
"Continue to PayPal","使用Paypal继续"
"Save credit card information for future use.","保存信用卡信息以备将来使用。"
"Sorry, something went wrong.","对不起，出错了。"
"Sorry, something went wrong. Please try again later.","对不起， 出错了，请稍候再试"
"PayPal Section","贝宝节"
"PayPal Settlement","贝宝结算"
"Fetch","获取"
"Actions","动作"
"Manage","管理"
"Place Order Using Billing Agreements","使用计费协定下订单"
"Orders","Orders"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","商家位置"
"Merchant Country","商户国家"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","推荐的解决方案："
"Other PayPal Payment Solutions:","贝宝付款解决方案"
"Other Payment Methods:","其他支付方式："
"PayPal Express Checkout","贝宝快递签出"
"Add another payment method to your existing solution or as a stand-alone option.","将另一种付款方法添加到现有的解决方案或作为一个独立的选项。"
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal一体化支付解决方案:<i>接受和处理信用卡和PayPal支付</i>"
"Choose a secure bundled payment solution for your business.","选择安全捆绑的支付解决方案为您的业务。"
"Payments Pro","支付专业"
"Payments Pro and Express Checkout","付款 Pro 和快递签出"
"Basic Settings - PayPal Payments Pro","基本设置-PayPal 付款临"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","贝宝支付网关 <i>处理付款使用你自己的互联网商人帐户。</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal一体化支付解决方案:<i>接受和处理信用卡和PayPal支付</i>"
"Accept payments with a completely customizable checkout page.","接受支付完全可定制的结帐页面。"
"Process payments using your own internet merchant account.","使用您自己的互联网商家帐户的处理付款。"
"Website Payments Pro","网站付款专业"
"Express Checkout","快速结帐"
"Add PayPal as an additional payment method to your checkout page.","贝宝作为一种额外的付款方法添加到结帐页面。"
"Required PayPal Settings","所需的贝宝设置"
"Email Associated with PayPal Merchant Account (Optional)","与贝宝商人帐户 (可选) 关联的电子邮件"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","难道没有一个 PayPal 帐户吗?只需输入您的电子邮件地址。"
"API Authentication Methods","API 的身份验证方法"
"API Username","API 用户名"
"API Password","API 密码"
"Get Credentials from PayPal","从贝宝获取凭据"
"Sandbox Mode","沙盒模式"
"API Uses Proxy","API 使用代理服务器"
"Proxy Host","代理主机"
"Proxy Port","代理服务器端口"
"Enable this Solution","启用此解决方案"
"Enable In-Context Checkout Experience","启用在上下文签出经验"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>."
"Merchant Account ID","商人帐户 ID"
"Enable PayPal Credit","启用贝宝信用"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","

贝宝信用排序 "
"Advertise PayPal Credit","广告贝宝信用"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","发布者 ID"
"Required to display a banner","需要显示横幅"
"Get Publisher ID from PayPal","发布者 ID 得到贝宝"
"Home Page","主页"
"Display","显示"
"Position","位置"
"Size","尺寸"
"Catalog Category Page","目录类别页"
"Catalog Product Page","目录产品页"
"Checkout Cart Page","签出购物车页面"
"Basic Settings - PayPal Express Checkout","基本设置-贝宝快速结帐"
"Title","标题"
"It is recommended to set this value to ""PayPal"" per store views.","它建议设置此值与""贝宝""每一个商店界面。"
"Sort Order","排序"
"Payment Action","支付行为"
"Display on Product Details Page","显示产品详细信息页"
"Authorization Honor Period (days)","授权荣誉期 (天)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","指定授权荣誉时期是商人的 PayPal 帐户上。它必须镜像中贝宝的设置。"
"Order Valid Period (days)","订单有效期 (天)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","指定命令有效期是商人的 PayPal 帐户上。它必须镜像中贝宝的设置。"
"Number of Child Authorizations","孩子授权数量"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","孩子授权在您的贝宝帐户的默认数量为 1。要做多个授权请联系贝宝要求增加。"
"Advanced Settings","高级设置"
"Display on Shopping Cart","在购物车上显示"
"Also affects mini-shopping cart.","也会影响迷你购物车。"
