"Billing Agreements","Acordos de Facturamento"
"We can't start the billing agreement wizard.","Não foi possível iniciar o assistente do acordo de faturação."
"Billing Agreement # %1","Acordo de Facturação # %1"
"We can't initialize Express Checkout.","Não foi possível iniciar o Checkout Express."
"PayPal Express Checkout Token does not exist.","O Token do PayPal Checkout Express não existe."
"A wrong PayPal Express Checkout Token is specified.","Foi especificado um Token do PayPal Express Checkout errado."
"Express Checkout and Order have been canceled.","O Checkout Express e a Encomenda foram cancelados."
"Express Checkout has been canceled.","O Checkout Express foi cancelado."
"Unable to cancel Express Checkout","Não foi possível cancelar o Checkout Express"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","Não foi possível processar a aprovação do Checkout Express."
"We can't initialize Express Checkout review.","Não foi possível iniciar a revisão do Checkout Express."
"We can't update shipping method.","Não foi possível atualizar o modo de envio."
"We can't start Express Checkout.","Não foi possível iniciar o Checkout Express."
"To check out, please sign in with your email address.","Para efetuar o checkout, por favor inicie sessão com o seu endereço de email."
"Sorry, but something went wrong","Pedimos desculpa, mas algo correu mal"
"Your payment has been declined. Please try again.","O seu pagamento foi recusado. Por favor, tente novamente."
"Requested payment method does not match with order.","A forma de pagamento solicitada não coincide com a da encomenda."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Gostaria de assinar um acordo de faturação para finalizar as suas futuras compras PayPal mais rapidamente?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Authorization is not allowed."
"Payment Gateway is unreachable at the moment. Please use another payment option.","O Gateway de Pagamento está de momento inacessível. Por favor use outra opção de pagamento."
"PayPal response hasn't required fields.","A resposta PayPal não tem os campos obrigatórios."
"Something went wrong while processing your order.","Algo correu mal ao processar a sua encomenda."
"PayPal gateway has rejected request. %1","O gateway PayPal rejeitou o pedido. %1"
"The PayPal gateway rejected the request. %1","O gateway PayPal rejeitou o pedido. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Pedimos desculpa - não fomos capazes de processar o seu pagamento. Por favor tente outro método de pagamento ou contacte-nos para que o(a) possamos ajudar."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Pedimos desculpa - mas não conseguimos concluir a sua transação. Por favor contacte-nos para que o/a possamos ajudar."
"A match of the Shipping Address City, State, and Postal Code failed.","A match of the Shipping Address City, State, and Postal Code failed."
"We can't place the order.","Não foi possível confirmar a encomenda."
"The payment method code is not set.","O código do método de pagamento não está definido."
"The reference ID is not set.","O ID de referência não está definido."
"Unable to save Billing Agreement:","Não foi possível gravar o Acordo de Faturação:"
"Active","Ativo"
"Canceled","Cancelada"
"The customer ID is not set.","O ID de cliente não está definido."
"The Billing Agreement status is not set.","O estado do Acordo de Pagamento não está definido."
"The PayPal certificate does not exist.","O certificado PayPal não existe."
"We prefer PayPal (150 X 60)","Nós preferimos PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Nós preferimos PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Aceitamos PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Aceitamos PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos por PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Pagamentos por PayPal (150 X 40)"
"Shop now using (150 X 60)","Comprar agora usando (150 X 60)"
"Shop now using (150 X 40)","Comprar agora usando (150 X 40)"
"Dynamic","Dinâmico"
"Static","Estático"
"Shortcut","Atalho"
"Acceptance Mark Image","Imagem de Marca de Aceitação"
"Authorization","Autorização"
"Sale","Venda"
"Yes","Sim"
"No","Não"
"For Virtual Quotes Only","Apenas para Orçamentos Virtuais"
"Auto","Automático"
"Ask Customer","Perguntar ao Cliente"
"Never","Nunca"
"IPN (Instant Payment Notification) Only","Apenas IPN (Notificação de Pagamento Instantânea)"
"API Signature","Assinatura da API"
"API Certificate","Certificado da API"
"The maximum number of child authorizations is reached.","Foi atingido o número máximo de autorizações descendentes."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Iremos autorizar o montante de %1 assim que o gateway de pagamentos o aprovar."
"The authorized amount is %1.","O montante autorizado é %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","O PayPal não consegue processar encomendas sem valor final a pagar. Para terminar a sua compra, por favor selecione o processo de checkout pré-definido."
"A payer is not identified.","Não está identificado um pagador."
"Cannot get secure form URL from PayPal","Não foi possível obter o URL de formulário seguro do PayPal"
"Last Transaction ID","ID da Última Transação"
"This customer didn't include a confirmed address.","Este cliente não incluiu uma morada verificada."
"The payment is authorized but not settled.","O pagamento foi autorizado mas não está liquidado."
"The payment eCheck is not cleared.","O eCheck de pagamento não está liquidado."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","O comerciante tem uma conta fora dos Estados Unidos da América e não tem nenhum mecanismo de levantamento."
"The payment currency doesn't match any of the merchant's balances currency.","A moeda do pagamento não corresponde a nenhuma moeda de saldo do comerciante."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente enquanto é revisto pela PayPal para um risco potencial."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito para um endereço de email que ainda não foi registado ou confirmado."
"The merchant account is not yet verified.","A conta de comerciante ainda não foi verificada."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito através de cartão de crédito. Para receber o montante, o comerciante deverá atualizar o estado da sua conta para Business ou Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Pedimos desculpa, mas algo correu mal. Por favor contacte o apoio ao cliente PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Ocorreu uma anulação desta transação devido a um cancelamento por parte do cliente."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Ocorreu uma anulação desta transação devido a uma ativação da garantia de reembolso por parte do cliente."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Ocorreu uma anulação desta transação devido a uma reclamação sobre a transação por parte do cliente."
"A reversal has occurred on this transaction because you have given the customer a refund.","Ocorreu uma anulação desta transação porque reembolsou o cliente."
"Reversal of an adjustment.","Revogação de um ajuste."
"Transaction reversal due to fraud detected by PayPal administrators.","Transação revogada devido à deteção de fraude por parte da administração do PayPal."
"Transaction reversal by PayPal administrators.","Transação revogada por parte da administração do PayPal."
"Reimbursement for a chargeback.","Reembolso para uma devolução."
"Settlement of a chargeback.","Liquidação de um reembolso."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Esta transação foi anulada porque existe uma disputa de um cliente com suspeita de falsificação."
"Buyer claims that he did not receive goods or service.","O comprador afirma que não recebeu nenhuns bens ou serviços."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","O comprador afirma que os bens ou serviços recebidos diferem da descrição dos mesmos dada pelo comerciante."
"Buyer claims that he/she did not authorize transaction.","O comprador afirma que ele/ela não autorizou a transação."
"A case that has been resolved and close requires a reimbursement.","Um caso que foi resolvido e o fecho requer um reembolso."
"Buyer claims that a possible duplicate payment was made to the merchant.","O comprador afirma que foi feito um possível pagamento em duplicado ao comerciante."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","O comprador afirma que a mercadoria recebida não é satisfatória, está danificada ou com defeitos."
"Unknown reason. Please contact PayPal customer service.","Razão desconhecida. Por favor contacte o apoio ao cliente PayPal."
"Payer ID","ID do Pagador"
"Payer Email","Email do Pagador"
"Payer Status","Estado do Pagador"
"Payer Address ID","ID da Morada do Pagador"
"Payer Address Status","Estado da Morada do Pagador"
"Merchant Protection Eligibility","Elegibilidade para Proteção de Comerciante"
"Triggered Fraud Filters","Filtros de Fraude Desencadeados"
"Last Correlation ID","ID da Última Correlação"
"Address Verification System Response","Resposta do Sistema à Verificação da Morada"
"CVV2 Check Result by PayPal","Resultado da Verificação CVV2 pelo PayPal"
"AVS Street Match","Correspondência de Morada AVS"
"AVS zip","Cód. Postal AVS"
"International AVS response","Resposta AVS Internacional"
"Buyer's Tax ID","NIF do Comprador"
"Buyer's Tax ID Type","Tipo de NIF do Comprador"
"Chargeback","Devolução do Dinheiro"
"Complaint","Reclamação"
"Dispute","Disputa"
"Matched Address only (no ZIP)","Apenas corresponde a Morada (sem código de postal)"
"Matched Address only (no ZIP) International","Apenas corresponde a Morada (sem código de postal), Internacional"
"No Details matched","Nenhuns dos Detalhes correspondem"
"No Details matched. International","Nenhuns dos Detalhes correspondem. Internacional"
"Exact Match.","Correspondência Exata."
"Exact Match. Address and Postal Code. International","Correspondência Exata. Morada e Código Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Correspondência Exata. Morada e Código Posta. Reino Unido"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/D. Não permitido para transações MOTO (Internet/Telemóvel)"
"N/A. Global Unavailable","N/D. Não está disponível a opção global"
"N/A. International Unavailable","N/D. Não está disponível a opção Internacional"
"Matched five-digit ZIP only (no Address)","Correspondência do código postal de apenas 5 dígitos (sem Morada)"
"Matched Postal Code only (no Address)","Correspondência apenas do código postal (sem Morada)"
"N/A. Retry","N/D. Volte a tentar"
"N/A. Service not Supported","N/D. Serviço não suportado"
"N/A. Unavailable","N/D. Não está disponível"
"Matched whole nine-digit ZIP (no Address)","Matched whole nine-digit ZIP (no Address)"
"Yes. Matched Address and five-digit ZIP","Yes. Matched Address and five-digit ZIP"
"All the address information matched","Toda a informação da morada foi verificada"
"None of the address information matched","Nenhuma das informações da morada foi verificada"
"Part of the address information matched","Parte das informações da morada foi verificada"
"N/A. The merchant did not provide AVS information","N/D. O comerciante não forneceu informações AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. A morada não foi verificada ou o processador não respondeu. O serviço não está disponível"
"Matched (CVV2CSC)","Correspondido (CVV2CSC)"
"No match","Não corresponde"
"N/A. Not processed","N/D. Não processado"
"N/A. Service not supported","N/D. Serviço não suportado"
"N/A. Service not available","N/D. Serviço não disponível"
"N/A. No response","N/D. Nenhuma resposta"
"Matched (CVV2)","Correspondido (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/D. O comerciante ainda não implementou a manipulação do código CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. O Comerciante indicou que o CVV2 não está presente no cartão"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Credit Card"
"ending","terminando"
"expires","expira"
"Note: %1","Nota: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tipo de caso ""%2"". ID do caso ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Foi resolvida e fechada uma disputa. %2 Montante da Transação %3."
"You notified customer about invoice #%1.","Notificou o cliente acerca da fatura #%1."
"We cannot cancel this order.","Não foi possível cancelar esta encomenda."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Montante de Transação %3. ID de Transação: ""%4"""
"You notified customer about creditmemo #%1.","Notificou o cliente acerca da nota de crédito #%1."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","PNREF Payflow: #%1."
"Unable to fetch transaction details.","Não foi possível obter os detalhes da transação."
"Invalid method %1::%2","Método inválido %1::%2"
"Transaction has been declined","A transação foi recusada"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","Não conseguimos enviar o email da nova encomenda."
"Payment error. %value was not found.","Payment error. %value was not found."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","Precisa de uma transação de autorização para anular."
"We can't issue a refund transaction because there is no capture transaction.","Não conseguimos emitir uma transação de reembolso porque não existe uma transação de captura."
"We cannot create a target file for reading reports.","Não conseguimos criar um ficheiro de destino para a leitura de relatórios."
"Report Date","Data do Relatório"
"Merchant Account","Conta de Comerciante"
"Transaction ID","ID da Transação"
"Invoice ID","ID da Fatura"
"PayPal Reference ID","ID da Referência PayPal"
"PayPal Reference ID Type","Tipo do ID da Referência PayPal"
"Event Code","Código do Evento"
"Event","Evento"
"Start Date","Data de Início"
"Finish Date","Data de Término"
"Debit or Credit","Débito ou Crédito"
"Gross Amount","Montante Bruto"
"Fee Debit or Credit","Taxa de Débito ou Crédito"
"Fee Amount","Montante da Taxa"
"Custom","Personalizado"
"Order ID","ID da Encomenda"
"Preapproved Payment ID","ID do Pagamento Pré-aprovado"
"Subscription ID","ID da Subscrição"
"Credit","Crédito"
"Debit","Débito"
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (Bloqueado por Conflicto ou outra Investigação)"
"ACH Deposit (Reversal)","Depósito ACH (Inversão)"
"ACH Funding for Funds Recovery from Account Balance","Financiamento ACH para Recuperação de Fundos do Saldo da Conta"
"ACH Withdrawal","Levantamento ACH"
"Account-to-Account Payment, initiated by PayPal","Pagamento Conta-a-Conta, iniciado pela PayPal"
"Auction Payment other than through eBay","Pagamento por Leilão sem ser pelo eBay"
"AutoSweep","Varrimento Automático"
"Available Balance","Saldo Disponível"
"Balance Manager Account Bonus","Bónus da Conta da Gestão de Saldo"
"Bonus for first ACH Use","Bónus pelo primeiro uso de ACH"
"Buyer Credit Payment","Pagamento de Crédito do Comprador"
"Charge-off","Dívida"
"Coupon Redemption","Reembolsar Cupão"
"Currency Conversion required to cover negative balance","É necessária a Conversão de Moeda para cobrir o saldo negativo"
"Debit Card Cash Back","Reembolsos de Cartão de Débito"
"Debit Card Transaction","Transação de Cartão de Débito"
"Direct Payment API","API de Pagamento Direto"
"EFT Funding (German banking)","Financiamento EFT (Bancos Alemães)"
"Express Checkout APIs","APIs de Checkout Express"
"Fee Reversal","Taxa de Cancelamento"
"Fee: Foreign ACH Withdrawal","Taxa: Levantamento Estrangeiro ACH"
"Fee: Mass Pay Request","Taxa: Pedido de Múltiplos Pagamentos"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Pagamento Mensal da Conta de Pagamentos de Site Payments Pro"
"Fee: WorldLink Check Withdrawal","Taxa: Levantamento de Cheque WorldLink"
"Funding","Financiamento"
"General (Authorization)","Geral (Autorização)"
"General (Dividend)","Geral (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","Geral (Transferência de Fundos entre Contas PayPal)"
"General (Purchase with a credit card)","Geral (Compra com um cartão de crédito)"
"General Adjustment without businessrelated event","Ajuste Geral sem nenhum evento comercial relacionado"
"General Currency Conversion","Conversão Geral de Moeda"
"General Funding of PayPal Account ","Financiamento Geral da Conta PayPal "
"General Redemption","Reembolso Geral"
"General Withdrawal from PayPal Account","Levantamento Geral da Conta PayPal"
"General. Product no longer supported","Geral. O produto já não é suportado"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Uso da conta PayPal para efetuar compras bem como para receber pagamentos"
"General: Withdrawal from PayPal Account","Geral: Levantamento da Conta PayPal"
"General: Withdrawal to Non-Bank Entity","Geral: Levantamento para uma Entidade Não-Bancária"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: ajuste de um tipo não pertencente às outras categorias T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Geral: bónus de um tipo não pertencente às outras categorias T08xx"
"General: event not yet categorized","Geral: evento ainda não categorizado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: taxa não respetiva a um pagamento de um tipo que não pertence às outras categorias T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Geral: foi recebido um pagamento de um tipo que não pertence às outras categorias T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Geral: inversão de um tipo não pertencente às outras categorias T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: bloqueio temporário de um tipo não pertencente às outras categorias T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento de Cartão de Oferta: compra de um Cartão de Oferta"
"Gift Certificate Redemption","Uso de Cartão de Oferta"
"Hidden Virtual PayPal Debit Card Transaction","Transação Virtual Oculta de Cartão de Débito PayPal"
"Hold for Dispute Investigation","Bloqueado para Investigação de Disputa"
"Incentive","Incentivo"
"Mass Pay Payment","Múltiplos Pagamentos"
"Merchant Referral Bonus","Bónus de Referência de Comerciantes"
"Mobile Payment (made via a mobile phone)","Pagamento Móvel (feito através de um telemóvel)"
"Negative Balance","Saldo Negativo"
"Open Authorization","Autorização Aberta"
"PayPal Balance Manager function of PayPal account","Função do Gestor de Saldo da conta PayPal"
"PayPal Buyer Warranty Bonus","Bónus de Garantia do Comprador PayPal"
"PayPal Debit Card Cash Advance","Pagamento Frontal de Cartão de Débito PayPal"
"PayPal Debit Card Withdrawal from ATM","Levantamento Multibanco no Cartão de Débito PayPal"
"PayPal Protection Bonus","Bónus de Proteção PayPal"
"Payment Refund initiated by merchant","Reembolso do Pagamento iniciado pelo comerciante"
"Points Incentive Redemption","Desconto de Pontos de Incentivo"
"Postage Payment to either USPS or UPS","Pagamento de Portes à USPS ou à UPS"
"Preapproved Payment (BillUser API, either sent or received","Pagamento Pré-aprovado (API BillUser, ou enviado ou recebido"
"Reauthorization","Re-autorização"
"Reimbursement of Chargeback","Reembolso de Transação Anulada"
"Reversal","Inversão"
"Reversal of General Account Hold","Inversão do Cargo Geral da Conta"
"Reversal of Points Usage","Inversão da Utilização de Pontos"
"Reversal of hold for Dispute Investigation","Reverter o montante suspenso para Investigação da Disputa"
"Reward Voucher Redemption","Redenção de Voucher de Recompensa"
"Settlement Consolidation","Consolidação de Liquidação"
"Subscription Payment, either payment sent or payment received","Pagamento de Subscrição, ou é um pagamento enviado ou é um pagamento recebido"
"User-initiated Currency Conversion","Conversão de Moeda Iniciada pelo Utilizador"
"Virtual PayPal Debit Card Transaction","Transação Virtual de Cartão de Débito PayPal"
"Virtual Terminal Payment","Pagamento Terminal Virtual"
"Void","Anular"
"WorldLink Withdrawal","Levantamento WorldLink"
"eBay Auction Payment","Pagamento de Leilão eBay"
"The PayPal certificate file is empty.","O ficheiro do certificado PayPal está vazio."
"Header (center)","Cabeçalho (centro)"
"Sidebar (right)","Barra lateral (à direita)"
"Near PayPal Credit checkout button","Junto ao botão de Finalizar Compra de Crédito PayPal"
"--Please Select--","-- Por favor escolha uma opção --"
"Daily","Diário"
"Every 3 days","A cada 3 dias"
"Every 7 days","A cada 7 dias"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"No Logo","Nenhum Logotipo"
"Yes (PayPal recommends this option)","Sim (A PayPal recomenda esta opção)"
"Created billing agreement #%1.","Foi criado o acordo de faturação #%1."
"We can't create a billing agreement for this order.","Não foi possível criar o acordo de faturação para esta encomenda."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","PayPal Pendente"
"PayPal Reversed","PayPal Cancelado"
"PayPal Canceled Reversal","PayPal Cancelou Anulação"
"Error","Erro"
"Billing Agreement","Acordo de Faturação"
"Please Select","Por favor selecione"
"Customer","Cliente"
"Created At","Criado em"
"Updated At","Atualizado Em"
"Not sure what PayPal payment method to use? Click ","Não tem a certeza qual o método de pagamento PayPal que quer usar? Clique "
"here","aqui"
" to learn more."," para saber mais."
"Important: ","Importante: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Depois de iniciar sessão na sua conta PayPal Advanced, navegue até ao menu Service Settings - Hosted Checkout Pages - Set Up e defina as opções listadas abaixo"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para usar o PayPal Payflow Link, deve configurar sua conta de pagamentos PayPal Payflow Link no site do PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Depois de iniciar sessão na sua conta PayPal Payflow Link, navegue até ao menu Service Settings - Hosted Checkout Pages - Set Up e defina as opções listadas abaixo"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Number","Número de cartão de crédito"
"Expiration Date","Data de validade"
"Card Verification Number","Número de verificação de cartão"
"Billing Agreement # ","Acordo de Faturação # "
"Agreement Information","Informação do Acordo"
"Reference ID:","ID da Referência:"
"Status:","Estado:"
"Created:","Creado:"
"Updated:","Atualizado:"
"Payment Method:","Método de Pagamento:"
"Order #","Encomenda #"
"Date","Data"
"Ship To","Enviar para"
"Order Status","Estado da Encomenda"
"View Order","Ver Encomenda"
"Back to Billing Agreements","Volta para Acordos de Faturação"
"Payment Method","Método de Pagamento"
"View","Visualizar"
"There are no billing agreements yet.","Ainda não existem acordos de faturação."
"New Billing Agreement","Novo Acordo de Faturação"
"You will be redirected to the payment system website.","Será redireccionado para o site do sistema de pagamentos."
"-- Please Select --","-- Por favor, selecione --"
"Create...","Criar..."
"Your credit card will be charged for","Será cobrado no seu cartão de crédito"
"Your billing agreement # is: ","O seu número de acordo de faturação é: "
"Shipping Method","Modo de Envio"
"Please select a shipping method...","Por favor selecione um modo de envio..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","Pedimos desculpa, mas de momento não existem orçamentos disponíveis para esta encomenda."
"Shipping Address","Morada de Envio"
"Edit","Editar"
"Buy now with PayPal","Comprar agora com PayPal"
"Edit Payment Information","Editar Informação do Pagamento"
"Items in Your Shopping Cart","Itens no Seu Carrinho de Compras"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Place Order","Encomendar"
"Submitting order information...","Submetendo a informação da encomenda..."
"Item","Item"
"Price","Preço"
"Qty","Qtd"
"Subtotal","Subtotal"
"Please update order data to get shipping methods and rates","Por favor atualize os dados da encomenda para obter os modos de envios e taxas"
"or","ou"
"Checkout with PayPal","Finalizar Compra com PayPal"
"Please do not refresh the page until you complete payment.","Por favor não recarregue a página até concluir o pagamento."
"You will be required to enter your payment details after you place an order.","Ser-lhe-á pedido para inserir a sua informação de pagamento depois de confirmar a encomenda."
"Continue","Continuar"
"Additional Options","Opções Adicionais"
"-- Please Select Billing Agreement--","-- Por favor Selecione um Acordo de Faturação --"
"Acceptance Mark","Marca de Aceitação"
"What is PayPal?","O que é o PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Assine um acordo de faturação para acelerar as compras futuras com PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Assine um acordo de faturação para acelerar as compras futuras com PayPal."
"Continue to PayPal","Continuar para PayPal"
"Save credit card information for future use.","Save credit card information for future use."
"Sorry, something went wrong.","Pedimos desculpa, mas algo correu mal."
"Sorry, something went wrong. Please try again later.","Pedimos desculpa, algo correu mal. Por favor tente novamente mais tarde."
"PayPal Section","Secção PayPal"
"PayPal Settlement","Liquidação PayPal"
"Fetch","Obter"
"Actions","Ações"
"Manage","Gerir"
"Place Order Using Billing Agreements","Encomendar Usando Acordos de Faturação"
"Orders","Orders"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Localização do Comerciante"
"Merchant Country","País do Comerciante"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","Recommended Solutions:"
"Other PayPal Payment Solutions:","Other PayPal Payment Solutions:"
"Other Payment Methods:","Other Payment Methods:"
"PayPal Express Checkout","PayPal Checkout Express"
"Add another payment method to your existing solution or as a stand-alone option.","Adicione outro método de pagamento à sua solução existente ou como uma opção autónoma."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Choose a secure bundled payment solution for your business.","Escolha uma solução de pagamento completa e segura para o seu negócio."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Pagamentos Pro e Checkout Express"
"Basic Settings - PayPal Payments Pro","Definições Básicas - Pagamentos Pro PayPal"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Accept payments with a completely customizable checkout page.","Aceite pagamentos com uma página de checkout completamente personalizável."
"Process payments using your own internet merchant account.","Processe os pagamentos usando a sua própria conta de comerciante."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Finalizar Compra Expresso"
"Add PayPal as an additional payment method to your checkout page.","Adicione PayPal como método de pagamento adicional à sua página de checkout."
"Required PayPal Settings","Definições de PayPal Necessárias"
"Email Associated with PayPal Merchant Account (Optional)","Email Associado com a Conta de Comerciante PayPal (Opcional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
