"Billing Agreements","බිල්පත් ගිවිසුම්"
"We fetched %1 report rows from ""%2@%3.""","අපි ""%2@%3"" වෙතින් වාර්තා පේළි %1 ක් ලබා ගත්තෙමු."
"We can't fetch reports from ""%1@%2.""","අපට ""%1@%2"" වෙතින් වාර්තා ලබා ගත නොහැක."
"The billing agreement ""%1"" has been canceled.","""%1"" බිල්පත් ගිවිසුම අවලංගු කර ඇත."
"The billing agreement ""%1"" has been created.","බිල්පත් ගිවිසුම ""%1"" නිර්මාණය කර ඇත."
"We couldn't finish the billing agreement wizard.","අපට බිල්පත් ගිවිසුම විශාරද අවසන් කිරීමට නොහැකි විය."
"We can't start the billing agreement wizard.","අපට බිල්පත් ගිවිසුම විශාරද ආරම්භ කළ නොහැක."
"Billing Agreement # %1","බිල්පත් ගිවිසුම # %1"
"We can't initialize Express Checkout.","අපට Express Checkout ආරම්භ කළ නොහැක."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout ටෝකනය නොපවතී."
"A wrong PayPal Express Checkout Token is specified.","වැරදි PayPal Express Checkout ටෝකනයක් නියම කර ඇත."
"Express Checkout and Order have been canceled.","Express Checkout සහ Order අවලංගු කර ඇත."
"Express Checkout has been canceled.","අධිවේගී පිටවීම අවලංගු කර ඇත."
"Unable to cancel Express Checkout","Express Checkout අවලංගු කිරීමට නොහැක"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","අපට Express Checkout අනුමැතිය සැකසීමට නොහැක."
"We can't initialize Express Checkout review.","අපට Express Checkout සමාලෝචනය ආරම්භ කළ නොහැක."
"We can't update shipping method.","අපට නැව්ගත කිරීමේ ක්‍රමය යාවත්කාලීන කළ නොහැක."
"We can't start Express Checkout.","අපට Express Checkout ආරම්භ කළ නොහැක."
"To check out, please sign in with your email address.","පරීක්ෂා කිරීමට, කරුණාකර ඔබගේ විද්‍යුත් තැපැල් ලිපිනය සමඟ පුරන්න."
"Sorry, but something went wrong","කණගාටුයි, නමුත් යමක් වැරදී ඇත"
"Your payment has been declined. Please try again.","ඔබේ ගෙවීම ප්‍රතික්ෂේප කර ඇත. කරුණාකර නැවත උත්සාහ කරන්න."
"Requested payment method does not match with order.","ඉල්ලූ ගෙවීම් ක්‍රමය ඇණවුම සමඟ නොගැලපේ."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","PayPal සමඟින් තවදුරටත් මිලදී ගැනීම් විධිමත් කිරීමට බිල්පත් ගිවිසුමක් අත්සන් කිරීමට ඔබ කැමතිද?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","අවසරය අවසර නැත."
"Payment Gateway is unreachable at the moment. Please use another payment option.","ගෙවීම් දොරටුව මේ මොහොතේ ළඟා විය නොහැක. කරුණාකර වෙනත් ගෙවීම් විකල්පයක් භාවිතා කරන්න."
"PayPal response hasn't required fields.","PayPal ප්‍රතිචාරයට ක්ෂේත්‍ර අවශ්‍ය නොවේ."
"Something went wrong while processing your order.","ඔබගේ ඇණවුම සැකසීමේදී යම් දෙයක් වැරදී ඇත."
"PayPal gateway has rejected request. %1","PayPal ද්වාරය ඉල්ලීම ප්‍රතික්ෂේප කර ඇත. %1"
"The PayPal gateway rejected the request. %1","PayPal ද්වාරය ඉල්ලීම ප්‍රතික්ෂේප කළේය. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","මට කණගාටුයි - නමුත් අපට ඔබගේ ගෙවීම සැකසීමට නොහැකි විය. කරුණාකර වෙනත් ගෙවීමේ ක්‍රමයක් උත්සාහ කරන්න හෝ අප හා සම්බන්ධ වන්න එවිට අපට ඔබට සහාය විය හැක."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","මට කණගාටුයි - නමුත් අපට ඔබගේ ගනුදෙනුව සම්පූර්ණ කිරීමට නොහැකි විය. කරුණාකර අප හා සම්බන්ධ වන්න එවිට අපට ඔබට සහාය විය හැක."
"A match of the Shipping Address City, State, and Postal Code failed.","නැව්ගත කිරීමේ ලිපිනය නගරය, ප්‍රාන්තය සහ තැපැල් කේතයෙහි ගැළපීමක් අසාර්ථක විය."
"We can't place the order.","අපට ඇණවුම ලබා දිය නොහැක."
"The payment method code is not set.","ගෙවීම් ක්‍රම කේතය සකසා නැත."
"The reference ID is not set.","යොමු ID සකසා නැත."
"Unable to save Billing Agreement:","බිල්පත් ගිවිසුම සුරැකීමට නොහැක:"
"Active","ක්රියාකාරී"
"Canceled","අවලංගු කළා"
"The customer ID is not set.","පාරිභෝගික හැඳුනුම්පත සකසා නැත."
"The Billing Agreement status is not set.","බිල්පත් ගිවිසුමේ තත්ත්වය සකසා නැත."
"The PayPal certificate does not exist.","PayPal සහතිකය නොපවතී."
"We prefer PayPal (150 X 60)","අපි කැමති PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","අපි කැමති PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","දැන් PayPal පිළිගන්නවා (150 X 60)"
"Now accepting PayPal (150 X 40)","දැන් PayPal පිළිගනිමින් (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal මගින් ගෙවීම් (150 X 60)"
"Payments by PayPal (150 X 40)","PayPal මගින් ගෙවීම් (150 X 40)"
"Shop now using (150 X 60)","දැන් භාවිතා කර සාප්පු යන්න (150 X 60)"
"Shop now using (150 X 40)","දැන් භාවිතා කර සාප්පු යන්න (150 X 40)"
"Dynamic","ගතික"
"Static","ස්ථිතික"
"Shortcut","කෙටි මග"
"Acceptance Mark Image","පිළිගැනීමේ ලකුණු රූපය"
"Authorization","අවසර දීම"
"Sale","විකිණීමට"
"Yes","ඔව්"
"No","නැත"
"For Virtual Quotes Only","අතථ්‍ය උපුටා දැක්වීම් සඳහා පමණි"
"Auto","ඔටෝ"
"Ask Customer","පාරිභෝගිකයාගෙන් විමසන්න"
"Never","කවදාවත් නැහැ"
"IPN (Instant Payment Notification) Only","IPN (ක්ෂණික ගෙවීම් දැනුම්දීම) පමණි"
"API Signature","API අත්සන"
"API Certificate","API සහතිකය"
"The maximum number of child authorizations is reached.","උපරිම ළමා අවසර ගණන ළඟා වී ඇත."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","ගෙවීම් ද්වාරය එය අනුමත කළ වහාම අපි %1 මුදල අනුමත කරන්නෙමු."
"The authorized amount is %1.","අවසර ලත් මුදල %1වේ."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal හට ගෙවිය යුතු ශුන්‍ය ශේෂයක් සමඟ ඇණවුම් සැකසීමට නොහැක. ඔබේ මිලදී ගැනීම අවසන් කිරීමට, කරුණාකර සම්මත පිටවීමේ ක්‍රියාවලිය හරහා යන්න."
"A payer is not identified.","ගෙවන්නෙකු හඳුනාගෙන නොමැත."
"Cannot get secure form URL from PayPal","PayPal වෙතින් ආරක්ෂිත පෝරමය URL ලබා ගත නොහැක"
"Last Transaction ID","අවසාන ගනුදෙනු හැඳුනුම්පත"
"This customer didn't include a confirmed address.","මෙම පාරිභෝගිකයා තහවුරු කළ ලිපිනයක් ඇතුළත් කර නැත."
"The payment is authorized but not settled.","ගෙවීම බලයලත් නමුත් පියවා නැත."
"The payment eCheck is not cleared.","ගෙවීම් eCheck හිස් කර නැත."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","වෙළෙන්දා එක්සත් ජනපද නොවන ගිණුමක් ඇති අතර මුදල් ආපසු ගැනීමේ යාන්ත්‍රණයක් නොමැත."
"The payment currency doesn't match any of the merchant's balances currency.","ගෙවීම් මුදල් වර්ගය වෙළෙන්දාගේ ශේෂ මුදල් වර්ගයකට නොගැළපේ."
"The payment is pending while it is being reviewed by PayPal for risk.","අවදානම සඳහා PayPal විසින් සමාලෝචනය කරන අතරතුර ගෙවීම පොරොත්තු වේ."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","එය තවමත් ලියාපදිංචි කර නොමැති හෝ තහවුරු කර නොමැති ඊමේල් ලිපිනයකට සිදු කර ඇති නිසා ගෙවීම පොරොත්තු වේ."
"The merchant account is not yet verified.","වෙළඳ ගිණුම තවමත් සත්‍යාපනය කර නැත."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","ක්‍රෙඩිට් කාඩ් හරහා ගෙවීම සිදු කර ඇත. අරමුදල් ලබා ගැනීම සඳහා වෙළෙන්දා ගිණුම ව්‍යාපාර හෝ ප්‍රිමියර් තත්ත්වයට උත්ශ්‍රේණි කළ යුතුය."
"Sorry, but something went wrong. Please contact PayPal customer service.","කණගාටුයි, නමුත් යමක් වැරදී ඇත. කරුණාකර PayPal පාරිභෝගික සේවාව අමතන්න."
"A reversal has occurred on this transaction due to a chargeback by your customer.","ඔබේ පාරිභෝගිකයා විසින් ආපසු අයකිරීමක් හේතුවෙන් මෙම ගනුදෙනුවේ ආපසු හැරීමක් සිදුවී ඇත."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","ඔබේ ගනුදෙනුකරු මුදල් ආපසු ගෙවීමේ සහතිකයක් ක්‍රියාත්මක කිරීම හේතුවෙන් මෙම ගනුදෙනුවේ ආපසු හැරීමක් සිදුවී ඇත."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","ඔබේ ගනුදෙනුකරුගෙන් ගනුදෙනුව පිළිබඳ පැමිණිල්ලක් හේතුවෙන් මෙම ගනුදෙනුවේ ආපසු හැරීමක් සිදුවී ඇත."
"A reversal has occurred on this transaction because you have given the customer a refund.","ඔබ පාරිභෝගිකයාට මුදල් ආපසු ලබා දී ඇති නිසා මෙම ගනුදෙනුවේ ආපසු හැරීමක් සිදු වී ඇත."
"Reversal of an adjustment.","ගැලපීමක් ආපසු හැරවීම."
"Transaction reversal due to fraud detected by PayPal administrators.","PayPal පරිපාලකයින් විසින් අනාවරණය කරගත් වංචාව හේතුවෙන් ගනුදෙනු ආපසු හැරවීම."
"Transaction reversal by PayPal administrators.","PayPal පරිපාලකයින් විසින් ගනුදෙනු ආපසු හැරවීම."
"Reimbursement for a chargeback.","අයකිරීමක් සඳහා ආපසු ගෙවීම."
"Settlement of a chargeback.","අයකිරීමක් පියවීම."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","අනවසර වංචාවක් ගැන සැක කරන පාරිභෝගික ආරවුලක් නිසා මෙම ගනුදෙනුවේ ආපසු හැරීමක් සිදුවී ඇත."
"Buyer claims that he did not receive goods or service.","තමාට භාණ්ඩ හෝ සේවාවක් නොලැබුණු බව ගැනුම්කරු කියා සිටී."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","භාණ්ඩ හෝ සේවාව පිළිබඳ වෙළෙන්දාගේ විස්තරයෙන් ලැබුණු භාණ්ඩ හෝ සේවාව වෙනස් බව ගැනුම්කරු කියා සිටී."
"Buyer claims that he/she did not authorize transaction.","ගැනුම්කරු කියා සිටින්නේ ඔහු/ඇය ගණුදෙනුවට අවසර දී නැති බවයි."
"A case that has been resolved and close requires a reimbursement.","විසඳා අවසන් කර ඇති නඩුවකට ප්‍රතිපූරණයක් අවශ්‍ය වේ."
"Buyer claims that a possible duplicate payment was made to the merchant.","ගැනුම්කරු කියා සිටින්නේ හැකි අනුපිටපත් ගෙවීමක් වෙළෙන්දාට කළ බවයි."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","ලැබුණු භාණ්ඩ සෑහීමකට පත් නොවන, දෝෂ සහිත හෝ හානි වූ බව ගැනුම්කරු කියා සිටී."
"Unknown reason. Please contact PayPal customer service.","නොදන්නා හේතුව. කරුණාකර PayPal පාරිභෝගික සේවාව අමතන්න."
"Payer ID","ගෙවන්නාගේ හැඳුනුම්පත"
"Payer Email","ගෙවන්නාගේ ඊමේල්"
"Payer Status","ගෙවන්නාගේ තත්ත්වය"
"Payer Address ID","ගෙවන්නාගේ ලිපිනය ID"
"Payer Address Status","ගෙවන්නාගේ ලිපිනය තත්ත්වය"
"Merchant Protection Eligibility","වෙළඳ ආරක්ෂණ සුදුසුකම්"
"Triggered Fraud Filters","ප්‍රේරක වංචා පෙරහන්"
"Last Correlation ID","අවසාන සහසම්බන්ධතා ID"
"Address Verification System Response","ලිපින සත්‍යාපන පද්ධති ප්‍රතිචාරය"
"CVV2 Check Result by PayPal","PayPal මගින් CVV2 ප්‍රතිඵලය පරීක්ෂා කරන්න"
"AVS Street Match","AVS වීදි තරගය"
"AVS zip","AVS zip"
"International AVS response","ජාත්‍යන්තර AVS ප්‍රතිචාරය"
"Buyer's Tax ID","ගැනුම්කරුගේ බදු හැඳුනුම්පත"
"Buyer's Tax ID Type","ගැනුම්කරුගේ බදු හැඳුනුම්පත වර්ගය"
"Chargeback","අයකිරීම"
"Complaint","පැමිණිල්ලක්"
"Dispute","ආරවුල"
"Matched Address only (no ZIP)","ගැළපෙන ලිපිනය පමණි (සිප් නැත)"
"Matched Address only (no ZIP) International","ගැලපෙන ලිපිනය පමණක් (Zip නැත) ජාත්‍යන්තරය"
"No Details matched","කිසිදු විස්තරයක් නොගැලපේ"
"No Details matched. International","කිසිදු විස්තරයක් නොගැලපේ. අන්තර්ජාතික"
"Exact Match.","නිශ්චිත තරගය."
"Exact Match. Address and Postal Code. International","නිශ්චිත තරගය. ලිපිනය සහ තැපැල් කේතය. අන්තර්ජාතික"
"Exact Match. Address and Postal Code. UK-specific","නිශ්චිත තරගය. ලිපිනය සහ තැපැල් කේතය. එක්සත් රාජධානියට විශේෂිත"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. MOTO (අන්තර්ජාල/දුරකථන) ගනුදෙනු සඳහා අවසර නැත"
"N/A. Global Unavailable","N/A. ගෝලීය නොමැත"
"N/A. International Unavailable","N/A. ජාත්‍යන්තරය නොමැත"
"Matched five-digit ZIP only (no Address)","ගැලපෙන ඉලක්කම් පහක ZIP පමණි (ලිපිනය නැත)"
"Matched Postal Code only (no Address)","ගැළපෙන තැපැල් කේතය පමණි (ලිපිනය නැත)"
"N/A. Retry","N/A. නැවත උත්සාහ කරන්න"
"N/A. Service not Supported","N/A. සේවාව සහාය නොදක්වයි"
"N/A. Unavailable","N/A. ලබා ගත නොහැක"
"Matched whole nine-digit ZIP (no Address)","සම්පූර්ණ ඉලක්කම් නවයේ ZIP (ලිපිනය නැත)"
"Yes. Matched Address and five-digit ZIP","ඔව්. ගැලපෙන ලිපිනය සහ ඉලක්කම් පහක ZIP"
"All the address information matched","සියලුම ලිපින තොරතුරු ගැලපේ"
"None of the address information matched","ලිපින තොරතුරු කිසිවක් නොගැලපේ"
"Part of the address information matched","ලිපින තොරතුරු වලින් කොටසක් ගැලපේ"
"N/A. The merchant did not provide AVS information","N/A. වෙළෙන්දා AVS තොරතුරු ලබා දුන්නේ නැත"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. ලිපිනය පරීක්‍ෂා කර නැත, නැතහොත් අත්පත් කරගන්නාට ප්‍රතිචාරයක් නැත. සේවාව ලබා ගත නොහැක"
"Matched (CVV2CSC)","ගැලපෙන (CVV2CSC)"
"No match","ගැළපීමක් නැත"
"N/A. Not processed","N/A. සකස් කර නැත"
"N/A. Service not supported","N/A. සේවාව සහාය නොදක්වයි"
"N/A. Service not available","N/A. සේවාව ලබා ගත නොහැක"
"N/A. No response","N/A. ප්රතිචාරයක් නැත"
"Matched (CVV2)","ගැලපෙන (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. වෙළෙන්දා CVV2 කේත හැසිරවීම ක්‍රියාත්මක කර නැත"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. CVV2 කාඩ්පතෙහි නොමැති බව වෙළෙන්දා පෙන්වා දී ඇත"
"CNPJ","සීඑන්පීජේ"
"CPF","CPF"
"Credit Card","ණයවර පත"
"ending","අවසන්"
"expires","කල් ඉකුත් වේ"
"Note: %1","සටහන: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". නඩු වර්ගය ""%2"". සිද්ධි ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". ආරවුලක් විසඳා අවසන් කර ඇත. %2 ගනුදෙනු මුදල %3."
"You notified customer about invoice #%1.","ඔබ ඉන්වොයිසිය #%1ගැන පාරිභෝගිකයාට දැනුම් දුන්නා."
"We cannot cancel this order.","අපට මෙම ඇණවුම අවලංගු කළ නොහැක."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 ගනුදෙනු මුදල %3. ගනුදෙනු ID: ""%4"""
"You notified customer about creditmemo #%1.","ඔබ creditmemo #%1ගැන පාරිභෝගිකයාට දැනුම් දුන්නා."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","ගෙවීම් ප්‍රවාහ PNREF: #%1."
"Unable to fetch transaction details.","ගනුදෙනු විස්තර ලබා ගැනීමට නොහැකි විය."
"Invalid method %1::%2","වලංගු නොවන ක්‍රමය %1::%2"
"Transaction has been declined","ගනුදෙනුව ප්‍රතික්ෂේප කර ඇත"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","අපට නව ඇණවුම් විද්‍යුත් තැපෑල යැවිය නොහැක."
"Payment error. %value was not found.","ගෙවීමේ දෝෂයකි. %අගය සොයා ගත නොහැකි විය."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","අවලංගු කිරීමට ඔබට අවසර ගනුදෙනුවක් අවශ්‍ය වේ."
"We can't issue a refund transaction because there is no capture transaction.","අල්ලා ගැනීමේ ගනුදෙනුවක් නොමැති නිසා අපට මුදල් ආපසු ගෙවීමේ ගනුදෙනුවක් නිකුත් කළ නොහැක."
"We cannot create a target file for reading reports.","වාර්තා කියවීම සඳහා අපට ඉලක්ක ගොනුවක් සෑදිය නොහැක."
"Report Date","වාර්තා දිනය"
"Merchant Account","වෙළඳ ගිණුම"
"Transaction ID","ගනුදෙනු හැඳුනුම්පත"
"Invoice ID","ඉන්වොයිස් හැඳුනුම්පත"
"PayPal Reference ID","PayPal යොමු ID"
"PayPal Reference ID Type","PayPal යොමු ID වර්ගය"
"Event Code","සිදුවීම් කේතය"
"Event","සිදුවීම"
"Start Date","ආරම්භක දිනය"
"Finish Date","අවසන් දිනය"
"Debit or Credit","හර හෝ ණය"
"Gross Amount","දළ වටිනාකම"
"Fee Debit or Credit","ගාස්තු හර හෝ ණය"
"Fee Amount","ගාස්තු මුදල"
"Custom","අභිරුචි"
"Order ID","ඕඩර අංකය"
"Preapproved Payment ID","පෙර අනුමත ගෙවීම් හැඳුනුම්පත"
"Subscription ID","දායකත්ව ID"
"Credit","ණය"
"Debit","හර"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH තැන්පතු (ආරවුලක් හෝ වෙනත් විමර්ශනයක් සඳහා රඳවා තබා ගැනීම)"
"ACH Deposit (Reversal)","ACH තැන්පතු (ප්‍රතිවර්තනය)"
"ACH Funding for Funds Recovery from Account Balance","ගිණුම් ශේෂයෙන් අරමුදල් ප්‍රතිසාධනය සඳහා ACH අරමුදල්"
"ACH Withdrawal","ACH ආපසු ගැනීම"
"Account-to-Account Payment, initiated by PayPal","PayPal විසින් ආරම්භ කරන ලද ගිණුමෙන් ගිණුමට ගෙවීම"
"Auction Payment other than through eBay","eBay හරහා හැර වෙන්දේසි ගෙවීම්"
"AutoSweep","ඔටෝ ස්වීප්"
"Available Balance","පවතින ශේෂය"
"Balance Manager Account Bonus","ශේෂ කළමනාකරු ගිණුම් බෝනස්"
"Bonus for first ACH Use","පළමු ACH භාවිතය සඳහා ප්‍රසාද දීමනාව"
"Buyer Credit Payment","ගැනුම්කරු ණය ගෙවීම"
"Charge-off","අයකිරීම"
"Coupon Redemption","කූපන් මුදාගැනීම"
"Currency Conversion required to cover negative balance","සෘණ ශේෂය ආවරණය කිරීම සඳහා මුදල් පරිවර්තනය අවශ්‍ය වේ"
"Debit Card Cash Back","ඩෙබිට් කාඩ් මුදල් ආපසු"
"Debit Card Transaction","ඩෙබිට් කාඩ් ගනුදෙනු"
"Direct Payment API","සෘජු ගෙවීම් API"
"EFT Funding (German banking)","EFT අරමුදල් (ජර්මානු බැංකුකරණය)"
"Express Checkout APIs","Express Checkout API"
"Fee Reversal","ගාස්තු ආපසු හැරවීම"
"Fee: Foreign ACH Withdrawal","ගාස්තුව: විදේශ ACH ආපසු ගැනීම"
"Fee: Mass Pay Request","ගාස්තුව: විශාල ගෙවීම් ඉල්ලීම"
"Fee: Web Site Payments Pro Account Monthly","ගාස්තුව: Web Site Payments Pro Account මාසිකව"
"Fee: WorldLink Check Withdrawal","ගාස්තුව: WorldLink චෙක්පත් ආපසු ගැනීම"
"Funding","අරමුදල් සැපයීම"
"General (Authorization)","සාමාන්ය (අවසර)"
"General (Dividend)","සාමාන්‍ය (ලාභාංශ)"
"General (Funds Transfer from PayPal Account to Another)","සාමාන්‍ය (PayPal ගිණුමෙන් වෙනත් ගිණුමකට අරමුදල් මාරු කිරීම)"
"General (Purchase with a credit card)","සාමාන්‍ය (ක්‍රෙඩිට් කාඩ්පතකින් මිලදී ගැනීම)"
"General Adjustment without businessrelated event","ව්‍යාපාර ආශ්‍රිත සිදුවීමකින් තොරව සාමාන්‍ය ගැලපීම"
"General Currency Conversion","සාමාන්ය මුදල් පරිවර්තනය"
"General Funding of PayPal Account ","PayPal ගිණුමේ සාමාන්ය අරමුදල් "
"General Redemption","සාමාන්ය මිදීම"
"General Withdrawal from PayPal Account","PayPal ගිණුමෙන් සාමාන්‍ය මුදල් ආපසු ගැනීම"
"General. Product no longer supported","ජනරාල්. නිෂ්පාදනය තවදුරටත් සහාය නොදක්වයි"
"General: Use of PayPal account for purchasing as well as receiving payments","සාමාන්‍ය: ගෙවීම් මිලදී ගැනීමට මෙන්ම ලැබීමට PayPal ගිණුම භාවිතා කිරීම"
"General: Withdrawal from PayPal Account","සාමාන්ය: PayPal ගිණුමෙන් මුදල් ආපසු ගැනීම"
"General: Withdrawal to Non-Bank Entity","සාමාන්‍ය: බැංකු නොවන ආයතනයකට මුදල් ආපසු ගැනීම"
"General: adjustment of a type not belonging to the other T12xx categories","සාමාන්‍ය: අනෙකුත් T12xx කාණ්ඩවලට අයත් නොවන වර්ගයක ගැලපීම"
"General: bonus of a type not belonging to the other T08xx categories","සාමාන්‍ය: අනෙකුත් T08xx කාණ්ඩවලට අයත් නොවන වර්ගයක ප්‍රසාද දීමනාව"
"General: event not yet categorized","සාමාන්‍ය: සිදුවීම තවමත් වර්ගීකරණය කර නොමැත"
"General: non-payment fee of a type not belonging to the other T01xx categories","සාමාන්‍ය: අනෙකුත් T01xx කාණ්ඩවලට අයත් නොවන වර්ගයක නොගෙවීමේ ගාස්තුව"
"General: received payment of a type not belonging to the other T00xx categories","සාමාන්‍ය: අනෙකුත් T00xx කාණ්ඩවලට අයත් නොවන වර්ගයක ගෙවීමක් ලැබී ඇත"
"General: reversal of a type not belonging to the other T11xx categories","සාමාන්‍ය: අනෙකුත් T11xx කාණ්ඩවලට අයත් නොවන වර්ගයක් ආපසු හැරවීම"
"General: temporary hold of a type not belonging to the other T15xx categories","සාමාන්‍ය: අනෙකුත් T15xx කාණ්ඩවලට අයත් නොවන වර්ගයක තාවකාලික රඳවා ගැනීම"
"Gift Certificate Payment: purchase of Gift Certificate","තෑගි සහතිකය ගෙවීම: තෑගි සහතිකය මිලදී ගැනීම"
"Gift Certificate Redemption","තෑගි සහතිකය මුදාගැනීම"
"Hidden Virtual PayPal Debit Card Transaction","සැඟවුණු අතථ්‍ය PayPal ඩෙබිට් කාඩ්පත් ගනුදෙනුව"
"Hold for Dispute Investigation","ආරවුල් විමර්ශනය සඳහා රැඳී සිටින්න"
"Incentive","දිරිගැන්වීම"
"Mass Pay Payment","මහා ගෙවීම්"
"Merchant Referral Bonus","වෙළඳ යොමු කිරීමේ බෝනස්"
"Mobile Payment (made via a mobile phone)","ජංගම ගෙවීම් (ජංගම දුරකථනයක් හරහා සිදු කළ)"
"Negative Balance","සෘණ ශේෂය"
"Open Authorization","විවෘත අවසරය"
"PayPal Balance Manager function of PayPal account","PayPal ගිණුමේ PayPal ශේෂ කළමනාකරු කාර්යය"
