"Billing Agreements","Umowy rozliczeniowe"
"Start Date","Data rozpoczęcia"
"Finish Date","Data zakończenia"
"Debit or Credit","Debetowa lub kredytowa"
"Gross Amount","Łączna kwota"
"Fee Debit or Credit","Opłata debetowa lub kredytowa"
"Fee Amount","Kwota opłaty"
"Custom","Niestandardowe"
"Order ID","ID zamówienia"
"Preapproved Payment ID","ID wcześniej zatwierdzonej płatności"
"Subscription ID","ID subskrypcji"
"Credit","Kredyt"
"Debit","Debet"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"Account-to-Account Payment, initiated by PayPal","Płatność konto-do-konta, zainicjowana przez PayPal"
"Auction Payment other than through eBay","Płatności aukcyjne inne niż przez eBay"
"AutoSweep","AutoSweep"
"Available Balance","Dostępny bilans"
"Balance Manager Account Bonus","Bonus konta zarządzanai bilansem"
"Bonus for first ACH Use","Bonus za pierwsze użycie ACH"
"Buyer Credit Payment","Płatność kredytowa klienta"
"Charge-off","Charge-off"
"Coupon Redemption","Realizacja kuponu"
"Currency Conversion required to cover negative balance","Konwersja waluty jest wymagana, aby pokryć negatywny bilans."
"Debit Card Cash Back","Dodatkowa gotówka z karty debetowej"
"Debit Card Transaction","Trnasakcja kartą debetową"
"Direct Payment API","API bezpośrednich płatności"
"EFT Funding (German banking)","EFT Funding (banki niemieckie)"
"Express Checkout APIs","API Express Checkout"
"Fee Reversal","Odwrócenie opłaty"
"Fee: Foreign ACH Withdrawal","Opłata: zagraniczna wypłata ACH"
"Fee: Mass Pay Request","Opłata: polecenie masowej płatności"
"Fee: Web Site Payments Pro Account Monthly","Opłata: konto miesięczne Web Site Payments Pro"
"Fee: WorldLink Check Withdrawal","Opłata: wypłata czeku WorldLink"
"Funding","Fundowanie"
"General (Authorization)","Ogólne (autoryzacja)"
"General (Dividend)","Ogólne (dywidenda)"
"General (Funds Transfer from PayPal Account to Another)","Ogólne (fundusze transferowane z konta PayPal do innego)"
"General (Purchase with a credit card)","Ogólne (zakup z kartą kredytowa)"
"General Adjustment without businessrelated event","Ogólne dostosowanie bez wydarzenia powiązanego biznesowo"
"General Currency Conversion","Ogólna konwersja walut"
"General Funding of PayPal Account ","Ogólne żródło zasilania konta PayPal "
"General Redemption","Ogólne wykorzystanie"
"General Withdrawal from PayPal Account","Ogólne wypłaty z konta PayPal"
"General. Product no longer supported","Ogólne. Produkt już nie wspierany"
"General: Use of PayPal account for purchasing as well as receiving payments","Ogólne: uzycie konta PayPal do zakupów i odbierania płatności."
"General: Withdrawal from PayPal Account","Ogólne: wypłaty z konta PayPal"
"General: Withdrawal to Non-Bank Entity","Ogólne: wypłaty do jednostek niebankowych"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Gift Certificate Payment: purchase of Gift Certificate","Płatność certyfikatem prezentowym: zakup Certyfikatu Prezentowego"
"Gift Certificate Redemption","Wykorzystanie certyfikatu prezentowego"
"Hidden Virtual PayPal Debit Card Transaction","Ukryta transakcja wirtualnej karty debetowej PayPal"
"Hold for Dispute Investigation","Zatrzymaj w celu dochodzenia"
"Incentive","Zachęta"
"Mass Pay Payment","Płatności masowe"
"Merchant Referral Bonus","Bonus za polecenia handlowca"
"Mobile Payment (made via a mobile phone)","Mobilne płatności (wykonane z telefonu komórkowego)"
"Negative Balance","Ujemny bilans"
"Open Authorization","Otwarta autoryzacja"
"PayPal Balance Manager function of PayPal account","Funkcja zarządzania bilansem PayPal w koncie PayPal"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Protection Bonus","PayPal Protection Bonus"
"Payment Refund initiated by merchant","Zwrot płatności zainicjowany przez handlowca"
"Points Incentive Redemption","Wykorzystanie punktów zachęty"
"Postage Payment to either USPS or UPS","Pocztowa płatność do USPS lub UPS"
"Preapproved Payment (BillUser API, either sent or received","Wcześniej zatwierdzona płatność (API BillUser), wysłana lub otrzyman"
"Reauthorization","Ponowna autoryzacja"
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Reward Voucher Redemption","Wykorzystanie kuponu nagrody"
"Settlement Consolidation","Settlement Consolidation"
"Subscription Payment, either payment sent or payment received","Płatność subskrypcji, wysłana lub otrzymana"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Virtual PayPal Debit Card Transaction","Transakcja wirtualną kartą debetową PayPal"
"Virtual Terminal Payment","Płatność wirtualnego terminala"
"Void","Unieważniony"
"WorldLink Withdrawal","WorldLink Withdrawal"
"eBay Auction Payment","Płatność aukcji eBay"
"The PayPal certificate file is empty.","Plik certyfikatu PayPal jest pusty."
"Header (center)","Nagłówek (centrum)"
"Sidebar (right)","Pasek boczny (z prawej)"
"Near PayPal Credit checkout button","W pobliżu przycisku finalizacji transakcji kredytowej PayPal"
"--Please Select--","--Proszę wybrać--"
"Daily","Codziennie"
"Every 3 days","Co 3 dni"
"Every 7 days","Co 7 dni"
"Every 10 days","Co 10 dni"
"Every 14 days","Co 14 dni"
"Every 30 days","Co 30 dni"
"Every 40 days","Co 40 dni"
"No Logo","Brak logo"
"Yes (PayPal recommends this option)","Tak (PayPal zaleca tę opcję)"
"Created billing agreement #%1.","Utworzono umowę rozliczeniową nr %1."
"We can't create a billing agreement for this order.","Nie możemy utworzyć umowy rozliczeniowej dla tego zamówienia."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","Oczekujący PayPal"
"PayPal Reversed","PayPal odwrócone"
"PayPal Canceled Reversal","PayPal anulowane odwrócenie"
"Error","Błąd"
"Billing Agreement","Umowa rozliczeniowa"
"Please Select","Wybierz"
"Customer","Klient"
"Created At","Utworzono"
"Updated At","Zaktualizowano"
"Not sure what PayPal payment method to use? Click ","Nie wiesz jakie metody płatności PayPal użyć? Kliknij przycisk "
"here","tutaj"
" to learn more."," aby dowiedzieć się więcej."
"Important: ","Ważne: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Kiedy zalogujesz się do swojego konta Zaawansowanego PayPal, przejdź do zakładki Ustawienia usługi - Hosted Checkout Pages - Menu ustawień i ustaw opcje opisane poniżej"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","W celu użycia PayPal Payflow Link, musisz skonfigurować konto PayPal PayFlow Link na stronie PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Kiedy już zalogujesz się do konta PayPal Payflow Link, przejdź do Ustawień usługi - Hosted Checkout Pages - Menu ustawień i ustaw opcje opisane poniżej"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Number","Numer karty kredytowej"
"Expiration Date","Data ważności"
"Card Verification Number","Numer weryfikacyjny karty"
"Billing Agreement # ","Umowa rozliczeniowa # "
"Agreement Information","Informacje umowy"
"Reference ID:","ID referencji"
"Status:","Status:"
"Created:","Utworzono:"
"Updated:","Zaktualizowano:"
"Payment Method:","Metoda płatności:"
"Order #","Zamówienie #"
"Date","Data"
"Ship To","Dostawa na adres"
"Order Status","Stan zamówienia"
"View Order","Zobacz zamówienie"
"Back to Billing Agreements","Powrót do umów rozliczeniowych"
"Payment Method","Metoda płatności"
"View","Zobacz"
"There are no billing agreements yet.","Na razie brak umów rozliczeniowych."
"New Billing Agreement","Nowa umowa rozliczeniowa"
"You will be redirected to the payment system website.","Nastąpi przekierowanie do strony systemu płatności."
"-- Please Select --","-- Prosimy wybrać --"
"Create...","Utwórz"
"Your credit card will be charged for","Twoja karta kredytowa zostanie obciążona kwotą"
"Your billing agreement # is: ","Identyfikator twojej umowy rozliczeniowej to: "
"Shipping Method","Metoda dostawy"
"Please select a shipping method...","Prosimy wybrać metodę dostawy..."
"Update Shipping Method","Zaktualizuj metodę dostawy"
"Sorry, no quotes are available for this order right now.","Przepraszamy, żadne oferty nie są dostępne dla tego zamówienia w tym momencie."
"Shipping Address","Adres wysyłki"
"Edit","Edytuj"
"Buy now with PayPal","Kup teraz z PayPal"
"Edit Payment Information","Edytuj informacje o płatnościach"
"Items in Your Shopping Cart","Produkty w koszyku"
"Edit Shopping Cart","Edytuj koszyk"
"Place Order","Złóż zamówienie"
"Submitting order information...","Przetwarzanie zamówienia..."
"Item","Produkt"
"Price","Cena"
"Qty","Ilość"
"Subtotal","Suma częściowa"
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"or","lub"
"Checkout with PayPal","Zamówienie z PayPal"
"Please do not refresh the page until you complete payment.","Nie odświeżaj strony dopóki płatność nie zostanie zakończona. danych"
"You will be required to enter your payment details after you place an order.","Zostaniesz poproszony o podanie swoich danych rozliczeniowych zanim złożysz zamówienie."
"Continue","Kontynuuj"
"Additional Options","Dodatkowe opcje"
"-- Please Select Billing Agreement--","-- Prosimy wybrać umowę rozliczeniową --"
"Acceptance Mark","Znak akceptacji"
"What is PayPal?","Co to jest PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Podpisz umowę rozliczeniową, aby przetwarzać dalsze zakupy z PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Podpisz umowę rozliczeniową, aby przetwarzać dalsze zakupy z PayPal."
"Continue to PayPal","Przejdź do PayPal"
"Save credit card information for future use.","Save credit card information for future use."
"Sorry, something went wrong.","Przepraszamy coś poszło nie tak."
"Sorry, something went wrong. Please try again later.","Przepraszamy coś poszło nie tak. Prosimy spróbować ponownie później."
"PayPal Section","Sekcja PayPal"
"PayPal Settlement","Rozliczenie PayPal"
"Fetch","Pobierz"
"Actions","Operacje"
"Manage","Zarządzaj"
"Place Order Using Billing Agreements","Złóż zamówienie przy pomocy umów rozliczeniowych"
"Orders","Zamówienia"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Lokalizacja handlowca"
"Merchant Country","Kraj handlowca"
"If not specified, Default Country from General Config will be used","Jeśli nie wybrane, domyślny kraj z ogólnych ustawień będzie użyty"
"Recommended Solutions:","Recommended Solutions:"
"Other PayPal Payment Solutions:","Other PayPal Payment Solutions:"
"Other Payment Methods:","Other Payment Methods:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Dodaj dodatkową metodę płatności do swojego istniejącego rozwiązania lub jako niezależną opcję."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Choose a secure bundled payment solution for your business.","Wybierz bezpieczny pakiet płatności dla swojego biznesu."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Basic Settings - PayPal Payments Pro","Podstawowe ustawienia - PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Accept payments with a completely customizable checkout page.","Akceptuj płatności z w pełni modyfikowalną stroną zamówienia."
"Process payments using your own internet merchant account.","Process payments using your own internet merchant account."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Express Checkout"
