"Billing Agreements","Ödeme anlaşmaları"
"PayPal response hasn't required fields.","Paypal cevabı zorunlu alanları içermiyor."
"Something went wrong while processing your order.","Siparişinizi işleme alınırken bir hata oluştu."
"PayPal gateway has rejected request. %1","PayPal ağ geçidi isteği reddedildi. %1"
"The PayPal gateway rejected the request. %1","PayPal ağ geçidi isteği reddetti. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Üzgünüm - ama ödemenizi işleme koyamadık. Size yardımcı olabilmemiz için lütfen başka bir ödeme yöntemi deneyin veya bizimle iletişime geçin."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Üzgünüm - ama işleminizi tamamlayamıyoruz. Size yardımcı olabilmemiz için lütfen bizimle iletişime geçin."
"A match of the Shipping Address City, State, and Postal Code failed.","Gönderim Adresi Şehir, Eyalet ve Posta Kodu eşleşmesi başarısız oldu."
"We can't place the order.","Siparişi veremiyoruz."
"The payment method code is not set.","Ödeme yöntemi kodu ayarlanmadı."
"The reference ID is not set.","Referans kimliği ayarlanmadı."
"Unable to save Billing Agreement:","Ödeme Sözleşmesi kaydedilemedi:"
"Active","Aktif"
"Canceled","İptal Edildi"
"The customer ID is not set.","Müşteri kimliği ayarlanmadı."
"The Billing Agreement status is not set.","Faturalandırma Sözleşmesi durumu ayarlanmadı."
"The PayPal certificate does not exist.","PayPal sertifikası mevcut değil."
"We prefer PayPal (150 X 60)","PayPal ı Öneriyoruz (150 X 60)"
"We prefer PayPal (150 X 40)","PayPal ı Öneriyoruz (150 X 40)"
"Now accepting PayPal (150 X 60)","Şimdi PayPal ile Ödeme Alabilirsiniz (150 X 60)"
"Now accepting PayPal (150 X 40)","Şimdi PayPal ile Ödeme Alabilirsiniz (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal ileTahsilat (150x60)"
"Payments by PayPal (150 X 40)","PayPal Ödemeleri (150 X 40)"
"Shop now using (150 X 60)","Hemen Al (150 X 60)"
"Shop now using (150 X 40)","Hemen Al (150 X 40)"
"Dynamic","Dinamik"
"Static","Statik"
"Shortcut","Kısayol"
"Acceptance Mark Image","Kabul İşareti Resmi"
"Authorization","Yetkilendirme"
"Sale","Satış"
"Yes","Evet"
"No","Hayır"
"For Virtual Quotes Only","Sadece Sanal Sepetler İçin"
"Auto","Otomatik"
"Ask Customer","Müşteriye Sor"
"Never","Asla"
"IPN (Instant Payment Notification) Only","Sadece IPN (Anında Ödeme Bildirimi)"
"API Signature","API İmzası"
"API Certificate","API Sertifikası"
"The maximum number of child authorizations is reached.","Maksimum alt onay sayısına ulaşıldı."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Ödeme ağ geçidi bunu onaylayınca en kısa sürede %1 kadarını yetkilendireceğiz."
"The authorized amount is %1.","Resmi tutar %1 'dir."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal, sıfır bakiye nedeniyle siparişleri işleyemiyor. Satın almanızı bitirmek için lütfen standart ödeme işlemine gidiniz."
"A payer is not identified.","Ödeyici tanımlanmadı."
"Cannot get secure form URL from PayPal","PayPal'dan güvenli form URL'si alınamıyor"
"Last Transaction ID","Son İşlem No"
"This customer didn't include a confirmed address.","Bu müşteri, onaylanmış bir adres içermiyordu."
"The payment is authorized but not settled.","Ödeme proziyonu alındı fakat ödeme henüz alınmadı."
"The payment eCheck is not cleared.","Ödeme e-Kontolü temizlenmedi."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Satıcı bir A.B.D.-dışı hesap barındırıyor ve parayı geri çekme mekanizması bulunmuyor."
"The payment currency doesn't match any of the merchant's balances currency.","Ödemenin para birimi satıcının hiçbir bakiye para birimi ile eşleşmiyor."
"The payment is pending while it is being reviewed by PayPal for risk.","Ödeme, Paypal risk kontrolünü yapana kadar bekliyor statüsünde olacaktır."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Ödeme, e-posta adresi henüz kayıtlı olmadığından veya onaylanmadığından bekliyor statüsünde olacaktır."
"The merchant account is not yet verified.","Satıcı hesabı henüz onaylanmadı."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Ödeme kredi kartı ile yapıldı.  Satıcının bu siparişin ödemesini alabilmesi için hesabın Business veya Premier seviyeye yükseltmesi gerekmektedir."
"Sorry, but something went wrong. Please contact PayPal customer service.","Maalesef bir şeyler ters gitti. Lütfen PayPal müşteri hizmetleriyle iletişime geçin."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Müşteri tarafından talep edilen para iadesi ile geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Müşteri tarafından talep edilen para iade garantisi ile geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Müşteri tarafından bir şikayet sebebiyle geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction because you have given the customer a refund.","Müşterinin iade talebi sebebiyle geri iade işlemi gerçekleşti."
"Reversal of an adjustment.","Ayarlama İadesi."
"Transaction reversal due to fraud detected by PayPal administrators.","PayPal tarafından dönen işlem sahte olarak algılandı."
"Transaction reversal by PayPal administrators.","PayPal tarafından dönen işlem sahte olarak algılandı."
"Reimbursement for a chargeback.","Geri ödeme için geri ödeme."
"Settlement of a chargeback.","İade anlaşması."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Müşteri ile dolandırma şüohesi ile yaşanan ihtilaf sebebiyle geri iade işlemi gerçekleşti."
"Buyer claims that he did not receive goods or service.","Alıcı, mal veya hizmeti alamadığını iddia ediyor."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Alıcı, mal veya hizmetin satın  alınırken iddia edilen içerikten farklı olduğunu iddia ediyor."
"Buyer claims that he/she did not authorize transaction.","Alıcı, işlem için yetkili olunmadığını iddia ediyor."
"A case that has been resolved and close requires a reimbursement.","Çözülmüş ve kapatılmış işlem için geri aide gerekmektedir."
"Buyer claims that a possible duplicate payment was made to the merchant.","Alıcı, satıcının çift ödeme aldığını iddia ediyor."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Alıcı, alınan malın arızalı veya hasarlı olduğu iddia ediyor."
"Unknown reason. Please contact PayPal customer service.","Bilinmeyen sebep. Lütfen PayPal müşteri hizmetleri ile irtibata geçiniz."
"Payer ID","Ödeme Yapan No"
"Payer Email","Ödeme Yapanın E-posta Adresi"
"Payer Status","Ödeme Yapanın Durumu"
"Payer Address ID","Ödeme Yapan Adres No"
"Payer Address Status","Ödeme Yapan Adres Durumu"
"Merchant Protection Eligibility","Satıcı Koruma Sorumluluğu"
"Triggered Fraud Filters","Tetiklenen Sahte İşlem Filtreleri"
"Last Correlation ID","Son Kolerasyon No"
"Address Verification System Response","Adres Doğrulama Sistemi Cevabı"
"CVV2 Check Result by PayPal","Paypal tarafından sağlanan CVV2 Kontrol Sonucu"
"AVS Street Match","AVS Sokak Eşleşmesi"
"AVS zip","AVS zip"
"International AVS response","Uluslararası AVS yanıtı"
"Buyer's Tax ID","Alıcının vergi kimlik numarası"
"Buyer's Tax ID Type","Alıcının vergi kimlik numarası tipi"
"Chargeback","Geri Ödeme"
"Complaint","Uysal"
"Dispute","İhtilaf"
"Matched Address only (no ZIP)","Sadece Adres Eşleşti (Posta Kodu yok)"
"Matched Address only (no ZIP) International","Uluslararası (POSTAKODU olmayan) Eşleşen Adres"
"No Details matched","Eşleşen detay bulunamadı."
"No Details matched. International","Eşleşen detay bulunamadı. Uluslararası"
"Exact Match.","Tam eşleşme."
"Exact Match. Address and Postal Code. International","Tam Eşleme. Adres ve Posta Kodu. Uluslararası"
"Exact Match. Address and Postal Code. UK-specific","Tam Eşleme. Adres ve Posta Kodu. Sadece İngiltere"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","MOTO işlemleri için izin verilmedi(İnternet/Telefon)"
"N/A. Global Unavailable","Global Mevcut Değil"
"N/A. International Unavailable","Uluslararası Mevcut Değil"
"Matched five-digit ZIP only (no Address)","Sadece 5 haneli Posta Kodu Eşleşti (Adres yok)"
"Matched Postal Code only (no Address)","Sadece Posta Kodu Eşleşti (Adres yok)"
"N/A. Retry","Yeniden Dene"
"N/A. Service not Supported","Servis desteklenmiyor"
"N/A. Unavailable","Mevcut değil"
"Matched whole nine-digit ZIP (no Address)","Bütün dokuz basamaklı POSTAKODU ile eşleşen (Adres olmayan)"
"Yes. Matched Address and five-digit ZIP","Evet. Eşleştirilmiş Adres ve beş haneli POSTAKODU"
"All the address information matched","Bütün adres bilgileri eşleşti"
"None of the address information matched","Herhangi bir adres eşleşmedi."
"Part of the address information matched","Adres bilgisi kısmen eşleşti"
"N/A. The merchant did not provide AVS information","Satıcı AVC bilgisi sağlayamadı"
"N/A. Address not checked, or acquirer had no response. Service not available","Adres kontrol edilmedi veya herhangi bir cevap alınamadı. Servis uygun değil"
"Matched (CVV2CSC)","Eşleşti (CVV2CSC)"
"No match","Eşleşme bulunamadı"
"N/A. Not processed","İşlenmedi"
"N/A. Service not supported","Servis desteklenmiyor"
"N/A. Service not available","Servis kullanılabilir değil"
"N/A. No response","Cevap yok"
"Matched (CVV2)","Eşleşti (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","Satıcı CVV2 kodu işlemini uygulayamadı"
"N/A. Merchant has indicated that CVV2 is not present on card","Satıcı, kartta CVV2 olmadığını belirtti."
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Credit Card"
"ending","bitiş"
"expires","süresi dolmuş"
"Note: %1","Not: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Servis talebi türü ""%2"". Servis talebi numarası ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". Bir anlaşmazlık çözüldü ve kapatıldı. %2 İşlem tutarı %3."
"You notified customer about invoice #%1.","Müşteriye #%1 faturasını bildirdiniz."
"We cannot cancel this order.","Bu sipariş iptal edilememektedir."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 İşlem tutarı %3. İşlem Kimliği: ''%4''"
"You notified customer about creditmemo #%1.","Müşteriye kredi notu #%1 hakkında bilgi verdiniz."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","Ödeme PNREF'i: #%1."
"Unable to fetch transaction details.","İşlem ayrıntıları getirilemedi."
"Invalid method %1::%2","Geçersiz yöntem %1::%2"
"Transaction has been declined","İşlem reddedildi"
"Error processing payment. Please try again later.","Error processing payment. Please try again later."
"We cannot send the new order email.","Yeni sipariş e-postasını gönderemiyoruz."
"Payment error. %value was not found.","Ödeme hatası. %value bulunamadı."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"You need an authorization transaction to void.","Geçersiz kılmak için bir yetkilendirme işlemine ihtiyacınız var."
"We can't issue a refund transaction because there is no capture transaction.","Geri ödeme işlemi yapamayız çünkü yakalama işlemi yok."
"We cannot create a target file for reading reports.","Raporları okumak için bir hedef dosyası oluşturamayız."
"Report Date","Rapor Tarihi"
"Merchant Account","Satıcı Hesabı"
"Transaction ID","İşlem ID"
"Invoice ID","Fatura No"
"PayPal Reference ID","PayPal Referans ID"
"PayPal Reference ID Type","PayPal Referans ID Tipi"
"Event Code","Olay Kodu"
"Event","Olay"
"Start Date","Başlangıç Tarihi"
"Finish Date","Bitiş tarihi"
"Debit or Credit","Banka hesabı veya Kredi"
"Gross Amount","Brüt Toplam"
"Fee Debit or Credit","Ücret Debit veya Kredi"
"Fee Amount","Ücret Tutarı"
"Custom","Özel"
"Order ID","Sipariş No"
"Preapproved Payment ID","Ön Onaylı Ödeme No"
"Subscription ID","Abonelik No"
"Credit","Kredi"
"Debit","Debit Kartı"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Depoziti (İhtilaf veya sahte ödeme durumları için)"
"ACH Deposit (Reversal)","ACH Depoziti (Ters)"
"ACH Funding for Funds Recovery from Account Balance","Garanti Fonuna payı için ACH Fonuna Hesaptan düşülecek miktar"
"ACH Withdrawal","ACH Para Çekme"
"Account-to-Account Payment, initiated by PayPal","Hesaptan hesaba ödeme Paypal tarafından başlatıldı"
"Auction Payment other than through eBay","eBay dışında bir Açık Artırma Ödemesi"
"AutoSweep","OtoTemizle"
"Available Balance","Kullanılabilir Bakiye"
"Balance Manager Account Bonus","Bakiye Yöneticisi Hesabı"
"Bonus for first ACH Use","İlk ACH Kullanımı için Bonus"
"Buyer Credit Payment","Alıcı Kredi Ödemesi"
"Charge-off","Kesinti"
"Coupon Redemption","Kupon Bozdurma"
"Currency Conversion required to cover negative balance","Negatif bakiyeyi kapatmak için Döviz Çevrimi gerekiyor"
"Debit Card Cash Back","Debit Kartı Geri Ödemesi"
"Debit Card Transaction","Debit Kart İşlemi"
"Direct Payment API","Direkt Ödeme API"
"EFT Funding (German banking)","EFT Ödemesi (Alman Bankaları için)"
"Express Checkout APIs","Ekspres Ödeme API leri"
"Fee Reversal","Ücret Geri Ödeme"
"Fee: Foreign ACH Withdrawal","Ücret: Yabancı ACH Para Çekimi"
"Fee: Mass Pay Request","Ücret: Toplu Ödeme İsteği"
"Fee: Web Site Payments Pro Account Monthly","Ücret: Web Site Payments Pro Hesabı için Aylık Ücret"
"Fee: WorldLink Check Withdrawal","Ücret: WorldLink Çek ödemesi"
"Funding","Fonlamak"
"General (Authorization)","Genel (Kimlik Onayı)"
"General (Dividend)","Genel (Kar Payı)"
"General (Funds Transfer from PayPal Account to Another)","Genel (Bir PayPal hesabından diğerine Aktarılan Para)"
"General (Purchase with a credit card)","Genel (Kredi Kartıyla Satın Alma)"
"General Adjustment without businessrelated event","İşle alakasız olay için Genel Ayarlama"
"General Currency Conversion","Genel Döviz Çevrimi"
"General Funding of PayPal Account ","Genel PayPal Hesabına Para Ekleme"
"General Redemption","Genel Geri Alma"
"General Withdrawal from PayPal Account","Genel Paypal Hesabından Para Çekme"
"General. Product no longer supported","Genel. Ürün desteklenmiyor"
"General: Use of PayPal account for purchasing as well as receiving payments","Genel: PayPal hesabının ödeme yapma ve para tahsilatı için kullanılması"
"General: Withdrawal from PayPal Account","Genel: Paypal Hesabından Para Çekme"
"General: Withdrawal to Non-Bank Entity","Genel: Banka olmayan bir kurum üzerinden Para Çekme"
"General: adjustment of a type not belonging to the other T12xx categories","Genel: Diğer T12xx kategorilerine ait olmayan tipte ayarlama"
"General: bonus of a type not belonging to the other T08xx categories","Genel: Diğer T08xx kategorilerine ait olmayan tipte kazanç"
"General: event not yet categorized","Genel: olay kategorize edilmedi"
"General: non-payment fee of a type not belonging to the other T01xx categories","Genel: Diğer T01xx kategorilerine ait olmayan tipte tahsilat komisyonu olmayan ücret"
"General: received payment of a type not belonging to the other T00xx categories","Genel: Diğer T00xx kategorilerine ait olmayan tipte yapılmış tahsilat"
"General: reversal of a type not belonging to the other T11xx categories","Genel: Diğer T11xx kategorilerine ait olmayan tipte ücret iadesi"
"General: temporary hold of a type not belonging to the other T15xx categories","Genel: Diğer T15xx kategorilerine ait olmayan tipte geçici askıya alma"
"Gift Certificate Payment: purchase of Gift Certificate","Hediye Çeki Ödemesi: Hediye Çekinin satın alımı"
"Gift Certificate Redemption","Hediye Çeki Bozdurma"
"Hidden Virtual PayPal Debit Card Transaction","Gizli Sanal Paypal Debit Kart İşlemi"
"Hold for Dispute Investigation","İhtilaf araştırması için Askıda"
"Incentive","Özendirici"
"Mass Pay Payment","Toplu Tahsilat İşlemi"
"Merchant Referral Bonus","Satıcı Tavsiye Bonusu"
"Mobile Payment (made via a mobile phone)","Mobil Ödeme (mobil cihaz ile)"
"Negative Balance","Negatif Bakiye"
"Open Authorization","Açık Kimlik Onayı"
"PayPal Balance Manager function of PayPal account","PayPal hesabının PayPal Bakiye Yönetici Fonksiyonu"
"PayPal Buyer Warranty Bonus","PayPal Alıcı Garanti Bonusu"
"PayPal Debit Card Cash Advance","PayPal Debit Kart Ödeme İlerlemesi"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Kartı ile ATM den para çekme"
"PayPal Protection Bonus","PayPal Koruma Bonusu"
"Payment Refund initiated by merchant","Ödeme iadesi satıcı tarafından başlatıldı"
"Points Incentive Redemption","Puan Teşvik Paraya Dönüştürme"
"Postage Payment to either USPS or UPS","USPS veya UPS için gönderim ücreti"
"Preapproved Payment (BillUser API, either sent or received","Önceden Onaylanmış Ödeme (BillUser API, gönderilen veya alınan"
"Reauthorization","Yeniden Onaylama"
"Reimbursement of Chargeback","Geri ödemenin iadesi"
"Reversal","İptal"
"Reversal of General Account Hold","Genel Hesap Tutma İptali"
"Reversal of Points Usage","Puan Kullanımı İadesi"
"Reversal of hold for Dispute Investigation","Araştırma nedeniyle tutulan ücretin iadesi"
"Reward Voucher Redemption","Ödül Çeki Bozdurma"
"Settlement Consolidation","Bakiye Konsodilasyonu"
"Subscription Payment, either payment sent or payment received","Ödeme Aboneliği, ödeme gönder veya ödeme al."
"User-initiated Currency Conversion","Kullanıcı tarafından başlatılan Döviz Çevrimi"
"Virtual PayPal Debit Card Transaction","Sanal Paypal Debit Kartı İşlemi"
"Virtual Terminal Payment","Sanal Terminal Ödemesi"
"Void","İptal edildi"
"WorldLink Withdrawal","WorldLink Ödeme Alma"
"eBay Auction Payment","eBay Açık Artırma Ödemesi"
"The PayPal certificate file is empty.","PayPal sertifika dosyası boş."
"Header (center)","Başlık (ortada)"
"Sidebar (right)","Kenar Çubuğu (sağda)"
"Near PayPal Credit checkout button","PayPal Kredi ödeme butonunun yanında"
"--Please Select--","--Lütfen Seçiniz--"
"Daily","Günlük"
"Every 3 days","Her 3 günde bir"
"Every 7 days","Her 7 günde bir"
"Every 10 days","Her 10 günde bir"
"Every 14 days","Her 14 günde bir"
"Every 30 days","Her 30 günde bir"
"Every 40 days","Her 40 günde bir"
"No Logo","Logo bulunamadı"
"Yes (PayPal recommends this option)","Evet (PayPal bu seçeneği önerir)"
"Created billing agreement #%1.","Faturalandırma sözleşmesi oluşturuldu #%1."
"We can't create a billing agreement for this order.","Bu sipariş için bir faturalandırma sözleşmesi oluşturamıyor."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","PayPal Bekleniyor"
"PayPal Reversed","PayPal Geri Döndürüldü"
"PayPal Canceled Reversal","PayPal İptali tersine çevrildi"
"Error","Hata"
"Billing Agreement","Ödeme Sözleşmesi"
"Please Select","Lütfen seçiniz"
"Customer","Müşteri"
"Created At","Oluşturulduğu Tarih"
"Updated At","Güncelleme Tarihi"
"Not sure what PayPal payment method to use? Click ","Hangi PayPal ödeme yöntemini kullanacağınızdan emin değil misiniz? Click "
"here","buraya"
" to learn more."," daha fazlasını öğrenmek için."
"Important: ","Önemli: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Advanced hesabınıza giriş yaptığınızda, aşağıda açıklanmış Servis Ayarları - Uzaktan Alışveriş Sayfaları - Menu Oluşturma ve seçenek ayarlarına yönlendirileceksiniz."
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","PayPal Payflow Linki kullanmak için, PayPal websitesinde PayPal Payflow Link hesabı açmalısınız."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","PayPal Payflow Link hesabınıza giriş yaptığınızda, aşağıda açıklanmış Servis Ayarları - Uzaktan Alışveriş Sayfaları - Menu Oluşturma ve seçenek ayarlarına yönlendirileceksiniz."
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Number","Kredi Kartı Numarası"
"Expiration Date","Son Kullanma Tarihi"
"Card Verification Number","Kart Güvenlik Numarası"
"Billing Agreement # ","Faturalandırma Sözleşmesi # "
"Agreement Information","Sözleşme Bilgisi"
"Reference ID:","Referans No:"
"Status:","Durum:"
"Created:","Oluşturuldu:"
"Updated:","Güncellendi:"
"Payment Method:","Tahsilat Yöntemi:"
"Order #","Sipariş #"
"Date","Tarih"
"Ship To","Teslim Edilen"
"Order Status","Sipariş Durumu"
"View Order","Siparişi Göster"
"Back to Billing Agreements","Ödeme Sözleşmelerine Geri Dön"
"Payment Method","Tahsilat Yöntemi"
"View","Göster"
"There are no billing agreements yet.","Henüz hiçbir ödeme sözleşmeniz bulunmamaktadır."
"New Billing Agreement","Yeni Ödeme Sözleşmesi"
"You will be redirected to the payment system website.","Ödeme sistemi sitesine yönlendirileceksiniz."
"-- Please Select --","-- Lütfen Seçiniz --"
"Create...","Oluştur..."
"Your credit card will be charged for","Kredi kartınızdan çekilecek tutar"
"Your billing agreement # is: ","Faturalandırma sözleşmeniz #: "
"Shipping Method","Teslimat Yöntemi"
"Please select a shipping method...","Lütfen bir teslimat yöntemi seçiniz…"
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","Üzgünüz, şu anda bu sipariş için teklif yok."
"Shipping Address","Teslimat Adresi"
"Edit","Düzenle"
"Buy now with PayPal","Şimdi PayPal ile satın al"
"Edit Payment Information","Ödeme bilgisini düzenle"
"Items in Your Shopping Cart","Sepetinizdeki Ürünler"
"Edit Shopping Cart","Alışveriş Sepetini Düzenle"
"Place Order","Sipariş Ver"
"Submitting order information...","Sipariş bilgisi gönderiliyor…"
"Item","Ürün"
"Price","Fiyat"
"Qty","Miktar"
"Subtotal","Ara Toplam"
"Please update order data to get shipping methods and rates","Teslimat yöntemleri ve fiyatlarının belirlenebilmesi için sipariş bilgilerini güncelleyiniz"
"or","veya"
"Checkout with PayPal","PayPal ile Alışveriş"
"Please do not refresh the page until you complete payment.","Lütfen ödeme işlemi tamamlanana kadar sayfayı yenilemeyiniz."
"You will be required to enter your payment details after you place an order.","Siparişiniz kaydedildikten sonra istenen ödeme detaylarını girmeniz gerekecektir."
"Continue","Devam et"
"Additional Options","Ek Seçenekler"
"-- Please Select Billing Agreement--","-- Lütfen Ödeme Onayı Seçiniz --"
"Acceptance Mark","Kabul İşareti"
"What is PayPal?","PayPal nedir?"
"Sign a billing agreement to streamline further purchases  with PayPal.","PayPal ile daha fazla satın alma işlemini hızlandırmak için bir faturalandırma anlaşması imzalayın."
"Sign a billing agreement to streamline further purchases with PayPal.","PayPal ile satın almaları daha fazla kolaylaştırmak için bir ödeme sözleşmesi yapabilirsiniz."
"Continue to PayPal","PayPal'a devam et"
"Save credit card information for future use.","Gelecekteki kullanım için kredi kartı bilgilerini kaydedin."
"Sorry, something went wrong.","Üzgünüz, birşeyler yanlış gitti."
"Sorry, something went wrong. Please try again later.","Üzgünüz, bir şeyler ters gitti. Lütfen daha sonra tekrar deneyiniz."
"PayPal Section","PayPal Bölümü"
"PayPal Settlement","PayPal Yerleşimi"
