"Shopping Cart","עגלת קניות"
"You already have an account with us. Sign in or continue as guest.","יש לך כבר חשבון אצלנו. היכנס או המשך כאורח."
"Login","כניסה"
"See Details","ראה פרטים"
"Options Details","אפשרויות פרטים"
"Remove","הסר"
"Cart Subtotal","סה""כ"
"Payment Information","פרטי תשלום"
"No Payment method available.","אין שיטת תשלום זמינה."
"You can track your order status by creating an account.","באפשרותך לעקוב אחר מצב ההזמנה שלך על ידי יצירת חשבון."
"Place Order","ביצוע הזמנה"
"Forgot an Item?","שכחת פריט?"
"Edit Your Cart","ערוך את עגלת הקניות שלך"
"Ship Here","משלוח לכתובת זו"
"Ship To:","משלוח ל:"
"edit","עריכה"
"Order Summary","סיכום הזמנה"
"View and Edit Cart","לצפייה ועריכה של סל קניות"
"View Details","הצגת פרטים"
"Field ","שדה "
" is required."," נדרש."
"Provided Zip/Postal Code seems to be invalid.","המיקוד שסופק נראה לא תקין."
" Example: "," דוגמה: "
"If you believe it is the right one you can ignore this notice.","אם אתה מאמין שזה נכון תוכל להתעלם מהודעה זו."
"New Address","כתובת חדשה"
"Are you sure you would like to remove this item from the shopping cart?","האם להסיר פריט זה מעגלת הקניות?"
"Review & Payments","סיכום ותשלום"
"Select a new payment method","בחר שיטת תשלום חדשה"
"Shipping","משלוח"
"Save Address","שמור כתובת"
"Please specify a shipping method.","נא ציין את שיטת המשלוח."
"Checkout Options","אפשרויות קופה"
"Enable Onepage Checkout","אפשר קופה בעמוד אחד"
"Allow Guest Checkout","אפשר תשלום בתור אורח"
"Display Billing Address On","הצגת כתובת חיוב על"
"Maximum Number of Items to Display in Order Summary","מספר מירבי של פריטים לתצוגה בסיכום הזמנה"
"Quote Lifetime (days)","הצעה פגה תוקף (בימים)"
"After Adding a Product Redirect to Shopping Cart","לאחר הוספת מוצר הפנה לעגלת קניות"
"Number of Items to Display Pager","מספר הפריטים לתצוגה"
"My Cart Link","קישור לעגלה שלי"
"Display Cart Summary","הצג סיכום עגלה"
"Shopping Cart Sidebar","סרגל צידי של עגלת הקניות"
"Display Shopping Cart Sidebar","הצג סרגל צידי בעגלת הקניות"
"Number of Items to Display Scrollbar","מספר הפריטים כדי לגלול"
"Maximum Number of Items to Display","מספר מקסימלי של פריטים להציג"
"Payment Failed Emails","דואר אלקטרוני עבור תשלום שנכשל"
"Payment Failed Email Sender","התשלום נכשל של שולח הדואר האלקטרוני"
"Payment Failed Email Receiver","התשלום נכשל של מקבל הדואר האלקטרוני"
"Payment Failed Template","תבנית עבור תשלום נכשל"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Send Payment Failed Email Copy To","שליחת תשלום נכשל העתק ל"
"Separate by "","".","נפרדים על-ידי "",""."
"Send Payment Failed Email Copy Method","שליחת תשלום נכשל שיטת העתקה"
"Summary","נושא"
"Order Total","סה""כ להזמנה"
"Shipping Address","כתובת למשלוח"
"We'll send your order confirmation here.","אנו נשלח את אישור ההזמנה שלך לכאן."
"Payment","תשלום"
"Not yet calculated","עדיין לא חושב"
"We received your order!","קיבלנו את ההזמנה שלך!"
"Thank you for your purchase!","תודה על הרכישה!"
"Minimum order amount is %1","סכום ההזמנה המינימלי הוא %1"
"Unable to save address. Please, check input data.","לא ניתן לשמור את הכתובת. אנא בדקו את הפרטים שמולאו."
"Unable to save shipping information. Please, check input data.","לא ניתן לשמור את פרטי המשלוח. אנא בדקו את הפרטים שמולאו."
"Cart contains virtual product(s) only. Shipping address is not applicable.","עגלת הקניות מכילה מוצר(ים) לא מוחשי(ים) בלבד. לא ניתן ליישם כתובת למשלוח."
"Wrong minimum amount.","סכום מינימלי שגוי."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">הדפס קבלה</a>"
"Forgot Password","שכחתי סיסמה"
"Close","סגור"
"item","פריט"
"items","פריטים"
"Go to Checkout","מעבר לתשלום"
"Recently added item(s)","פריטים שנוספו לאחרונה"
"View and edit cart","לצפייה ועריכה של סל קניות"
"No Payment Methods","אין שיטות תשלום"
"Shipping Methods","שיטות המשלוח"
"Select Method","בחר שיטה"
"Method Title","כותרת השיטה"
"Carrier Title","כותרת המוביל"
"Next","הבא"
"Sorry, no quotes are available for this order at this time","מצטערים, אין הצעות מחיר זמינות עבור הזמנה זו בזמן הזה"
"Item in Cart","פריט בסל"
"Items in Cart","פריטים בסל"
"Require Customer To Be Logged In To Checkout","הלקוח נדרש להיכנס למערכת בכדי לעבור לקופה"
"Maximum Display Recently Added Item(s)","כמות מרבית של פריטים אחרונים שהתווספו לתצוגה"
"of","מתוך"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","כתובת חיוב"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","אין אפשרות להזמין. נא נסה שוב מאוחר יותר."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
