"Shopping Cart","Alışveriş Sepeti"
"An error occurred on the server. Please try to place the order again.","Sunucuda bir hata oluştu. Lütfen tekrar sipariş vermeyi deneyin."
"Shipping address is not set","Teslimat adresi ayarlanmamış"
"Unable to save shipping information. Please check input data.","Sevkiyat bilgileri kaydedilemedi. Lütfen, giriş verilerini kontrol edin."
"Carrier with such method not found: %1, %2","Böyle bir yöntem taşıyıcı bulunamadı:% 1,% 2"
"Shipping method is not applicable for empty cart","Sevkiyat yöntemi için boş sepet için uygulanamaz"
" item"," nesne"
" items"," nesneler"
"Totals calculation is not applicable to empty cart","Toplamların hesaplanması boş sepet için yapılamamaktadır"
"Invalid data","Hatalı veri"
"The customer address is not valid.","Müşteri adresi geçerli değil."
"Invalid shipping method","Geçersiz Kargo yöntemi"
"There are more than one shipping addresses.","Birden fazla nakliye adresi var."
"Sorry, guest checkout is not available.","Üzgünüz, misafir olarak ödeme yapılamaz."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Hesabınızı onaylamanız gerekiyor. Lütfen e-postanızda onay bağlantısı olup olmadığını kontrol edin veya yeni bir bağlantı için <a href=""%1""> click here </a>."
"Load customer quote error","Müşteri sepeti yükleme hatası"
"Error message!","Hata mesajı!"
"Error!","Hata!"
"DB exception","DB özel durum"
"Message","Mesaj"
"Print receipt","Faturayı yazdır"
"Apply Discount Code","İndirim kodu kullanın"
"Enter discount code","Indirim kodunu gir"
"Apply Discount","İndirim uygulayın"
"Cancel Coupon","Kuponu İptal Et"
"Shopping Cart Items","Alışveriş Sepeti Ürünleri"
"Item","Ürün"
"Price","Fiyat"
"Qty","Miktar"
"Subtotal","Ara Toplam"
"Continue Shopping","Alışverişe Devam"
"Clear Shopping Cart","Alışveriş Sepetini Temizle"
"Update Shopping Cart","Alışveriş Sepetini Güncelle"
"Update Cart","Sepeti Güncelle"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"What's this?","Bu nedir?"
"Edit item parameters","Ürün parametrelerini düzenle"
"Edit","Düzenle"
"Remove item","Ürünü Sil"
"You have no items in your shopping cart.","Alışveriş sepetinizde hiç ürün yok."
"Click <a href=""%1"">here</a> to continue shopping.","Alışverişe devam etmek için <a href=""%1""> buraya</a> tıklayın."
"Estimate Tax","Tahmini vergi"
"Estimate Shipping and Tax","Hesaplanan Kargo Ücreti ve Vergi"
"Excl. Tax","Vergi Hariç"
"Loading...","Yükleniyor..."
"Order #","Sipariş #"
"Proceed to Checkout","Alışverişe Devam et"
"Product Name","Ürün Adı"
"Incl. Tax","Vergi Dahil"
"Your order number is: %1.","Sipariş numaranız: %1."
"Your order # is: <span>%1</span>.","# numaralı siparişiniz: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Sipariş ayrıntıları ve takip bilgilerini içeren sipariş onayını size e-posta ile göndereceğiz."
"Payment Transaction Failed Reminder","Ödeme Hatırlatma Başarısız"
"Payment Transaction Failed","Ödeme işlemi başarısız oldu"
"Reason","Neden"
"Checkout Type","Ödeme Tipi"
"Customer:","Müşteri:"
"Items","Ürünler"
"Total:","Toplam:"
"Billing Address:","Fatura Adresi:"
"Shipping Address:","Teslimat adresi:"
"Shipping Method:","Teslimat Yöntemi:"
"Payment Method:","Tahsilat Yöntemi:"
"Date & Time:","Tarih ve Saat:"
"Sign In","Giriş Yap"
"Email Address","E-posta Adresiniz"
"Password","Şifre"
"Forgot Your Password?","Şifrenizi mi Unuttunuz?"
"My billing and shipping address are the same","Fatura ve teslim adresi aynıdır"
"Update","Güncelle"
"Cancel","İptal"
"Save in address book","Adres defterine kaydet"
"Estimated Total","Tahmini toplam"
"You can create an account after checkout.","Ödemeden sonra hesap oluşturabilirsiniz."
"You already have an account with us. Sign in or continue as guest.","Zaten bir hesabın var. Giriş yapın veya misafir olarak devam edin."
"Login","Giriş"
"See Details","Detaylara bak"
"Options Details","Seçeneklerin Detayları"
"Remove","Kaldır"
"Cart Subtotal","Alışveriş Sepeti alt toplam"
"Payment Information","Ödeme Bilgisi"
"No Payment method available.","Ödeme yöntemi yoktur."
"You can track your order status by creating an account.","Bir hesap oluşturarak siparişinizin durumunu kontrol edebilirsiniz."
"Place Order","Sipariş Ver"
"Forgot an Item?","Ürün mü unuttunuz?"
"Edit Your Cart","Sepeti Düzenle"
"Ship Here","Buraya gönder"
"Ship To:","Teslimatın yapılacağı kişi:"
"edit","düzenle"
"Order Summary","Sipariş Özeti"
"View and Edit Cart","Sepeti görüntüleyin ve düzenleyin"
"View Details","Detayları Göster"
"Field ","Alan "
" is required."," gereklidir."
"Provided Zip/Postal Code seems to be invalid.","Posta Kodu'nun geçersiz görünüyor."
" Example: "," Örnek: "
"If you believe it is the right one you can ignore this notice.","Doğru olduğuna inanıyorsanız, bu uyarıyı yoksayabilirsiniz."
"New Address","Yeni Adres"
"Are you sure you would like to remove this item from the shopping cart?","Alışveriş sepetinizden bu ürünü silmek istediğinizden emin misiniz?"
"Review & Payments","İnceleme ve ödemeler"
"Select a new payment method","Yenir bir ödeme metodu seçin"
"Shipping","Kargo"
"Save Address","Adresi Kaydet"
"Please specify a shipping method.","Lütfen geçerli bir teslimat yöntemi tanımlayınız."
"Checkout Options","Alışveriş Seçenekleri"
"Enable Onepage Checkout","Tek Sayfada Alışveriş Bitirmeyi Kullan"
"Allow Guest Checkout","Kayıtlı olmayan kullanıcıların (Misafir) alışveriş yapmasına izin ver"
"Display Billing Address On","Fatura adresini görüntüle"
"Maximum Number of Items to Display in Order Summary","Sipariş Özeti İçinde Görüntülenecek En Fazla öğe Sayısı"
"Quote Lifetime (days)","Teklif Geçerlilik Süresi (gün)"
"After Adding a Product Redirect to Shopping Cart","Ürün Eklendikten sonra Sepete Yönlendir"
"Enable Clear Shopping Cart","Enable Clear Shopping Cart"
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your shopping cart?"
"Number of Items to Display Pager","Çağrı Gösteren Öğelerin Sayısı"
"My Cart Link","Sepetim Linki"
"Display Cart Summary","Sepet Özetini Göster"
"Mini Cart","Mini Cart"
"Display Mini Cart","Display Mini Cart"
"Number of Items to Display Scrollbar","Kaydırma çubuğunda görüntülenecek öğelerin sayısı"
"Maximum Number of Items to Display","Gösterilecek maksimum öğe sayısı"
"Payment Failed Emails","Başarısız Ödeme E-posta Adresleri"
"Payment Failed Email Sender","Başarısız Ödeme E-posta Göndericisi"
"Payment Failed Email Receiver","Ödeme Başarısız E-posta Alıcısı"
"Payment Failed Template","Başarısız Ödeme Şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde temanın geri düşümü temel alınarak seçildi."
"Send Payment Failed Email Copy To","Gönderilen Başarısız Ödeme E-posta Kopyası"
"Separate by "","".",""","" ile ayır"
"Send Payment Failed Email Copy Method","Gönderilen Başarısız Ödeme E-posta Kopya Yöntemi"
"Summary","Özet"
"Order Total","Sipariş Toplamı"
"Shipping Address","Teslimat Adresi"
"We'll send your order confirmation here.","Size sipariş teyidi göndereceğiz."
"Payment","Ödeme"
"Not yet calculated","Henüz hesaplanamadı"
"The order was not successful!","The order was not successful!"
"Thank you for your purchase!","Siparişiniz için teşekkür ederiz !"
"Password","Password"
"Something went wrong while saving the page. Please refresh the page and try again.","Sayfayı kaydederken bir sorun oluştu. Lütfen sayfayı yenileyip tekrar deneyiniz."
"Item in Cart","Sepetteki Ürünler"
"Items in Cart","Sepetteki Ürünler"
"Close","Kapat"
"Show Cross-sell Items in the Shopping Cart","Alışveriş Sepetindeki Çapraz Satış Ürünlerini Göster"
"You added %1 to your <a href=""%2"">shopping cart</a>.","%1 ürünü <a href=""%2""> sepetinize </a> eklendi."
"The shipping method is missing. Select the shipping method and try again.","Teslimat yöntemi eksik. Teslimat yöntemini seçip tekrar deneyiniz."
