"Shopping Cart","සාප්පු ට්රොලිය"
"Maximum Number of Items to Display","ප්‍රදර්ශනය කළ යුතු උපරිම අයිතම ගණන"
"Payment Failed Emails","ගෙවීම් අසාර්ථක ඊමේල්"
"Payment Failed Email Sender","ගෙවීම අසාර්ථක වූ ඊමේල් යවන්නා"
"Payment Failed Email Receiver","ගෙවීම් අසාර්ථක වූ ඊමේල් ලබන්නා"
"Payment Failed Template","ගෙවීම අසාර්ථක වූ අච්චුව"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"Send Payment Failed Email Copy To","ගෙවීම අසාර්ථක වූ විද්‍යුත් තැපෑලෙන් පිටපතක් යවන්න"
"Separate by "","".",""","" මගින් වෙන් කරන්න."
"Send Payment Failed Email Copy Method","ගෙවීම් අසාර්ථක වූ විද්‍යුත් තැපෑල පිටපත් කිරීමේ ක්‍රමය යවන්න"
"Summary","සාරාංශය"
"Order Total","මුළු ඇණවුම"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"We'll send your order confirmation here.","අපි ඔබේ ඇණවුම තහවුරු කිරීම මෙහි එවන්නෙමු."
"Payment","ගෙවීම"
"Not yet calculated","තවමත් ගණනය කර නැත"
"We received your order!","We received your order!"
"Thank you for your purchase!","ඔබගේ මිලදී ගැනීම සඳහා ස්තූතියි!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","වසන්න"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","මෑතකදී එකතු කළ අයිතම(ය)"
"View and edit cart","View and edit cart"
"No Payment Methods","ගෙවීම් ක්‍රම නැත"
"Shipping Methods","නැව්ගත කිරීමේ ක්රම"
"Select Method","ක්රමය තෝරන්න"
"Method Title","ක්රමයේ මාතෘකාව"
"Carrier Title","වාහක මාතෘකාව"
"Next","ඊළඟ"
"Sorry, no quotes are available for this order at this time","සමාවන්න, මෙම අවස්ථාවේදී මෙම ඇණවුම සඳහා කිසිදු උපුටා දැක්වීමක් නොමැත"
"Item in Cart","කරත්තයේ අයිතමය"
"Items in Cart","කරත්තයේ ඇති භාණ්ඩ"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","වල"
"Something went wrong while saving the page. Please refresh the page and try again.","පිටුව සුරැකීමේදී යමක් වැරදී ඇත. කරුණාකර පිටුව නැවුම් කර නැවත උත්සාහ කරන්න."
"You added %1 to your <a href=""%2"">shopping cart</a>.","ඔබ ඔබේ <a href=""%2"">සාප්පු කරත්තය</a>වෙත %1 එකතු කළා."
"Please select at least one product to add to cart","කරුණාකර කරත්තයට එක් කිරීමට අවම වශයෙන් එක් නිෂ්පාදනයක් තෝරන්න"
"The quote item isn't found. Verify the item and try again.","උපුටා දැක්වීමේ අයිතමය හමු නොවීය. අයිතමය තහවුරු කර නැවත උත්සාහ කරන්න."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","ඇණවුම ලබා දී නැත. පළමුව, නියමයන් සහ කොන්දේසි වලට එකඟ වන්න, ඉන්පසු ඔබේ ඇණවුම නැවත කිරීමට උත්සාහ කරන්න."
"The product wasn't found. Verify the product and try again.","නිෂ්පාදනය හමු නොවීය. නිෂ්පාදනය සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"A server error stopped your order from being placed. Please try to place your order again.","සේවාදායක දෝෂයක් ඔබගේ ඇණවුම තැබීම නතර කළේය. කරුණාකර ඔබගේ ඇණවුම නැවත ලබා දීමට උත්සාහ කරන්න."
"The shipping address is missing. Set the address and try again.","නැව්ගත කිරීමේ ලිපිනය අස්ථානගත වී ඇත. ලිපිනය සකසා නැවත උත්සාහ කරන්න."
"The shipping information was unable to be saved. Verify the input data and try again.","නැව්ගත කිරීමේ තොරතුරු සුරැකීමට නොහැකි විය. ආදාන දත්ත තහවුරු කර නැවත උත්සාහ කරන්න."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","නැව්ගත කිරීමේ ක්‍රමය හිස් කරත්තයක් සඳහා සැකසිය නොහැක. කරත්තයට අයිතමයක් එක් කර නැවත උත්සාහ කරන්න."
"Billing Address","බිල්පත් ලිපිනය"
"Something went wrong with your request. Please try again later.","ඔබගේ ඉල්ලීමෙහි යම් දෙයක් වැරදී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The shipping method is missing. Select the shipping method and try again.","නැව්ගත කිරීමේ ක්‍රමය මග හැරී ඇත. නැව්ගත කිරීමේ ක්‍රමය තෝරා නැවත උත්සාහ කරන්න."
"Show Cross-sell Items in the Shopping Cart","සාප්පු කරත්තයේ හරස් විකුණුම් අයිතම පෙන්වන්න"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","කරුණාකර නැව්ගත කිරීමේ ලිපිනයේ කලාප හැඳුනුම්පතක් සඳහන් කරන්න."
