"Shopping Cart","Giỏ mua hàng"
"Email Address","Địa chỉ email"
"Password","Mật khẩu"
"Forgot Your Password?","Bạn quên mật khẩu?"
"My billing and shipping address are the same","Địa chỉ thanh toán và giao hàng của tôi giống nhau"
"Update","Cập nhật"
"Cancel","Hủy bỏ"
"Save in address book","Lưu vào sổ địa chỉ"
"Estimated Total","Ước tính tổng số"
"You can create an account after checkout.","Bạn có thể tạo một tài khoản sau khi thanh toán."
"You already have an account with us. Sign in or continue as guest.","Bạn đã có một tài khoản trên hệ thống của chúng tôi. Đăng nhập hoặc tiếp tục như là khách."
"Login","Đăng nhập"
"See Details","Xem chi tiết"
"Options Details","Tùy chọn chi tiết"
"Remove","Loại bỏ"
"Cart Subtotal","Tổng phụ giỏ hàng"
"Payment Information","Thông tin thanh toán"
"No Payment method available.","Không có phương thức thanh toán có sẵn."
"You can track your order status by creating an account.","Bạn có thể theo dõi tình trạng đơn hàng của bạn bằng cách tạo một tài khoản."
"Place Order","Đặt hàng"
"Forgot an Item?","Quên một sản phẩm?"
"Edit Your Cart","Sửa giỏ hàng của bạn"
"Ship Here","Gửi ở đây"
"Ship To:","Gửi đến:"
"edit","sửa"
"Order Summary","Tóm tắt đơn hàng"
"View and Edit Cart","Xem và sửa giỏ hàng"
"View Details","Xem chi tiết"
"Field ","Trường "
" is required."," là bắt buộc."
"Provided Zip/Postal Code seems to be invalid.","Mã Zip/bưu điện được cung cấp dường như không hợp lệ."
" Example: "," Ví dụ: "
"If you believe it is the right one you can ignore this notice.","Nếu bạn tin rằng nó là đúng, bạn có thể bỏ qua thông báo này."
"New Address","Địa chỉ mới"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc bạn muốn loại bỏ sản phẩm này khỏi giỏ mua hàng?"
"Review & Payments","đánh giá và thanh toán"
"Select a new payment method","Chọn một phương thức thanh toán mới"
"Shipping","Vận chuyển"
"Save Address","Lưu địa chỉ"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Tùy chọn thanh toán"
"Enable Onepage Checkout","Cho phép Onepage checkout"
"Allow Guest Checkout","Cho phép thanh toán như khách"
"Display Billing Address On","Hiển thị địa chỉ thanh toán trên"
"Maximum Number of Items to Display in Order Summary","Số lượng tối đa của các mặt hàng hiển thị trên tổng hoá đơn"
"Quote Lifetime (days)","Dòng đời trích dẫn (ngày)"
"After Adding a Product Redirect to Shopping Cart","Sau khi thêm một trang chuyển hướng sản phẩm vào giỏ hàng"
"Number of Items to Display Pager","Số mục để hiển thị phân trang"
"My Cart Link","Liên kết giỏ hàng của tôi"
"Display Cart Summary","Hiển thị tóm tắt giỏ hàng"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Số mục để hiển thị thanh cuộn"
"Maximum Number of Items to Display","Số lượng tối đa của các mục để hiển thị"
"Payment Failed Emails","Email thông báo thanh toán thất bại"
"Payment Failed Email Sender","Người gửi email thanh toán thất bại"
"Payment Failed Email Receiver","Người nhận email thanh toán thất bại"
"Payment Failed Template","Mẫu Thanh toán không thành công"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Send Payment Failed Email Copy To","Gửi bản sao email thanh toán không thành công đến"
"Separate by "","".","Tách biệt bởi "",""."
"Send Payment Failed Email Copy Method","Phương pháp sao chép email gửi thanh toán không thành công"
"Summary","Tóm tắt"
"Order Total","Tổng đơn đặt hàng"
"Shipping Address","Địa chỉ giao hàng"
"We'll send your order confirmation here.","Chúng tôi sẽ gửi xác nhận đặt hàng của bạn ở đây."
"Payment","Thanh toán"
"Not yet calculated","Chưa tính"
"We received your order!","We received your order!"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Đóng lại"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Sản phẩm trong giỏ"
"Items in Cart","Sản phẩm trong giỏ"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
