"Shopping Cart","Prekių krepšelis"
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Payment Transaction Failed"
"Reason","Reason"
"Checkout Type","Checkout Type"
"Customer:","Customer:"
"Items","Items"
"Total:","Iš viso:"
"Billing Address:","Billing Address:"
"Shipping Address:","Pristatymo Adresas:"
"Shipping Method:","Pristatymo būdas:"
"Payment Method:","Mokėjimo būdas:"
"Date & Time:","Date & Time:"
"Sign In","Prisijungti"
"Email Address","El. paštas"
"Password","Slaptažodis"
"Forgot Your Password?","Pamiršote slaptažodį?"
"My billing and shipping address are the same","Mano pristatymo bei atsiskaitymo adresas yra tas pats"
"Update","Atnaujinti"
"Cancel","Atšaukti"
"Save in address book","Įrašyti adresų knygelėje"
"Estimated Total","Numatoma suma"
"You can create an account after checkout.","Jūs galėsite sukurtį paskyra po užsakymo."
"You already have an account with us. Sign in or continue as guest.","Jūs jau turite sąskaitą pas mus. Prisijunkite arba tęskite kaip svečias."
"Login","Prisijungti"
"See Details","Peržiūrėti detales"
"Options Details","Options Details"
"Remove","Pašalinti"
"Cart Subtotal","Krepšelio tarpinė suma"
"Payment Information","Payment Information"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","Savo užsakymo būseną galite sekti ir sukūrus savo paskyrą."
"Place Order","Užsakyti"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Redaguoti krepšelį"
"Ship Here","Siųsti čia"
"Ship To:","Gavėjas:"
"edit","redaguoti"
"Order Summary","Užsakymo santrauka"
"View and Edit Cart","Peržiūrėti ir redaguoti krepšelį"
"View Details","Peržiūrėti detales"
"Field ","Field "
" is required."," is required."
"Provided Zip/Postal Code seems to be invalid.","Jūsų įvesto pašto kodo struktūra netinkama."
" Example: "," Pavyzdys: "
"If you believe it is the right one you can ignore this notice.","Jei manote, kad įrašėte teisingai, galite ignoruoti šį pranešimą."
"New Address","Naujas adresas"
"Are you sure you would like to remove this item from the shopping cart?","Ar tikrai norite ištrinti šią prekę?"
"Review & Payments","Apmokėjimas & Patvirtinimas"
"Select a new payment method","Select a new payment method"
"Shipping","Pristatymas"
"Save Address","Išsaugoti adresą"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Checkout Options"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Allow Guest Checkout"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","My Cart Link"
"Display Cart Summary","Display Cart Summary"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separate by "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Santrauka"
"Order Total","Užsakymo suma"
"Shipping Address","Pristatymo Adresas"
"We'll send your order confirmation here.","Čia išsiųsime užsakymo patvirtinimą."
"Payment","Payment"
"Not yet calculated","Dar nepaskaičiuota"
"We received your order!","We received your order!"
"Thank you for your purchase!","Dėkojame už jūsų užsakymą!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Uždaryti"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Prekė krepšelyje"
"Items in Cart","Prekės krepšelyje"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
