"Shopping Cart","Kosár"
"Totals calculation is not applicable to empty cart","A végösszeg számítása nem lehetséges üres kosár esetén"
"Invalid data","Érvénytelen adat"
"The customer address is not valid.","A vásárló címe érvénytelen."
"Invalid shipping method","Érvénytelen szállítási mód"
"There are more than one shipping addresses.","Több, mint egy szállítási cím létezik."
"Sorry, guest checkout is not available.","Sajnáljuk, a vendég vásárlás nem elérhető."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Erősítse regisztrációját. Kérjük, ellenőrizze email fiókját és kattintson a visszaigazoló linkre, vagy <a href=""%1""> kattintson ide</a> egy új link létrehozásához."
"Load customer quote error","Vevői ajánlat hiba betöltése"
"Error message!","Error message!"
"Error!","Hiba!"
"DB exception","Adatbázishiba"
"Message","Üzenet"
"Print receipt","Bizonylat nyomtatása"
"Apply Discount Code","Kupon érvényesítése"
"Enter discount code","Kedvezmény-kód megadása"
"Apply Discount","Kupon érvényesítése"
"Cancel Coupon","Kupon felhasználás megszakítása"
"Shopping Cart Items","Kosár tartalma"
"Item","Elem"
"Price","Ár"
"Qty","Mennyiség"
"Subtotal","Részösszeg"
"Continue Shopping","Vásárlás folytatása"
"Clear Shopping Cart","Kosár kiürítése"
"Update Shopping Cart","Kosár frissítése"
"Update Cart","Kosár frissítése"
"See price before order confirmation.","Az ár megtekintése a megrendelés megerősítése előtt."
"What's this?","Mi ez?"
"Edit item parameters","Termék paraméterek szerkesztése"
"Edit","Szerkesztés"
"Remove item","Elem eltávolítása"
"You have no items in your shopping cart.","A kosár üres."
"Click <a href=""%1"">here</a> to continue shopping.","Kattintson <a href=""%1""> ide</a> a vásárlás folytatásához."
"Estimate Tax","Becsült adó"
"Estimate Shipping and Tax","Becsült szállítás és adó"
"Excl. Tax","Adó nélkül"
"Loading...","Betöltés..."
"Order #","A rendelés száma"
"Proceed to Checkout","Tovább a pénztárhoz"
"Product Name","Terméknév"
"Incl. Tax","Adóval"
"Your order number is: %1.","A rendelés száma: %1."
"Your order # is: <span>%1</span>.","A rendelés száma: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","E-mailben elküldjük Önnek a megrendelés részletes visszaigazolását továbbá a csomagkövetési információkat."
"Payment Transaction Failed Reminder","Fizetés sikertelen emlékeztető"
"Payment Transaction Failed","Fizetési művelet sikertelen"
"Reason","Indoklás"
"Checkout Type","Fizetés típusa"
"Customer:","Vásárló:"
"Items","Termékek"
"Total:","Végösszeg:"
"Billing Address:","Számlázási cím:"
"Shipping Address:","Szállítási cím:"
"Shipping Method:","Szállítási mód:"
"Payment Method:","Fizetési mód:"
"Date & Time:","Dátum & idő:"
"Sign In","Bejelentkezés"
"Email Address","Email cím"
"Password","Jelszó"
"Forgot Your Password?","Elfelejtette jelszavát?"
"My billing and shipping address are the same","A számlázási és szállítási cím megegyezik"
"Update","Frissités"
"Cancel","Mégse"
"Save in address book","Mentés a címjegyzékbe"
"Estimated Total","Becsült végösszeg"
"You can create an account after checkout.","Vásárlás után létrehozhatja fiókját."
"You already have an account with us. Sign in or continue as guest.","Ön már regisztrálva van nálunk. Lépjen be, vagy folytassa vendégként."
"Login","Bejelentkezés"
"See Details","Részletek"
"Options Details","Lehetőségek leírása"
"Remove","Eltávolítás"
"Cart Subtotal","Kosár részösszeg"
"Payment Information","Fizetési információk"
"No Payment method available.","Fizetési módok nem elérhetőek."
"You can track your order status by creating an account.","Ha fiókot hoz létre, követheti rendelése állapotát."
"Place Order","Megrendelés"
"Forgot an Item?","Elfelejtett egy tételt?"
"Edit Your Cart","Kosár szerkesztése"
"Ship Here","Szállítás ide"
"Ship To:","Szállítási cím:"
"edit","szerkesztés"
"Order Summary","Rendelési összesítő"
"View and Edit Cart","Kosár megtekintése és szerkesztése"
"View Details","Részletek megjelenítése"
"Field ","Mező "
" is required."," kötelező."
"Provided Zip/Postal Code seems to be invalid.","A megadott irányítószám, érvénytelennek tűnik."
" Example: "," Példa: "
"If you believe it is the right one you can ignore this notice.","Ha úgy véli, hogy ez a megfelelő, nyugodtan hagyja figyelmen kívül ezt az értesítést."
"New Address","Új cím"
"Are you sure you would like to remove this item from the shopping cart?","Biztosan eltávolítja ezt a terméket a kosárból?"
"Review & Payments","Felülvizsgálat & kifizetések"
"Select a new payment method","Válasszon új fizetési módot"
"Shipping","Szállítás"
"Save Address","Cím mentése"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Fizetési lehetőségek"
"Enable Onepage Checkout","Egyoldalas fizetés engedélyezése"
"Allow Guest Checkout","Vendég fizetés engedélyezése"
"Display Billing Address On","Számlázási cím megjelenítése"
"Maximum Number of Items to Display in Order Summary","A maximálisan megjelenítendő elemek száma a Megrendelés összesítésben"
"Quote Lifetime (days)","Ajánlat érvényessége (nap)"
"After Adding a Product Redirect to Shopping Cart","A termék kosárba helyezése után a kosár megjelenítése"
"Number of Items to Display Pager","Az oldalszámozóban megjelenő tételek száma"
"My Cart Link","Kosaram link"
"Display Cart Summary","Kosár összefoglaló megjelenítése"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","A görgetősávban megjelenő tételek száma"
"Maximum Number of Items to Display","Megjelenítendő elemek maximális száma"
"Payment Failed Emails","Fizetés sikertelen e-mailek"
"Payment Failed Email Sender","Fizetés sikertelen e-mail feladó"
"Payment Failed Email Receiver","Fizetés sikertelen e-mail címzett"
"Payment Failed Template","Fizetés sikertelen sablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"Send Payment Failed Email Copy To","Fizetés sikertelen e-mail másolat küldése"
"Separate by "","".","Elválasztás "",""-vel."
"Send Payment Failed Email Copy Method","Fizetés sikertelen e-mail mésolat küldési mód"
"Summary","Összefoglaló"
"Order Total","Rendelés végösszege"
"Shipping Address","Szállítási cím"
"We'll send your order confirmation here.","Itt küldjük a rendelés-visszaigazolást."
"Payment","Fizetés"
"Not yet calculated","Nincs kiszámítva"
"We received your order!","We received your order!"
"Thank you for your purchase!","Köszönjük a vásárlást!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Bezár"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Termék a kosárban"
"Items in Cart","Termék a kosárban"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
