"Shopping Cart","Koszyk"
"Quantity was recalculated from %1 to %2","Ilość została przeliczona z %1 do %2"
"We adjusted product quantities to fit the required increments.","Można dostosować ilości produktów, aby dopasować wymagane przyrosty."
"This quote item does not exist.","Ten element w koszyku nie istnieje."
"Display number of items in cart","Wyświetlaj ilość produktów w koszyku"
"Display item quantities","Wyświetlaj ilości produktów"
"An error occurred on the server. Please try to place the order again.","Wystąpił błąd z serwerem. Spróbuj ponownie złożyć zamówienie."
"Shipping address is not set","Nie jest ustawiony adres dostawy"
"Unable to save shipping information. Please check input data.","Nie udało się zapisać informacji o dostawie. Proszę o sprawdzenie wpisanych danych."
"Carrier with such method not found: %1, %2","Nie odnaleziono dostawcy i jego formy dostawy: %1, %2"
"Shipping method is not applicable for empty cart","Metoda dostawy nie jest stosowana dla pustego koszyka"
" item"," pozycja"
" items"," przedmioty"
"Totals calculation is not applicable to empty cart","Obliczanie sumy nie jest stosowane do pustego koszyka"
"Invalid data","Nieprawidłowe dane"
"The customer address is not valid.","Adres klienta nie jest prawidłowy."
"Invalid shipping method","Nieprawidłowa metoda dostawy"
"There are more than one shipping addresses.","Istnieje więcej niż jeden adres dostawy."
"Sorry, guest checkout is not available.","Przepraszamy, opcja zamówienia jako Gość jest niedostępna."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Musisz potwierdzić swoje konto. Proszę sprawdzić pocztę czy przyszedł link potwierdzający lub <a href=""%1""> kliknij tutaj,</a> aby wysłać nowy link."
"Load customer quote error","Błąd wczytywania zapytania klienta"
"Error message!","Komunikat błędu!"
"Error!","Błąd!"
"DB exception","Błąd bazy danych"
"Message","Wiadomość"
"Print receipt","Wydrukuj paragon"
"Apply Discount Code","Zastosuj kod rabatowy"
"Enter discount code","Wprowadź kod rabatowy"
"Apply Discount","Zastosuj zniżkę"
"Cancel Coupon","Anuluj kupon"
"Shopping Cart Items","Produkty w koszyku"
"Item","Produkt"
"Price","Cena"
"Qty","Ilość"
"Subtotal","Suma częściowa"
"Continue Shopping","Kontynuuj zakupy"
"Clear Shopping Cart","Opróżnij koszyk"
"Update Shopping Cart","Przelicz koszyk"
"Update Cart","Przelicz koszyk"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"What's this?","Co to jest?"
"Edit item parameters","Edytuj parametry elementu"
"Edit","Edytuj"
"Remove item","Usuń produkt"
"You have no items in your shopping cart.","Nie posiadasz produktów w koszyku."
"Click <a href=""%1"">here</a> to continue shopping.","Kliknij <a href=""%1"">tutaj</a>, aby kontynuować zakupy."
"Estimate Tax","Oszacuj podatek"
"Estimate Shipping and Tax","Koszt dostawy i podatku"
"Excl. Tax","Bez podatku"
"Loading...","Ładuję..."
"Order #","Zamówienie #"
"Proceed to Checkout","Przejdź do kasy"
"Product Name","Nazwa produktu"
"Incl. Tax","Z podatkiem"
"Your order number is: %1.","Numer zamówienia: %1."
"Your order # is: <span>%1</span>.","Numer Twojego zamówienia to: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Zostanie wysłany e-mail z potwierdzeniem zamówienia oraz informacje umożliwiające śledzenie przesyłki."
"Payment Transaction Failed Reminder","Przypomnienie o nieudanej płatności"
"Payment Transaction Failed","Płatność nie powiodła się"
"Reason","Powód"
"Checkout Type","Typ transakcji"
"Customer:","Klient:"
"Items","Pozycje"
"Total:","Razem:"
"Billing Address:","Adres rozliczeniowy:"
"Shipping Address:","Adres dla dostawy:"
"Shipping Method:","Metoda dostawy"
"Payment Method:","Metoda płatności:"
"Date & Time:","Data i czas:"
"Sign In","Zaloguj się"
"Email Address","Adres e-mail"
"Password","Hasło"
"Forgot Your Password?","Nie pamiętasz hasła?"
"My billing and shipping address are the same","Mój adres rozliczeniowy oraz adres dostawy są takie same"
"Update","Aktualizuj"
"Cancel","Anuluj"
"Save in address book","Zapisz w książce adresowej"
"Estimated Total","Szacowana łączna kwota"
"You can create an account after checkout.","Możesz utworzyć konto po złożeniu zamówienia."
"You already have an account with us. Sign in or continue as guest.","Aktualnie posiadasz już konto w naszym sklepie. Zaloguj się lub złóż zamówienie bez zakładania konta."
"Login","Zaloguj się"
"See Details","Zobacz szczegóły"
"Options Details","Szczegóły opcji"
"Remove","Usuń"
"Cart Subtotal","Suma częściowa"
"Payment Information","Informacje o płatności"
"No Payment method available.","Brak dostępnych metod płatności."
"You can track your order status by creating an account.","Jeżeli założysz konto, będziesz mógł śledzić status swojego zamówienia."
"Place Order","Złóż zamówienie"
"Forgot an Item?","Zapomniałeś dodać produkt?"
"Edit Your Cart","Edytuj koszyk"
"Ship Here","Wyślij tutaj"
"Ship To:","Dostawa na adres:"
"edit","Zmień"
"Order Summary","Podsumowanie zamówienia"
"View and Edit Cart","Zobacz i edytuj koszyk"
"View Details","Zobacz szczegóły"
"Field ","Pole "
" is required."," jest wymagane."
"Provided Zip/Postal Code seems to be invalid.","Wprowadzony kod pocztowy jest nieprawidłowy."
" Example: "," Przykład: "
"If you believe it is the right one you can ignore this notice.","Jeżeli uważasz że to prawda możesz zignorować to powiadomienie."
"New Address","Nowy adres"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Review & Payments","Podsumowanie i płatność"
"Select a new payment method","Wybierz nową metodę płatności"
"Shipping","Dostawa"
"Save Address","Zapisz adres"
"Please specify a shipping method.","Proszę wybrać sposób dostawy."
"Checkout Options","Opcje zamówienia"
"Enable Onepage Checkout","Włącz składanie zamówienia na jednej stronie"
"Allow Guest Checkout","Zezwól na zamówienia składane przez niezalogowanych"
"Display Billing Address On","Wyświetlić adres rozliczeniowy na"
"Maximum Number of Items to Display in Order Summary","Maksymalna liczba elementów do wyświetlenia w Podsumowanie zamówienia"
"Quote Lifetime (days)","Czas przechowywania zawartości koszyka (dni)"
"After Adding a Product Redirect to Shopping Cart","Po dodaniu produktu przekieruj do koszyka"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","Link do mojego koszyka"
"Display Cart Summary","Wyświetl podsumowanie koszyka"
"Shopping Cart Sidebar","Koszyk w pasku bocznym"
"Display Shopping Cart Sidebar","Wyświetlaj koszyk w pasku bocznym"
"Number of Items to Display Scrollbar","Liczba elementów do wyświetlenia paska przewijania"
"Maximum Number of Items to Display","Maksymalna liczba wyświetlanych elementów"
"Payment Failed Emails","E-maile o nieudanej płatności"
"Payment Failed Email Sender","Nadawca e-maila o nieudanej płatności"
"Payment Failed Email Receiver","Odbiorca e-maila o nieudanej płatności"
"Payment Failed Template","Szablon e-maila nieudanej płatności"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"Send Payment Failed Email Copy To","Wyślij kopię e-maila o nieudanej płatności do"
"Separate by "","".","Oddzielone za pomocą "",""."
"Send Payment Failed Email Copy Method","Wyślij kopię e-maila o nieudanej płatności metodą"
"Summary","Podsumowanie"
"Order Total","Podsumowanie"
"Shipping Address","Adres wysyłki"
"We'll send your order confirmation here.","Na ten adres wyślemy potwierdzenie zamówienia."
"Payment","Płatność"
"Not yet calculated","Jeszcze nie obliczone"
"We received your order!","Otrzymaliśmy zamówienie!"
"Thank you for your purchase!","Dziękujemy za złożenie zamówienia!"
"Minimum order amount is %1","Minimalna wielkość zamówienia to %1"
"Unable to save address. Please, check input data.","Nie udało się zapisać adresu. Proszę sprawdź wpisane dane."
"Unable to save shipping information. Please, check input data.","Nie udało się zapisać informacji o dostawie. Proszę o sprawdzenie wpisanych danych."
"Cart contains virtual product(s) only. Shipping address is not applicable.","W koszyku znajdują się tylko produkty wirtualne. Adres dostawy nie zostanie wykorzystany."
"Wrong minimum amount.","Niepoprawna minimalna ilość."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Wydrukuj paragon</a>"
"Forgot Password","Zapomniane hasło"
"Close","Zamknij"
"item","produkt"
"items","produkty"
"Go to Checkout","Przejdź do kasy"
"Recently added item(s)","Ostatnio dodane produkty"
"View and edit cart","Zobacz i edytuj koszyk"
"No Payment Methods","Brak metod płatności"
"Shipping Methods","Metody dostawy"
"Select Method","Wybierz metodę"
"Method Title","Nazwa metody"
"Carrier Title","Nazwa dostawcy"
"Next","Następne"
"Sorry, no quotes are available for this order at this time","Niestety, żadne możliwości nie są dostępne dla tego zamówienia w chwili obecnej"
"Item in Cart","Produkty w koszyku"
"Items in Cart","Produkty w koszyku"
"Require Customer To Be Logged In To Checkout","Wymaga zalogowania klienta do złożenia zamówienia"
"Maximum Display Recently Added Item(s)","Maksymalna ilość wyświetlanych ostatnio dodanych produktów"
"of","z"
"Something went wrong while saving the page. Please refresh the page and try again.","Wystąpił błąd podczas zapisywania strony. Odśwież stronę i spróbuj ponownie."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Adres rozliczeniowy"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Nie można złożyć zamówienia. Proszę spróbować ponownie później."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
