"Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ"
"Sorry, guest checkout is not available.","ಕ್ಷಮಿಸಿ, ಅತಿಥಿ ಚೆಕೌಟ್ ಲಭ್ಯವಿಲ್ಲ."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","ನೀವು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ದೃಢೀಕರಿಸಬೇಕು. ದೃಢೀಕರಣದ ಕೊಂಡಿಗಾಗಿ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮಿಂಚೆಯನ್ನು ಪರೀಕ್ಷಿಸಿ ಅಥವಾ ಹೊಸ ಕೊಂಡಿಗಾಗಿ <a href=""%1"">ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ</a>."
"Load customer quote error","Load customer quote error"
"Error message!","Error message!"
"Error!","ದೋಷ!"
"DB exception","DB exception"
"Message","ಸಂದೇಶ"
"Print receipt","ರಸೀದಿಯನ್ನು ಮುದ್ರಿಸಿ"
"Apply Discount Code","ರಿಯಾಯಿತಿ ಕೋಡನ್ನು ಅನ್ವಯಿಸಿ"
"Enter discount code","ರಿಯಾಯಿತಿ ಕೋಡನ್ನು ನಮೂದಿಸಿ"
"Apply Discount","ರಿಯಾಯಿತಿಯನ್ನು ಅನ್ವಯಿಸಿ"
"Cancel Coupon","ಕೂಪನ್ ರದ್ದುಪಡಿಸಿ"
"Shopping Cart Items","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ವಸ್ತುಗಳು"
"Item","ವಸ್ತು"
"Price","ದರ"
"Qty","ಪರಿಮಾಣ"
"Subtotal","ಉಪಮೊತ್ತ"
"Continue Shopping","ಶಾಪಿಂಗ್ ಮುಂದುವರೆಸಿ"
"Clear Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Update Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"Update Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಪರಿಷ್ಕರಿಸಿ"
"See price before order confirmation.","ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"What's this?","ಇದು ಏನು?"
"Edit item parameters","Edit item parameters"
"Edit","ಸಂಪಾದಿಸಿ"
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"You have no items in your shopping cart.","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Click <a href=""%1"">here</a> to continue shopping.","ಶಾಪಿಂಗ್ ಮುಂದುವರಿಸಲು <a href=""%1"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"Estimate Tax","ತೆರಿಗೆಯನ್ನು ಅಂದಾಜಿಸಿ"
"Estimate Shipping and Tax","ತೆರಿಗೆ ಮತ್ತು ಸಾಗಾಣಿಕೆ ವೆಚ್ಚವನ್ನು ಅಂದಾಜಿಸಿ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Loading...","ಸಜ್ಜುಗೊಳಿಸಲಾಗುತ್ತಿದೆ..."
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Proceed to Checkout","ಚೆಕೌಟ್ ಗೆ ಮುಂದುವರೆಯಿರಿ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Your order number is: %1.","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ಸಂಖ್ಯೆ: %1."
"Your order # is: <span>%1</span>.","ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶ #: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","ವ್ಯಾಪಾರಾದೇಶದ ದೃಢೀಕರಣದ ವಿವರ ಮತ್ತು ಅನುಸರಣೆ ಮಾಹಿತಿಗಳನ್ನು ನಾವು ನಿಮಗೆ ಮಿಂಚೆಯಲ್ಲಿ ತಲುಪಿಸುತ್ತೇವೆ."
"Payment Transaction Failed Reminder","ವಿಫಲವಾದ ಪಾವತಿ ವ್ಯವಹಾರದ ನೆನಪೋಲೆ"
"Payment Transaction Failed","ಪಾವತಿ ವ್ಯವಹಾರ ವಿಫಲವಾಗಿದೆ"
"Reason","ಕಾರಣ"
"Checkout Type","ಚೆಕೌಟ್ ವಿಧ"
"Customer:","ಗ್ರಾಹಕ:"
"Items","ವಸ್ತುಗಳು"
"Total:","ಒಟ್ಟು ಮೊತ್ತ:"
"Billing Address:","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ:"
"Shipping Address:","ರವಾನೆ ವಿಳಾಸ:"
"Shipping Method:","ರವಾನೆ ವಿಧಾನ:"
"Payment Method:","ಪಾವತಿ ವಿಧಾನ:"
"Date & Time:","ದಿನಾಂಕ & ಸಮಯ:"
"Sign In","ಸೈನ್ ಇನ್"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Password","ಗುಪ್ತಪದ"
"Forgot Your Password?","ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"My billing and shipping address are the same","ನನ್ನ ಬಿಲ್ಲಿಂಗ್ ಮತ್ತು ರವಾನೆ ವಿಳಾಸಗಳು ಒಂದೇ ಆಗಿವೆ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Save in address book","ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ಉಳಿಸಿ"
"Estimated Total","ಅಂದಾಜು ಮೊತ್ತ"
"You can create an account after checkout.","ನೀವು ಚೆಕೌಟ್ ಆದ ನಂತರ ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಬಹುದು."
"You already have an account with us. Sign in or continue as guest.","ನೀವು ನಮ್ಮ ಬಳಿ ಈಗಾಗಲೇ ಖಾತೆಯನ್ನು ಹೊಂದಿದ್ದೀರಿ. ಸೈನ್ ಇನ್ ಮಾಡಿ ಅಥವಾ ಅತಿಥಿ ಯಂತೆ ಮುಂದುವರೆಯಿರಿ."
"Login","ಲಾಗಿನ್"
"See Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Options Details","ಆಯ್ಕೆಗಳ ವಿವರ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Cart Subtotal","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಉಪಮೊತ್ತ"
"Payment Information","ಪಾವತಿ ಮಾಹಿತಿ"
"No Payment method available.","ಪಾವತಿ ವಿಧಾನಗಳು ಲಭ್ಯವಿಲ್ಲ."
"You can track your order status by creating an account.","ನೀವು ಖಾತೆಯನ್ನು ರಚಿಸುವ ಮೂಲಕ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿಯನ್ನು ಅನುಸರಿಸಬಹುದು."
"Place Order","ಖರೀದಿಸಿ"
"Forgot an Item?","ವಸ್ತುವೊಂದನ್ನು ಮರೆತಿರಾ?"
"Edit Your Cart","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Ship Here","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ"
"Ship To:","ಇಲ್ಲಿಗೆ ರವಾನಿಸಿ:"
"edit","ಸಂಪಾದಿಸಿ"
"Order Summary","ವ್ಯಾಪಾರಾದೇಶದ ಸಾರಾಂಶ"
"View and Edit Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯನ್ನು ವೀಕ್ಷಿಸಿ ಮತ್ತು ಸಂಪಾದಿಸಿ"
"View Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Field ","ಫೀಲ್ಡ್‌ "
" is required."," ಅಗತ್ಯವಿದೆ."
"Provided Zip/Postal Code seems to be invalid.","ನಮೂದಿಸಿರುವ ಪಿನ್ ಕೋಡ್ ಅಸಿಂಧುವಾಗಿರುವಂತೆ ಕಾಣುತ್ತಿದೆ."
" Example: "," ಉದಾಹರಣೆ: "
"If you believe it is the right one you can ignore this notice.","ಇದು ನಿಮಗೆ ಸರಿಯೆಂದು ನಂಬಿಕೆಯಿದ್ದಲ್ಲಿ ನೀವು ಈ ನೋಟೀಸನ್ನು ನಿರ್ಲಕ್ಷಿಸಬಹುದು."
"New Address","ಹೊಸ ವಿಳಾಸ"
"Are you sure you would like to remove this item from the shopping cart?","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಿಂದ ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"Review & Payments","ವಿಮರ್ಶೆ ಮತ್ತು ಪಾವತಿಗಳು"
"Select a new payment method","ಹೊಸ ಪಾವತಿ ವಿಧಾನವನ್ನು ಆರಿಸಿ"
"Shipping","ರವಾನೆ"
"Save Address","ವಿಳಾಸವನ್ನು ಉಳಿಸಿ"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","ಚೆಕೌಟ್ ಆಯ್ಕೆಗಳು"
"Enable Onepage Checkout","ಏಕಪುಟ ಚೆಕೌಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Allow Guest Checkout","ಅತಿಥಿ ಚೆಕೌಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Display Billing Address On","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಪ್ರದರ್ಶಿಸಿ"
"Maximum Number of Items to Display in Order Summary","ವ್ಯಾಪಾರಾದೇಶದ ಸಾರಾಂಶದಲ್ಲಿ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿದ ನಂತರ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಮರುನಿರ್ದೇಶಿಸಿ"
"Number of Items to Display Pager","ಪೇಜರ್ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"My Cart Link","ನನ್ನ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಕೊಂಡಿ"
"Display Cart Summary","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ಸಾರಾಂಶವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","ಸ್ಕ್ರಾಲ್ ಪಟ್ಟಿ ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಸಂಖ್ಯೆ"
"Maximum Number of Items to Display","ಪ್ರದರ್ಶಿಸಲು ವಸ್ತುಗಳ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ"
"Payment Failed Emails","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಗಳು"
"Payment Failed Email Sender","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆ ರವಾನೆದಾರ"
"Payment Failed Email Receiver","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆ ಸ್ವೀಕೃತಿದಾರ"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Send Payment Failed Email Copy To","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಯ ನಕಲನ್ನು ಇವರಿಗೆ ಕಳುಹಿಸಿ"
"Separate by "","".",""","" ದಿಂದ ವಿಭಾಗಿಸಿ."
"Send Payment Failed Email Copy Method","ವಿಫಲವಾದ ಪಾವತಿಯ ಮಿಂಚೆಯ ನಕಲು ವಿಧಾನವನ್ನು ಕಳುಹಿಸಿ"
"Summary","ಸಾರಾಂಶ"
"Order Total","ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
"We'll send your order confirmation here.","ನಾವು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶದ ದೃಢೀಕರಣವನ್ನು ಇಲ್ಲಿಗೆ ರವಾನಿಸುತ್ತೇವೆ."
"Payment","ಪಾವತಿ"
"Not yet calculated","ಇನ್ನೂ ಲೆಕ್ಕಮಾಡಿಲ್ಲ"
"We received your order!","We received your order!"
"Thank you for your purchase!","ನಿಮ್ಮ ಖರೀದಿಗಾಗಿ ಧನ್ಯವಾದಗಳು!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","ಮುಚ್ಚಿರಿ"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","ಇತ್ತೀಚೆಗೆ ಸೇರಿಸಿದ ವಸ್ತು(ಗಳು)"
"View and edit cart","View and edit cart"
"No Payment Methods","ಪಾವತಿ ವಿಧಾನಗಳಿಲ್ಲ"
"Shipping Methods","ಸಾಗಾಣಿಕೆ ವಿಧಾನಗಳು"
"Select Method","ವಿಧಾನವನ್ನು ಆರಿಸಿ"
"Method Title","ವಿಧಾನದ ಶೀರ್ಷಿಕೆ"
"Carrier Title","Carrier Title"
"Next","ಮುಂದೆ"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತು"
"Items in Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳು"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","ನಲ್ಲಿ"
"Something went wrong while saving the page. Please refresh the page and try again.","ಪುಟವನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ಪುಟವನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ ಮತ್ತು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"You added %1 to your <a href=""%2"">shopping cart</a>.","ನೀವು ನಿಮ್ಮ <a href=""%2"">ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ</a> ಗೆ %1 ಅನ್ನು ಸೇರಿಸಿದ್ದೀರಿ."
"Please select at least one product to add to cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಲು ದಯವಿಟ್ಟು ಕನಿಷ್ಟ ಒಂದು ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ"
"The quote item isn't found. Verify the item and try again.","ಉಲ್ಲೇಖಿಸಿದ ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","ವ್ಯಾಪಾರಾದೇಶದ ಸಲ್ಲಿಕೆಯಾಗಿಲ್ಲ. ಮೊದಲು, ನಿಯಮ ಮತ್ತು ನಿಬಂಧನೆಗಳಿಗೆ ಒಪ್ಪಿಗೆ ಸೂಚಿಸಿ, ನಂತರ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಸಲ್ಲಿಸಿ."
"The product wasn't found. Verify the product and try again.","ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"A server error stopped your order from being placed. Please try to place your order again.","ಸರ್ವರ್ ದೋಷದಿಂದಾಗಿ ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಸಲ್ಲಿಸಲಾಗಲಿಲ್ಲ. ದಯವಿಟ್ಟು ನಿಮ್ಮ ವ್ಯಾಪಾರಾದೇಶವನ್ನು ಮತ್ತೊಮ್ಮೆ ಸಲ್ಲಿಸಿ."
"The shipping address is missing. Set the address and try again.","ರವಾನೆ ವಿಳಾಸ ಕಾಣೆಯಾಗಿದೆ. ವಿಳಾಸವನ್ನು ಸೂಚಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The shipping information was unable to be saved. Verify the input data and try again.","ರವಾನೆ ಮಾಹಿತಿಯನ್ನು ಉಳಿಸಲು ಸಾಧ್ಯವಾಗಿಲ್ಲ. ನಮೂದಿಸಿರುವ ದತ್ತಾಂಶವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","ರವಾನೆ ವಿಧಾನವನ್ನು ಖಾಲಿ ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಗೆ ಅನ್ವಯಿಸಲಾಗುವುದಿಲ್ಲ. ಶಾಪಿಂಗೆ ಬುಟ್ಟಿಗೆ ವಸ್ತುವನ್ನು ಸೇರಿಸಿ ಮತ್ತು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"Something went wrong with your request. Please try again later.","ನಿಮ್ಮ ವಿನಂತಿ ಯ ಜೊತೆ ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"The shipping method is missing. Select the shipping method and try again.","ರವಾನೆ ವಿಧಾನ ಕಾಣೆಯಾಗಿದೆ. ರವಾನೆ ವಿಧಾನವನ್ನು ಆರಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","ರವಾನೆ ವಿಳಾಸದಲ್ಲಿ ದಯವಿಟ್ಟು ಪ್ರದೇಶದ ಗುರುತನ್ನು ಸೂಚಿಸಿ."
