"Shopping Cart","Carrinho de compras"
"Send Payment Failed Email Copy Method","Método de Cópia do Email de Falha de Pagamento"
"Summary","Resumo"
"Order Total","Total da encomenda"
"Shipping Address","Morada de Envio"
"We'll send your order confirmation here.","Enviaremos a confirmação da sua encomenda aqui."
"Payment","Pagamento"
"Not yet calculated","Ainda não calculado"
"We received your order!","We received your order!"
"Thank you for your purchase!","Agradecemos a sua compra!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Fechar"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Itens adicionados recentemente"
"View and edit cart","View and edit cart"
"No Payment Methods","Não há métodos de pagamento"
"Shipping Methods","Métodos de Envio"
"Select Method","Selecione o Método"
"Method Title","Título do Método"
"Carrier Title","Título da Transportadora"
"Next","Continuar"
"Sorry, no quotes are available for this order at this time","Pedimos desculpa, mas de momento não é possível fornecer um orçamento para esta encomenda"
"Item in Cart","Item no Carrinho"
"Items in Cart","Artigos no carrinho"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","de"
"Something went wrong while saving the page. Please refresh the page and try again.","Ocorreu um erro. Por favor, atualize a página e tente de novo."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Adicionou %1 ao seu <a href=""%2"">carrinho de compras</a>."
"Please select at least one product to add to cart","Por favor, selecione pelo menos um produto para adicionar ao carrinho"
"The quote item isn't found. Verify the item and try again.","O item da cotação não foi encontrado. Verifique o item e tente novamente."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","O pedido não foi feito. Primeiro, concorde com os termos e condições e tente fazer o seu pedido novamente."
"The product wasn't found. Verify the product and try again.","O produto não foi encontrado. Verifique o produto e tente novamente."
"A server error stopped your order from being placed. Please try to place your order again.","Um erro no servidor impediu que seu pedido fosse colocado. Por favor, tente fazer seu pedido novamente."
"The shipping address is missing. Set the address and try again.","O método de envio está em falta. Definir o endereço e tente novamente."
"The shipping information was unable to be saved. Verify the input data and try again.","As informações de envio não puderam ser salvas. Verifique os dados de entrada e tente novamente."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","O método de envio não pode ser definido para um carrinho vazio. Adicione um item ao carrinho e tente novamente."
"Billing Address","Morada de Faturação"
"Something went wrong with your request. Please try again later.","Ocorreu algum problema no nosso servidor. Por favor tente mais tarde."
"The shipping method is missing. Select the shipping method and try again.","O método de envio está em falta. Selecione o método de envio e tente novamente."
"Show Cross-sell Items in the Shopping Cart","Mostrar itens de venda cruzada no Carrinho de Compras"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Por favor, especifique o Código Postal no endereço de envio."
