"Shopping Cart","Количка"
"Continue Shopping","Продължи с пазаруването"
"Clear Shopping Cart","Изчисти количката"
"Update Shopping Cart","Актуализирай количката"
"Update Cart","Актуализирай количката"
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"What's this?","Какво е това?"
"Edit item parameters","Промени параметрите на артикула"
"Edit","Редактирай"
"Remove item","Премахни"
"You have no items in your shopping cart.","Нямате продукти в количката."
"Click <a href=""%1"">here</a> to continue shopping.","Натиснете <a href=""%1"">тук</a> за да продължите с пазаруването."
"Estimate Tax","Изчисли ДДС"
"Estimate Shipping and Tax","Изчисли доставка и такси"
"Excl. Tax","Без вкл. ДДС"
"You added %1 to your <a href=""%2"">shopping cart</a>.","%1 беше добавен в <a href=""%2"">кошницата</a>."
"Loading...","Зареждане..."
"Order #","Поръчка #"
"Proceed to Checkout","Поръчай"
"Product Name","Име на продукт"
"Incl. Tax","Вкл. Ддс"
"Your order number is: %1.","Вашата поръчка е с номер: %1."
"Your order # is: <span>%1</span>.","Вашата поръчка # е: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Ние ще ви изпратим потвърждение на поръчката с подробности и информация за проследяване."
"Payment Transaction Failed Reminder","Напомняне за неуспешно плащане"
"Payment Transaction Failed","Неуспешно плащане"
"Reason","Причина"
"Checkout Type","Тип приключване на поръчката"
"Customer:","Клиент:"
"Items","Артикули"
"Total:","Общо:"
"Billing Address:","Адрес за фактуриране:"
"Shipping Address:","Адрес за доставка:"
"Shipping Method:","Метод на доставка:"
"Payment Method:","Метод на плащане:"
"Date & Time:","Дата & час:"
"Sign In","Вход"
"Email Address","Имейл адрес"
"Password","Парола"
"Forgot Your Password?","Забравили сте паролата си?"
"or","или"
"* Required Fields","* Задължителни полета"
"My billing and shipping address are the same","Моите адреси за фактуриране и доставка са еднакви"
"Update","Обновяване"
"Cancel","Отказ"
"Save in address book","Запиши в адресната книга"
"Billing Address","Адрес за фактуриране"
"Enter your billing address to get a tax estimate.","Въведете адреса си за фактуриране, за да получите данъчна прогноза."
"Enter your destination to get a shipping estimate.","Въведете вашата дестинация да получите приблизителна оценка на доставка."
"Sorry, no quotes are available for this order at this time","За съжаление в момента няма налични оферти за тази поръчка"
"Total","Общо"
"Estimated Total","Изчисли всичко"
"You can create an account after checkout.","Можете да се регистрирате след завършване на поръчката."
"You already have an account with us. Sign in or continue as guest.","Вече имате акаунт. Влезете или да продължете като гост."
"Login","Вход"
"Close","Затвори"
"of","от"
"Items in Cart","Артикули в количката"
"Item in Cart","Артикул в количката"
"Recently added item(s)","Наскоро добавени артикул(и)"
"View and Edit Cart","Преглед и редактиране количка"
"See Details","Виж детайли"
"Options Details","Детайли на опциите"
"Remove","Премахване"
"Edit item","Редактирайте артикула"
"Cart Subtotal","Междинна сума"
"No Payment Methods","Няма методи за плащане"
"Payment Information","Информация за плащане"
"No Payment method available.","Няма възможни методи за плащане."
"You can track your order status by creating an account.","Можете да проследите статуса на поръчката си като се регистрирате."
"Create an Account","Регистрация"
"Place Order","Направи поръчка"
"Forgot an Item?","Забравихте нещо?"
"Edit Your Cart","Редактиране на Вашата количка"
"Ship Here","Доставка до тук"
"Select Method","Избор на метод"
"Method Title","Заглавие на метода"
"Carrier Title","Превозвач"
"Ship To:","Доставка до:"
"edit","редактиране"
"Shipping Address","Адрес за доставка"
"New Address","Нов адрес"
"Shipping Methods","Методи на доставка"
"Next","Напред"
"Order Summary","Обобщение на поръчката"
"View Details","Виж детайли"
"Provided Zip/Postal Code seems to be invalid.","Вписаният пощенски код не е валиден."
" Example: "," Пример: "
"If you believe it is the right one you can ignore this notice.","Ако смятате, че това е правилното можете да игнорирате тази бележка."
"Field ","Поле "
" is required."," е задължително."
"Something went wrong with your request. Please try again later.","Нещо се обърка докато подавахте поръчката си. Моля опитайте по-късно."
"Are you sure you want to remove all items from your shopping cart?","Наистина ли искате да изтриете всички елементи от кошницата?"
"Are you sure you would like to remove this item from the shopping cart?","Сигурни ли сте, че бихте искали да премахнете този елемент от количката?"
"Review & Payments","Преглед и плащане"
"Select a new payment method","Изберете нов метод за плащане"
"Shipping","Доставка"
"Save Address","Запиши адрес"
"Please specify a regionId in shipping address.","Моля посочете Код за регион в адреса за доставка."
"Checkout Options","Опции за плащане"
"Enable Onepage Checkout","Разреши Onepage плащане"
"Allow Guest Checkout","Позволи приключване на поръчката като гост"
"Display Billing Address On","Показване на адрес за фактуриране на"
"Maximum Number of Items to Display in Order Summary","Максимален брой елементи за показване в обобщение на поръчки"
"Quote Lifetime (days)","Срок на офертата (дни)"
"After Adding a Product Redirect to Shopping Cart","Препрати в количка след добавяне на продукт"
"Number of Items to Display Pager","Брой елементи за показване на пейджър"
"Show Cross-sell Items in the Shopping Cart","Показване на Cross-sell изделия в кошницата"
"Enable Clear Shopping Cart","Enable Clear Shopping Cart"
"My Cart Link","Връзка към количката"
"Display Cart Summary","Показване на обобщението на количката"
"Mini Cart","Mini Cart"
"Display Mini Cart","Display Mini Cart"
"Number of Items to Display Scrollbar","Брой елементи за показване на плъзгача"
"Maximum Number of Items to Display","Максимален брой елементи за показване"
"Payment Failed Emails","Имейли за неуспешно плащане"
"Payment Failed Email Sender","Подател на имейл за неуспешно плащане"
"Payment Failed Email Receiver","Получател на имейл за неуспешно плащане"
"Payment Failed Template","Шаблон на неуспешно плащане"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Имейл шаблон, избран въз основа на тема връщане, когато ""По подразбиране"" опция е избрана."
"Send Payment Failed Email Copy To","Изпращане копие на имейл за неуспешно плащане"
"Separate by "","".","Раздели от "",""."
"Send Payment Failed Email Copy Method","Метод за копиране на имейл за неуспешно плащане"
"Summary","Обобщение"
"Order Total","Поръчка общо"
"We'll send your order confirmation here.","Ще изпратим потвърждение на поръчката тук."
"Payment","Плащане"
"Not yet calculated","Все още не е калкулирано"
"The order was not successful!","The order was not successful!"
"Thank you for your purchase!","Благодарим Ви за вашата покупка!"
