"Shopping Cart","Nákupní košík"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Váš účet musíte potvrdit. Na e-mail byla odeslána zpráva s potvrzujícím odkazem. Chcete-li zaslat nový odkaz, <a href=""%1"">klikněte zde</a>."
"Load customer quote error","Chyba při nahrávání požadavku zákazníka"
"Error message!","Error message!"
"Error!","Chyba!"
"DB exception","DB výjimka"
"Message","Zpráva"
"Print receipt","Vytisknout doklad"
"Apply Discount Code","Použít slevový kód"
"Enter discount code","Zadejte kód"
"Apply Discount","Použít"
"Cancel Coupon","Zrušit kupón"
"Shopping Cart Items","Položky v košíku"
"Item","Položka"
"Price","Cena"
"Qty","Množství"
"Subtotal","Mezisoučet"
"Continue Shopping","Pokračovat v nákupu"
"Clear Shopping Cart","Vyprázdnit košík"
"Update Shopping Cart","Aktualizovat košík"
"Update Cart","Aktualizovat košík"
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky."
"What's this?","Co to znamená?"
"Edit item parameters","Upravit parametry"
"Edit","Upravit"
"Remove item","Odebrat položku"
"You have no items in your shopping cart.","Košík neobsahuje žádné položky."
"Click <a href=""%1"">here</a> to continue shopping.","Pokračujte v nákupu <a href=""%1"">kliknutím zde</a>."
"Estimate Tax","Odhadnout DPH"
"Estimate Shipping and Tax","Odhad přepravného"
"Excl. Tax","bez DPH"
"Loading...","Nahrávám..."
"Order #","Objednávka č."
"Proceed to Checkout","Dokončit objednávku"
"Product Name","Název produktu"
"Incl. Tax","s DPH"
"Your order number is: %1.","Číslo vaší objednávky je: %1."
"Your order # is: <span>%1</span>.","Číslo objednávky je: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Potvrzení objednávky a sledovací údaje Vám zašleme e-mailem."
"Payment Transaction Failed Reminder","Připomenutí při selhání platební transkace"
"Payment Transaction Failed","Platební transakce se nezdařila"
"Reason","Důvod"
"Checkout Type","Typ pokladny"
"Customer:","Zákazník:"
"Items","Položky"
"Total:","Celkem:"
"Billing Address:","Fakturační adresa:"
"Shipping Address:","Doručovací adresa:"
"Shipping Method:","Způsob přepravy:"
"Payment Method:","Způsob platby:"
"Date & Time:","Datum a čas:"
"Sign In","Přihlásit se"
"Email Address","E-mailová adresa"
"Password","Heslo"
"Forgot Your Password?","Zapomněli jste heslo?"
"My billing and shipping address are the same","Moje fakturační a doručovací adresy jsou stejné"
"Update","Aktualizovat"
"Cancel","Zrušit"
"Save in address book","Uložit do adresáře"
"Estimated Total","Odhadovaný součet"
"You can create an account after checkout.","Po odeslání objednávky si můžete vytvořit účet."
"You already have an account with us. Sign in or continue as guest.","Pokud jste u nás registrován, přihlaste se nebo pokračujte jako host."
"Login","Přihlášení"
"See Details","Zobrazit podrobnosti"
"Options Details","Podrobnosti možnosti"
"Remove","Odstranit"
"Cart Subtotal","Mezisoučet"
"Payment Information","Platební údaje"
"No Payment method available.","Žádný dostupný způsob platby."
"You can track your order status by creating an account.","Vytvořením účtu můžete sledovat stav své objednávky."
"Place Order","Objednat"
"Forgot an Item?","Zapoměl(a) jste na nějaký produkt?"
"Edit Your Cart","Upravit košík"
"Ship Here","Přeprava"
"Ship To:","Příjemce:"
"edit","upravit"
"Order Summary","Souhrn objednávky"
"View and Edit Cart","Zobrazit a upravit košík"
"View Details","Zobrazit podrobnosti"
"Field ","Údaj "
" is required."," je povinný."
"Provided Zip/Postal Code seems to be invalid.","PSČ je neplatné."
" Example: "," Například: "
"If you believe it is the right one you can ignore this notice.","Pokud se domníváte, že je vše v pořádku, toto upozornění ignorujte."
"New Address","Nová adresa"
"Are you sure you would like to remove this item from the shopping cart?","Jste si jisti, že chcete odebrat tuto položku z košíku?"
"Review & Payments","Souhrn & platby"
"Select a new payment method","Vyberte nový způsob platby"
"Shipping","Přepravné"
"Save Address","Uložit adresu"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Možnosti pokladny"
"Enable Onepage Checkout","Zapnout jednostránkovou pokladnu"
"Allow Guest Checkout","Povolit nákup návštěvníkům"
"Display Billing Address On","Zobrazit fakturační adresu na"
"Maximum Number of Items to Display in Order Summary","Maximální počet položek zobrazených v Přehledu objednávek"
"Quote Lifetime (days)","Požadovaná platnost (dny)"
"After Adding a Product Redirect to Shopping Cart","Po přidání produktu přejít do košíku"
"Number of Items to Display Pager","Počet zobrazených položek na stránce"
"My Cart Link","Odkaz na můj košík"
"Display Cart Summary","Zobrazit souhrn košíku"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Počet položek pro zobrazení posuvníku"
"Maximum Number of Items to Display","Maximum zobrazených položek"
"Payment Failed Emails","E-maily nezdařené platby"
"Payment Failed Email Sender","Odesilatel e-mailu nezdařené platby"
"Payment Failed Email Receiver","Příjemce e-mailu nezdařené platby"
"Payment Failed Template","Šablona e-mailu nezdařené platby"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Send Payment Failed Email Copy To","Zaslat kopii e-mailu neúspěšné platby na"
"Separate by "","".","Oddělené "",""."
"Send Payment Failed Email Copy Method","Způsob kopie e-mailu o neúspěšné platbě"
"Summary","Souhrn"
"Order Total","Celkem za"
"Shipping Address","Doručovací adresa"
"We'll send your order confirmation here.","Potvrzení objednávky vám zasíláme e-mailem."
"Payment","Platba"
"Not yet calculated","Dosud nevypočteno"
"We received your order!","We received your order!"
"Thank you for your purchase!","Děkujeme vám za objednávku!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Zavřít‏"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Položka v košíku"
"Items in Cart","Položek v košíku"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Něco se při ukládání nepovedlo, prosím aktualizujte stránku a zkuste to znovu."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
