"Shopping Cart","Indkøbskurv"
"There are more than one shipping addresses.","Der er mere end en leveringsadresse."
"Sorry, guest checkout is not available.","Desværre, er gæste checkout ikke tilgængelig."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du skal bekræfte din konto. Tjek venligst din e-mail for bekræftelse link eller <a href=""%1"">klik her</a> for et nyt link."
"Load customer quote error","Indlæs kundetilbudsfejl"
"Error message!","Fejlmeddelelse!"
"Error!","Fejl!"
"DB exception","DB undtagelse"
"Message","Besked"
"Print receipt","Udskriv kvittering"
"Apply Discount Code","Anvend rabatkode"
"Enter discount code","Indtast rabatkode"
"Apply Discount","Anvend rabatkode"
"Cancel Coupon","Annuller rabatkode"
"Shopping Cart Items","Indhold af indkøbsvogn"
"Item","Vare"
"Price","Pris"
"Qty","Antal"
"Subtotal","Subtotal"
"Continue Shopping","Fortsæt med at shoppe"
"Clear Shopping Cart","Ryd indkøbskurv"
"Update Shopping Cart","Opdater indkøbskurv"
"Update Cart","Opdater kurv"
"See price before order confirmation.","Se prisen før ordrebekræftelse."
"What's this?","Hvad er dette?"
"Edit item parameters","Rediger vare indstillinger"
"Edit","Redigér"
"Remove item","Fjern vare"
"You have no items in your shopping cart.","Der er ingen produkter i din indkøbskurv."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1""> her</a> for at fortsætte med at handle."
"Estimate Tax","Udregnet moms"
"Estimate Shipping and Tax","Beregn fragt"
"Excl. Tax","Ekskl. moms"
"Loading...","Indlæser..."
"Order #","Ordre #"
"Proceed to Checkout","Gå til kassen"
"Product Name","Produktnavn"
"Incl. Tax","Inkl. moms"
"Your order number is: %1.","Dit ordrenummer er: %1."
"Your order # is: <span>%1</span>.","Din ordre # er: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Vi sender dig en ordrebekræftelse med detaljer og tracking information."
"Payment Transaction Failed Reminder","Påmindelse om at transaktionen mislykkedes"
"Payment Transaction Failed","Transaktionen mislykkedes"
"Reason","Årsag"
"Checkout Type","Checkout type"
"Customer:","Kunde:"
"Items","Varer"
"Total:","I alt:"
"Billing Address:","Faktureringsadresse:"
"Shipping Address:","Leveringsadresse:"
"Shipping Method:","Leveringsmetode:"
"Payment Method:","Betalingsmetode:"
"Date & Time:","Dato & tid:"
"Sign In","Log ind"
"Email Address","E-mail adresse"
"Password","Kodeord"
"Forgot Your Password?","Glemt din adgangskode?"
"My billing and shipping address are the same","Min fakturerings- og leveringsadresse er den samme"
"Update","Opdater"
"Cancel","Annuller"
"Save in address book","Gem i adressekartoteket"
"Estimated Total","Anslåede i alt"
"You can create an account after checkout.","Du kan oprette en konto efter ordreafgivelse."
"You already have an account with us. Sign in or continue as guest.","Du har allerede en konto hos os. Log ind eller fortsæt som gæst."
"Login","Log ind"
"See Details","Se detaljer"
"Options Details","Detaljer for valgmuligheder"
"Remove","Fjern"
"Cart Subtotal","Kurv subtotal"
"Payment Information","Betalingsoplysninger"
"No Payment method available.","Ingen tilgængelige betalingsmetoder."
"You can track your order status by creating an account.","Du kan følge din ordrestatus ved at oprette en konto."
"Place Order","Afgiv ordre"
"Forgot an Item?","Glemte du en vare?"
"Edit Your Cart","Rediger indkøbskurv"
"Ship Here","Send hertil"
"Ship To:","Send til:"
"edit","rediger"
"Order Summary","Ordreoversigt"
"View and Edit Cart","Se og rediger indkøbskurv"
"View Details","Vis detaljer"
"Field ","Felt "
" is required."," er påkrævet."
"Provided Zip/Postal Code seems to be invalid.","Postnummer er ugyldigt."
" Example: "," Eksempel: "
"If you believe it is the right one you can ignore this notice.","Hvis du mener det er korrekt, kan du ignorere denne meddelelse."
"New Address","Ny adresse"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på du ønsker at fjerne denne vare fra indkøbskurven?"
"Review & Payments","Gennemse & betalinger"
"Select a new payment method","Vælg ny betalingsmetode"
"Shipping","Levering"
"Save Address","Gem adresse"
"Please specify a shipping method.","Angiv venligst en forsendelsesmetode."
"Checkout Options","Checkout valg"
"Enable Onepage Checkout","Aktiver one-page checkout"
"Allow Guest Checkout","Tillad gæste checkout"
"Display Billing Address On","Vis faktureringsadresse på"
"Maximum Number of Items to Display in Order Summary","Maksimalt antal af produkter som vises på ordre opsummeringen"
"Quote Lifetime (days)","Tilbudets levetid (dage)"
"After Adding a Product Redirect to Shopping Cart","Efter tilføjelse af et produkt omdiriger til indkøbskurv"
"Number of Items to Display Pager","Antallet af elementer, der skal vises på én gang pr. side"
"My Cart Link","Min Indkøbskurv link"
"Display Cart Summary","Se indkøbskurv"
"Shopping Cart Sidebar","Indkøbskurv Sidebar"
"Display Shopping Cart Sidebar","Vis Indkøbskurv Sidebar"
"Number of Items to Display Scrollbar","Antallet af elementer, der skal vises på én gang ved scrollbar"
"Maximum Number of Items to Display","Maksimalt antal af produkter som vises"
"Payment Failed Emails","Betaling mislykkedes e-mails"
"Payment Failed Email Sender","Betaling mislykkedes e-mail afsender"
"Payment Failed Email Receiver","Betaling mislykkedes e-mail-modtager"
"Payment Failed Template","Betaling mislykkedes skabelon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail skabelon valgt baseret på temaets fallback når ""Standard"" indstilling er markeret."
"Send Payment Failed Email Copy To","Send betaling mislykkedes e-mail kopi til"
"Separate by "","".","Adskilt af "",""."
"Send Payment Failed Email Copy Method","Send betaling mislykkedes e-mail kopieringsmetode"
"Summary","Oversigt"
"Order Total","Ordretotal"
"Shipping Address","Leveringsadresse"
"We'll send your order confirmation here.","Vi fremsender din ordrebekræftelse her."
"Payment","Betaling"
"Not yet calculated","Endnu ikke beregnet"
"We received your order!","Vi har modtaget din ordre!"
"Thank you for your purchase!","Tak for dit køb!"
"Minimum order amount is %1","Minimum ordrebeløb er %1"
"Unable to save address. Please, check input data.","Adressen kunne ikke gemmes. Tjek venligst inputdata."
"Unable to save shipping information. Please, check input data.","Kan ikke gemme forsendelsesoplysninger. Tjek venligst inputdata."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Kurven indeholder kun virtuelle produkt(er). Leveringsadresse er ikke relevant."
"Wrong minimum amount.","Forkert minimumsbeløb."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Udskriv kvittering</a>"
"Forgot Password","Glemt adgangskode"
"Close","Luk"
"item","vare"
"items","varer"
"Go to Checkout","Gå til betaling"
"Recently added item(s)","Senest tilføjede vare(r)"
"View and edit cart","Vis og rediger kurv"
"No Payment Methods","Ingen betalingsmetoder"
"Shipping Methods","Forsendelsesmetoder"
"Select Method","Vælg metode"
"Method Title","Metode titel"
"Carrier Title","Transportør titel"
"Next","Næste"
"Sorry, no quotes are available for this order at this time","Beklager, ingen estimater er tilgængelig for ordren på dette tidspunkt"
"Item in Cart","vare i indkøbskurven"
"Items in Cart","varer i indkøbskurven"
"Require Customer To Be Logged In To Checkout","Kræv, at kunden er logget ind for at gå til kassen"
"Maximum Display Recently Added Item(s)","Maksimal visning af nyligt tilføjede vare(r)"
"of","af"
"Something went wrong while saving the page. Please refresh the page and try again.","Noget gik galt da vi prøvede at gemme siden. Prøv af genindlæse den og prøv igen."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Du har tilføjet %1 til din <a href=""%2"">indkøbskurv</a>."
"Please select at least one product to add to cart","Vælg mindst ét produkt der skal lægges i indkøbskurven"
"The quote item isn't found. Verify the item and try again.","Produktet blev ikke fundet. Kontroller produktet og prøv igen."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Din ordre kunne ikke gennemføres. Du skal først acceptere vores vilkår og betingelser, før du kan prøve at afgive ordren igen."
"The product wasn't found. Verify the product and try again.","Produktet blev ikke fundet. Verificer produktet og prøv igen."
"A server error stopped your order from being placed. Please try to place your order again.","En serverfejl forhindrede din ordre fra at blive oprettet. Prøv at afgive din ordre igen."
"The shipping address is missing. Set the address and try again.","Leveringsadressen mangler. Indstil adressen, og prøv igen."
"The shipping information was unable to be saved. Verify the input data and try again.","Leveringsoplysningerne kunne ikke gemmes. Kontroller oplysningerne og prøv igen."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","Forsendelsesmetoden kan ikke indstilles for en tom kurv. Tilføj en vare til indkøbskurven, og prøv igen."
"Billing Address","Faktureringsadresse"
"Something went wrong with your request. Please try again later.","Der gik noget galt med din anmodning. Prøv venligst igen senere."
"The shipping method is missing. Select the shipping method and try again.","Leveringsmetoden mangler. Vælg en leveringsmetode og prøv igen."
"Show Cross-sell Items in the Shopping Cart","Vis krydssalgsvarer i indkøbskurven"
"Unable to place order. Please try again later.","Kan ikke afgive ordre. Prøv venligst igen senere."
"Please specify a regionId in shipping address.","Angiv venligst et regions-id i forsendelsesadressen."
