"Shopping Cart","Carrinho de Compras"
"Send Payment Failed Email Copy Method","Envio de Falha de Pagamento por E-mail"
"Summary","Resumo"
"Order Total","Total do Pedido"
"Shipping Address","Endereço de entrega"
"We'll send your order confirmation here.","Enviaremos a confirmação do seu pedido aqui."
"Payment","Pagamento"
"Not yet calculated","Ainda não calculado"
"We received your order!","Recebemos o seu pedido!"
"Thank you for your purchase!","Obrigado por sua compra!"
"Minimum order amount is %1","O valor mínimo do pedido é %1"
"Unable to save address. Please, check input data.","Não é possível salvar o endereço. Por favor, verifique os dados de entrada."
"Unable to save shipping information. Please, check input data.","Não foi possível salvar as informações de envio. Por favor, verifique os dados informados."
"Cart contains virtual product(s) only. Shipping address is not applicable.","O carrinho contem somente produtos virtuais. Endereço de entrega não se aplica."
"Wrong minimum amount.","Valor mínimo incorreto."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimir recibo</a>"
"Forgot Password","Esqueci a senha"
"Close","Fechar"
"item","item"
"items","itens"
"Go to Checkout","Finalizar Compra"
"Recently added item(s)","Itens recém adicionados"
"View and edit cart","Visualizar e editar carrinho"
"No Payment Methods","Não há Formas de Pagamento"
"Shipping Methods","Métodos de envio"
"Select Method","Selecione o Método"
"Method Title","Título do Método"
"Carrier Title","Título da Transportadora"
"Next","Próximo"
"Sorry, no quotes are available for this order at this time","Desculpe-nos, sem cotação disponível para este pedido agora"
"Item in Cart","Item no Carrinho"
"Items in Cart","Itens no Carrinho"
"Require Customer To Be Logged In To Checkout","Exigir que o Cliente esteja logado para o Checkout"
"Maximum Display Recently Added Item(s)","Máximo de Itens Mostrados nos Itens Recém Adicionados"
"of","de"
"Something went wrong while saving the page. Please refresh the page and try again.","Alguma coisa deu errado no salvamento da página. Por favor atualize a pagina e tente novamente."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Você adicionou %1 para o seu <a href=""%2"">carrinho de compras</a>."
"Please select at least one product to add to cart","Por favor, selecione pelo menos um produto para adicionar ao carrinho"
"The quote item isn't found. Verify the item and try again.","O item da cotação não foi encontrado. Verifique o item e tente novamente."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","O pedido não foi feito. Primeiro, concorde com os termos e condições e tente fazer seu pedido novamente."
"The product wasn't found. Verify the product and try again.","O produto não foi encontrado. Verifique o produto e tente novamente."
"A server error stopped your order from being placed. Please try to place your order again.","Um erro no servidor impediu que seu pedido fosse colocado. Por favor, tente fazer seu pedido novamente."
"The shipping address is missing. Set the address and try again.","Está faltando o endereço de entrega, Informe o endereço e tente novamente."
"The shipping information was unable to be saved. Verify the input data and try again.","As informações de envio não puderam ser salvas. Verifique os dados de entrada e tente novamente."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","O método de envio não pode ser definido para um carrinho vazio. Adicione um item ao carrinho e tente novamente."
"Billing Address","Endereço de Cobrança"
"Something went wrong with your request. Please try again later.","Problema ao processar o pedido. Por favor, tente novamente mais tarde."
"The shipping method is missing. Select the shipping method and try again.","O método de envio está faltando. Selecione o método de envio e tente novamente."
"Show Cross-sell Items in the Shopping Cart","Mostrar itens de venda cruzada no Carrinho de Compras"
"Unable to place order. Please try again later.","Não é possível fazer o pedido. Por favor, tente novamente mais tarde."
"Please specify a regionId in shipping address.","Por favor, especifique o cep no endereço de envio."
