"Shopping Cart","Keranjang Belanja"
"Update Shopping Cart","Perbarui Daftar Belanja"
"Update Cart","Perbarui Keranjang"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"What's this?","Apakah ini?"
"Edit item parameters","Edit parameter item"
"Edit","Ubah"
"Remove item","Hapus barang"
"You have no items in your shopping cart.","Anda tidak memiliki barang di keranjang belanja Anda."
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">here</a> untuk melanjutkan belanja."
"Estimate Tax","Perkiraan Pajak"
"Estimate Shipping and Tax","Perkiraan Pengiriman dan Pajak"
"Excl. Tax","Tidak Termasuk Pajak"
"Loading...","Memuat..."
"Order #","Pesanan #"
"Proceed to Checkout","Lanjutkan ke pembayaran"
"Product Name","Nama Produk"
"Incl. Tax","Termasuk Pajak"
"Your order number is: %1.","Nomor pesanan anda adalah: %1."
"Your order # is: <span>%1</span>.","Pesanan anda # adalah: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Kami akan mengirimkan konfirmasi pesanan melalui email dengan detail dan info pelacakan."
"Payment Transaction Failed Reminder","Pengingat Pembayaran Gagal Transaksi"
"Payment Transaction Failed","Transaksi Pembayaran Gagal"
"Reason","Alasan"
"Checkout Type","Checkout Type"
"Customer:","Pelanggan:"
"Items","Barang"
"Total:","Total:"
"Billing Address:","Alamat tagihan:"
"Shipping Address:","Alamat Pengiriman:"
"Shipping Method:","Metode pengiriman:"
"Payment Method:","Metode pembayaran:"
"Date & Time:","Tanggal & Waktu:"
"Sign In","Masuk"
"Email Address","Alamat Email"
"Password","Sandi"
"Forgot Your Password?","Lupa sandi?"
"My billing and shipping address are the same","Alamat penagihan dan pengiriman saya sama"
"Update","Perbarui"
"Cancel","Batal"
"Save in address book","Simpan di buku alamat"
"Estimated Total","Taksiran Total"
"You can create an account after checkout.","Anda bisa membuat akun setelah checkout."
"You already have an account with us. Sign in or continue as guest.","Anda sudah memiliki akun dengan kami. Masuk atau lanjutkan sebagai tamu."
"Login","Masuk"
"See Details","Lihat Rincian"
"Options Details","Rincian Pilihan"
"Remove","Menghapus"
"Cart Subtotal","Jumlah keranjang"
"Payment Information","Informasi Pembayaran"
"No Payment method available.","Tidak ada metode pembayaran yang tersedia."
"You can track your order status by creating an account.","Anda dapat melacak status pesanan Anda dengan membuat akun."
"Place Order","Tempat Pesanan"
"Forgot an Item?","Lupa Item?"
"Edit Your Cart","Ubah Keranjang Anda"
"Ship Here","Kapal Disini"
"Ship To:","Dikirim ke:"
"edit","edit"
"Order Summary","Ringkasan pesanan"
"View and Edit Cart","Lihat dan ubah Keranjang"
"View Details","Lihat Detil"
"Field ","Bidang "
" is required."," di perlukan."
"Provided Zip/Postal Code seems to be invalid.","Kode Zip / Postal yang Diberikan nampaknya tidak valid."
" Example: "," Contoh: "
"If you believe it is the right one you can ignore this notice.","Jika Anda yakin itu salah, Anda bisa mengabaikan pemberitahuan ini."
"New Address","Alamat baru"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Review & Payments"
"Select a new payment method","Pilih metode pembayaran baru"
"Shipping","Pengiriman"
"Save Address","Simpan Alamat"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Pilihan Checkout"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Izinkan Tamu Checkout"
"Display Billing Address On","Tampilan di Alamat Penagihan"
"Maximum Number of Items to Display in Order Summary","Jumlah Item Maksimum untuk ditampilkan dalam Ringkasan Pesanan"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","Setelah Menambah Pengalihan Produk ke Keranjang Belanja"
"Number of Items to Display Pager","Jumlah Item ke Tampilan Pager"
"My Cart Link","My Cart Link"
"Display Cart Summary","Ringkasan Keranjang Belanja"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Jumlah Item untuk Menampilkan Scrollbar"
"Maximum Number of Items to Display","Jumlah Item Maksimum untuk tampilan"
"Payment Failed Emails","Email Gagal Pembayaran"
"Payment Failed Email Sender","Pembayaran Gagal Email Pengirim"
"Payment Failed Email Receiver","Penerima Pembayaran Email Gagal"
"Payment Failed Template","Template Gagal Pembayaran"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Send Payment Failed Email Copy To","Salin ke Kirim Pembayaran Email Gagal"
"Separate by "","".","Pisahkan dengan "",""."
"Send Payment Failed Email Copy Method","Kirimkan Metode Salin Email Gagal Pembayaran"
"Summary","Ringkasan"
"Order Total","Jumlah Pesanan"
"Shipping Address","Alamat Pengiriman"
"We'll send your order confirmation here.","Kami akan mengirimkan konfirmasi pesanan anda disini."
"Payment","Pembayaran"
"Not yet calculated","Belum dihitung"
"We received your order!","We received your order!"
"Thank you for your purchase!","Terima kasih atas pembelian anda!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Tutup"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Item in Cart"
"Items in Cart","Barang dalam Keranjang"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
