"Shopping Cart","Cesta"
"Payment Information","Información de pago"
"No Payment method available.","Ningún método de pago está disponible."
"You can track your order status by creating an account.","Puedes verificar el estado de tu orden creando una cuenta."
"Place Order","Realizar pedido"
"Forgot an Item?","¿Ha olvidado un producto?"
"Edit Your Cart","Editar Carrito"
"Ship Here","Entregar aquí"
"Ship To:","Enviar a:"
"edit","editar"
"Order Summary","Resumen del pedido"
"View and Edit Cart","Ver y editar carrito"
"View Details","Mostrar detalles"
"Field ","Campo "
" is required."," es requerido."
"Provided Zip/Postal Code seems to be invalid.","El Código Postal parece no ser válido."
" Example: "," Ejemplo: "
"If you believe it is the right one you can ignore this notice.","Si usted cree que es el correcto, puede ignorar este aviso."
"New Address","Nueva dirección"
"Are you sure you would like to remove this item from the shopping cart?","¿Seguro que desea eliminar este artículo del carrito de la compra?"
"Review & Payments","Revisión y Pagos"
"Select a new payment method","Seleccione un nuevo método de pago"
"Shipping","Envío"
"Save Address","Guardar dirección"
"Please specify a shipping method.","Por favor, especifique un modo de envío."
"Checkout Options","Opciones para el proceso de pago"
"Enable Onepage Checkout","Habilitar Checkout en una sola página"
"Allow Guest Checkout","Permitir proceso de pago para visitantes"
"Display Billing Address On","Mostrar la dirección de facturación en"
"Maximum Number of Items to Display in Order Summary","Número máximo de elementos a mostrar en resumen de pedido"
"Quote Lifetime (days)","Duración del presupuesto (días)"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Number of Items to Display Pager","Número de elementos a mostrar en el paginador"
"My Cart Link","Link zu meinem Warenkorb"
"Display Cart Summary","Mostrar Resumen del Carro"
"Shopping Cart Sidebar","Barra lateral del carrito de compras"
"Display Shopping Cart Sidebar","Mostrar la barra lateral del carrito de compras"
"Number of Items to Display Scrollbar","Número de elementos para mostrar la barra de desplazamiento"
"Maximum Number of Items to Display","Número máximo de elementos a mostrar"
"Payment Failed Emails","Fehlgeschlagene Zahlung - eMail"
"Payment Failed Email Sender","Fehlgeschlagene Zahlung - eMail-Absender"
"Payment Failed Email Receiver","Receptor de Email de Pagos Fallidos"
"Payment Failed Template","Fehlgeschlagene Zahlung - eMail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Send Payment Failed Email Copy To","Sende Zahlungsfehler in Kopie an eMail"
"Separate by "","".","Separados por "",""."
"Send Payment Failed Email Copy Method","Sende Zahlungsfehler in Kopie (Methode)"
"Summary","Resumen"
"Order Total","Total del pedido"
"Shipping Address","Dirección de envío"
"We'll send your order confirmation here.","Aquí te enviaremos la confirmación de tu pedido."
"Payment","Pago"
"Not yet calculated","Aún no se ha calculado"
"We received your order!","¡Hemos recibido tu pedido!"
"Thank you for your purchase!","Gracias por su compra!"
"Minimum order amount is %1","Cantidad de pedido mínima es de %1"
"Unable to save address. Please, check input data.","No se puede guardar la dirección. Por favor, comprueba los datos introducidos."
"Unable to save shipping information. Please, check input data.","No se puede guardar la información de envío. Por favor, comprueba los datos introducidos."
"Cart contains virtual product(s) only. Shipping address is not applicable.","La cesta contiene únicamente producto(s) virtuales. La dirección de envío no es aplicable."
"Wrong minimum amount.","Cantidad mínima errónea."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Imprimir recibo</a>"
"Forgot Password","Olvidé la contraseña"
"Close","Cerrar"
"item","artículo"
"items","artículos"
"Go to Checkout","Ir a pagar"
"Recently added item(s)","Artículos recientemente añadidos"
"View and edit cart","Ver y editar carrito"
"No Payment Methods","No hay métodos de pago"
"Shipping Methods","Métodos de envío"
"Select Method","Seleccione el método"
"Method Title","Título del método"
"Carrier Title","Título del transportista"
"Next","Siguiente"
"Sorry, no quotes are available for this order at this time","Lo sentimos, no hay cotizaciones disponibles para este pedido en este momento"
"Item in Cart","Producto en el carrito"
"Items in Cart","Artículos en el carrito"
"Require Customer To Be Logged In To Checkout","Kundenanmeldung für Bestellvorgang erforderlich"
"Maximum Display Recently Added Item(s)","Maximalanzeige kürzlich hinzugefügter Artikel"
"of","de"
"Something went wrong while saving the page. Please refresh the page and try again.","Algo salió mal al guardar la página. Actualiza la página y vuelve a intentarlo."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Ha agregado %1 al <a href=""%2"">carrito de compras</a>."
"Please select at least one product to add to cart","Por favor, seleccione al menos un producto para añadir al carrito"
"The quote item isn't found. Verify the item and try again.","La oración no es encontrada. Verificar e intentar de nuevo."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","El pedido no fue realizado. Primero, acepte los términos y condiciones, luego intente realizar su pedido nuevamente."
"The product wasn't found. Verify the product and try again.","El producto no fue encontrado. Verifique el producto y vuelva a intentarlo."
"A server error stopped your order from being placed. Please try to place your order again.","Un error del servidor detuvo su pedido de ser completado. Por favor, intente hacer su pedido de nuevo."
"The shipping address is missing. Set the address and try again.","Falta la dirección de envío. Establece la dirección y vuelve a intentarlo."
"The shipping information was unable to be saved. Verify the input data and try again.","No se pudo guardar la información de envío. Verifica y vuelva a intentarlo."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","El método de envío no se puede configurar para un carrito vacío. Agrega un artículo al carrito y vuelve a intentarlo."
"Billing Address","Dirección de facturación"
"Something went wrong with your request. Please try again later.","Algo fue mal con su solicitud. Por favor, intentalo de nuevo."
"The shipping method is missing. Select the shipping method and try again.","Falta el método de envío. Seleccione el método de envío y vuelva a intentarlo."
"Show Cross-sell Items in the Shopping Cart","Mostrar los artículos de venta cruzada en la carrito de la compra"
"Unable to place order. Please try again later.","No ha sido posible crear el pedido. Por favor inténtalo de nuevo más tarde."
"Please specify a regionId in shipping address.","Por favor especifique un regionId en la dirección de envío."
