"Shopping Cart","Grozs"
"Loading...","Notiek ielāde..."
"Order #","Pasūtījums #"
"Proceed to Checkout","Noformēt pirkumu"
"Product Name","Produkta nosaukums"
"Incl. Tax","Ar PVN"
"Your order number is: %1.","Jūsu pirkuma numurs ir: %1."
"Your order # is: <span>%1</span>.","Jūsu pirkuma # ir: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Mēs jums nosūtīsim e-pastu ar pasūtījuma apstiprinājumu un detalizētu informāciju, kā arī sekošanas informāciju."
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Norēķins neizdevās"
"Reason","Iemesls"
"Checkout Type","Noformēšanas tips"
"Customer:","Klients:"
"Items","Produkti"
"Total:","Kopā:"
"Billing Address:","Norēķinu Adrese:"
"Shipping Address:","Piegādes adrese:"
"Shipping Method:","Piegādes veids:"
"Payment Method:","Samaksas veids:"
"Date & Time:","Laiks un datums:"
"Sign In","Pieteikties"
"Email Address","E-pasta adrese"
"Password","Parole"
"Forgot Your Password?","Aizmirsāt paroli?"
"My billing and shipping address are the same","Mana norēķinu un piegādes adrese ir viena un tā pati"
"Update","Atjaunināt"
"Cancel","Atcelt"
"Save in address book","Saglabāt adrešu grāmatā"
"Estimated Total","Aptuvenā kopsumma"
"You can create an account after checkout.","Jūs varat izveidot profilu pēc pasūtījuma noformēšanas."
"You already have an account with us. Sign in or continue as guest.","Jums jau ir profils. Pieskaties vai turpiniet lietot nereģistrējoties."
"Login","Lietotājvārds"
"See Details","Sīkāka informācija"
"Options Details","Opciju detaļas"
"Remove","Dzēst"
"Cart Subtotal","Groza starpsumma"
"Payment Information","Norēķinu informācija"
"No Payment method available.","Norēķinu veidi nav pieejami."
"You can track your order status by creating an account.","Jūs varat izsekot sava pirkuma statusam, ja izveidosiet profilu."
"Place Order","Veikt pasūtījumu"
"Forgot an Item?","Aizmirsi pievienot produktu?"
"Edit Your Cart","Atjauniniet savu pirkuma grozu"
"Ship Here","Piegādāt šeit"
"Ship To:","Piegādāt uz:"
"edit","labot"
"Order Summary","Pasūtījumu pārskats"
"View and Edit Cart","Skatīt un labot pirkuma grozu"
"View Details","Skatīt detaļas"
"Field ","Field "
" is required."," is required."
"Provided Zip/Postal Code seems to be invalid.","Norādītais pasta indeks nav pareizs."
" Example: "," Piemērs: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"New Address","Jauna adrese"
"Are you sure you would like to remove this item from the shopping cart?","Vai esat pārliecināti, ka vēlaties izņemt šo preci no ieprirkumu groza?"
"Review & Payments","Pārskats un maksājumi"
"Select a new payment method","Select a new payment method"
"Shipping","Piegāde"
"Save Address","Saglabāt adresi"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Pirkuma noformēšanas iespējas"
"Enable Onepage Checkout","Ieslēgt vienas lapas pirkuma noformēšanu"
"Allow Guest Checkout","Atļaut nereģistrētiem lietotājiem noformēt pirkumu"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","Mana groza saite"
"Display Cart Summary","Rādīt groza kopsavilkumu"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Atdali ar "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Kopsavilkums"
"Order Total","Pirkuma summa"
"Shipping Address","Piegādes adreses"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Payment","Apmaksa"
"Not yet calculated","Vēl nav aprēķināts"
"We received your order!","We received your order!"
"Thank you for your purchase!","Paldies par pirkumu!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Aizvērt"
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Nesen pievienotie produkti(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","No Payment Methods"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Next"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Prece grozā"
"Items in Cart","Preces grozā"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Billing Address"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
