"Shopping Cart","Handlekurv"
"Sorry, guest checkout is not available.","Beklager, gjestecheckout er ikke tilgjengelig."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Du må bekrefte kontoen. Sjekk din e-post, eller <a href=""%1"">klikk her</a> for å få tilsendt en ny."
"Load customer quote error","Load customer quote error"
"Error message!","Feilmelding!"
"Error!","Feil!"
"DB exception","DB exception"
"Message","Beskjed"
"Print receipt","Print receipt"
"Apply Discount Code","Bruk rabattkode"
"Enter discount code","Angi rabattkode"
"Apply Discount","Aktiver rabatt"
"Cancel Coupon","Avbryt kupong"
"Shopping Cart Items","Handlekurvelementer"
"Item","Produkt"
"Price","Pris"
"Qty","Antall"
"Subtotal","Delsum"
"Continue Shopping","Fortsett å handle"
"Clear Shopping Cart","Tøm handlekurv"
"Update Shopping Cart","Oppdater handlekurv"
"Update Cart","Oppdater handlekurven"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"What's this?","Hva er dette?"
"Edit item parameters","Rediger parametere"
"Edit","Redigere"
"Remove item","Fjern produkt"
"You have no items in your shopping cart.","Du har ingen varer i handlekurven."
"Click <a href=""%1"">here</a> to continue shopping.","Klikk <a href=""%1""> her</a> for å fortsette å handle."
"Estimate Tax","Beregn merverdiavgift"
"Estimate Shipping and Tax","Estimer frakt og avgifter"
"Excl. Tax","ex. moms"
"Loading...","Laster..."
"Order #","Ordre #"
"Proceed to Checkout","Fortsett til kassen"
"Product Name","Produktnavn"
"Incl. Tax","Inkl. MVA"
"Your order number is: %1.","Ordrenummeret ditt er: %1."
"Your order # is: <span>%1</span>.","Ditt ordrenummer er: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Vi vil sende deg en ordrebekreftelse med detaljer og leveringsinformasjon."
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Betalingstransaksjonen mislyktes"
"Reason","Grunn"
"Checkout Type","Type Checkout"
"Customer:","Kunde:"
"Items","Produkter"
"Total:","Totalt:"
"Billing Address:","Faktureringsadresse:"
"Shipping Address:","Leveringsadresse:"
"Shipping Method:","Leveringsmåte:"
"Payment Method:","Betalingsmåte:"
"Date & Time:","Dato & tid:"
"Sign In","Logg inn"
"Email Address","E-postadresse"
"Password","Passord"
"Forgot Your Password?","Glemt passordet?"
"My billing and shipping address are the same","Min faktura- og leveringsadresse er de samme"
"Update","Oppdater"
"Cancel","Avbryt"
"Save in address book","Lagre i adresseboken"
"Estimated Total","Anslått totalpris"
"You can create an account after checkout.","Du kan opprette en konto etter fullført kjøp."
"You already have an account with us. Sign in or continue as guest.","Du har allerede en konto hos oss. Logg inn eller fortsett som gjest."
"Login","Logg inn"
"See Details","Se detaljer"
"Options Details","Alternativer for detaljer"
"Remove","Fjern"
"Cart Subtotal","Handlekurv delsum"
"Payment Information","Betalingsinformasjon"
"No Payment method available.","Ingen tilgjengelig betalingsmetode."
"You can track your order status by creating an account.","Du kan sjekke ordrens status ved å opprette en konto."
"Place Order","Bestill"
"Forgot an Item?","Glemt et produkt?"
"Edit Your Cart","Redigere handlevognen"
"Ship Here","Leveringsadresse"
"Ship To:","Levering til:"
"edit","rediger"
"Order Summary","Ordreoversikt"
"View and Edit Cart","Se og endre handlevogn"
"View Details","Vis detaljer"
"Field ","Felt "
" is required."," er påkrevd."
"Provided Zip/Postal Code seems to be invalid.","Gitt postnummeret synes å være ugyldig."
" Example: "," Eksempel: "
"If you believe it is the right one you can ignore this notice.","Hvis du mener det er riktig kan du ignorere denne meldingen."
"New Address","Ny adresse"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på at du vil fjerne dette produktet fra handlekurven?"
"Review & Payments","Gjennomgang & betalinger"
"Select a new payment method","Velg en ny betalingsmåte"
"Shipping","Frakt"
"Save Address","Lagre adresse"
"Please specify a shipping method.","Angi en leveringsmetode."
"Checkout Options","Utsjekkingsvalg"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Allow Guest Checkout","Tillatt å bestille uten kundekonto"
"Display Billing Address On","Vise faktureringsadresse på"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Quote Lifetime (days)"
"After Adding a Product Redirect to Shopping Cart","Etter at produkt er lagt gå direkt videre til handlekurv"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","Min handlevogn Link"
"Display Cart Summary","Vis handlekurv sammendrag"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Vis Handlekurv Sidepanel"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Email Receiver","Payment Failed Email Receiver"
"Payment Failed Template","Payment Failed Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Separate by "","".","Separat med "",""."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Summary","Sammendrag"
"Order Total","Ordretotal"
"Shipping Address","Leveringsadresse"
"We'll send your order confirmation here.","Vi sender deg ordrebekreftelse her."
"Payment","Betaling"
"Not yet calculated","Ennå ikke er beregnet"
"We received your order!","Vi har mottatt din ordre!"
"Thank you for your purchase!","Takk for bestillingen!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Kan ikke lagre adressen. Kontroller inndataene."
"Unable to save shipping information. Please, check input data.","Kan ikke lagre leveringsinformasjon. Kontroller inndataene."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Handlekurven inneholder kun virtuelt/virtuelle produkt(er). Leveringsadresse er ikke nødvendig."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Glemt passord"
"Close","Lukk"
"item","produkt"
"items","elementer"
"Go to Checkout","Gå til kassen"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","Vis og rediger handlekurv"
"No Payment Methods","Ingen betalingsmetoder"
"Shipping Methods","Leveringsmåte"
"Select Method","Velg metode"
"Method Title","Metodetittel"
"Carrier Title","Frakt-tittel"
"Next","Neste"
"Sorry, no quotes are available for this order at this time","Beklager, ingen tilbud er tilgjengelige for denne ordren på dette tidspunktet"
"Item in Cart","Produkter i handlekurven"
"Items in Cart","Varer i handlevognen"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","av"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Faktureringsadresse"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Kan ikke ta imot bestilling. Prøv igjen senere."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
