"Shopping Cart","Coșul de cumpărături"
"You already have an account with us. Sign in or continue as guest.","Aveti deja un cont inregistrat.Conectati-va sau continuati ca vizitator"
"Login","Conectare"
"See Details","Vizualizare detalii"
"Options Details","Detalii Opțiuni"
"Remove","Elimină"
"Cart Subtotal","Subtotal coș"
"Payment Information","Informații plată"
"No Payment method available.","No Payment method available."
"You can track your order status by creating an account.","Puteți urmări starea comenzii dvs. prin crearea unui cont."
"Place Order","Finalizați comanda"
"Forgot an Item?","Ați uitat un articol?"
"Edit Your Cart","Editați coșul de cumpărături"
"Ship Here","Livreaza aici"
"Ship To:","Ship To:"
"edit","edit"
"Order Summary","Detalii Comanda"
"View and Edit Cart","Vezi si Editeaza Cos"
"View Details","Vezi Detalii"
"Field ","Field "
" is required."," is required."
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"New Address","Adresă nouă"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Review & Payments","Verificare & Modalități plată"
"Select a new payment method","Select a new payment method"
"Shipping","Livrare"
"Save Address","Salvare adresă"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","Opțiuni Checkout"
"Enable Onepage Checkout","Activați Pagină Unică Checkout"
"Allow Guest Checkout","Permiteți Checkout Vizitatori"
"Display Billing Address On","Display Billing Address On"
"Maximum Number of Items to Display in Order Summary","Maximum Number of Items to Display in Order Summary"
"Quote Lifetime (days)","Termen Mențiune (zile)"
"After Adding a Product Redirect to Shopping Cart","Redirecționare la coșul de cumpărături după adăugarea unui produs"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","Link Coșul Meu"
"Display Cart Summary","Afișare cuprins coș"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Number of Items to Display Scrollbar","Number of Items to Display Scrollbar"
"Maximum Number of Items to Display","Maximum Number of Items to Display"
"Payment Failed Emails","Email-uri Plată eșuată"
"Payment Failed Email Sender","Expeditor email plată eșuată"
"Payment Failed Email Receiver","Destinatar email plată eșuată"
"Payment Failed Template","șablon plată eșuată"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"Send Payment Failed Email Copy To","Trimiteți copie email plată eșuată către"
"Separate by "","".","Separați prin "",""."
"Send Payment Failed Email Copy Method","Trimiteți modalitate copie email plată eșuată către"
"Summary","Titlul recenziei"
"Order Total","Total comandă"
"Shipping Address","Adresa de livrare"
"We'll send your order confirmation here.","Vă vom trimite confirmarea comenzii aici."
"Payment","Plată"
"Not yet calculated","Nu este încă calculat"
"We received your order!","We received your order!"
"Thank you for your purchase!","Vă mulțumim pentru comandă!"
"Minimum order amount is %1","Minimum order amount is %1"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","Cart contains virtual product(s) only. Shipping address is not applicable."
"Wrong minimum amount.","Wrong minimum amount."
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Forgot Password","Forgot Password"
"Close","Închide."
"item","item"
"items","items"
"Go to Checkout","Go to Checkout"
"Recently added item(s)","Recently added item(s)"
"View and edit cart","View and edit cart"
"No Payment Methods","Nici o modaliatate de plată"
"Shipping Methods","Modalități de livrare"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Next","Următorul"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Item in Cart","Produs în Coș"
"Items in Cart","Articole în coș"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"of","of"
"Something went wrong while saving the page. Please refresh the page and try again.","Something went wrong while saving the page. Please refresh the page and try again."
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
"Billing Address","Adresă facturare"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"Please specify a regionId in shipping address.","Please specify a regionId in shipping address."
